N,mass_squared,mode_rank,energy_real,energy_imag,is_real,visible_in_paper_window,solver
1.26,0.0,10,9.510999798183231,-6.209778236995396,False,True,real_axis_fd
1.26,0.0,11,10.758672452190849,-7.292181487646398,False,True,real_axis_fd
1.26,0.0,12,10.75867245310228,7.292181486921447,False,True,real_axis_fd
1.26,0.0,13,11.959367666330703,8.335690585645589,False,True,real_axis_fd
1.28,0.0,0,1.2609618926222463,4.436168978808057e-14,True,True,real_axis_fd
1.28,0.0,1,3.5970697269441683,-1.1141523272387455,False,True,real_axis_fd
1.28,0.0,2,3.597069726944944,1.1141523272395768,False,True,real_axis_fd
1.28,0.0,3,5.434379507439959,-2.4986145406624947,False,True,real_axis_fd
1.28,0.0,4,5.434379507441619,2.498614540659716,False,True,real_axis_fd
1.28,0.0,5,7.0192155672717025,3.7685244458155784,False,True,real_axis_fd
1.28,0.0,6,7.019215567272831,-3.768524445820751,False,True,real_axis_fd
1.28,0.0,7,8.47839091127714,4.957618352088139,False,True,real_axis_fd
1.28,0.0,8,8.478390911303084,-4.957618352069473,False,True,real_axis_fd
1.28,0.0,9,9.854580546767005,-6.087524297327498,False,True,real_axis_fd
1.28,0.0,10,9.854580546940458,6.087524297352929,False,True,real_axis_fd
1.28,0.0,11,11.169437771768687,7.171343114772447,False,True,real_axis_fd
1.28,0.0,12,11.169437772176462,-7.171343115189744,False,True,real_axis_fd
1.28,0.0,13,12.436005315651741,-8.217739275632027,False,True,real_axis_fd
1.3,0.0,0,1.2368708365604224,-4.817165139537627e-14,True,True,real_axis_fd
1.3,0.0,1,3.634276346616519,1.0144670190691922,False,True,real_axis_fd
1.3,0.0,2,3.6342763466171406,-1.0144670190699208,False,True,real_axis_fd
1.3,0.0,3,5.560527490661797,2.382515449862588,False,True,real_axis_fd
1.3,0.0,4,5.560527490663328,-2.382515449862165,False,True,real_axis_fd
1.3,0.0,5,7.221010245601633,3.6427003700318394,False,True,real_axis_fd
1.3,0.0,6,7.2210102456046,-3.642700370037771,False,True,real_axis_fd
1.3,0.0,7,8.752189702744582,4.826482930527875,False,True,real_axis_fd
1.3,0.0,8,8.752189702755901,-4.826482930474941,False,True,real_axis_fd
1.3,0.0,9,10.198192087416047,-5.953975186651698,False,True,real_axis_fd
1.3,0.0,10,10.198192087537842,5.953975186544826,False,True,real_axis_fd
1.3,0.0,11,11.581308936860884,7.0374321312619195,False,True,real_axis_fd
1.3,0.0,12,11.58130893721579,-7.037432133157731,False,True,real_axis_fd
1.3,0.0,13,12.914939052248455,-8.085004856279028,False,True,real_axis_fd
1.32,0.0,0,1.2150529650226707,1.425197084116182e-14,True,True,real_axis_fd
1.32,0.0,1,3.668221306024958,0.9095589328994221,False,True,real_axis_fd
1.32,0.0,2,3.668221306025847,-0.9095589328993954,False,True,real_axis_fd
1.32,0.0,3,5.684394674800314,-2.2611735777219053,False,True,real_axis_fd
1.32,0.0,4,5.68439467480326,2.2611735777250326,False,True,real_axis_fd
1.32,0.0,5,7.420852984500371,3.5095213818015267,False,True,real_axis_fd
1.32,0.0,6,7.420852984500821,-3.50952138181125,False,True,real_axis_fd
1.32,0.0,7,9.02472459768747,-4.685987922744887,False,True,real_axis_fd
1.32,0.0,8,9.024724597692826,4.685987922758748,False,True,real_axis_fd
1.32,0.0,9,10.541425877873571,5.8091658114366584,False,True,real_axis_fd
1.32,0.0,10,10.541425877965345,-5.80916581157376,False,True,real_axis_fd
1.32,0.0,11,11.993829324442554,6.890444127407707,False,True,real_axis_fd
1.32,0.0,12,11.993829324610871,-6.890444126443488,False,True,real_axis_fd
1.32,0.0,13,13.395652581240387,-7.937455203468056,False,True,real_axis_fd
1.34,0.0,0,1.1952300310865427,4.9738723453358994e-14,True,True,real_axis_fd
1.34,0.0,1,3.698671205978376,-0.7981834761000688,False,True,real_axis_fd
1.34,0.0,2,3.6986712059784193,0.7981834761001209,False,True,real_axis_fd
1.34,0.0,3,5.805787054088805,2.1347344681852785,False,True,real_axis_fd
1.34,0.0,4,5.805787054089416,-2.134734468182179,False,True,real_axis_fd
1.34,0.0,5,7.618466488747264,-3.3690838404006103,False,True,real_axis_fd
1.34,0.0,6,7.618466488754626,3.3690838404048615,False,True,real_axis_fd
1.34,0.0,7,9.295660218182364,-4.536201066076615,False,True,real_axis_fd
