theta_case,phi_rad,state,probability
pi_over_2,-2.8797932657906435,11,0.06698729810778078
pi_over_2,-2.8797932657906435,02,0.46650635094610915
pi_over_2,-2.8623399732707004,20,0.46201202403910585
pi_over_2,-2.8623399732707004,11,0.07597595192178697
pi_over_2,-2.8623399732707004,02,0.46201202403910596
pi_over_2,-2.844886680750757,20,0.45725939313875996
pi_over_2,-2.844886680750757,11,0.08548121372247927
pi_over_2,-2.844886680750757,02,0.45725939313875996
pi_over_2,-2.827433388230814,20,0.4522542485937365
pi_over_2,-2.827433388230814,11,0.09549150281252627
pi_over_2,-2.827433388230814,02,0.4522542485937365
pi_over_2,-2.8099800957108707,20,0.4470026884016802
pi_over_2,-2.8099800957108707,11,0.1059946231966389
pi_over_2,-2.8099800957108707,02,0.4470026884016802
pi_over_2,-2.792526803190927,20,0.44151111077974403
pi_over_2,-2.792526803190927,11,0.11697777844051101
pi_over_2,-2.792526803190927,02,0.44151111077974403
pi_over_2,-2.775073510670984,20,0.4357862063693483
pi_over_2,-2.775073510670984,11,0.12842758726130277
pi_over_2,-2.775073510670984,02,0.4357862063693483
pi_over_2,-2.7576202181510405,20,0.4298349500846623
pi_over_2,-2.7576202181510405,11,0.1403300998306745
pi_over_2,-2.7576202181510405,02,0.4298349500846623
pi_over_2,-2.7401669256310974,20,0.423664592614749
pi_over_2,-2.7401669256310974,11,0.15267081477050132
pi_over_2,-2.7401669256310974,02,0.423664592614749
pi_over_2,-2.722713633111154,20,0.41728265158971406
pi_over_2,-2.722713633111154,11,0.165434696820571
pi_over_2,-2.722713633111154,02,0.41728265158971406
pi_over_2,-2.705260340591211,20,0.41069690242163437
pi_over_2,-2.705260340591211,11,0.17860619515673024
pi_over_2,-2.705260340591211,02,0.41069690242163437
pi_over_2,-2.6878070480712672,20,0.4039153688314141
pi_over_2,-2.6878070480712672,11,0.19216926233717105
pi_over_2,-2.6878070480712672,02,0.40391536883141427
pi_over_2,-2.670353755551324,20,0.3969463130731178
pi_over_2,-2.670353755551324,11,0.20610737385376354
pi_over_2,-2.670353755551324,02,0.39694631307311795
pi_over_2,-2.652900463031381,20,0.3897982258676865
pi_over_2,-2.652900463031381,11,0.22040354826462646
pi_over_2,-2.652900463031381,02,0.3897982258676865
pi_over_2,-2.6354471705114375,20,0.3824798160583008
pi_over_2,-2.6354471705114375,11,0.2350403678833976
