series_id,y_m,y_mm,R0
FIG001A_R0,-0.0011970000000000001,-1.197,1.1461070258913392e-09
FIG001A_R0,-0.001196,-1.196,1.1633104425537939e-09
FIG001A_R0,-0.001195,-1.195,1.180540252030573e-09
FIG001A_R0,-0.001194,-1.194,1.1977986459753833e-09
FIG001A_R0,-0.001193,-1.193,1.2150880611192904e-09
FIG001A_R0,-0.001192,-1.192,1.232411179458908e-09
FIG001A_R0,-0.001191,-1.191,1.2497709283078324e-09
FIG001A_R0,-0.00119,-1.1900000000000002,1.2671704802108621e-09
FIG001A_R0,-0.001189,-1.189,1.2846132527204661e-09
FIG001A_R0,-0.001188,-1.188,1.3021029080349779e-09
FIG001A_R0,-0.0011870000000000001,-1.187,1.3196433524981781e-09
FIG001A_R0,-0.001186,-1.186,1.3372387359599099e-09
FIG001A_R0,-0.001185,-1.185,1.3548934509973425e-09
FIG001A_R0,-0.0011840000000000002,-1.1840000000000002,1.3726121319969787e-09
FIG001A_R0,-0.001183,-1.183,1.3903996540967972e-09
FIG001A_R0,-0.001182,-1.1820000000000002,1.4082611319889141e-09
FIG001A_R0,-0.001181,-1.181,1.4262019185823663e-09
FIG001A_R0,-0.00118,-1.1800000000000002,1.4442276035263358e-09
FIG001A_R0,-0.001179,-1.1789999999999998,1.462344011593772e-09
FIG001A_R0,-0.001178,-1.178,1.480557200925578e-09
FIG001A_R0,-0.001177,-1.177,1.4988734611357375e-09
FIG001A_R0,-0.001176,-1.176,1.5172993112775306e-09
FIG001A_R0,-0.001175,-1.175,1.5358414976712715e-09
FIG001A_R0,-0.0011740000000000001,-1.1740000000000002,1.5545069915940896e-09
FIG001A_R0,-0.001173,-1.173,1.5733029868320761e-09
FIG001A_R0,-0.001172,-1.1720000000000002,1.5922368970954857e-09
FIG001A_R0,-0.0011710000000000002,-1.1710000000000003,1.6113163532976139e-09
FIG001A_R0,-0.00117,-1.17,1.630549200698033e-09
FIG001A_R0,-0.0011690000000000001,-1.169,1.6499434959109045e-09
FIG001A_R0,-0.001168,-1.168,1.6695075037793047e-09
FIG001A_R0,-0.001167,-1.167,1.6892496941162672e-09
FIG001A_R0,-0.001166,-1.166,1.7091787383137798e-09
FIG001A_R0,-0.001165,-1.165,1.7293035058204106e-09
FIG001A_R0,-0.001164,-1.1640000000000001,1.749633060489023e-09
FIG001A_R0,-0.001163,-1.163,1.7701766567953549e-09
FIG001A_R0,-0.001162,-1.1620000000000001,1.7909437359289853e-09
FIG001A_R0,-0.0011610000000000001,-1.161,1.811943921757792e-09
FIG001A_R0,-0.00116,-1.16,1.8331870166673254e-09
FIG001A_R0,-0.001159,-1.159,1.854682997276354e-09
FIG001A_R0,-0.0011580000000000002,-1.1580000000000001,1.876442010030315e-09
FIG001A_R0,-0.001157,-1.157,1.8984743666739314e-09
FIG001A_R0,-0.0011560000000000001,-1.1560000000000001,1.920790539604699e-09
FIG001A_R0,-0.001155,-1.155,1.943401157108955e-09
FIG001A_R0,-0.001154,-1.1540000000000001,1.966316998482114e-09
FIG001A_R0,-0.001153,-1.153,1.989548989034868e-09
FIG001A_R0,-0.001152,-1.1520000000000001,2.0131081949873373e-09
FIG001A_R0,-0.0011510000000000001,-1.151,2.0370058182528206e-09
FIG001A_R0,-0.00115,-1.15,2.061253191113242e-09
FIG001A_R0,-0.001149,-1.149,2.0858617707882774e-09
FIG001A_R0,-0.0011480000000000001,-1.1480000000000001,2.1108431339002408e-09
FIG001A_R0,-0.001147,-1.147,2.136208970836774e-09
FIG001A_R0,-0.001146,-1.1460000000000001,2.1619710800135455e-09
FIG001A_R0,-0.001145,-1.145,2.1881413620393217e-09
FIG001A_R0,-0.001144,-1.1440000000000001,2.214731813785385e-09
FIG001A_R0,-0.001143,-1.143,2.2417545223620448e-09
FIG001A_R0,-0.001142,-1.142,2.269221659004191e-09
FIG001A_R0,-0.001141,-1.141,2.2971454728687765e-09
FIG001A_R0,-0.00114,-1.14,2.3255382847462796e-09
FIG001A_R0,-0.001139,-1.139,2.3544124806890516e-09
FIG001A_R0,-0.0011380000000000001,-1.1380000000000001,2.3837805055589544e-09
FIG001A_R0,-0.001137,-1.137,2.4136548564969252e-09
FIG001A_R0,-0.001136,-1.1360000000000001,2.444048076317185e-09
FIG001A_R0,-0.0011350000000000002,-1.1350000000000002,2.474972746828965e-09
