y_m,y_mm,gt,gf,gt_finite_difference,gf_finite_difference
-0.001472,-1.472,1.366380035719331e-09,-1.8765368236280164e-09,1.36638003854245e-09,-1.8765368240072518e-09
-0.001471,-1.471,1.4841491372881899e-09,-1.905670833368537e-09,1.4841491412367616e-09,-1.9056708328343835e-09
-0.00147,-1.47,1.6014501879025478e-09,-1.934827206836253e-09,1.6014501912260855e-09,-1.9348272069709173e-09
-0.001469,-1.469,1.71824422917763e-09,-1.9640004496957113e-09,1.7182442311987027e-09,-1.9640004493880927e-09
-0.0014680000000000001,-1.4680000000000002,1.8344925187763912e-09,-1.9931849890617138e-09,1.8344925209778048e-09,-1.993184989024484e-09
-0.001467,-1.467,1.9501565455561822e-09,-2.022375174003871e-09,1.950156549102023e-09,-2.0223751733413754e-09
-0.001466,-1.466,2.065198044624963e-09,-2.051565276081675e-09,2.065198046887498e-09,-2.051565275767386e-09
-0.001465,-1.4649999999999999,2.1795790123010833e-09,-2.0807494899102624e-09,2.1795790148976603e-09,-2.0807494886674355e-09
-0.001464,-1.464,2.2932617209693682e-09,-2.109921933757095e-09,2.2932617233568195e-09,-2.1099219336825004e-09
-0.001463,-1.463,2.4062087338281133e-09,-2.1390766501693567e-09,2.406208735724813e-09,-2.139076648081135e-09
-0.001462,-1.462,2.518382919520007e-09,-2.1682076066326766e-09,2.518382921518304e-09,-2.1682076058525774e-09
-0.001461,-1.461,2.6297474666406554e-09,-2.1973086962605192e-09,2.629747469545673e-09,-2.19730869371851e-09
-0.00146,-1.46,2.740265898119392e-09,-2.2263737385152048e-09,2.7402659007283164e-09,-2.2263737384300217e-09
-0.001459,-1.459,2.849902085464762e-09,-2.25539647995979e-09,2.8499020879529805e-09,-2.255396477816285e-09
-0.001458,-1.4580000000000002,2.9586202628697433e-09,-2.284370595041444e-09,2.9586202635163884e-09,-2.2843705946989616e-09
-0.001457,-1.4569999999999999,3.066385041170231e-09,-2.313289686906024e-09,3.066385044767838e-09,-2.313289684218569e-09
-0.001456,-1.456,3.1731614216501136e-09,-2.342147288243984e-09,3.1731614233558547e-09,-2.3421472873352934e-09
-0.0014550000000000001,-1.455,3.2789148096882827e-09,-2.3709368621678164e-09,3.278914811550305e-09,-2.37093686105049e-09
-0.001454,-1.454,3.3836110282403076e-09,-2.3996518031205478e-09,3.383611030661869e-09,-2.399651800740558e-09
-0.001453,-1.453,3.4872163311497123e-09,-2.428285437815815e-09,3.4872163329623247e-09,-2.4282854356074472e-09
-0.001452,-1.452,3.5896974162829558e-09,-2.4568310262092007e-09,3.589697417400982e-09,-2.4568310245427557e-09
-0.001451,-1.451,3.691021438482112e-09,-2.485281762500781e-09,3.69102144077162e-09,-2.4852817606772226e-09
-0.0014500000000000001,-1.4500000000000002,3.791156022329822e-09,-2.513630776169037e-09,3.7911560259842915e-09,-2.5136307738622705e-09
-0.001449,-1.449,3.890069274720956e-09,-2.541871133035873e-09,3.890069276540987e-09,-2.5418711323243663e-09
-0.001448,-1.4480000000000002,3.987729797235073e-09,-2.5699958363626835e-09,3.987729798869508e-09,-2.5699958339796245e-09
-0.001447,-1.4469999999999998,4.084106698305106e-09,-2.5979978279776662e-09,4.084106699841927e-09,-2.5979978271133233e-09
-0.001446,-1.446,4.179169605175773e-09,-2.6258699894338175e-09,4.179169607040513e-09,-2.6258699884596176e-09
-0.001445,-1.445,4.272888675647447e-09,-2.653605143197917e-09,4.272888679097487e-09,-2.653605141813103e-09
-0.001444,-1.444,4.365234609599771e-09,-2.681196053870183e-09,4.365234611898879e-09,-2.6811960522385524e-09
-0.001443,-1.443,4.4561786602898425e-09,-2.7086354294343842e-09,4.456178662159173e-09,-2.7086354281388655e-09
-0.0014420000000000001,-1.4420000000000002,4.545692645420494e-09,-2.735915922538649e-09,4.545692646594129e-09,-2.7359159220822516e-09
-0.001441,-1.441,4.633748957973089e-09,-2.7630301318061953e-09,4.633748960532344e-09,-2.7630301299750478e-09
-0.00144,-1.4400000000000002,4.720320576800412e-09,-2.7899706031764937e-09,4.7203205795696165e-09,-2.789970601815067e-09
-0.001439,-1.439,4.8053810769748624e-09,-2.816729831276079e-09,4.805381079421278e-09,-2.8167298301110696e-09
-0.001438,-1.438,4.888904639887266e-09,-2.84330026081922e-09,4.88890464253964e-09,-2.8433002589817504e-09
-0.0014370000000000001,-1.437,4.970866063091697e-09,-2.8696742880381124e-09,4.970866065145028e-09,-2.8696742858100994e-09
-0.001436,-1.436,5.05124076989205e-09,-2.895844262142244e-09,5.0512407712878536e-09,-2.8958442608298116e-09
-0.001435,-1.435,5.130004818665875e-09,-2.9218024868069585e-09,5.130004820293237e-09,-2.9218024858845164e-09
-0.001434,-1.434,5.207134911921453e-09,-2.9475412216906616e-09,5.207134913378455e-09,-2.9475412202180415e-09
-0.001433,-1.433,5.28260840508366e-09,-2.973052683980799e-09,5.28260840688783e-09,-2.973052681715184e-09
-0.0014320000000000001,-1.4320000000000002,5.356403315005096e-09,-2.9983290499678277e-09,5.356403316842221e-09,-2.9983290485560715e-09
-0.001431,-1.431,5.428498328198045e-09,-3.023362456647379e-09,5.428498330519556e-09,-3.0233624538394884e-09
-0.00143,-1.4300000000000002,5.498872808783992e-09,-3.048145003350092e-09,5.4988728114179124e-09,-3.048145000885717e-09
-0.0014290000000000001,-1.429,5.567506806156813e-09,-3.072668753398728e-09,5.567506809181687e-09,-3.0726687508288283e-09
-0.001428,-1.428,5.634381062355824e-09,-3.0969257357924247e-09,5.634381063323907e-09,-3.096925734610801e-09
-0.001427,-1.427,5.69947701914607e-09,-3.120907946917665e-09,5.699477021010613e-09,-3.1209079455368956e-09
-0.001426,-1.426,5.7627768248013745e-09,-3.144607352285563e-09,5.762776826721102e-09,-3.1446073500290034e-09
-0.001425,-1.425,5.8242633405882035e-09,-3.168015888295192e-09,5.824263342100263e-09,-3.1680158855576936e-09
-0.0014240000000000001,-1.4240000000000002,5.8839201469464794e-09,-3.191125464022606e-09,5.883920148853708e-09,-3.1911254618829852e-09
-0.001423,-1.423,5.9417315493645516e-09,-3.2139279630349963e-09,5.941731549988543e-09,-3.213927958986395e-09
-0.001422,-1.4220000000000002,5.9976825839459e-09,-3.236415245229836e-09,5.997682585943389e-09,-3.2364152423737794e-09
-0.001421,-1.421,6.051759022664349e-09,-3.2585791486983104e-09,6.0517590234214465e-09,-3.258579147358902e-09
-0.00142,-1.42,6.10394737830576e-09,-3.280411491612913e-09,6.10394737855155e-09,-3.2804114894031917e-09
-0.0014190000000000001,-1.419,6.154234909093503e-09,-3.3019040741385427e-09,6.154234910684315e-09,-3.301904071973959e-09
-0.001418,-1.418,6.202609622995441e-09,-3.3230486803667875e-09,6.202609624873679e-09,-3.3230486786861794e-09
-0.001417,-1.417,6.24906028171036e-09,-3.343837080272784e-09,6.249060282630249e-09,-3.3438370795063483e-09
-0.001416,-1.416,6.293576404331956e-09,-3.364261031694476e-09,6.293576405643616e-09,-3.3642610307524808e-09
-0.001415,-1.415,6.3361482706882335e-09,-3.3843122823333807e-09,6.33614827288722e-09,-3.3843122808843765e-09
-0.0014140000000000001,-1.4140000000000001,6.37676692435482e-09,-3.403982571776737e-09,6.376766925581439e-09,-3.4039825696764385e-09
-0.001413,-1.413,6.415424175340487e-09,-3.423263633540345e-09,6.415424175465387e-09,-3.4232636311128055e-09
-0.001412,-1.4120000000000001,6.452112602443396e-09,-3.4421471971315524e-09,6.452112603142562e-09,-3.4421471954553035e-09
-0.001411,-1.411,6.48682555527696e-09,-3.4606249901320003e-09,6.486825556840066e-09,-3.4606249888298555e-09
-0.00141,-1.41,6.519557155963853e-09,-3.478688740299483e-09,6.519557157371696e-09,-3.4786887390167456e-09
-0.001409,-1.409,6.5503023004974204e-09,-3.496330177688345e-09,6.550302301860254e-09,-3.496330175450619e-09
-0.001408,-1.408,6.5790566597693666e-09,-3.5135410367880146e-09,6.579056661256004e-09,-3.513541035010747e-09
-0.001407,-1.407,6.605816680263073e-09,-3.530313058678836e-09,6.6058166811638526e-09,-3.5303130572647374e-09
-0.0014060000000000001,-1.4060000000000001,6.630579584412128e-09,-3.5466379932049493e-09,6.63057958535887e-09,-3.5466379910859798e-09
-0.001405,-1.405,6.65334337062322e-09,-3.5625076011633174e-09,6.653343372270769e-09,-3.5625075996167296e-09
-0.001404,-1.4040000000000001,6.674106812963377e-09,-3.5779136565084424e-09,6.67410681436352e-09,-3.5779136548914337e-09
-0.001403,-1.403,6.692869460511472e-09,-3.592847948572241e-09,6.69286946206446e-09,-3.5928479469357175e-09
-0.001402,-1.4020000000000001,6.709631636373483e-09,-3.6073022842981855e-09,6.709631637353644e-09,-3.6073022825256136e-09
-0.0014010000000000001,-1.401,6.724394436362278e-09,-3.621268490489396e-09,6.724394437279357e-09,-3.6212684889098747e-09
-0.0014,-1.4,6.737159727341724e-09,-3.6347384160697996e-09,6.737159728167858e-09,-3.6347384144303595e-09
-0.001399,-1.399,6.747930145235739e-09,-3.6477039343578162e-09,6.747930145623373e-09,-3.6477039324511397e-09
-0.001398,-1.398,6.756709092702764e-09,-3.6601569453519247e-09,6.7567090937009175e-09,-3.6601569436332477e-09
-0.001397,-1.397,6.763500736476515e-09,-3.672089378027293e-09,6.763500737254876e-09,-3.6720893771754466e-09
-0.001396,-1.3960000000000001,6.768310004373586e-09,-3.6834931926430025e-09,6.76831000586811e-09,-3.6834931914346166e-09
-0.001395,-1.395,6.771142581969343e-09,-3.694360383058988e-09,6.771142582891811e-09,-3.694360380956789e-09
-0.001394,-1.3940000000000001,6.7720049089427465e-09,-3.7046829790621452e-09,6.772004909581411e-09,-3.704682977924714e-09
-0.0013930000000000001,-1.3930000000000002,6.7709041750917215e-09,-3.7144530487007374e-09,6.770904175790793e-09,-3.714453047194775e-09
-0.001392,-1.392,6.767848316020603e-09,-3.7236627006265603e-09,6.767848316663574e-09,-3.723662698704699e-09
-0.001391,-1.391,6.762846008500866e-09,-3.73230408644404e-09,6.76284600973797e-09,-3.732304085819195e-09
-0.00139,-1.39,6.755906665507192e-09,-3.7403694030654985e-09,6.75590666584781e-09,-3.7403694022280286e-09
-0.001389,-1.389,6.747040430930773e-09,-3.74785089507202e-09,6.7470404311904866e-09,-3.747850893319751e-09
-0.0013880000000000001,-1.3880000000000001,6.736258173971313e-09,-3.754740857078863e-09,6.7362581747124545e-09,-3.754740855561318e-09
-0.001387,-1.387,6.723571483210826e-09,-3.761031636105083e-09,6.72357148459371e-09,-3.761031635050521e-09
-0.001386,-1.3860000000000001,6.708992660370747e-09,-3.7667156339462154e-09,6.708992661216757e-09,-3.7667156326858684e-09
-0.001385,-1.385,6.692534713755031e-09,-3.771785309549471e-09,6.6925347146850645e-09,-3.7717853085092814e-09
-0.001384,-1.3840000000000001,6.674211351382129e-09,-3.7762331813906755e-09,6.674211351174588e-09,-3.7762331808789146e-09
-0.0013830000000000001,-1.383,6.654036973807968e-09,-3.780051829852042e-09,6.654036974174538e-09,-3.780051828537107e-09
-0.001382,-1.382,6.6320266666433624e-09,-3.783233899600065e-09,6.632026667116589e-09,-3.783233899088985e-09
-0.001381,-1.381,6.6081961927686514e-09,-3.785772101962811e-09,6.608196193788471e-09,-3.785772100317062e-09
-0.0013800000000000002,-1.3800000000000001,6.582561984248564e-09,-3.787659217305763e-09,6.582561985099075e-09,-3.787659215897675e-09
-0.001379,-1.379,6.555141133950787e-09,-3.788888097405291e-09,6.555141135149351e-09,-3.7888880958884036e-09
-0.001378,-1.3780000000000001,6.525951386871551e-09,-3.789451667819181e-09,6.525951388411004e-09,-3.7894516668610355e-09
-0.001377,-1.377,6.495011131171789e-09,-3.7893429302532534e-09,6.4950111320750745e-09,-3.7893429287996365e-09
-0.001376,-1.3760000000000001,6.462339388927665e-09,-3.788554964923257e-09,6.462339389641291e-09,-3.788554963785949e-09
-0.001375,-1.375,6.427955806598972e-09,-3.787080932911346e-09,6.427955807683177e-09,-3.787080931243102e-09
-0.001374,-1.374,6.391880645219701e-09,-3.78491407851611e-09,6.39188064612868e-09,-3.784914076827804e-09
-0.001373,-1.373,6.354134770314652e-09,-3.782047731595621e-09,6.354134771435933e-09,-3.782047730569185e-09
-0.001372,-1.3719999999999999,6.314739641546177e-09,-3.778475309902286e-09,6.314739642324387e-09,-3.7784753091435454e-09
-0.001371,-1.371,6.273717302095805e-09,-3.774190321409143e-09,6.273717302743776e-09,-3.774190320010257e-09
-0.0013700000000000001,-1.37,6.231090367784591e-09,-3.769186366626337e-09,6.2310903686392275e-09,-3.769186365547668e-09
-0.001369,-1.369,6.186882015937097e-09,-3.763457140907165e-09,6.1868820161639395e-09,-3.763457139537583e-09
-0.001368,-1.368,6.1411159739939055e-09,-3.756996436742865e-09,6.141115974441349e-09,-3.756996435643865e-09
-0.001367,-1.367,6.093816507876791e-09,-3.7497981460451674e-09,6.09381650819434e-09,-3.749798145241089e-09
-0.001366,-1.366,6.045008410112235e-09,-3.741856262415931e-09,6.045008409990424e-09,-3.741856261757237e-09
-0.0013650000000000001,-1.3650000000000002,5.994716987717825e-09,-3.733164883402929e-09,5.994716988661214e-09,-3.733164882534855e-09
-0.001364,-1.3639999999999999,5.942968049856677e-09,-3.723718212740909e-09,5.94296805017387e-09,-3.723718212036378e-09
-0.001363,-1.363,5.889787895265638e-09,-3.713510562577267e-09,5.8897878962869305e-09,-3.71351056194753e-09
-0.001362,-1.3619999999999999,5.835203299461757e-09,-3.702536355681141e-09,5.835203300148488e-09,-3.7025363550030303e-09
-0.001361,-1.361,5.77924150173355e-09,-3.6907901276355784e-09,5.77924150267727e-09,-3.6907901267443546e-09
-0.00136,-1.36,5.721930191921646e-09,-3.6782665290114385e-09,5.721930192503511e-09,-3.6782665285182648e-09
-0.001359,-1.359,5.663297496995192e-09,-3.6649603275225173e-09,5.6632974979039406e-09,-3.6649603271666154e-09
-0.001358,-1.358,5.603371967429438e-09,-3.6508664101609443e-09,5.603371968086823e-09,-3.6508664097826427e-09
-0.0013570000000000001,-1.3570000000000002,5.542182563390474e-09,-3.635979785311993e-09,5.54218256450656e-09,-3.635979784848338e-09
-0.001356,-1.356,5.4797586407330345e-09,-3.620295584847487e-09,5.4797586411147535e-09,-3.620295584199001e-09
-0.001355,-1.355,5.416129936817544e-09,-3.603809066196977e-09,5.416129937535968e-09,-3.603809065401385e-09
-0.001354,-1.3539999999999999,5.351326556152515e-09,-3.586515614395946e-09,5.351326556940644e-09,-3.5865156140284426e-09
-0.001353,-1.353,5.28537895586831e-09,-3.568410744109919e-09,5.285378956635926e-09,-3.5684107434525316e-09
-0.0013520000000000001,-1.352,5.2183179310290324e-09,-3.5494901016340733e-09,5.218317931728836e-09,-3.549490100945871e-09
-0.001351,-1.351,5.150174599788465e-09,-3.529749466867132e-09,5.150174600443828e-09,-3.5297494656125902e-09
-0.00135,-1.35,5.080980388397009e-09,-3.5091847552589967e-09,5.080980388923335e-09,-3.509184754385788e-09
-0.001349,-1.349,5.0107670160656776e-09,-3.487792019731161e-09,5.0107670171657045e-09,-3.487792019339196e-09
-0.001348,-1.348,4.9395664796944024e-09,-3.4655674525691556e-09,4.939566480310235e-09,-3.465567451512888e-09
-0.001347,-1.3470000000000002,4.8674110384705905e-09,-3.4425073872861607e-09,4.867411039434792e-09,-3.442507386083161e-09
-0.001346,-1.346,4.7943331983454544e-09,-3.4186083004570503e-09,4.794333199221931e-09,-3.418608299674195e-09
-0.001345,-1.345,4.720365696394611e-09,-3.3938668135220412e-09,4.720365696998755e-09,-3.3938668127362e-09
-0.0013440000000000001,-1.344,4.645541485069572e-09,-3.3682796945591262e-09,4.6455414855729164e-09,-3.3682796936813184e-09
-0.001343,-1.343,4.569893716347824e-09,-3.341843860024602e-09,4.5698937166890055e-09,-3.3418438589870213e-09
-0.001342,-1.342,4.493455725787838e-09,-3.314556376460824e-09,4.493455726139298e-09,-3.314556374953869e-09
-0.001341,-1.341,4.416261016496188e-09,-3.286414462170289e-09,4.416261016341266e-09,-3.286414460962533e-09
-0.00134,-1.34,4.338343243014615e-09,-3.257415488855801e-09,4.338343242740792e-09,-3.257415488077931e-09
-0.0013390000000000001,-1.3390000000000002,4.259736195132924e-09,-3.2275569832251207e-09,4.2597361949421165e-09,-3.2275569822028504e-09
-0.001338,-1.338,4.180473781636389e-09,-3.196836628560294e-09,4.180473781249897e-09,-3.1968366279036604e-09
-0.001337,-1.3370000000000002,4.10059001399367e-09,-3.165252266250056e-09,4.10059001372826e-09,-3.1652522654634805e-09
-0.001336,-1.3359999999999999,4.020118989993414e-09,-3.132801897285203e-09,4.020118989589234e-09,-3.132801896362252e-09
-0.001335,-1.335,3.939094877336448e-09,-3.0994836837159108e-09,3.939094876768793e-09,-3.099483682966545e-09
-0.0013340000000000001,-1.334,3.85755189719109e-09,-3.065295950070299e-09,3.857551896349263e-09,-3.0652959494601378e-09
-0.001333,-1.333,3.77552430771889e-09,-3.0302371847336266e-09,3.775524307049689e-09,-3.030237184273858e-09
-0.001332,-1.332,3.693046387578389e-09,-2.9943060412873713e-09,3.6930463870278594e-09,-2.9943060406542712e-09
-0.0013310000000000002,-1.3310000000000002,3.610152419414157e-09,-2.9575013398074646e-09,3.610152418784262e-09,-2.9575013395588116e-09
-0.00133,-1.33,3.526876673338704e-09,-2.919822068121066e-09,3.526876672876964e-09,-2.91982206763953e-09
-0.001329,-1.3290000000000002,3.4432533904148866e-09,-2.881267383021237e-09,3.443253389620241e-09,-2.88126738251637e-09
-0.001328,-1.328,3.3593167661458733e-09,-2.8418366114387295e-09,3.3593167655394958e-09,-2.8418366110711085e-09
-0.001327,-1.327,3.2751009339807875e-09,-2.801529251570352e-09,3.275100933518922e-09,-2.801529251050017e-09
-0.001326,-1.3259999999999998,3.1906399488429688e-09,-2.760344973963251e-09,3.19063994853264e-09,-2.760344973390308e-09
-0.001325,-1.325,3.105967770688895e-09,-2.718283622554483e-09,3.1059677704031496e-09,-2.7182836219874907e-09
-0.001324,-1.324,3.02111824810497e-09,-2.6753452156652746e-09,3.0211182477230082e-09,-2.6753452150136888e-09
-0.001323,-1.323,2.9361251019496494e-09,-2.6315299469493073e-09,2.9361251016989586e-09,-2.631529946365208e-09
-0.001322,-1.322,2.851021909048895e-09,-2.586838186294567e-09,2.8510219087294377e-09,-2.5868381856625347e-09
-0.0013210000000000001,-1.3210000000000002,2.7658420859518286e-09,-2.541270480678067e-09,2.7658420855411748e-09,-2.5412704800339458e-09
-0.00132,-1.32,2.6806188727545076e-09,-2.4948275549728616e-09,2.680618872516332e-09,-2.494827554374001e-09
-0.001319,-1.3190000000000002,2.5953853169994e-09,-2.447510312707051e-09,2.595385316683604e-09,-2.4475103120931763e-09
-0.0013180000000000002,-1.318,2.5101742576575264e-09,-2.3993198367738778e-09,2.5101742573459536e-09,-2.3993198362552368e-09
-0.001317,-1.317,2.4250183092011384e-09,-2.350257390092593e-09,2.4250183089166143e-09,-2.3502573896289357e-09
-0.0013160000000000001,-1.316,2.3399498457744127e-09,-2.300324416219732e-09,2.3399498453319066e-09,-2.300324415696141e-09
-0.001315,-1.315,2.2550009854690097e-09,-2.2495225399099193e-09,2.2550009852136846e-09,-2.2495225394014666e-09
-0.001314,-1.314,2.170203574712629e-09,-2.1978535676261424e-09,2.1702035744985438e-09,-2.1978535671264252e-09
-0.001313,-1.313,2.0855891727769874e-09,-2.145319487998633e-09,2.085589172388675e-09,-2.1453194874907573e-09
-0.001312,-1.312,2.001189036413578e-09,-2.0919224722324045e-09,2.0011890362428936e-09,-2.0919224719081944e-09
-0.001311,-1.3110000000000002,1.917034104623234e-09,-2.0376648744623807e-09,1.9170341043867927e-09,-2.037664874017772e-09
-0.00131,-1.31,1.8331549835677974e-09,-1.9825492320562883e-09,1.8331549833560668e-09,-1.9825492316871573e-09
-0.001309,-1.309,1.749581931630362e-09,-1.926578265864624e-09,1.7495819314562972e-09,-1.9265782655004606e-09
-0.0013080000000000001,-1.308,1.6663448446314582e-09,-1.869754880417285e-09,1.6663448444294628e-09,-1.8697548801541016e-09
-0.001307,-1.307,1.5834732412079309e-09,-1.8120821640665395e-09,1.5834732410816773e-09,-1.8120821636942526e-09
-0.001306,-1.306,1.5009962483621645e-09,-1.7535633890761682e-09,1.5009962481612934e-09,-1.7535633888480826e-09
-0.001305,-1.305,1.4189425871875926e-09,-1.6942020116560626e-09,1.4189425869559921e-09,-1.694202011485718e-09
-0.001304,-1.304,1.3373405587783484e-09,-1.6340016719424127e-09,1.3373405585715524e-09,-1.6340016717511535e-09
-0.0013030000000000001,-1.3030000000000002,1.2562180303291039e-09,-1.5729661939227835e-09,1.2562180301928987e-09,-1.5729661937779092e-09
-0.001302,-1.302,1.1756024214321098e-09,-1.5110995853059665e-09,1.175602421319298e-09,-1.5110995851526554e-09
-0.001301,-1.3010000000000002,1.0955206905783044e-09,-1.448406037336525e-09,1.095520690438998e-09,-1.448406037206018e-09
-0.0013,-1.3,1.0159993218683906e-09,-1.3848899245532573e-09,1.0159993217167878e-09,-1.3848899244438928e-09
-0.001299,-1.299,9.37064311941355e-10,-1.3205558044921327e-09,9.370643118172708e-10,-1.3205558044634336e-09
-0.0012980000000000001,-1.298,8.587411571257434e-10,-1.2554084173326503e-09,8.587411570124781e-10,-1.2554084172745068e-09
-0.001297,-1.297,7.810548408208582e-10,-1.189452685487984e-09,7.810548407806223e-10,-1.1894526854353999e-09
-0.001296,-1.296,7.040298211138233e-10,-1.1226937131386617e-09,7.040298210849643e-10,-1.1226937131351685e-09
-0.0012950000000000001,-1.2950000000000002,6.276900186384054e-10,-1.055136785709359e-09,6.276900185864896e-10,-1.0551367857024978e-09
-0.001294,-1.294,5.520588046819965e-10,-9.867873692889445e-10,5.520588046497891e-10,-9.867873693569017e-10
-0.001293,-1.2930000000000001,4.771589895466476e-10,-9.176511099935983e-10,4.77158989558967e-10,-9.176511100971995e-10
-0.001292,-1.292,4.030128111697166e-10,-8.477338332727234e-10,4.0301281121176184e-10,-8.477338333816291e-10
-0.001291,-1.2910000000000001,3.29641924010308e-10,-7.770415431579294e-10,3.2964192406893037e-10,-7.770415433394409e-10
-0.0012900000000000001,-1.29,2.570673882065744e-10,-7.055804214544508e-10,2.570673882845775e-10,-7.055804216464488e-10
-0.001289,-1.289,1.8530965901015265e-10,-6.3335682687583e-10,1.8530965908851768e-10,-6.333568270791284e-10
-0.001288,-1.288,1.1438857650244042e-10,-5.603772941208804e-10,1.1438857659838221e-10,-5.60377294403093e-10
-0.001287,-1.287,4.4323355598250145e-11,-4.866485328934187e-10,4.432335568019461e-11,-4.866485331097043e-10
-0.001286,-1.286,-2.4867423657532056e-11,-4.1217742686515975e-10,-2.4867423522201246e-11,-4.1217742711880466e-10
-0.0012850000000000001,-1.2850000000000001,-9.316582549605613e-11,-3.36971032580832e-10,-9.316582533559391e-11,-3.3697103284970583e-10
-0.001284,-1.284,-1.6055456752772963e-10,-2.6103657830644057e-10,-1.6055456736881655e-10,-2.610365785943412e-10
-0.001283,-1.2830000000000001,-2.2701702953794602e-10,-1.84381462820547e-10,-2.2701702935970214e-10,-1.8438146317955967e-10
-0.0012820000000000002,-1.2820000000000003,-2.9253726197097675e-10,-1.0701325414815994e-10,-2.9253726172153935e-10,-1.070132545066349e-10
-0.001281,-1.281,-3.570999940968343e-10,-2.8939688238146575e-11,-3.570999938924269e-10,-2.8939688572219437e-11
-0.00128,-1.28,-4.2069064185709645e-10,4.983133241620259e-11,-4.2069064160864676e-10,4.983133201476418e-11
-0.001279,-1.279,-4.832953153854558e-10,1.2929174021333417e-10,-4.832953151118469e-10,1.2929173977472643e-10
-0.001278,-1.278,-5.449008261984445e-10,2.0943330393575336e-10,-5.449008258828084e-10,2.0943330343985414e-10
-0.001277,-1.277,-6.054946940527173e-10,2.9024763029875995e-10,-6.054946937791094e-10,2.902476298895839e-10
-0.001276,-1.276,-6.650651534647245e-10,3.717261655549696e-10,-6.650651531582004e-10,3.7172616506502435e-10
-0.001275,-1.2750000000000001,-7.236011598891643e-10,4.538601971546896e-10,-7.236011595756283e-10,4.5386019670252967e-10
-0.001274,-1.274,-7.810923955526943e-10,5.366408554618367e-10,-7.810923950777002e-10,5.366408549605473e-10
-0.001273,-1.2730000000000001,-8.375292749390638e-10,6.20059115524702e-10,-8.375292744861172e-10,6.200591150077886e-10
