target_id,boundary,realization,level,W,real_energy,imag_energy
T002,PBC,1,44,0.8,-2.3345511446184473,-0.7928643973762822
T002,PBC,1,45,0.8,0.005014204158559146,0.061986207722399454
T002,PBC,1,46,0.8,0.0050142041585588375,-0.06198620772240059
T002,PBC,1,47,0.8,-2.255513785583587,0.7771562258874274
T002,PBC,1,48,0.8,-2.25551378558359,-0.7771562258874256
T002,PBC,1,49,0.8,-2.188348250815357,0.7572048491506772
T002,PBC,1,50,0.8,-2.2017807988367615,0.7625396140241326
T002,PBC,1,51,0.8,-2.2137714326652573,0.7697836565130851
T002,PBC,1,52,0.8,-2.1883482508153667,-0.7572048491506777
T002,PBC,1,53,0.8,-2.2017807988367664,-0.7625396140241321
T002,PBC,1,54,0.8,-2.213771432665262,-0.7697836565130811
T002,PBC,1,55,0.8,-2.0773019127026116,0.7798075522890096
T002,PBC,1,56,0.8,-2.0837338128576217,0.764841815630582
T002,PBC,1,57,0.8,-2.077301912702612,-0.7798075522890059
T002,PBC,1,58,0.8,-2.0837338128576253,-0.7648418156305841
T002,PBC,1,59,0.8,-0.2206600442550388,0.10964509162727651
T002,PBC,1,60,0.8,-0.2206600442550403,-0.10964509162727852
T002,PBC,1,61,0.8,-2.0561116977333964,0.7301347916374614
T002,PBC,1,62,0.8,-2.056111697733391,-0.7301347916374609
T002,PBC,1,63,0.8,-1.9778490823818806,0.7337069774626939
T002,PBC,1,64,0.8,-1.9745995410636017,0.7094021486009149
T002,PBC,1,65,0.8,-1.9778490823818893,-0.7337069774626964
T002,PBC,1,66,0.8,-1.9745995410636086,-0.70940214860092
T002,PBC,1,67,0.8,-1.892662102907395,-0.760129416029133
T002,PBC,1,68,0.8,-1.892662102907393,0.7601294160291366
T002,PBC,1,69,0.8,-1.8517108486218075,0.7590284402926665
T002,PBC,1,70,0.8,-1.8517108486218068,-0.7590284402926677
T002,PBC,1,71,0.8,-1.9170547193120981,0.6460742103298326
T002,PBC,1,72,0.8,-1.9170547193120961,-0.6460742103298321
T002,PBC,1,73,0.8,-0.4261949774030164,0.15459046253619846
T002,PBC,1,74,0.8,-0.4261949774030179,-0.15459046253620082
T002,PBC,1,75,0.8,-1.7866110475612316,-0.7072673714769513
T002,PBC,1,76,0.8,-1.786611047561236,0.7072673714769475
T002,PBC,1,77,0.8,-1.8122980353252105,0.5952465181278475
T002,PBC,1,78,0.8,-1.8122980353252078,-0.5952465181278493
T002,PBC,1,79,0.8,-1.6797697070861832,-0.6945637947213487
T002,PBC,1,80,0.8,-1.6797697070861763,0.6945637947213442
T002,PBC,1,81,0.8,-1.6088354470671684,-0.6737021075654961
T002,PBC,1,82,0.8,-1.608835447067168,0.673702107565501
T002,PBC,1,83,0.8,-1.7103444829261008,-0.5240852722437036
T002,PBC,1,84,0.8,-1.7103444829260999,0.5240852722437022
T002,PBC,1,85,0.8,-1.5362020972979886,-0.6315775526352694
T002,PBC,1,86,0.8,-0.6187842285923109,0.19017451585642042
T002,PBC,1,87,0.8,-0.61878422859231,-0.1901745158564177
T002,PBC,1,88,0.8,-1.5362020972979922,0.6315775526352716
T002,PBC,1,89,0.8,-1.4550409280280951,-0.6026260609258787
T002,PBC,1,90,0.8,-1.4550409280280938,0.6026260609258793
T002,PBC,1,91,0.8,-1.581374961953235,0.46664255869842447
T002,PBC,1,92,0.8,-1.5813749619532362,-0.46664255869842913
T002,PBC,1,93,0.8,-1.4023751502837931,0.5612486918896942
T002,PBC,1,94,0.8,-1.4023751502837916,-0.5612486918896928
T002,PBC,1,95,0.8,-0.7962319053202127,0.21253271363294754
T002,PBC,1,96,0.8,-0.7962319053202126,-0.21253271363294782
T002,PBC,1,97,0.8,-1.3252225885034379,0.46690541926328
T002,PBC,1,98,0.8,-1.4312927891818654,0.37054759024070644
T002,PBC,1,99,0.8,-1.3252225885034379,-0.46690541926328194
T002,PBC,1,100,0.8,-1.4312927891818576,-0.37054759024070905
T002,PBC,1,101,0.8,-1.2648599100740467,0.43649750858616854
T002,PBC,1,102,0.8,-1.2648599100740539,-0.43649750858617115
T002,PBC,1,103,0.8,-0.9708353441516602,0.19131593486774887
T002,PBC,1,104,0.8,-0.9708353441516566,-0.19131593486774848
T002,PBC,1,105,0.8,-1.1640350075636547,0.3438934071923609
T002,PBC,1,106,0.8,-1.1114822081031075,0.3047395355138549
T002,PBC,1,107,0.8,-1.164035007563654,-0.34389340719236133
T002,PBC,1,108,0.8,-1.1114822081031053,-0.30473953551385374
T002,PBC,1,109,0.8,-1.2773521450629466,-0.34235549557796213
T002,PBC,1,110,0.8,-1.2773521450629444,0.34235549557795936
T002,PBC,1,111,0.8,-1.0279348569787394,-0.09716263136460129
T002,PBC,1,112,0.8,-1.0279348569787394,0.0971626313646004
T002,PBC,1,113,0.8,-1.0421131901989635,-0.05878233710861172
T002,PBC,1,114,0.8,-1.0421131901989624,0.05878233710861254
T002,PBC,1,115,0.8,-1.236528594449544,-0.261780520329688
T002,PBC,1,116,0.8,-1.2365285944495459,0.2617805203296867
T002,PBC,1,117,0.8,-1.2750821208626433,0.1914168830615283
T002,PBC,1,118,0.8,-1.2750821208626417,-0.19141688306152527
T002,PBC,1,119,0.8,-1.1570138613040655,-9.783173521708598e-16
T002,PBC,2,0,0.8,4.238227599295409,3.8027130183764746e-16
T002,PBC,2,1,0.8,4.144084406027078,-1.4290109616079633e-15
T002,PBC,2,2,0.8,4.0872412275720444,-8.924970725661992e-17
T002,PBC,2,3,0.8,3.9902376937919968,-0.01075213395048133
T002,PBC,2,4,0.8,3.9902376937919914,0.010752133950481444
T002,PBC,2,5,0.8,3.9523525644552424,-0.023119127579274996
T002,PBC,2,6,0.8,3.9523525644552433,0.023119127579274413
T002,PBC,2,7,0.8,3.846462352420263,-0.029711217705834934
T002,PBC,2,8,0.8,3.8464623524202692,0.02971121770583385
T002,PBC,2,9,0.8,3.7057283287815332,-0.057296502831138026
T002,PBC,2,10,0.8,3.705728328781525,0.05729650283113729
T002,PBC,2,11,0.8,3.585460742108386,-0.10286193292000112
T002,PBC,2,12,0.8,3.5854607421083897,0.10286193292000112
T002,PBC,2,13,0.8,3.4514580505861665,-0.12860692100572607
T002,PBC,2,14,0.8,3.451458050586164,0.12860692100572646
T002,PBC,2,15,0.8,3.2969841293624254,-0.14320455595646914
T002,PBC,2,16,0.8,3.2969841293624254,0.14320455595647108
T002,PBC,2,17,0.8,3.1192670557556155,-0.15095172219786918
T002,PBC,2,18,0.8,3.119267055755611,0.15095172219786585
T002,PBC,2,19,0.8,2.9262100065600665,-0.16191919523147036
T002,PBC,2,20,0.8,2.9262100065600647,0.16191919523147427
T002,PBC,2,21,0.8,2.7261873690528606,-0.1664270335010479
T002,PBC,2,22,0.8,2.7261873690528633,0.16642703350104873
T002,PBC,2,23,0.8,2.5143085441100195,-0.1551485943236597
T002,PBC,2,24,0.8,2.5143085441100204,0.15514859432366165
T002,PBC,2,25,0.8,2.275679571627242,-0.13979763597222192
T002,PBC,2,26,0.8,2.275679571627247,0.13979763597222145
T002,PBC,2,27,0.8,2.036082854655306,-0.13273180636149884
T002,PBC,2,28,0.8,2.0360828546553047,0.13273180636149604
T002,PBC,2,29,0.8,1.7944980792629113,-0.11686292476857643
T002,PBC,2,30,0.8,1.7944980792629108,0.1168629247685773
T002,PBC,2,31,0.8,1.5569261365081024,-0.09231501748184645
T002,PBC,2,32,0.8,1.5569261365080982,0.09231501748184658
T002,PBC,2,33,0.8,1.2858947751309822,-0.024615746016000993
T002,PBC,2,34,0.8,1.2858947751309802,0.024615746016000646
T002,PBC,2,35,0.8,1.0823132076741673,-8.27891244023574e-17
T002,PBC,2,36,0.8,0.9498946384931237,2.1180225972589694e-16
T002,PBC,2,37,0.8,0.7865142684734672,5.566233567217025e-17
T002,PBC,2,38,0.8,0.7184289278732754,-3.406432699846104e-16
T002,PBC,2,39,0.8,0.5599953748968073,1.0361242945118528e-15
T002,PBC,2,40,0.8,0.4636525076156506,1.5781766686258912e-16
T002,PBC,2,41,0.8,-2.3934174786249134,-0.7846046758799265
T002,PBC,2,42,0.8,-2.393417478624919,0.7846046758799314
T002,PBC,2,43,0.8,0.2779595148029778,0.03691860659486152
T002,PBC,2,44,0.8,0.2779595148029773,-0.03691860659486185
T002,PBC,2,45,0.8,-2.2324708875328696,-0.776906788524688
T002,PBC,2,46,0.8,-2.2324708875328616,0.7769067885246855
T002,PBC,2,47,0.8,0.05235802389141246,0.0598812540201452
T002,PBC,2,48,0.8,0.052358023891412635,-0.05988125402014453
T002,PBC,2,49,0.8,-2.2521499483134524,-0.7603283746139715
T002,PBC,2,50,0.8,-2.2521499483134484,0.7603283746139662
T002,PBC,2,51,0.8,-0.17486040376079412,-0.10652934744106132
T002,PBC,2,52,0.8,-0.17486040376079504,0.10652934744106086
T002,PBC,2,53,0.8,-2.155288619632196,0.7506532227234338
T002,PBC,2,54,0.8,-2.1552886196321954,-0.7506532227234345
T002,PBC,2,55,0.8,-2.0535935313384543,-0.7641843608303229
T002,PBC,2,56,0.8,-2.0535935313384583,0.764184360830326
T002,PBC,2,57,0.8,-2.027951344108596,-0.74119254955238
T002,PBC,2,58,0.8,-2.027951344108588,0.74119254955237
T002,PBC,2,59,0.8,-2.0124770528491935,-0.7082992683181509
T002,PBC,2,60,0.8,-1.9829558370664313,-0.7431454956041599
T002,PBC,2,61,0.8,-2.0124770528491984,0.7082992683181556
T002,PBC,2,62,0.8,-1.9829558370664233,0.7431454956041593
T002,PBC,2,63,0.8,-1.9213133621332577,-0.7453302226863548
T002,PBC,2,64,0.8,-1.9691979772483463,-0.6756444533748726
T002,PBC,2,65,0.8,-1.9213133621332603,0.7453302226863602
T002,PBC,2,66,0.8,-1.9691979772483512,0.6756444533748699
T002,PBC,2,67,0.8,-1.8512209374699764,-0.7559573443634263
T002,PBC,2,68,0.8,-1.8512209374699866,0.7559573443634331
T002,PBC,2,69,0.8,-1.789620979236085,-0.7493705634490304
T002,PBC,2,70,0.8,-1.879521248999926,-0.6414726909189901
T002,PBC,2,71,0.8,-1.7896209792360889,0.7493705634490265
T002,PBC,2,72,0.8,-1.879521248999942,0.6414726909189926
T002,PBC,2,73,0.8,-1.723481578337636,-0.7350991469107779
T002,PBC,2,74,0.8,-0.38531234815292226,0.14258573711280711
T002,PBC,2,75,0.8,-0.38531234815292104,-0.14258573711280637
T002,PBC,2,76,0.8,-1.7234815783376425,0.7350991469107776
T002,PBC,2,77,0.8,-1.6537528398972419,-0.7140364077648452
T002,PBC,2,78,0.8,-1.7856830308206995,-0.5711412534283073
T002,PBC,2,79,0.8,-1.6537528398972297,0.7140364077648413
T002,PBC,2,80,0.8,-1.785683030820697,0.571141253428306
T002,PBC,2,81,0.8,-1.584926628235695,-0.68218335768781
T002,PBC,2,82,0.8,-1.5849266282356997,0.6821833576878069
T002,PBC,2,83,0.8,-1.6882301640429291,-0.5110857624384739
T002,PBC,2,84,0.8,-1.5222806035445544,-0.6428522260602918
T002,PBC,2,85,0.8,-1.6882301640429256,0.5110857624384761
T002,PBC,2,86,0.8,-1.5222806035445564,0.6428522260602927
T002,PBC,2,87,0.8,-0.5838625057556058,0.18643261989159696
T002,PBC,2,88,0.8,-0.5838625057556047,-0.18643261989159635
T002,PBC,2,89,0.8,-1.4462222293469145,-0.5828563414001283
T002,PBC,2,90,0.8,-1.4462222293469151,0.5828563414001283
T002,PBC,2,91,0.8,-1.5527950356462945,-0.44749475460311977
T002,PBC,2,92,0.8,-1.3850867158582163,-0.5296713527288079
T002,PBC,2,93,0.8,-1.5527950356462945,0.4474947546031208
T002,PBC,2,94,0.8,-1.385086715858214,0.5296713527288074
T002,PBC,2,95,0.8,-0.9345440132723168,-0.3905630688580823
T002,PBC,2,96,0.8,-0.9345440132723235,0.390563068858082
T002,PBC,2,97,0.8,-0.7801111358104318,0.21401938142016536
T002,PBC,2,98,0.8,-0.780111135810431,-0.21401938142016458
T002,PBC,2,99,0.8,-1.3091825546054772,-0.45081957696211894
T002,PBC,2,100,0.8,-1.4189646716375102,-0.3580596803128784
T002,PBC,2,101,0.8,-1.309182554605479,0.45081957696211716
T002,PBC,2,102,0.8,-0.9101273014572857,-0.27718993901001604
T002,PBC,2,103,0.8,-1.213885305770065,-0.42498260540422783
T002,PBC,2,104,0.8,-0.9101273014572843,0.2771899390100161
T002,PBC,2,105,0.8,-1.418964671637509,0.35805968031287927
T002,PBC,2,106,0.8,-1.2138853057700618,0.42498260540422933
T002,PBC,2,107,0.8,-0.8877924264364967,-0.13268279173957045
T002,PBC,2,108,0.8,-0.8877924264364968,0.13268279173957107
T002,PBC,2,109,0.8,-1.3222879152674434,-0.3147336772220478
T002,PBC,2,110,0.8,-1.3222879152674443,0.3147336772220468
T002,PBC,2,111,0.8,-0.898287095117023,3.3774301232986843e-16
T002,PBC,2,112,0.8,-1.1989855919174943,0.24247330653836183
T002,PBC,2,113,0.8,-1.1759126625979532,-0.27597788765548464
T002,PBC,2,114,0.8,-1.1989855919174937,-0.24247330653835922
T002,PBC,2,115,0.8,-1.1759126625979544,0.2759778876554827
T002,PBC,2,116,0.8,-1.1656548883501447,-0.07967635218059946
T002,PBC,2,117,0.8,-1.1656548883501434,0.07967635218059914
T002,PBC,2,118,0.8,-1.171988644658009,9.535056427552753e-17
T002,PBC,2,119,0.8,-1.2105334613261485,6.142682933488186e-17
T002,PBC,3,0,0.8,4.185426904297799,1.610040226140974e-16
T002,PBC,3,1,0.8,4.161641212675768,7.568733826792424e-16
T002,PBC,3,2,0.8,4.168283729710904,-1.2653884123751856e-15
T002,PBC,3,3,0.8,4.070308080421107,-4.4001026300396554e-16
T002,PBC,3,4,0.8,4.028036374280934,-9.587318920582542e-16
T002,PBC,3,5,0.8,3.985446493508144,-0.02888874601935279
T002,PBC,3,6,0.8,3.985446493508137,0.0288887460193546
T002,PBC,3,7,0.8,3.9000246830149186,-0.05029558528549269
T002,PBC,3,8,0.8,3.9000246830149186,0.05029558528549439
T002,PBC,3,9,0.8,3.7841680880356052,-0.07400579792370379
T002,PBC,3,10,0.8,3.7841680880356146,0.0740057979236995
T002,PBC,3,11,0.8,3.6591237335186735,-0.10406441748114337
T002,PBC,3,12,0.8,3.6591237335186757,0.10406441748114251
T002,PBC,3,13,0.8,3.5222316358224424,-0.12361456069343091
T002,PBC,3,14,0.8,3.5222316358224357,0.1236145606934296
T002,PBC,3,15,0.8,3.3634571029594267,-0.13095186463929087
T002,PBC,3,16,0.8,3.3634571029594222,0.13095186463929237
T002,PBC,3,17,0.8,3.181455530194905,-0.13851280197017288
T002,PBC,3,18,0.8,3.181455530194904,0.13851280197017465
T002,PBC,3,19,0.8,2.9884336568418957,-0.14077368563954853
T002,PBC,3,20,0.8,2.9884336568418894,0.14077368563954926
T002,PBC,3,21,0.8,2.7714153110514195,0.12888095667934468
T002,PBC,3,22,0.8,2.7714153110514204,-0.12888095667934404
T002,PBC,3,23,0.8,2.5335208540392204,-0.1268662096328219
T002,PBC,3,24,0.8,2.533520854039215,0.126866209632824
T002,PBC,3,25,0.8,2.2952800930140693,-0.139849371884386
T002,PBC,3,26,0.8,2.2952800930140693,0.13984937188438504
T002,PBC,3,27,0.8,2.0592630514066794,-0.13288850524640447
T002,PBC,3,28,0.8,2.0592630514066785,0.1328885052463996
T002,PBC,3,29,0.8,1.818579230263844,-0.12758735151914669
T002,PBC,3,30,0.8,1.8185792302638395,0.1275873515191446
T002,PBC,3,31,0.8,1.5715491953871246,-0.10842495264445025
