group,state_class,profile_index,site,real_energy,imag_energy,probability
figs1,alm,0,139,-2.463694771295615,4.579137888494582e-16,1.2666996456236153e-123
figs1,alm,1,0,2.4636947712956117,-1.4996168580902305e-15,0.5034567489189258
figs1,alm,1,1,2.4636947712956117,-1.4996168580902305e-15,0.33360981130036976
figs1,alm,1,2,2.4636947712956117,-1.4996168580902305e-15,0.10207504018110583
figs1,alm,1,3,2.4636947712956117,-1.4996168580902305e-15,0.005902112419185681
figs1,alm,1,4,2.4636947712956117,-1.4996168580902305e-15,0.04002966123235408
figs1,alm,1,5,2.4636947712956117,-1.4996168580902305e-15,0.014626287444098652
figs1,alm,1,6,2.4636947712956117,-1.4996168580902305e-15,0.00026088050817367665
figs1,alm,1,7,2.4636947712956117,-1.4996168580902305e-15,3.7470518066351807e-05
figs1,alm,1,8,2.4636947712956117,-1.4996168580902305e-15,1.0040607013598337e-06
figs1,alm,1,9,2.4636947712956117,-1.4996168580902305e-15,9.084751404871262e-07
figs1,alm,1,10,2.4636947712956117,-1.4996168580902305e-15,7.494187391026525e-08
figs1,alm,1,11,2.4636947712956117,-1.4996168580902305e-15,3.326446658574223e-17
figs1,alm,1,12,2.4636947712956117,-1.4996168580902305e-15,2.6400536028053686e-15
figs1,alm,1,13,2.4636947712956117,-1.4996168580902305e-15,1.336573663468416e-15
figs1,alm,1,14,2.4636947712956117,-1.4996168580902305e-15,1.363768656487804e-16
figs1,alm,1,15,2.4636947712956117,-1.4996168580902305e-15,1.2073756196193916e-16
figs1,alm,1,16,2.4636947712956117,-1.4996168580902305e-15,1.9841158462025576e-20
figs1,alm,1,17,2.4636947712956117,-1.4996168580902305e-15,4.6625419472014725e-18
figs1,alm,1,18,2.4636947712956117,-1.4996168580902305e-15,1.8095892621650447e-18
figs1,alm,1,19,2.4636947712956117,-1.4996168580902305e-15,1.6608489332366914e-20
figs1,alm,1,20,2.4636947712956117,-1.4996168580902305e-15,1.3612413049923981e-22
figs1,alm,1,21,2.4636947712956117,-1.4996168580902305e-15,5.1747876979240844e-24
figs1,alm,1,22,2.4636947712956117,-1.4996168580902305e-15,1.332513996869452e-25
figs1,alm,1,23,2.4636947712956117,-1.4996168580902305e-15,1.9940255667086955e-26
figs1,alm,1,24,2.4636947712956117,-1.4996168580902305e-15,1.945002450320909e-27
figs1,alm,1,25,2.4636947712956117,-1.4996168580902305e-15,1.3389856392956678e-28
figs1,alm,1,26,2.4636947712956117,-1.4996168580902305e-15,3.7799916532980804e-31
figs1,alm,1,27,2.4636947712956117,-1.4996168580902305e-15,2.1087066100288914e-29
figs1,alm,1,28,2.4636947712956117,-1.4996168580902305e-15,6.0026742211109085e-30
figs1,alm,1,29,2.4636947712956117,-1.4996168580902305e-15,1.1229262302739645e-31
figs1,alm,1,30,2.4636947712956117,-1.4996168580902305e-15,1.5708005367888745e-31
figs1,alm,1,31,2.4636947712956117,-1.4996168580902305e-15,2.0632360167065017e-32
figs1,alm,1,32,2.4636947712956117,-1.4996168580902305e-15,6.526371166558791e-33
figs1,alm,1,33,2.4636947712956117,-1.4996168580902305e-15,1.3637751541601615e-34
