group,state_class,profile_index,site,real_energy,imag_energy,probability
figs2,alm,0,104,3.5037624917411505,1.3792577052538082e-16,7.60180349329985e-135
figs2,alm,0,105,3.5037624917411505,1.3792577052538082e-16,1.2406702378922258e-138
figs2,alm,0,106,3.5037624917411505,1.3792577052538082e-16,7.789457233274197e-142
figs2,alm,0,107,3.5037624917411505,1.3792577052538082e-16,1.7615467991129757e-145
figs2,alm,0,108,3.5037624917411505,1.3792577052538082e-16,1.665356891824453e-149
figs2,alm,0,109,3.5037624917411505,1.3792577052538082e-16,2.912556852346448e-149
figs2,alm,0,110,3.5037624917411505,1.3792577052538082e-16,4.961456348699362e-153
figs2,alm,0,111,3.5037624917411505,1.3792577052538082e-16,1.2873252841745905e-156
figs2,alm,0,112,3.5037624917411505,1.3792577052538082e-16,5.210840892830465e-160
figs2,alm,0,113,3.5037624917411505,1.3792577052538082e-16,8.427025312319902e-164
figs2,alm,0,114,3.5037624917411505,1.3792577052538082e-16,2.4623921748502776e-166
figs2,alm,0,115,3.5037624917411505,1.3792577052538082e-16,4.749916805113202e-170
figs2,alm,0,116,3.5037624917411505,1.3792577052538082e-16,8.903088124382094e-174
figs2,alm,0,117,3.5037624917411505,1.3792577052538082e-16,2.839479257250617e-176
figs2,alm,0,118,3.5037624917411505,1.3792577052538082e-16,4.67989897586653e-180
figs2,alm,0,119,3.5037624917411505,1.3792577052538082e-16,1.8506779871747808e-183
figs2,alm,0,120,3.5037624917411505,1.3792577052538082e-16,4.883626848211504e-187
figs2,alm,0,121,3.5037624917411505,1.3792577052538082e-16,5.2469818183121904e-191
figs2,alm,0,122,3.5037624917411505,1.3792577052538082e-16,4.824608908166781e-191
figs2,alm,0,123,3.5037624917411505,1.3792577052538082e-16,8.507893190956429e-195
figs2,alm,0,124,3.5037624917411505,1.3792577052538082e-16,1.891677647967616e-198
figs2,alm,0,125,3.5037624917411505,1.3792577052538082e-16,1.2305472190781986e-201
figs2,alm,0,126,3.5037624917411505,1.3792577052538082e-16,2.0016253877984914e-205
figs2,alm,0,127,3.5037624917411505,1.3792577052538082e-16,1.9269531698587688e-208
figs2,alm,0,128,3.5037624917411505,1.3792577052538082e-16,4.052893004147379e-212
figs2,alm,0,129,3.5037624917411505,1.3792577052538082e-16,6.672589698497649e-216
figs2,alm,0,130,3.5037624917411505,1.3792577052538082e-16,2.2956766537496062e-217
figs2,alm,0,131,3.5037624917411505,1.3792577052538082e-16,3.8502791309960845e-221
figs2,alm,0,132,3.5037624917411505,1.3792577052538082e-16,1.1362877132608167e-224
figs2,alm,0,133,3.5037624917411505,1.3792577052538082e-16,3.767033613201126e-228
figs2,alm,0,134,3.5037624917411505,1.3792577052538082e-16,6.004115950209549e-232
figs2,alm,0,135,3.5037624917411505,1.3792577052538082e-16,5.649123989918774e-234
figs2,alm,0,136,3.5037624917411505,1.3792577052538082e-16,1.0466933027112731e-237
figs2,alm,0,137,3.5037624917411505,1.3792577052538082e-16,2.0807573699546637e-241
figs2,alm,0,138,3.5037624917411505,1.3792577052538082e-16,3.0087448591998e-244
figs2,alm,0,139,3.5037624917411505,1.3792577052538082e-16,4.986766546038499e-248
figs2,alm,1,0,3.7050408967015844,-1.755463174656842e-16,2.775132674855371e-13
figs2,alm,1,1,3.7050408967015844,-1.755463174656842e-16,1.3769364354563238e-12
figs2,alm,1,2,3.7050408967015844,-1.755463174656842e-16,3.965280553329902e-12
figs2,alm,1,3,3.7050408967015844,-1.755463174656842e-16,2.431115166925437e-12
