group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,2.3874999999999997,-0.5316666666666667,-0.33286187781258153,0.0,0.1273594609635868,1
figs2,2.4749999999999996,-0.5316666666666667,-0.32753627486539744,0.0,0.14255303139636627,1
figs2,2.5625,-0.5316666666666667,-0.32237434457357833,0.0,0.1575150833014474,1
figs2,2.65,-0.5316666666666667,-0.31740600389326173,0.0,0.1722538626013011,1
figs2,2.7375,-0.5316666666666667,-0.31267934104947875,0.0,0.186773541935845,1
figs2,2.8249999999999997,-0.5316666666666667,-0.3082597882913753,0.0,0.2010756674766932,1
figs2,2.9124999999999996,-0.5316666666666667,-0.3042156196477943,0.0,0.21516159724216655,1
figs2,3.0,-0.5316666666666667,-0.30058322146660355,0.0,0.22903602167584666,1
figs2,3.0875,-0.5316666666666667,-0.29734082552665925,0.0,0.24270937238327736,1
figs2,3.175,-0.5316666666666667,-0.29442195501661783,0.0,0.25619688703345933,1
figs2,3.2624999999999997,-0.5316666666666667,-0.2917519692733443,0.0,0.2695155417939371,1
figs2,3.3499999999999996,-0.5316666666666667,-0.28927002892467185,0.0,0.28268164066093876,1
figs2,3.4374999999999996,-0.5316666666666667,-0.28692984991783915,0.0,0.29570983065134415,1
figs2,3.5249999999999995,-0.5316666666666667,-0.2846960940993705,0.0,0.3086126792347563,1
figs2,3.6125,-0.5316666666666667,-0.28254780213716124,0.0,0.32140009815288756,1
figs2,3.6999999999999993,-0.5316666666666667,-0.28048698152230317,0.0,0.334078685871169,1
figs2,3.7874999999999996,-0.5316666666666667,-0.2785419713901219,0.0,0.3466517054058857,1
figs2,3.875,-0.5316666666666667,-0.27675941276636123,0.0,0.35912015211434783,1
figs2,3.9624999999999995,-0.5316666666666667,-0.2751896810578363,0.0,0.3714845157822515,1
figs2,4.05,-0.5316666666666667,-0.2738723488834986,0.0,0.38374659915180953,1
figs2,4.137499999999999,-0.5316666666666667,-0.27282499751362876,0.0,0.39591092567577685,1
figs2,4.225,-0.5316666666666667,-0.2720398788937624,0.0,0.4079852487465818,1
figs2,4.3125,-0.5316666666666667,-0.2714904532776056,0.0,0.4199799795151148,1
figs2,4.3999999999999995,-0.5316666666666667,-0.2711436249214974,0.0,0.43190692501333927,1
figs2,4.4875,-0.5316666666666667,-0.27097359969606816,0.0,0.44377784057323133,1
figs2,4.574999999999999,-0.5316666666666667,-0.2709735014312722,0.0,0.4556033023846051,1
figs2,4.6625,-0.5316666666666667,-0.2711568399217307,0.0,0.46739257229955883,1
figs2,4.75,-0.5316666666666667,-0.27154606853086005,0.0,0.47915460414505884,1
figs2,4.8374999999999995,-0.5316666666666667,-0.27215811194546363,0.0,0.4908993573640631,1
figs2,4.925,-0.5316666666666667,-0.2729990655546877,0.0,0.5026384332926015,1
figs2,5.012499999999999,-0.5316666666666667,-0.274071958334246,0.0,0.514384726568026,1
figs2,5.1,-0.5316666666666667,-0.27539150575226934,0.0,0.5261515985779859,1
figs2,5.1875,-0.5316666666666667,-0.27699289442645547,0.0,0.5379526474026792,1
figs2,5.2749999999999995,-0.5316666666666667,-0.27892632029074804,0.0,0.5498027975216602,1
figs2,5.3625,-0.5316666666666667,-0.28124128149749716,0.0,0.5617204332509187,1
figs2,5.449999999999999,-0.5316666666666667,-0.28396852535669864,0.0,0.5737298641294877,1
figs2,5.5375,-0.5316666666666667,-0.2871050836201464,0.0,0.5858634996560877,1
figs2,5.625,-0.5316666666666667,-0.29060719749113045,0.0,0.5981632125981008,1
figs2,5.7124999999999995,-0.5316666666666667,-0.2943918677655144,0.0,0.6106808309797478,1
figs2,5.8,-0.5316666666666667,-0.29834045564861617,0.0,0.6234783592547908,1
figs2,5.887499999999999,-0.5316666666666667,-0.30229324924896156,0.0,0.6366288314049863,1
figs2,5.975,-0.5316666666666667,-0.30602267426539287,0.0,0.6502185697015264,1
figs2,6.0625,-0.5316666666666667,-0.3091934319174728,0.0,0.6643506932825861,1
figs2,6.1499999999999995,-0.5316666666666667,-0.3117107237266455,0.0,0.679147932237594,1
figs2,6.2375,-0.5316666666666667,-0.3179135922725806,0.0,0.6947509566490002,1
