axion_mass_microeV,dimensionless_mass_range,g_nps_squared_over_4
7.3250342629889245,2.245838719127483,5.150706560760321e-07
7.417039959086818,2.2740474547126475,5.252422746489415e-07
7.510201287747034,2.3026105045931953,5.35786862317691e-07
7.6045327642297815,2.3315323191146433,5.467212721731262e-07
7.700049086113399,2.3608174045208297,5.580632656130726e-07
7.796765135584373,2.3904703236560274,5.698315686454743e-07
7.894695981756073,2.420495696675863,5.820459321095028e-07
7.993856883016667,2.450898201767184,5.947271961159071e-07
8.09426328940647,2.481682575876945,6.078973590331344e-07
8.195930845025186,2.5128536154502656,6.215796513733775e-07
8.298875390469409,2.5444161771777623,6.35798614962806e-07
8.40311296530066,2.5763751787522406,6.505801878131064e-07
8.508659810544529,2.6087355996349295,6.659517951474391e-07
8.61553237122111,2.6415024818313046,6.819424470731268e-07
8.723747298907286,2.674680930676679,6.985828434364125e-07
8.833321454331179,2.7082761156316577,7.159054864415923e-07
8.944271909999156,2.7422932710875703,7.339448016683064e-07
9.056615952855896,2.7767376971820408,7.527372681771884e-07
9.170371086977793,2.8116147606247797,7.723215584558243e-07
9.285555036300247,2.846929895533763,7.927386890248204e-07
9.402185747379203,2.88268860428192,8.140321825981224e-07
9.520281392187327,2.918896458354426,8.362482427733952e-07
9.639860370945389,2.955559099216804,8.594359423180556e-07
9.760941314989115,2.9926822391938925,8.836474262150966e-07
9.883543089672115,3.030271662359877,9.089381307414087e-07
10.00768479730527,3.068333225439499,9.353670199706427e-07
10.133385780132977,3.106872858720566,9.629968412241353e-07
10.260665623346872,3.1458965669779526,9.918944011383377e-07
10.389544158137308,3.185410430409177,1.0221308641768193e-06
10.520041464783237,3.2254206055817485,1.053782075591225e-06
10.652177875780875,3.2659333263924153,1.0869289110300151e-06
10.785973979011642,3.3069549050384413,1.1216576552086856e-06
10.921450620949942,3.348491733001107,1.1580604122926998e-06
11.058628909911182,3.390550282041545,1.1962355509069557e-06
11.197530219340617,3.433137105209092,1.236288186976367e-06
11.33817619114352,3.4762588378623103,1.2783307079240124e-06
11.48058873905712,3.5199221987028175,1.3224833421100668e-06
11.624790052064984,3.5641339908221266,1.3688747777903502e-06
11.770802597854182,3.608901102761607,1.4176428363122322e-06
11.918649126315952,3.6542305095857794,1.4689352047531464e-06
12.068352673090326,3.700129273969089,1.5229102337485328e-06
12.219936563155223,3.7466045472963154,1.5797378068582509e-06
12.373424414460704,3.793663570776825,1.6396002884906992e-06
12.528840141608798,3.8413136765727973,1.702693558149935e-06
12.686207959579598,3.889562288941638,1.7692281396026208e-06
12.845552387504156,3.9384169253927404,1.8394304344887052e-06
13.006898252484724,3.9878851978587604,1.9135440709342714e-06
13.170270693463046,4.037974813881631,1.991831378880441e-06
13.335695165137164,4.08869357781344,2.0745750051331293e-06
13.50319744192748,4.140049392032416,2.162079682582607e-06
13.672803621992621,4.192050258174191,2.2546741696577808e-06
13.844540131295703,4.2447042783784985,2.3527133778902334e-06
14.01843372772174,4.298019656551564,2.456580707492296e-06
14.194511505246695,4.352004699644333,2.5666906131294076e-06
14.372800898158946,4.406667818946751,2.683491424622723e-06
14.553329685333788,4.4620175313983275,2.80746845018917e-06
14.736125994561542,4.518062460915118,2.9391473930548393e-06
14.92121830693015,4.574811339733419,3.079098115911476e-06
15.108635461262692,4.632273009770299,3.227938791778198e-06
15.29840665861072,4.6904564240012485,3.3863404844443115e-06
15.49056146680404,4.749370647855129,3.555032206873828e-06
15.685129825057551,4.809024860626621,3.734806511829324e-06
15.882142048636066,4.869428356906444,3.926525675614819e-06
16.08162883357762,4.930590548029519,4.131128543349399e-06
16.28362126147617,4.992520963541326,4.349638112688218e-06
16.48815080432438,5.055229252682697,4.583169942543658e-06
16.695249329417127,5.1187251858932115,4.832941484287442e-06
16.904949104316767,5.183018656333547,5.10028244531974e-06
17.11728280188059,5.248119681426878,5.386646308983433e-06
17.332283505351544,5.314038404419675,5.693623150828954e-06
17.549984713512888,5.380785095962121,6.0229539094758286e-06
17.77042034590749,5.448370155708333,6.3765462910991056e-06
17.99362474812284,5.516804113936726,6.756492510268569e-06
18.21963269714229,5.586097633190705,7.1650890969192455e-06
18.44847940676361,5.656261509939967,7.604859030140117e-06
18.6802005330856,5.727306676262699,8.078576494816068e-06
18.91483218006351,5.799244201548844,8.589294597624307e-06
19.152410905134413,5.872085294224834,9.140376425260068e-06
19.392973724913055,5.945841303499924,9.735529880958675e-06
19.63655812095937,6.020523721134497,1.0378846796462465e-05
19.883202045618425,6.096144183230581,1.107484688678893e-05
20.132943927933624,6.1727144720448175,1.1828527195940838e-05
20.385822679634302,6.250246517824256,1.2645417774752037e-05
20.64187770119848,6.3287524006651665,1.3531644439356696e-05
20.901148887991724,6.408244352395204,1.4493999582623403e-05
21.1636766364832,6.48873475847925,1.5540022154015297e-05
21.42950185053972,6.570236159949129,1.6678088088901213e-05
21.698665947798894,6.652761255357623,1.7917512660089068e-05
21.97121086612236,6.7363229027570055,1.9268666446660427e-05
22.24717907012995,6.820934121702406,2.0743106873227144e-05
22.5266135578161,6.906608095280385,2.235372757259002e-05
22.80955786724919,6.993358172162938,2.411492817363148e-05
23.09605608335515,7.0811978686873305,2.6042807522609703e-05
