kx_over_2pi_mod,ky_over_2pi_mod,initial_trace_deviation,exact_trace_deviation,small_q_trace_deviation,initial_half_trace,initial_half_curvature,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.0,0.5035460992907801,2.4778114948720287e-06,0.0002982011721177267,0.01858240590640209,0.9948100270060893,0.9948075491945945,0.00046720009533098635,0.00016899892321325965,0.35409611441696226,0.33551370851056017
0.0,0.5106382978723404,0.00018987747418575118,1.0031915753311044e-05,0.018758122348914552,0.9548604531146674,0.9546705756404816,0.0007308206214742792,0.0007207887057209682,0.3515413589036848,0.33278323655477027
0.0,0.5177304964539007,0.0013162207444320506,3.0581366938613186e-07,0.019110983209420396,0.8825792955191512,0.8812630747747191,0.0008085178663124501,0.000808212052643064,0.34650540913465866,0.32739442592523826
0.0,0.524822695035461,0.004342474042329014,2.498568294331382e-06,0.01964369681130168,0.7901372660589625,0.7857947920166335,0.0007659405357442197,0.0007634419674498883,0.3391312677130015,0.3194875709016998
0.0,0.5319148936170213,0.009823686088263783,5.976437084537168e-06,0.020359966507674188,0.6901243061147214,0.6803006200264576,0.0007049037414332981,0.0006989273043487609,0.32962352000861267,0.3092635535009385
0.0,0.5390070921985816,0.01764825898410649,1.111395378476849e-05,0.02126408674916669,0.5925116411566963,0.5748633821725898,0.0006411892861699687,0.0006300753323852002,0.31823744633176143,0.29697335958259474
0.0,0.5460992907801419,0.027174258785874372,1.773253435268776e-05,0.022360447246712822,0.5035407777169864,0.476366518931112,0.0005794079109226941,0.0005616753765700064,0.30526604666552626,0.28290559941881344
0.0,0.5531914893617021,0.03754041387065532,2.540368461882844e-05,0.02365297751634232,0.4260942921790435,0.38855387830838817,0.0005219920222513638,0.0004965883376325354,0.2910260316749599,0.26737305415861756
0.0,0.5602836879432624,0.047936755023108846,3.3639814273426865e-05,0.025144567277372576,0.3606971657997403,0.31276041077663147,0.00047010255656345853,0.00043646274229003167,0.27584382168116406,0.2506992544037915
0.0,0.5673758865248227,0.05774924389421404,4.200537840817807e-05,0.026836498854777013,0.3065233823441861,0.24877413844997204,0.0004240450619276921,0.000382039683519514,0.26004247539988,0.233205976545103
