time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
2.7600000000000002,3.291052894189944,5.179811355338062,1.0,1.0000000000000002,1.0000000000000002,1.0,3.2683076950450163,5.175094456027513,0.9931350619595302,0.9990359016485596,0.375886524822695,0.3531512499371259,2.220446049250313e-16,2.220446049250313e-16
2.8000000000000003,3.280067013493245,5.175440053757327,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,3.255474580403174,5.1707404056117126,0.9925399176452013,0.9990392325341053,0.3752829334540516,0.35254765856848247,2.220446049250313e-16,2.220446049250313e-16
2.84,3.26978586835988,5.171104953599966,1.0000000000000002,1.0000000000000002,1.0,1.0,3.2431653005595584,5.166422291842372,0.9918867327717378,0.9990425119104928,0.37488053920828934,0.35154167295407673,2.220446049250313e-16,2.220446049250313e-16
2.88,3.2601769265964706,5.166805427349367,1.0000000000000002,1.0,1.0000000000000002,1.0,3.2313297360029773,5.16213949379208,0.9911697802726016,0.9990457409625038,0.3738745535938836,0.35113927870831446,2.220446049250313e-16,2.220446049250313e-16
2.92,3.2512076820683595,5.162540864124924,1.0,1.0,1.0,1.0,3.219916120190154,5.15789140693189,0.9903827758334696,0.9990489208350049,0.37306976510235906,0.35053568733967105,2.220446049250313e-16,2.220446049250313e-16
2.96,3.242845842848574,5.158310669047008,1.0,1.0,1.0,1.0,3.2088710833511302,5.1536774425075125,0.9895188271215556,0.9990520526346921,0.3714601881193099,0.3501332930939088,2.220446049250313e-16,2.220446049250313e-16
3.0,3.235059502868399,5.154114262633604,1.0000000000000002,1.0,1.0,1.0,3.1981396703868565,5.149497026946515,0.9885703790737479,0.9990551374317476,0.37025300538202305,0.3495297017252653,2.220446049250313e-16,2.220446049250313e-16
3.04,3.2278172962455605,5.14995108022668,1.0,1.0000000000000002,1.0000000000000002,1.0,3.1876653321041286,5.145349601294652,0.9875291550908659,0.999058176261403,0.3692470197676173,0.3489261103566219,2.220446049250313e-16,2.220446049250313e-16
3.08,3.2210885338318174,5.145820571446535,1.0,1.0000000000000002,1.0,1.0,3.1773898895938606,5.1412346206796045,0.9863860940184638,0.9990611701254233,0.36884462552185504,0.34832251898797845,2.220446049250313e-16,2.220446049250313e-16
3.12,3.214843321864509,5.141722199672443,1.0000000000000002,1.0000000000000002,0.9999999999999997,1.0,3.1672534721465797,5.137151553800485,0.9851312828400121,0.9990641199935093,0.36803983703033044,0.34711533625069163,2.220446049250313e-16,2.220446049250313e-16
3.16,3.209052662918731,5.13765544154807,1.0000000000000002,1.0,0.9999999999999978,1.0,3.157194429715545,5.133099882441634,0.9837538850687474,0.9990670268046324,0.36743624566168703,0.34590815351340476,2.220446049250313e-16,2.220446049250313e-16
3.2,3.203688539632987,5.133619786510229,1.0000000000000002,1.0000000000000002,0.9999999999999867,1.0,3.1471492215867873,5.1290791010092756,0.9822420649030646,0.9990698914682957,0.3666314571701625,0.3455057592676425,2.220446049250313e-16,2.220446049250313e-16
3.24,3.198723981917553,5.129614736339634,1.0,1.0,0.9999999999999305,1.0,3.1370522836033095,5.125088716089757,0.9805829073107268,0.9990727148657353,0.36562547155575675,0.3447009707761179,2.220446049250313e-16,2.220446049250313e-16
3.2800000000000002,3.194133118549508,5.125639804732399,1.0000000000000002,1.0,0.9999999999996605,1.0,3.126835877026222,5.121128246028126,0.9787623343334718,0.999075497851058,0.36482068306423215,0.3436949851617122,2.220446049250313e-16,2.220446049250313e-16
3.3200000000000003,3.1898912142112867,5.1216945168911385,1.0000000000000002,1.0000000000000002,0.9999999999984547,1.0,3.1164299229090817,5.11719722052593,0.9767650180604824,0.9990782412523258,0.3640158945727076,0.34248780242442534,2.220446049250313e-16,2.220446049250313e-16
3.36,3.185974693141553,5.117778409134551,1.0000000000000002,1.0,0.9999999999934288,1.0000000000000002,3.105761826724315,5.113295180257149,0.9745742909117924,0.9990809458725841,0.3630099089583019,0.34208540817866306,2.220446049250313e-16,2.220446049250313e-16
3.4,3.182361150640492,5.113891028524504,1.0,1.0000000000000002,0.9999999999738002,1.0000000000000002,3.094756298923211,5.109421676501289,0.9721720541066677,0.9990836124908414,0.36240631758965847,0.34168301393290074,2.220446049250313e-16,2.220446049250313e-16
3.44,3.179029353708721,5.110031932509636,1.0000000000000002,1.0000000000000002,0.9999999999018385,1.0,3.083335178142703,5.105576270792703,0.9695386854732144,0.9990862418630018,0.36180272622101506,0.34107942256425733,2.220446049250313e-16,2.220446049250313e-16
3.48,3.1759592321018233,5.106200688584607,1.0000000000000002,1.0,0.999999999653598,1.0,3.071417264898662,5.101758534585245,0.9666529480898806,0.9990888347227523,0.3601931492379659,0.34067702831849506,2.220446049250313e-16,2.220446049250313e-16
3.52,3.173131861050223,5.102396873964157,1.0000000000000002,1.0,0.9999999988460246,1.0,3.0589181748258363,5.097968048931465,0.963491901642651,0.9990913917824087,0.3591871636235602,0.3402746340727328,2.220446049250313e-16,2.220446049250313e-16
3.56,3.170529436818724,5.09862007527117,1.0000000000000002,1.0000000000000002,0.9999999963629856,1.0,3.045750221828568,5.0942044041755725,0.9600308188376859,0.9990939137337214,0.35818117800915444,0.3396710427040893,2.220446049250313e-16,2.220446049250313e-16
