kx_over_2pi_mod,ky_over_2pi_mod,exact_half_trace,exact_half_curvature,small_q_half_trace,small_q_half_curvature
0.9716312056737588,0.1276595744680851,6.491868147912273e-07,-6.14165433629568e-07,0.051006954980040806,-0.05007150496475018
0.9716312056737588,0.1347517730496454,6.310295914865251e-07,-5.876386746277992e-07,0.0509311627774006,-0.04972815474796916
0.9716312056737588,0.14184397163120568,6.130522131231291e-07,-5.59994496568838e-07,0.05085147586709647,-0.04931824173030898
0.9716312056737588,0.14893617021276595,5.953972131827219e-07,-5.312798039432185e-07,0.050770696919176656,-0.04883323173710741
0.9716312056737588,0.15602836879432624,5.782051242479584e-07,-5.015430596398167e-07,0.05069249799708028,-0.04826396169060261
0.9716312056737588,0.16312056737588654,5.616134559025656e-07,-4.70834148952284e-07,0.050621526504644895,-0.047600616370928425
0.9716312056737588,0.1702127659574468,5.4575570412992e-07,-4.392042354150642e-07,0.05056351266659772,-0.04683270453013622
0.9716312056737588,0.1773049645390071,5.307604009656656e-07,-4.067056080873476e-07,0.050525377155973265,-0.04594903465607456
0.9716312056737588,0.18439716312056736,5.167502129887824e-07,-3.7339151982607803e-07,0.05051533722458162,-0.044937690830680284
0.9716312056737588,0.19148936170212766,5.038410970186958e-07,-3.3931601600511793e-07,0.05054300940604133,-0.04378600931939701
0.9716312056737588,0.19858156028368795,4.921415211213829e-07,-3.045337530346643e-07,0.050619506541848276,-0.04248055677126724
0.9716312056737588,0.20567375886524822,4.817517587219207e-07,-2.69099805912488e-07,0.05075752652685412,-0.04100711120931778
0.9716312056737588,0.2127659574468085,4.7276326328261147e-07,-2.3306946389902062e-07,0.050971429779028944,-0.03935064735411779
0.9716312056737588,0.2198581560283688,4.652581306371221e-07,-1.964980132395244e-07,0.051277302007673047,-0.03749532825451328
0.9716312056737588,0.22695035460992907,4.5930865568347093e-07,-1.5944050566256e-07,0.05169299838409572,-0.03542450570206084
0.9716312056737588,0.23404255319148937,4.5497698973821753e-07,-1.219515111578412e-07,0.052238164710678235,-0.033120732480268124
0.9716312056737588,0.24113475177304963,4.5231490444955337e-07,-8.408485327276675e-08,0.05293423064266938,-0.03056579014410349
0.9716312056737588,0.24822695035460993,4.5136366776830716e-07,-4.5893324866215296e-08,0.0538043694505136,-0.027740736732109472
0.9716312056737588,0.2553191489361702,4.5215403709214396e-07,-7.428381913454152e-09,0.05487341823291291,-0.024625979569638395
0.9716312056737588,0.2624113475177305,4.547063743344004e-07,3.12601874297208e-08,0.056167751923287164,-0.021201379105796718
0.9716312056737588,0.2695035460992908,4.5903088733517934e-07,7.012462172413536e-08,0.05771510390529503,-0.017446390507473635
0.9716312056737588,0.2765957446808511,4.651280017264545e-07,1.0911957678570499e-07,0.05954432560821691,-0.013340250466797356
0.9716312056737588,0.28368794326241137,4.7298886707791504e-07,1.4820255202073135e-07,0.061685077146433474,-0.00886221730519774
0.9716312056737588,0.2907801418439716,4.825960008733157e-07,1.8733435717330937e-07,0.06416744097064465,-0.003991872900380082
0.9716312056737588,0.2978723404255319,4.939240735503259e-07,2.2647962448730315e-07,0.06702145070283,0.0012905048736850818
0.9716312056737588,0.3049645390070922,5.069408374175051e-07,2.6560737150371943e-07,0.07027652794212767,0.007003490737504807
0.9716312056737588,0.3120567375886525,5.216082016139445e-07,3.046916196218858e-07,0.07396082098491909,0.013163973941133755
0.9716312056737588,0.3191489361702128,5.378834541974705e-07,3.4371207288960524e-07,0.07810044124663768,0.019786527320736436
0.9716312056737588,0.3262411347517731,5.557206306164631e-07,3.82654859894079e-07,0.08271859586430828,0.02688267958228359
0.9716312056737588,0.3333333333333333,5.750720247091395e-07,4.2151333847990473e-07,0.08783461865892868,0.03446009028540531
0.9716312056737588,0.3404255319148936,5.958898331774587e-07,4.6028895742455846e-07,0.09346290649352759,0.04252163156915293
0.9716312056737588,0.3475177304964539,6.181279159081182e-07,4.989921597090953e-07,0.09961177418905519,0.05106438655918573
0.9716312056737588,0.3546099290780142,6.417436405871308e-07,5.376432964889252e-07,0.10628224860475613,0.06007858168578706
0.9716312056737588,0.3617021276595745,6.666997577040524e-07,5.762734959916203e-07,0.11346683120058185,0.06954647878747659
0.9716312056737588,0.36879432624113473,6.929662165926535e-07,6.149253924554385e-07,0.1211482681825308,0.07944126269411018
0.9716312056737588,0.375886524822695,7.205217775248483e-07,6.53653559624337e-07,0.12929837780819647,0.08972597060872199
0.9716312056737588,0.3829787234042553,7.493551885549288e-07,6.925244008339767e-07,0.1378769949943162,0.10035252044136818
0.9716312056737588,0.3900709219858156,7.794655635870978e-07,7.316151088788728e-07,0.14683110316384831,0.11126090543823888
0.9716312056737588,0.3971631205673759,8.108613989343838e-07,7.710111047188728e-07,0.15609423118437937,0.12237863088150422
0.9716312056737588,0.40425531914893614,8.435573723701783e-07,8.108010724517004e-07,0.16558619794754773,0.13362047396794702
0.9716312056737588,0.41134751773049644,8.775676515769988e-07,8.510683088534379e-07,0.17521328714548767,0.1448886487191005
0.9716312056737588,0.41843971631205673,9.128938776173427e-07,8.918765964173756e-07,0.18486892863933446,0.15607345243673829
0.9716312056737588,0.425531914893617,9.49505304256061e-07,9.332482379588612e-07,0.19443494920939272,0.16705445749113026
0.9716312056737588,0.4326241134751773,9.873078971500428e-07,9.75131426972597e-07,0.2037834335954845,0.17770229125172265
0.9716312056737588,0.4397163120567376,1.026098903617551e-06,1.0173541766594696e-06,0.2127792064640418,0.18788101758705333
0.9716312056737588,0.44680851063829785,1.0655043200662674e-06,1.059563392493479e-06,0.22128290812774787,0.19745109638291022
0.9716312056737588,0.45390070921985815,1.1049002407081592e-06,1.1011515972914441e-06,0.22915459348672612,0.20627285490355338
0.9716312056737588,0.46099290780141844,1.1433258834471522e-06,1.141180494428184e-06,0.23625773793077293,0.21421035967999197
0.9716312056737588,0.46808510638297873,1.1793764843044587e-06,1.178290331747466e-06,0.24246349003890283,0.2211355341104829
0.9716312056737588,0.475177304964539,1.2103344887103678e-06,1.2098588857677669e-06,0.2476549736931491,0.22693232992527426
0.9716312056737588,0.48226950354609927,1.2132588803974118e-06,1.2128158387778207e-06,0.2517314166253435,0.23150073501298518
0.9716312056737588,0.48936170212765956,8.454933912318163e-07,6.97895673509946e-07,0.25461187274221164,0.23476039012153235
0.9716312056737588,0.49645390070921985,5.86685815297654e-05,-1.111717883632581e-05,0.25623831474664016,0.23665359555598425
0.9716312056737588,0.5035460992907801,5.8675941803827196e-05,-1.1114627345184958e-05,0.2565779025015346,0.23714751712786217
0.9716312056737588,0.5106382978723404,8.376797815904826e-07,6.895594864914229e-07,0.25562427979415525,0.2362354468265856
0.9716312056737588,0.5177304964539007,1.198599302699036e-06,1.1982530063988058e-06,0.2533978137952636,0.23393703417498282
0.9716312056737588,0.524822695035461,1.190876043002205e-06,1.1904835876710957e-06,0.2499447617329712,0.2302974732213309
0.9716312056737588,0.5319148936170213,1.15617311759163e-06,1.155034535025744e-06,0.2453354210679996,0.22538570062955615
0.9716312056737588,0.5390070921985816,1.1173649378785352e-06,1.1149554181795024e-06,0.23966138549921492,0.21929172515992296
0.9716312056737588,0.5460992907801419,1.0770949233500221e-06,1.0728137659368775e-06,0.2330320829978142,0.21212326160206335
0.9716312056737588,0.5531914893617021,1.0366478423341575e-06,1.0298702743518135e-06,0.2255708090142616,0.20400187823591723
0.9716312056737588,0.5602836879432624,9.968450036039347e-07,9.869441222336462e-07,0.2174104855365268,0.19505888371067392
0.9716312056737588,0.5673758865248227,9.58172514026819e-07,9.445224376787848e-07,0.2086893747425983,0.18543117681719978
0.9716312056737588,0.574468085106383,9.208803137770298e-07,9.028477996153169e-07,0.1995469567284963,0.17525726314225493
0.9716312056737588,0.5815602836879432,8.850659356397892e-07,8.619965741384801e-07,0.1901201480105813,0.16467360983549192
0.9716312056737588,0.5886524822695035,8.507377812782271e-07,8.219410498448155e-07,0.18053999595137105,0.153811468429409
