L,W,mu,chi_typ_r,samples
28,16.5,0.1,4.035774588587906,20
28,16.5,0.3,1.1732899582681189,20
28,16.5,1.0,0.32380808464091054,20
28,17.0,0.0001,9341.860276721216,20
28,17.0,0.0003,4873.62301731658,20
28,17.0,0.001,1445.6863604384343,20
28,17.0,0.003,366.09266622846036,20
28,17.0,0.01,73.89803091663721,20
28,17.0,0.03,17.368594453293415,20
28,17.0,0.1,3.9274036671280457,20
28,17.0,0.3,1.155959286702863,20
28,17.0,1.0,0.32193811047104015,20
28,18.0,0.0001,7258.441097098979,20
28,18.0,0.0003,3784.7312053272435,20
28,18.0,0.001,1186.5257996241435,20
28,18.0,0.003,318.9256120899462,20
28,18.0,0.01,66.9826210124968,20
28,18.0,0.03,16.03916228930027,20
28,18.0,0.1,3.7071198683627604,20
28,18.0,0.3,1.110971883318088,20
28,18.0,1.0,0.3147144099993588,20
28,20.0,0.0001,3172.046652220145,20
28,20.0,0.0003,1762.1432875444991,20
28,20.0,0.001,644.2655989474646,20
28,20.0,0.003,201.47403921438467,20
28,20.0,0.01,48.60884556053784,20
28,20.0,0.03,12.842838701028162,20
28,20.0,0.1,3.22839102178548,20
28,20.0,0.3,1.0220540559589126,20
28,20.0,1.0,0.3001433553779667,20
28,24.0,0.0001,558.5754600617158,20
28,24.0,0.0003,374.3468264793449,20
28,24.0,0.001,187.1330579027486,20
28,24.0,0.003,79.10934801413838,20
28,24.0,0.01,25.40377738103131,20
28,24.0,0.03,8.255066725555857,20
28,24.0,0.1,2.4630653044277455,20
28,24.0,0.3,0.8697833379287155,20
28,24.0,1.0,0.2728572318123021,20
28,28.0,0.0001,120.67034420314721,20
28,28.0,0.0003,92.44926920407669,20
28,28.0,0.001,57.42846291479714,20
28,28.0,0.003,30.7179810333019,20
28,28.0,0.01,12.834057237925116,20
28,28.0,0.03,5.182073889856821,20
28,28.0,0.1,1.8533706017704419,20
28,28.0,0.3,0.729343136930886,20
28,28.0,1.0,0.2443388946151829,20
28,32.0,0.0001,37.76188943904879,20
28,32.0,0.0003,31.47916245382372,20
28,32.0,0.001,22.37676784616285,20
28,32.0,0.003,14.035046598382396,20
28,32.0,0.01,7.104278494804365,20
28,32.0,0.03,3.395749968577817,20
28,32.0,0.1,1.4294459752565634,20
28,32.0,0.3,0.6202038928604566,20
28,32.0,1.0,0.21909467902948684,20
28,40.0,0.0001,8.357141681279488,20
28,40.0,0.0003,7.572018693605394,20
28,40.0,0.001,6.2532993359168865,20
28,40.0,0.003,4.719256784975903,20
28,40.0,0.01,3.042237958095206,20
28,40.0,0.03,1.8263844498116117,20
28,40.0,0.1,0.949104006090558,20
28,40.0,0.3,0.4723087672677603,20
28,40.0,1.0,0.18051982147095538,20
31,12.0,0.0001,8362.342694956671,5
31,12.0,0.0003,4404.228946826812,5
31,12.0,0.001,1339.561259497178,5
31,12.0,0.003,356.36791179288946,5
31,12.0,0.01,77.65679302672338,5
31,12.0,0.03,19.463872107325244,5
31,12.0,0.1,4.501643247336924,5
31,12.0,0.3,1.277716749119302,5
31,12.0,1.0,0.3339303028137454,5
31,14.0,0.0001,13700.0970061617,5
31,14.0,0.0003,6856.683750276483,5
31,14.0,0.001,1842.5510950641744,5
31,14.0,0.003,434.05934077717706,5
31,14.0,0.01,84.82787624307099,5
31,14.0,0.03,19.726294580122122,5
31,14.0,0.1,4.381980801810527,5
31,14.0,0.3,1.2425710561850374,5
31,14.0,1.0,0.33206112584018715,5
31,15.0,0.0001,15843.726912378628,5
31,15.0,0.0003,7493.628225348196,5
31,15.0,0.001,1921.7840874409737,5
31,15.0,0.003,443.60743600440185,5
31,15.0,0.01,85.29216325686355,5
31,15.0,0.03,19.497381062437462,5
31,15.0,0.1,4.278377616384727,5
31,15.0,0.3,1.2175026583242716,5
31,15.0,1.0,0.3295443839266134,5
31,16.0,0.0001,15563.61932251908,5
31,16.0,0.0003,7169.865949109464,5
31,16.0,0.001,1842.5793160311762,5
31,16.0,0.003,432.0805902127076,5
31,16.0,0.01,83.27915624912218,5
31,16.0,0.03,18.873341425601325,5
31,16.0,0.1,4.153797834588949,5
31,16.0,0.3,1.1976450972069363,5
31,16.0,1.0,0.32810516840576087,5
31,16.5,0.0001,14313.832634235918,5
31,16.5,0.0003,6521.512637528055,5
31,16.5,0.001,1708.1455004987129,5
31,16.5,0.003,411.18988969110757,5
31,16.5,0.01,80.46358920540183,5
31,16.5,0.03,18.545146557723037,5
31,16.5,0.1,4.1259262240551715,5
31,16.5,0.3,1.1950865045445274,5
31,16.5,1.0,0.32791020593986325,5
31,17.0,0.0001,13196.310764043084,5
31,17.0,0.0003,6003.346875937082,5
31,17.0,0.001,1606.7463690320653,5
31,17.0,0.003,388.48259684313734,5
31,17.0,0.01,76.32452671934215,5
31,17.0,0.03,17.72234336745232,5
31,17.0,0.1,3.9707252115946132,5
31,17.0,0.3,1.1619286480960571,5
31,17.0,1.0,0.32251189513763806,5
31,18.0,0.0001,9681.34310300655,5
31,18.0,0.0003,4537.314578358099,5
31,18.0,0.001,1302.4945798441086,5
31,18.0,0.003,333.51003173268276,5
31,18.0,0.01,68.41858151778163,5
31,18.0,0.03,16.33182346897254,5
31,18.0,0.1,3.786888753660156,5
31,18.0,0.3,1.1289708824425482,5
31,18.0,1.0,0.31796125067226805,5
31,20.0,0.0001,4300.5484018834195,5
31,20.0,0.0003,2196.6021372093173,5
31,20.0,0.001,752.7973550059573,5
31,20.0,0.003,224.55071682613308,5
31,20.0,0.01,52.03772858412377,5
31,20.0,0.03,13.3715792172154,5
31,20.0,0.1,3.309636334597928,5
31,20.0,0.3,1.0411923440131043,5
