L,V,W,sample,mu_star,omega_av,omega_typ,gap_ratio,ipr,chi_typ_r,chi_av_r,chi_typ,tilde_chi_typ_r,tilde_chi_av_r,tilde_chi_typ
4,64,12.0,1,1.9207635434503847,0.23092300323801526,0.20280118172642556,0.5633625002417694,0.19622363385924435,0.09984459346761408,0.1073474486986731,1.777040292872151,0.19177785514321755,0.20618906594282174,0.3603858713699456
4,64,12.0,2,1.6097181722375487,0.19352770202632982,0.1560085485558885,0.4067810917658116,0.2101883331465051,0.0845842432519921,0.0930868679275457,5.989730557873121,0.13615679344769294,0.14984362289964695,0.9344491705746378
4,64,12.0,3,1.5896107836249092,0.19111029953993963,0.17577405846894675,0.690883028779077,0.11129581312123368,0.1117881367169665,0.11825894690112046,2.7197655876918163,0.17769962760662558,0.18798569725414663,0.47806423543277066
4,64,14.0,0,1.8084671426658192,0.2174222148612176,0.1699393289642882,0.3664719796456534,0.12435420951867251,0.07196720596700001,0.0736733464803566,6.894601450386324,0.13015032734078302,0.1332358263999594,1.1716639439548602
4,64,14.0,1,2.1154250164374013,0.2543260983822244,0.18556366747732367,0.4196296931018822,0.29970198569581796,0.11957244909034723,0.12924275219299863,5.59757879848912,0.25294655008240813,0.27340335118228914,1.038707250840952
4,64,14.0,2,1.5387095443708654,0.18499071908603035,0.15101171318846507,0.4446341678412902,0.1558328279809858,0.12841008101213416,0.14115639633481944,2.899769985724085,0.19758581724680688,0.21719869428938332,0.43789923339668496
4,64,14.0,3,1.86899103794342,0.2246986751589074,0.18077817628910642,0.5432241441546434,0.18786846739228152,0.09813289219158682,0.10525591781012057,3.907804016259448,0.1834094960335436,0.19672236707762455,0.7064456833546285
4,64,16.5,0,2.3134177255445825,0.2781296900123162,0.17868458335092918,0.29936719061710204,0.27870296668934214,0.059327502321632475,0.06518994315409439,1.9121484521854581,0.13724929548315193,0.15081157001992568,0.3416714494838827
4,64,16.5,1,3.1782268083405527,0.38210100460110613,0.25812406999202026,0.3600615841105734,0.3502653110107528,0.049465799240551445,0.05559589548121673,2.9556216963222677,0.15721352924231236,0.1766963654521024,0.7629171016114227
4,64,16.5,2,2.1710995889064555,0.26101955084928424,0.19868263930682414,0.55932246311349,0.2346095091470339,0.061301326523860056,0.06376442383519255,1.8103783084395948,0.13309128481537297,0.13843891437544353,0.3596907404646024
4,64,16.5,3,1.631960234374058,0.19620174475495367,0.15265965651669183,0.4653510148123759,0.18392032626820184,0.12011807137211832,0.12897511815563953,7.1025137714789714,0.19602791590900204,0.2104822640536993,1.0842673127590532
4,64,20.0,0,2.6169838178410463,0.314625798007162,0.22417607111404383,0.3920729969577153,0.41448239478773685,0.06878050181700622,0.07877118866031196,4.936833666470655,0.17999746023809196,0.20614292603614054,1.1067199750929313
4,64,20.0,1,2.8316340366676522,0.34043203185940163,0.2624605687129583,0.43653638001006906,0.48758727846649524,0.05380540346799166,0.06129873484619038,0.9320142668535867,0.15235721181660092,0.17357558399513814,0.24461699452698324
4,64,20.0,2,3.033868065865476,0.36474553444462615,0.2793500355565485,0.5284810230554883,0.3394792764763184,0.04442938187497785,0.04845128546681473,0.9508065996785787,0.1347928828566377,0.14699480772790127,0.26560785742761195
4,64,20.0,3,3.113000160504672,0.3742591578205532,0.3160079820951212,0.5937787649452189,0.3847406622213256,0.04242457528366282,0.05015783222574429,0.7382636062388831,0.1320677096673849,0.15614133976930838,0.23329719246181657
4,64,25.0,0,4.246254475992707,0.5105041895722703,0.34990363793682194,0.3447313970275869,0.43991855462959084,0.027820627397841132,0.033689668419588474,1.4158870732763054,0.11813346361300825,0.1430549053213877,0.4954240378470988
4,64,25.0,1,3.256279596169083,0.3914848687617544,0.30537147088597605,0.4251742159833029,0.4389776169834795,0.03623935003812078,0.04412348805078145,0.8421682949569802,0.11800545610756198,0.14367841385156999,0.2571741709645476
4,64,25.0,2,3.377721369970995,0.40608515583015253,0.27440989113859404,0.41908489702136165,0.4285860361072267,0.03638495390331385,0.04197324486740055,1.081311488488522,0.12289823634463276,0.14177392615564421,0.2967225678430464
4,64,25.0,3,3.8831956451466043,0.46685559167121876,0.32335917825817595,0.3332525856368726,0.5374701244319816,0.03487586717855006,0.04032497878507516,0.9393698842650946,0.13542981554845698,0.15658978200883308,0.3037538738564388
4,64,30.0,0,3.714725330058227,0.4466013176616352,0.2849070582974124,0.5051929586195866,0.6132159790516154,0.030023628892762236,0.03570302943931263,0.6013060392598989,0.11152953474821192,0.13262694781802922,0.17131633478200617
4,64,30.0,1,4.904110737068748,0.5895946866949502,0.3749384141592041,0.22931867418621846,0.4548016531184424,0.018576005234671088,0.022024305937854823,0.48339235370073236,0.09109878672319574,0.1080096352263208,0.18124236251323766
4,64,30.0,2,4.501560467599096,0.5411982469055849,0.3963486009686906,0.44003504669235666,0.6393579706705995,0.021491780076796283,0.025820139544671637,0.2993762419503091,0.09674654757204001,0.11623091944218596,0.11865735466026923
4,64,30.0,3,4.529491001886935,0.5445561838477887,0.47058094051702315,0.476016171813111,0.4809785703364638,0.023437885788047733,0.030247477405263276,0.8751691121276369,0.1061616927802159,0.13700567673691838,0.41183790389647146
4,64,40.0,0,6.686313053455075,0.8038592236708983,0.6265252160237106,0.3555712220050923,0.677492326934186,0.00909349494822672,0.010892679816718522,0.3434530942178308,0.0608019539738561,0.07283186724563169,0.2151820240488383
4,64,40.0,1,5.956609904361595,0.716130964127713,0.5726472668401269,0.4267690011532169,0.7394619051079486,0.012110002057869858,0.015005067248327885,0.18634884519214062,0.07213455819974689,0.08937933218700166,0.10671215687809325
4,64,40.0,2,6.077863123402541,0.730708582277896,0.5523404150212573,0.47868140995245717,0.5698880556695276,0.012649307615673993,0.016352929433011396,0.9572483786612125,0.07688076029387989,0.09939086676050399,0.5287269667481598
4,64,40.0,3,4.995159017745135,0.6005409286127245,0.4995134486583401,0.5166976061127224,0.47842049126822606,0.019853721690028192,0.02523760360073738,0.5193399646656307,0.0991724969357465,0.12606584321250042,0.25941729677622966
5,125,0.2,0,0.5881532475677848,0.06090669326475878,0.017017390027740616,0.34710331725748295,0.028843095523185834,0.04742638100858782,0.0925345392831765,54.17561139234665,0.02789398001058804,0.05442448979158901,0.9219275090548709
5,125,0.2,1,0.5849659673468007,0.06057663184017074,0.01514566333448909,0.3743786133027351,0.029072736923821868,0.049585993753243726,0.09425660023598176,61.671321255148214,0.029006118802718635,0.055136903335861756,0.934053069123596
5,125,0.2,2,0.5780147566399411,0.05985679349856129,0.017004901944711593,0.34108278571167167,0.027952573447969156,0.057775203073886276,0.10201860770650187,67.57161831718156,0.03339491994457555,0.05896826070621929,1.1490487437291501
5,125,0.2,3,0.5877872940891434,0.0608687966513082,0.010138173206944297,0.2670334013830627,0.027830336162825854,0.03789926371737284,0.0890190855085713,168.37987499865562,0.022276705668405433,0.0523242873933732,1.7070643373000003
5,125,0.35,0,0.5867412764090228,0.060760475430170546,0.01929802457236502,0.3225282137480637,0.029453500834765705,0.0673681468627222,0.10546821605041617,89.34039975350302,0.03952767247954413,0.061882555706003775,1.7240932297480152
5,125,0.35,1,0.5868103163396376,0.060767624916965635,0.021935209098338827,0.38063273278043497,0.030514862196641675,0.07240299790873521,0.11501175629588292,34.128298853511424,0.042486826106763034,0.06749008509476437,0.7486113715223703
5,125,0.35,2,0.5822839976504305,0.06029889826253989,0.017012741922702287,0.4412418160492894,0.028387080269261702,0.06064058492529374,0.1014393103942593,58.84963158168851,0.03531004221016047,0.059066487175272166,1.0011935943453767
5,125,0.35,3,0.5848604028199044,0.06056570001876891,0.01600446201856815,0.31936985491475184,0.02867145639110854,0.05830634598257357,0.10107910207387802,92.6363322532205,0.03410107299832469,0.059117164355602526,1.4825946610861274
5,125,0.5,0,0.5840528048306293,0.060482068544799455,0.024020734483411944,0.3898563718735549,0.028357117476583742,0.09011780014151305,0.11866525062780184,54.81820346120997,0.052633553937816775,0.06930677246509725,1.3167735101993783
5,125,0.5,1,0.5855660549722415,0.06063877440775128,0.01909681825308971,0.27374611916133706,0.02575209812639018,0.07299920127680858,0.10659481102510579,141.25759748782977,0.04274585430778541,0.062418302972482784,2.6975706660931866
5,125,0.5,2,0.58103905260842,0.060169976954838576,0.023094882520385857,0.38548751372764317,0.027876655255515092,0.09087389734523066,0.11718502555168991,54.61283267883862,0.05280128322030764,0.0680890762264474,1.2612769548232676
5,125,0.5,3,0.5874385994812867,0.06083268729441588,0.021656824378620546,0.3741686369012035,0.028684012302145838,0.06750828143509852,0.10553721240402496,60.2691837548574,0.03965697029962282,0.0619966322477795,1.3052391280217572
