omega,f2_polynomial,f2_fading_G0.003,f2_fading_G0.01,f2_fading_G0.03
1.119584e-01,7.442725e-01,7.612836e-02,2.519335e-01,7.107946e-01
1.179500e-01,7.165289e-01,6.859529e-02,2.271660e-01,6.446907e-01
1.242624e-01,6.895382e-01,6.180720e-02,2.048176e-01,5.843717e-01
1.309125e-01,6.632814e-01,5.569050e-02,1.846550e-01,5.293964e-01
1.379185e-01,6.377404e-01,5.017885e-02,1.664668e-01,4.793457e-01
1.452995e-01,6.128971e-01,4.521244e-02,1.500616e-01,4.338233e-01
1.530755e-01,5.887346e-01,4.073740e-02,1.352662e-01,3.924566e-01
1.612676e-01,5.652361e-01,3.670513e-02,1.219240e-01,3.548969e-01
1.698982e-01,5.423858e-01,3.307186e-02,1.098932e-01,3.208188e-01
1.789906e-01,5.201682e-01,2.979813e-02,9.904585e-02,2.899206e-01
1.885696e-01,4.985685e-01,2.684838e-02,8.926621e-02,2.619224e-01
1.986613e-01,4.775727e-01,2.419056e-02,8.044975e-02,2.365661e-01
2.092930e-01,4.571673e-01,2.179580e-02,7.250206e-02,2.136138e-01
2.204937e-01,4.373395e-01,1.963806e-02,6.533792e-02,1.928470e-01
2.322939e-01,4.180769e-01,1.769390e-02,5.888037e-02,1.740653e-01
2.447255e-01,3.993682e-01,1.594218e-02,5.305998e-02,1.570851e-01
2.578225e-01,3.812024e-01,1.436386e-02,4.781408e-02,1.417390e-01
2.716203e-01,3.635693e-01,1.294178e-02,4.308612e-02,1.278736e-01
2.861566e-01,3.464594e-01,1.166047e-02,3.882510e-02,1.153497e-01
3.014708e-01,3.298637e-01,1.050601e-02,3.498501e-02,1.040402e-01
3.176046e-01,3.137739e-01,9.465838e-03,3.152436e-02,9.382966e-02
3.346018e-01,2.981824e-01,8.528642e-03,2.840572e-02,8.461309e-02
3.525087e-01,2.830821e-01,7.684229e-03,2.559535e-02,7.629527e-02
3.713739e-01,2.684665e-01,6.923416e-03,2.306284e-02,6.878978e-02
3.912486e-01,2.543296e-01,6.237926e-03,2.078073e-02,6.201829e-02
4.121870e-01,2.406660e-01,5.620303e-03,1.872431e-02,5.590983e-02
4.342460e-01,2.274707e-01,5.063828e-03,1.687129e-02,5.040015e-02
4.574855e-01,2.147391e-01,4.562449e-03,1.520155e-02,4.543109e-02
4.819687e-01,2.024671e-01,4.110710e-03,1.369700e-02,4.095003e-02
5.077622e-01,1.906505e-01,3.703697e-03,1.234130e-02,3.690942e-02
5.349361e-01,1.792857e-01,3.336983e-03,1.111974e-02,3.326625e-02
5.635642e-01,1.683689e-01,3.006577e-03,1.001905e-02,2.998166e-02
5.937244e-01,1.578966e-01,2.708884e-03,9.027285e-03,2.702055e-02
6.254987e-01,1.478649e-01,2.440667e-03,8.133666e-03,2.435122e-02
6.589735e-01,1.382700e-01,2.199007e-03,7.328486e-03,2.194504e-02
6.942397e-01,1.291076e-01,1.981273e-03,6.602998e-03,1.977617e-02
7.313932e-01,1.203730e-01,1.785099e-03,5.949316e-03,1.782130e-02
7.705351e-01,1.120611e-01,1.608348e-03,5.360337e-03,1.605938e-02
8.117718e-01,1.041660e-01,1.449097e-03,4.829657e-03,1.447141e-02
8.552153e-01,9.668133e-02,1.305615e-03,4.351508e-03,1.304026e-02
9.009838e-01,8.959973e-02,1.176339e-03,3.920691e-03,1.175050e-02
9.492017e-01,8.291312e-02,1.059864e-03,3.532523e-03,1.058817e-02
1.000000e+00,7.661256e-02,9.549211e-04,3.182781e-03,9.540710e-03
