L,W,samples,gap_ratio_mean,gap_ratio_sem,ipr_mean,omega_av_mean,tilde_chi_typ_r_mu0.0001,tilde_chi_typ_r_mu0.0003,tilde_chi_typ_r_mu0.001,tilde_chi_typ_r_mu0.003,tilde_chi_typ_r_mu0.01,tilde_chi_typ_r_mu0.03,tilde_chi_typ_r_mu0.1,tilde_chi_typ_r_mu0.3,tilde_chi_typ_r_mu1
24,24.0,20,0.3983334869791785,0.0013784694777400836,0.19226470634403198,0.0017986506990314102,0.042658751093179896,0.09108838581039602,0.1626522070042247,0.2161784178553094,0.23956952027250644,0.23854025559520006,0.24131354998655827,0.2585001037555218,0.2714973746616803
24,28.0,20,0.3953183519811799,0.0013911789841156924,0.28075572506963864,0.002082223083126691,0.009874849120888818,0.023432969475099947,0.050510901469120226,0.08393243847889946,0.11984529184655873,0.14834036172817733,0.18120034729548087,0.2159722911029768,0.24112016060904443
24,32.0,20,0.38909093157139807,0.001100402762149762,0.355324219947926,0.002370581913932498,0.00329760472502986,0.008388840181561108,0.020434823605448526,0.03925799996461161,0.06745464969884997,0.09830111038008364,0.1393801383882973,0.18319810657854366,0.21632977247829652
24,40.0,20,0.3886684688051082,0.0012438647295160532,0.46871531321934584,0.002927067748537593,0.0007391847992330272,0.002035115870985023,0.005703833256088599,0.013179322982621883,0.028840036391136106,0.05279268783366305,0.09265101406105723,0.13887973679669582,0.17828471667335458
28,8.0,20,0.5325627711917559,0.0010638944814337279,0.00038593716086851376,0.0004713104470494255,0.28860044832162063,0.48473577269738993,0.5737800624736304,0.5657664728285652,0.5155405177560113,0.4593171977494323,0.4034431976972305,0.35990446487579014,0.302422331354026
28,10.0,20,0.5291704770881139,0.0006915346395433075,0.0008835354078970956,0.0005441632965469457,0.3961695390344471,0.6943028656820038,0.8195948976583053,0.7567908400040968,0.6274946411634281,0.5187719861393415,0.4297479727271093,0.37500038530265084,0.32203182751372483
28,12.0,20,0.5285948842875445,0.0009118697275884407,0.002810092242525606,0.0006232887758905852,0.653207716510213,1.1621439542645404,1.290660538571411,1.0557808231353243,0.7667229354840706,0.5746324381634084,0.44326000434395857,0.3785320273701466,0.33062106454638884
28,14.0,20,0.5086062415255673,0.0010457952284503042,0.009367944213020746,0.0007050805372751534,1.001022408940729,1.7154621969308281,1.7275150202412892,1.2785787103193689,0.8449452788359985,0.5922099961302427,0.438989239110639,0.3733025296537995,0.3315067384706091
28,15.0,20,0.4886941375678332,0.0011300333300389032,0.016560089786892145,0.0007466126675836611,1.109244880750703,1.8266849403781131,1.7713183644564392,1.2842685823124877,0.8374615380788163,0.5793210206261761,0.42789820739892276,0.36690980592893485,0.3301625407249823
28,16.0,20,0.4711133925555844,0.0009677279724733756,0.026227151725293864,0.0007872476237740749,1.1009824387689229,1.7584475828262824,1.6943864890694689,1.2422853434250731,0.8087641583947153,0.5574253433913934,0.41220788155902965,0.3569530154544571,0.3259229387605723
28,16.5,20,0.460227049350301,0.00128852860947725,0.031991655012745854,0.0008080432859231023,1.0484695743674475,1.6483181159504772,1.600893065596658,1.1903384065618228,0.7837164535662116,0.5426756118715804,0.4035774588587905,0.35198698748043566,0.32380808464091054
28,17.0,20,0.45149815207743726,0.001052032716338242,0.04096041470179991,0.0008354530003898024,0.9341860276721197,1.4620869051949745,1.4456863604384327,1.0982779986853808,0.7389803091663727,0.5210578335988028,0.39274036671280466,0.34678778601085886,0.32193811047104015
28,18.0,20,0.4342112854570514,0.0008666675152148804,0.05594653958752114,0.0008714691676657598,0.7258441097098982,1.1354193615981716,1.1865257996241432,0.9567768362698389,0.669826210124968,0.481174868679008,0.37071198683627593,0.3332915649954263,0.3147144099993588
28,20.0,20,0.4134981501294269,0.0013087713301542145,0.09852825797160908,0.0009658300106097443,0.31720466522201424,0.5286429862633494,0.6442655989474648,0.6044221176431539,0.4860884556053787,0.3852851610308449,0.32283910217854817,0.30661621678767376,0.3001433553779667
28,24.0,20,0.398388360991227,0.0011787477369457774,0.1863733963238071,0.0011346202788965714,0.055857546006171585,0.11230404794380355,0.18713305790274856,0.2373280440424153,0.2540377738103132,0.2476520017666756,0.24630653044277467,0.2609350013786147,0.2728572318123021
28,28.0,20,0.391223657190249,0.0013194038208413513,0.27495266782141703,0.0013123278360060821,0.012067034420314711,0.027734780761222978,0.05742846291479715,0.09215394309990575,0.12834057237925123,0.1554622166957046,0.18533706017704424,0.21880294107926587,0.2443388946151829
28,32.0,20,0.38917086683461616,0.0010812272445377175,0.3509819838684673,0.0014928396481184868,0.0037761889439048824,0.009443748736147119,0.022376767846162885,0.04210513979514717,0.07104278494804364,0.10187249905733448,0.14294459752565636,0.18606116785813695,0.21909467902948684
28,40.0,20,0.3893791349915829,0.0008057827422785815,0.46500005754077056,0.0018487230283360657,0.0008357141681279489,0.0022716056080816223,0.006253299335916887,0.01415777035492771,0.03042237958095206,0.05479153349434836,0.09491040060905581,0.14169263018032807,0.18051982147095538
31,12.0,5,0.5304451233757506,0.001370384121942483,0.002110992709425817,0.0004606599215193083,0.836234269495667,1.3212686840480425,1.3395612594971786,1.0691037353786679,0.776567930267233,0.5839161632197574,0.45016432473369256,0.38331502473579065,0.3339303028137454
31,14.0,5,0.5121581741359428,0.001603299065765388,0.007751123187290236,0.0005198940894514597,1.3700097006161696,2.0570051250829415,1.8425510950641752,1.3021780223315307,0.8482787624307107,0.5917888374036635,0.43819808018105266,0.3727713168555112,0.33206112584018715
31,15.0,5,0.4890798586084636,0.003129617254817271,0.014269806924686376,0.0005526392587173691,1.5843726912378622,2.2480884676044606,1.9217840874409724,1.3308223080132044,0.852921632568635,0.5849214318731238,0.42783776163847287,0.36525079749728157,0.3295443839266134
31,16.0,5,0.46901207417984114,0.0018774845643541535,0.023791678314817617,0.0005836081947649162,1.5563619322519047,2.1509597847328377,1.8425793160311759,1.2962417706381235,0.8327915624912208,0.5662002427680398,0.41537978345889476,0.3592935291620809,0.32810516840576087
31,16.5,5,0.4598725290654239,0.0017682581466394402,0.030191333489886403,0.0005962035278332097,1.4313832634235901,1.9564537912584163,1.7081455004987127,1.233569669073323,0.8046358920540183,0.556354396731691,0.4125926224055172,0.35852595136335824,0.32791020593986325
31,17.0,5,0.449148410939312,0.0018552460000812788,0.036069263639453515,0.0006123695006770575,1.3196310764043075,1.8010040627811241,1.6067463690320656,1.1654477905294118,0.7632452671934217,0.5316703010235696,0.39707252115946134,0.34857859442881706,0.32251189513763806
31,18.0,5,0.4360935879866016,0.0016749912097020203,0.051701445089841556,0.0006425700023754752,0.9681343103006543,1.3611943735074317,1.3024945798441088,1.000530095198048,0.6841858151778164,0.48995470406917624,0.37868887536601553,0.33869126473276445,0.31796125067226805
31,20.0,5,0.41012968876669553,0.0015777993444756533,0.09249295610881497,0.0007093902171980453,0.43005484018834167,0.6589806411627951,0.7527973550059567,0.6736521504783997,0.5203772858412375,0.4011473765164618,0.33096363345979285,0.3123577032039313,0.3044295362349848
31,24.0,5,0.3952638509486255,0.001912029218649165,0.1816749428450256,0.0008381392860126267,0.06774918834580447,0.13144436387528013,0.20978724434722731,0.2555681141585265,0.26402446333629526,0.25298683845239583,0.24905853148694174,0.261979949807661,0.2739377770853322
