chi_over_J,gamma_c,eta_c_over_J,eta_c_raw_finite_chain,thermodynamic_alias_corrected
0.0,0.8625,0.19714313720935847,0.19714313720935847,0
0.0,0.865,0.19377710854876226,0.19377710854876226,0
0.0,0.8675,0.19039906496039002,0.19039906496039002,0
0.0,0.87,0.18700922399438258,0.18700922399438258,0
0.0,0.8725,0.18360781637502252,0.18360781637502252,0
0.0,0.875,0.18019507491747247,0.18019507491747247,0
0.0,0.8775000000000001,0.17677122167071427,0.17677122167071427,0
0.0,0.88,0.17333645977218096,0.17333645977218096,0
0.0,0.8825000000000001,0.16989097464743094,0.16989097464743094,0
0.0,0.885,0.1664349447860181,0.1664349447860181,0
0.0,0.8875000000000001,0.16296855740261865,0.16296855740261865,0
0.0,0.89,0.15949202132820509,0.15949202132820509,0
0.0,0.8925000000000001,0.15600557016986538,0.15600557016986538,0
0.0,0.895,0.15250945311832578,0.15250945311832578,0
0.0,0.8975,0.1490039168919022,0.1490039168919022,0
0.0,0.9,0.14548918722643842,0.14548918722643842,0
0.0,0.9025,0.14196545941503508,0.14196545941503508,0
0.0,0.905,0.13843290372473005,0.13843290372473005,0
0.0,0.9075,0.13489168446139574,0.13489168446139574,0
0.0,0.91,0.13134198427280536,0.13134198427280536,0
0.0,0.9125,0.12778402162966235,0.12778402162966235,0
0.0,0.915,0.12421805155584335,0.12421805155584335,0
0.0,0.9175,0.12064434714924599,0.12064434714924599,0
0.0,0.92,0.11706316904059962,0.11706316904059962,0
0.0,0.9225,0.11347473703239383,0.11347473703239383,0
0.0,0.925,0.10987921883335448,0.10987921883335448,0
0.0,0.9275,0.10627674392978495,0.10627674392978495,0
0.0,0.93,0.1026674387544006,0.1026674387544006,0
0.0,0.9325,0.09905146779650485,0.09905146779650485,0
0.0,0.935,0.09542906001242855,0.09542906001242855,0
0.0,0.9375,0.0918005043524415,0.0918005043524415,0
0.0,0.9400000000000001,0.08816611152834906,0.08816611152834906,0
0.0,0.9425,0.08452615588102678,0.08452615588102678,0
0.0,0.9450000000000001,0.08088082349485923,0.08088082349485923,0
0.0,0.9475,0.07723019375871407,0.07723019375871407,0
0.0,0.9500000000000001,0.07357426913108345,0.07357426913108345,0
0.0,0.9525,0.06991304589199557,0.06991304589199557,0
0.0,0.9550000000000001,0.06624659630367222,0.06624659630367222,0
0.0,0.9575,0.0625751205925328,0.0625751205925328,0
0.0,0.96,0.05889893299873904,0.05889893299873904,0
0.0,0.9625,0.05521837004193227,0.05521837004193227,0
0.0,0.965,0.05153364286729567,0.05153364286729567,0
0.0,0.9675,0.04784468488274367,0.04784468488274367,0
0.0,0.97,0.04415105632138696,0.04415105632138696,0
0.0,0.9725,0.040451950114297655,0.040451950114297655,0
0.0,0.975,0.036746299503371584,0.036746299503371584,0
0.0,0.9775,0.03303292735724019,0.03303292735724019,0
0.0,0.98,0.02931061366319225,0.02931061366319225,0
0.0,0.9825,0.025577895045626305,0.025577895045626305,0
0.0,0.985,0.021832315330903837,0.021832315330903837,0
0.0,0.9875,0.018068570405087917,0.018068570405087917,0
0.0,0.99,0.014273944818818388,0.014273944818818388,0
0.0,0.9925,0.010414748037456326,0.010414748037456326,0
0.0,0.995,0.006378929844274928,0.006378929844274928,0
0.0,0.9975,0.0077667534500878875,0.0077667534500878875,0
0.0,1.0,0.0,1489322155943.0918,0
0.5,0.0,0.0,1121278283394.0632,0
0.5,0.0025,0.007672434612834404,0.007672434612834404,0
0.5,0.005,0.006303360563018578,0.006303360563018578,0
0.5,0.0075,0.010291382270158987,0.010291382270158987,0
0.5,0.01,0.014104687068107774,0.014104687068107774,0
0.5,0.0125,0.01785400029523434,0.01785400029523434,0
0.5,0.015,0.021572575283716297,0.021572575283716297,0
0.5,0.0175,0.025272934430821983,0.025272934430821983,0
0.5,0.02,0.028960274886165382,0.028960274886165382,0
0.5,0.0225,0.03263698008732298,0.03263698008732298,0
0.5,0.025,0.03630445476083724,0.03630445476083724,0
0.5,0.0275,0.03996362559374133,0.03996362559374133,0
0.5,0.03,0.0436162639944208,0.0436162639944208,0
0.5,0.0325,0.04726276380743749,0.04726276380743749,0
0.5,0.035,0.05090404485537772,0.05090404485537772,0
0.5,0.0375,0.05454051410641675,0.05454051410641675,0
0.5,0.04,0.058172208099520915,0.058172208099520915,0
0.5,0.0425,0.06179896960751438,0.06179896960751438,0
0.5,0.045,0.0654528310479662,0.0654528310479662,0
0.5,0.0475,0.06903645894819752,0.06903645894819752,0
0.5,0.05,0.07264457262092282,0.07264457262092282,0
0.5,0.0525,0.07624750177664143,0.07624750177664143,0
0.5,0.055,0.07984430741432505,0.07984430741432505,0
0.5,0.0575,0.08343481813006573,0.08343481813006573,0
0.5,0.06,0.08701887072816179,0.08701887072816179,0
0.5,0.0625,0.09059622034797923,0.09059622034797923,0
0.5,0.065,0.09416632413558221,0.09416632413558221,0
0.5,0.0675,0.09772778712812928,0.09772778712812928,0
0.5,0.07,0.1012673538838801,0.1012673538838801,0
0.5,0.0725,0.10529268519717874,0.10529268519717874,0
0.5,0.075,0.10839078053873845,0.10839078053873845,0
0.5,0.0775,0.11189706445540022,0.11189706445540022,0
0.5,0.08,0.11541908678760686,0.11541908678760686,0
0.5,0.0825,0.11893142449971589,0.11893142449971589,0
0.5,0.085,0.12243233172423935,0.12243233172423935,0
0.5,0.08750000000000001,0.12592616010289764,0.12592616010289764,0
0.5,0.09,0.12941221541899084,0.12941221541899084,0
0.5,0.0925,0.13287997570187754,0.13287997570187754,0
0.5,0.095,0.13634028549175195,0.13634028549175195,0
0.5,0.0975,0.13979368079480062,0.13979368079480062,0
0.5,0.1,0.1432327744880747,0.1432327744880747,0
0.5,0.10250000000000001,0.14665908871242533,0.14665908871242533,0
0.5,0.105,0.1500725169749292,0.1500725169749292,0
0.5,0.1075,0.1534728267908945,0.1534728267908945,0
0.5,0.11,0.15686042384017443,0.15686042384017443,0
0.5,0.1125,0.16023955989336122,0.16023955989336122,0
0.5,0.115,0.163661505258117,0.163661505258117,0
0.5,0.11750000000000001,0.16557794253623329,0.16557794253623329,0
0.5,0.12,0.17030104865170387,0.17030104865170387,0
0.5,0.1225,0.17355113087017238,0.17355113087017238,0
0.5,0.125,0.17680295828818432,0.17680295828818432,0
0.5,0.1275,0.1800251925049611,0.1800251925049611,0
0.5,0.13,0.18319575787355472,0.18319575787355472,0
0.5,0.1325,0.1862784217962121,0.1862784217962121,0
0.5,0.135,0.1891900792168645,0.1891900792168645,0
0.5,0.1375,0.19168868761174204,0.19168868761174204,0
0.5,0.14,0.19276123997410805,0.19276123997410805,0
0.5,0.14250000000000002,0.18817671750867898,0.18817671750867898,0
0.5,0.145,0.19859936913589085,0.19859936913589085,0
0.5,0.1475,0.19377755202300825,0.19377755202300825,0
0.5,0.15,0.19742613414670385,0.19742613414670385,0
0.5,0.1525,0.208965681538659,0.208965681538659,0
0.5,0.155,0.2137519528998273,0.2137519528998273,0
0.5,0.1575,0.21748487342460132,0.21748487342460132,0
0.5,0.16,0.22086881171728837,0.22086881171728837,0
0.5,0.1625,0.22409244059642702,0.22409244059642702,0
0.5,0.165,0.22721908741523356,0.22721908741523356,0
0.5,0.1675,0.23028377483771142,0.23028377483771142,0
0.5,0.17,0.23329703986781047,0.23329703986781047,0
0.5,0.17250000000000001,0.2362658448904526,0.2362658448904526,0
0.5,0.17500000000000002,0.23919272455335677,0.23919272455335677,0
0.5,0.1775,0.2420780461763452,0.2420780461763452,0
0.5,0.18,0.24492133461003182,0.24492133461003182,0
0.5,0.1825,0.24772394920539695,0.24772394920539695,0
0.5,0.185,0.25050408646528194,0.25050408646528194,0
