ky,e_plus_real,e_plus_imag,e_minus_real,e_minus_imag
-1.78,1.9917515505787733,-0.8936857608986214,-1.9917515505787733,0.8936857608986214
-1.7749999999999999,1.9870947173711035,-0.89326391162083019,-1.9870947173711035,0.89326391162083019
-1.77,1.98243860646016,-0.89283975515413816,-1.98243860646016,0.89283975515413816
-1.7649999999999999,1.9777832173830596,-0.892413275877319,-1.9777832173830596,0.892413275877319
-1.76,1.9731285496370523,-0.89198445804443083,-1.9731285496370523,0.89198445804443083
-1.7549999999999999,1.968474602678844,-0.89155328578365589,-1.968474602678844,0.89155328578365589
-1.75,1.9638213759239165,-0.89111974309612541,-1.9638213759239165,0.89111974309612541
-1.7450000000000001,1.95916886874583,-0.89068381385473372,-1.95916886874583,0.89068381385473372
-1.74,1.9545170804755185,-0.89024548180293817,-1.9545170804755185,0.89024548180293817
-1.7349999999999999,1.9498660104005774,-0.88980473055354414,-1.9498660104005774,0.88980473055354414
-1.73,1.945215657764533,-0.88936154358747987,-1.945215657764533,0.88936154358747987
-1.7250000000000001,1.9405660217661072,-0.88891590425255373,-1.9405660217661072,0.88891590425255373
-1.72,1.9359171015584686,-0.88846779576220014,-1.9359171015584686,0.88846779576220014
-1.7149999999999999,1.9312688962484734,-0.88801720119420968,-1.9312688962484734,0.88801720119420968
-1.71,1.926621404895893,-0.88756410348944592,-1.926621404895893,0.88756410348944592
-1.7050000000000001,1.9219746265126301,-0.88710848545054699,-1.9219746265126301,0.88710848545054699
-1.7,1.9173285600619254,-0.88665032974061253,-1.9173285600619254,0.88665032974061253
-1.6950000000000001,1.9126832044575504,-0.88618961888187509,-1.9126832044575504,0.88618961888187509
-1.6899999999999999,1.9080385585629851,-0.88572633525435773,-1.9080385585629851,0.88572633525435773
-1.6850000000000001,1.9033946211905906,-0.88526046109451406,-1.9033946211905906,0.88526046109451406
-1.6799999999999999,1.8987513911007596,-0.88479197849385471,-1.8987513911007596,0.88479197849385471
-1.675,1.8941088670010628,-0.88432086939755616,-1.8941088670010628,0.88432086939755616
-1.6699999999999999,1.8894670475453759,-0.88384711560305451,-1.8894670475453759,0.88384711560305451
-1.665,1.8848259313329963,-0.8833706987586224,-1.8848259313329963,0.8833706987586224
-1.6599999999999999,1.8801855169077459,-0.88289160036192871,-1.8801855169077459,0.88289160036192871
-1.655,1.8755458027570595,-0.88240980175858341,-1.8755458027570595,0.88240980175858341
-1.6499999999999999,1.870906787311059,-0.88192528414066262,-1.870906787311059,0.88192528414066262
-1.645,1.8662684689416151,-0.88143802854521824,-1.8662684689416151,0.88143802854521824
-1.6400000000000001,1.8616308459613926,-0.88094801585276872,-1.8616308459613926,0.88094801585276872
-1.635,1.8569939166228808,-0.88045522678577337,-1.8569939166228808,0.88045522678577337
-1.6299999999999999,1.8523576791174128,-0.8799596419070862,-1.8523576791174128,0.8799596419070862
-1.625,1.847722131574163,-0.87946124161839456,-1.847722131574163,0.87946124161839456
-1.6200000000000001,1.8430872720591363,-0.87896000615863501,-1.8430872720591363,0.87896000615863501
-1.615,1.8384530985741354,-0.87845591560239378,-1.8384530985741354,0.87845591560239378
-1.6099999999999999,1.8338196090557179,-0.87794894985828587,-1.8338196090557179,0.87794894985828587
-1.605,1.8291868013741321,-0.87743908866731535,-1.8291868013741321,0.87743908866731535
-1.6000000000000001,1.8245546733322386,-0.87692631160121515,-1.8245546733322386,0.87692631160121515
-1.595,1.8199232226644158,-0.87641059806076749,-1.8199232226644158,0.87641059806076749
-1.5899999999999999,1.815292447035447,-0.87589192727410281,-1.815292447035447,0.87589192727410281
-1.585,1.8106623440393925,-0.87537027829497782,-1.8106623440393925,0.87537027829497782
