mass,branch,kx,ky,radicand_real,radicand_imag
-0.92799999999999994,plus,0.92799999999999994,0.52690796160240383,-2.2204460492503131e-16,0
-0.92799999999999994,minus,0.92799999999999994,-0.52690796160240383,-2.2204460492503131e-16,0
-0.92400000000000004,plus,0.92400000000000004,0.54078461516577914,0,0
-0.92400000000000004,minus,0.92400000000000004,-0.54078461516577914,0,0
-0.92000000000000004,plus,0.92000000000000004,0.55425625842204063,0,0
-0.92000000000000004,minus,0.92000000000000004,-0.55425625842204063,0,0
-0.91600000000000004,plus,0.91600000000000004,0.56735174274871136,0,0
-0.91600000000000004,minus,0.91600000000000004,-0.56735174274871136,0,0
-0.91200000000000003,plus,0.91200000000000003,0.58009654368906549,0,0
-0.91200000000000003,minus,0.91200000000000003,-0.58009654368906549,0,0
-0.90800000000000003,plus,0.90800000000000003,0.59251329099016825,0,0
-0.90800000000000003,minus,0.90800000000000003,-0.59251329099016825,0,0
-0.90400000000000003,plus,0.90400000000000003,0.60462219608611778,0,0
-0.90400000000000003,minus,0.90400000000000003,-0.60462219608611778,0,0
-0.90000000000000002,plus,0.90000000000000002,0.61644140029689753,0,0
-0.90000000000000002,minus,0.90000000000000002,-0.61644140029689753,0,0
-0.89600000000000002,plus,0.89600000000000002,0.62798726101729152,0,0
-0.89600000000000002,minus,0.89600000000000002,-0.62798726101729152,0,0
-0.89200000000000002,plus,0.89200000000000002,0.63927458888962563,-2.2204460492503131e-16,0
-0.89200000000000002,minus,0.89200000000000002,-0.63927458888962563,-2.2204460492503131e-16,0
-0.88800000000000001,plus,0.88800000000000001,0.65031684585285032,-2.2204460492503131e-16,0
-0.88800000000000001,minus,0.88800000000000001,-0.65031684585285032,-2.2204460492503131e-16,0
-0.88400000000000001,plus,0.88400000000000001,0.66112631168332725,0,0
-0.88400000000000001,minus,0.88400000000000001,-0.66112631168332725,0,0
-0.88,plus,0.88,0.67171422494986666,0,0
-0.88,minus,0.88,-0.67171422494986666,0,0
-0.876,plus,0.876,0.68209090303272635,0,0
-0.876,minus,0.876,-0.68209090303272635,0,0
-0.872,plus,0.872,0.69226584488908605,0,0
-0.872,minus,0.872,-0.69226584488908605,0,0
-0.86799999999999999,plus,0.86799999999999999,0.70224781950533677,0,0
-0.86799999999999999,minus,0.86799999999999999,-0.70224781950533677,0,0
-0.86399999999999999,plus,0.86399999999999999,0.71204494240181226,0,0
-0.86399999999999999,minus,0.86399999999999999,-0.71204494240181226,0,0
-0.85999999999999999,plus,0.85999999999999999,0.72166474210674869,0,0
-0.85999999999999999,minus,0.85999999999999999,-0.72166474210674869,0,0
-0.85599999999999998,plus,0.85599999999999998,0.73111421816293531,2.2204460492503131e-16,0
-0.85599999999999998,minus,0.85599999999999998,-0.73111421816293531,2.2204460492503131e-16,0
-0.85199999999999998,plus,0.85199999999999998,0.74039989195028921,-2.2204460492503131e-16,0
-0.85199999999999998,minus,0.85199999999999998,-0.74039989195028921,-2.2204460492503131e-16,0
-0.84799999999999998,plus,0.84799999999999998,0.74952785138378952,0,0
-0.84799999999999998,minus,0.84799999999999998,-0.74952785138378952,0,0
-0.84399999999999997,plus,0.84399999999999997,0.75850379036627102,0,0
-0.84399999999999997,minus,0.84399999999999997,-0.75850379036627102,0,0
-0.83999999999999997,plus,0.83999999999999997,0.7673330437300353,2.2204460492503131e-16,0
-0.83999999999999997,minus,0.83999999999999997,-0.7673330437300353,2.2204460492503131e-16,0
-0.83599999999999997,plus,0.83599999999999997,0.77602061828278768,0,0
-0.83599999999999997,minus,0.83599999999999997,-0.77602061828278768,0,0
-0.83199999999999996,plus,0.83199999999999996,0.78457122047650973,0,0
-0.83199999999999996,minus,0.83199999999999996,-0.78457122047650973,0,0
-0.82799999999999996,plus,0.82799999999999996,0.79298928113815015,0,0
-0.82799999999999996,minus,0.82799999999999996,-0.79298928113815015,0,0
-0.82400000000000007,plus,0.82400000000000007,0.80127897763513034,0,0
-0.82400000000000007,minus,0.82400000000000007,-0.80127897763513034,0,0
-0.82000000000000006,plus,0.82000000000000006,0.80944425379392237,0,0
-0.82000000000000006,minus,0.82000000000000006,-0.80944425379392237,0,0
-0.81600000000000006,plus,0.81600000000000006,0.81748883784428505,0,0
-0.81600000000000006,minus,0.81600000000000006,-0.81748883784428505,0,0
-0.81200000000000006,plus,0.81200000000000006,0.82541625862348988,0,0
-0.81200000000000006,minus,0.81200000000000006,-0.82541625862348988,0,0
-0.80800000000000005,plus,0.80800000000000005,0.83322986024265822,0,0
-0.80800000000000005,minus,0.80800000000000005,-0.83322986024265822,0,0
-0.80400000000000005,plus,0.80400000000000005,0.84093281539014741,0,0
-0.80400000000000005,minus,0.80400000000000005,-0.84093281539014741,0,0
-0.80000000000000004,plus,0.80000000000000004,0.84852813742385691,0,0
-0.80000000000000004,minus,0.80000000000000004,-0.84852813742385691,0,0
-0.79600000000000004,plus,0.79600000000000004,0.85601869138471498,0,0
-0.79600000000000004,minus,0.79600000000000004,-0.85601869138471498,0,0
-0.79200000000000004,plus,0.79200000000000004,0.86340720404685056,-2.2204460492503131e-16,0
-0.79200000000000004,minus,0.79200000000000004,-0.86340720404685056,-2.2204460492503131e-16,0
-0.78800000000000003,plus,0.78800000000000003,0.87069627310561049,0,0
-0.78800000000000003,minus,0.78800000000000003,-0.87069627310561049,0,0
-0.78400000000000003,plus,0.78400000000000003,0.87788837559225019,0,0
-0.78400000000000003,minus,0.78400000000000003,-0.87788837559225019,0,0
-0.78000000000000003,plus,0.78000000000000003,0.88498587559350339,0,0
-0.78000000000000003,minus,0.78000000000000003,-0.88498587559350339,0,0
-0.77600000000000002,plus,0.77600000000000002,0.89199103134504665,0,0
-0.77600000000000002,minus,0.77600000000000002,-0.89199103134504665,0,0
-0.77200000000000002,plus,0.77200000000000002,0.89890600175991697,0,0
-0.77200000000000002,minus,0.77200000000000002,-0.89890600175991697,0,0
-0.76800000000000002,plus,0.76800000000000002,0.90573285244601787,0,0
-0.76800000000000002,minus,0.76800000000000002,-0.90573285244601787,0,0
-0.76400000000000001,plus,0.76400000000000001,0.91247356126081813,0,0
-0.76400000000000001,minus,0.76400000000000001,-0.91247356126081813,0,0
-0.76000000000000001,plus,0.76000000000000001,0.91913002344608463,0,0
-0.76000000000000001,minus,0.76000000000000001,-0.91913002344608463,0,0
-0.75600000000000001,plus,0.75600000000000001,0.92570405638087161,0,0
-0.75600000000000001,minus,0.75600000000000001,-0.92570405638087161,0,0
-0.752,plus,0.752,0.93219740398694528,2.2204460492503131e-16,0
-0.752,minus,0.752,-0.93219740398694528,2.2204460492503131e-16,0
-0.748,plus,0.748,0.93861174081725618,0,0
-0.748,minus,0.748,-0.93861174081725618,0,0
-0.74399999999999999,plus,0.74399999999999999,0.94494867585493758,0,0
-0.74399999999999999,minus,0.74399999999999999,-0.94494867585493758,0,0
-0.73999999999999999,plus,0.73999999999999999,0.95120975604752922,0,0
-0.73999999999999999,minus,0.73999999999999999,-0.95120975604752922,0,0
-0.73599999999999999,plus,0.73599999999999999,0.95739646959867164,0,0
-0.73599999999999999,minus,0.73599999999999999,-0.95739646959867164,0,0
-0.73199999999999998,plus,0.73199999999999998,0.96351024903734162,0,0
-0.73199999999999998,minus,0.73199999999999998,-0.96351024903734162,0,0
-0.72799999999999998,plus,0.72799999999999998,0.96955247408275946,0,0
-0.72799999999999998,minus,0.72799999999999998,-0.96955247408275946,0,0
-0.72399999999999998,plus,0.72399999999999998,0.97552447432137757,0,0
-0.72399999999999998,minus,0.72399999999999998,-0.97552447432137757,0,0
-0.71999999999999997,plus,0.71999999999999997,0.98142753171082375,-2.2204460492503131e-16,0
-0.71999999999999997,minus,0.71999999999999997,-0.98142753171082375,-2.2204460492503131e-16,0
-0.71599999999999997,plus,0.71599999999999997,0.98726288292429998,0,0
-0.71599999999999997,minus,0.71599999999999997,-0.98726288292429998,0,0
-0.71199999999999997,plus,0.71199999999999997,0.99303172154770569,0,0
-0.71199999999999997,minus,0.71199999999999997,-0.99303172154770569,0,0
-0.70799999999999996,plus,0.70799999999999996,0.99873520014065797,0,0
-0.70799999999999996,minus,0.70799999999999996,-0.99873520014065797,0,0
-0.70399999999999996,plus,0.70399999999999996,1.0043744321715882,0,0
-0.70399999999999996,minus,0.70399999999999996,-1.0043744321715882,0,0
-0.69999999999999996,plus,0.69999999999999996,1.0099504938362078,0,0
-0.69999999999999996,minus,0.69999999999999996,-1.0099504938362078,0,0
-0.69599999999999995,plus,0.69599999999999995,1.0154644257678356,0,0
-0.69599999999999995,minus,0.69599999999999995,-1.0154644257678356,0,0
-0.69199999999999995,plus,0.69199999999999995,1.0209172346473538,0,0
-0.69199999999999995,minus,0.69199999999999995,-1.0209172346473538,0,0
-0.68799999999999994,plus,0.68799999999999994,1.0263098947199136,2.2204460492503131e-16,0
-0.68799999999999994,minus,0.68799999999999994,-1.0263098947199136,2.2204460492503131e-16,0
-0.68399999999999994,plus,0.68399999999999994,1.0316433492249151,0,0
-0.68399999999999994,minus,0.68399999999999994,-1.0316433492249151,0,0
-0.67999999999999994,plus,0.67999999999999994,1.0369185117452577,0,0
-0.67999999999999994,minus,0.67999999999999994,-1.0369185117452577,0,0
-0.67599999999999993,plus,0.67599999999999993,1.0421362674813692,0,0
-0.67599999999999993,minus,0.67599999999999993,-1.0421362674813692,0,0
