chain_length,scaled_quench_time_tau_over_n2,quench_time,ground_state_probability,one_mode_approximation
32,0.15719463626756783,160.96730753798946,0.9999415910116308,0.9999415910116308
32,0.17731025704542186,181.56570321451198,0.9999832223309071,0.9999832223309071
32,0.2,204.8,0.9999958917387485,0.9999958917387485
64,0.001,4.096,0.019152344815941805,0.060128911823654096
64,0.0011279663305026155,4.620150089738713,0.025129502213371884,0.0675577617323806
64,0.0012723080427475358,5.211373743093906,0.03245287159045774,0.07586680786090738
64,0.0014351206342469028,5.878254117875314,0.04128881711759524,0.08515030495474141
64,0.0016187677556400654,6.630472727101708,0.051796572354884204,0.09550990212078381
64,0.0018259155252652811,7.478949991486592,0.06412330435823714,0.10705445869166119
64,0.002059571234841233,8.43600377790969,0.07839948884524775,0.11989958591124816
64,0.0023231270081726088,9.515528225475006,0.0947348384962788,0.13416683366935434
64,0.0026204090466999774,10.733195455283107,0.11321496852890883,0.14998242720506327
64,0.0029557331768220304,12.106683092263037,0.13389882996803842,0.16747544440086914
64,0.003333967505404784,13.655930902137996,0.15681674013829425,0.18677531136398084
64,0.0037606030930863936,15.403430269281868,0.18196883753898513,0.2080084845003466
64,0.004241833671385446,17.374550717994786,0.2093242724115997,0.2312941841986793
64,0.004784645560915079,19.597908217508163,0.23882230736403068,0.2567390526301693
64,0.00539691909610101,22.105780617629737,0.2703769688619377,0.28443063137683455
64,0.006087543028848549,24.934576246163658,0.3038859609008261,0.314429600286926
64,0.006866543572027084,28.125362471022935,0.33924202054746644,0.34676079492049006
64,0.007745229956175704,31.724461900495683,0.3763419675497527,0.3814031345720569
64,0.008736358612566452,35.78412487707219,0.41508740534646504,0.4182787539349283
64,0.009854318366171502,40.36328802783847,0.45537276492174406,0.4572418441923106
64,0.011115339327095,45.52842988378112,0.4970608100193481,0.49806797315146867
64,0.01253772851307476,51.354535989554215,0.5399508855048158,0.540444958368659
64,0.01414213562373095,57.926187514801974,0.583748643295322,0.583966685918032
64,0.01595185282497012,65.33878917107761,0.6280461340285045,0.6281315530590463
64,0.01799315289569933,73.69995426078445,0.6723181292488134,0.6723473920834798
64,0.020295670645934495,83.13106696574769,0.7159360849932102,0.7159447049578862
64,0.022892833143584382,93.76904455612163,0.7581975423400761,0.7581996847144497
64,0.02582234499577753,105.76832510270476,0.7983672621435385,0.7983677019320282
64,0.02912673572985976,119.30310954950558,0.8357265415933459,0.8357266143996698
64,0.03285397722072934,134.56989069610736,0.8696274219885831,0.8696274314511558
64,0.03705818012808261,151.79030580462637,0.8995477072620592,0.8995477081988937
64,0.04180037945417829,171.21435424431428,0.9251409495165217,0.9251409495848195
64,0.04714942062654641,193.1240268863341,0.9462738785329576,0.9462738785364868
64,0.05318295896944989,217.83739993886675,0.9630434019654308,0.9630434019655546
64,0.05998858707404156,245.71325265527423,0.9757671337316782,0.9757671337316811
64,0.06766510643394333,277.1562759534319,0.9849456158323096,0.9849456158323096
64,0.07632396180736398,312.62294756296285,0.9912003537244979,0.9912003537244979
64,0.08609085912927414,352.6281589935069,0.9951979578115119,0.9951979578115119
64,0.09710759046186494,397.7526905317988,0.9975749172591477,0.9975749172591477
64,0.10953409247722065,448.6516427866958,0.9988778275158957,0.9988778275158957
