field_g,momentum_k,energy
0.5,1.0185632431560658,1.7034204616847024
0.5,1.043106935762236,1.7279602035628974
0.5,1.0676506283684062,1.7525024712346369
0.5,1.0921943209745766,1.7770326829203338
0.5,1.1167380135807468,1.8015368566437626
0.5,1.141281706186917,1.8260015771103404
0.5,1.1658253987930873,1.8504139644295294
0.5,1.1903690913992575,1.8747616446344986
0.5,1.214912784005428,1.8990327219408996
0.5,1.239456476611598,1.923215752678557
0.5,1.2640001692177683,1.947299720824477
0.5,1.2885438618239387,1.9712740150622863
0.5,1.3130875544301088,1.9951284072916062
0.5,1.337631247036279,2.0188530325106173
0.5,1.3621749396424494,2.042438369995806
0.5,1.3867186322486196,2.0658752257044557
0.5,1.41126232485479,2.089154715827565
0.5,1.4358060174609601,2.112268251423454
0.5,1.4603497100671303,2.135207524065159
0.5,1.4848934026733007,2.1579644924377788
0.5,1.509437095279471,2.180531369825063
0.5,1.533980787885641,2.202900612427752
0.5,1.5585244804918115,2.225064908459329
0.5,1.5830681730979816,2.2470171679679884
0.5,1.607611865704152,2.268750513336677
0.5,1.6321555583103222,2.2902582704159884
0.5,1.6566992509164924,2.3115339602475578
0.5,1.6812429435226628,2.3325712913382803
0.5,1.705786636128833,2.353364152448257
0.5,1.7303303287350031,2.3739066058578304
0.5,1.7548740213411735,2.394192881081339
0.5,1.7794177139473437,2.4142173689974302
0.5,1.8039614065535141,2.4339746163677805
0.5,1.8285050991596843,2.4534593207180055
0.5,1.8530487917658545,2.472666325556324
0.5,1.8775924843720249,2.4915906159072185
0.5,1.902136176978195,2.510227314138911
0.5,1.9266798695843652,2.528571676064916
0.5,1.9512235621905356,2.5466190873013086
0.5,1.9757672547967058,2.5643650598626144
0.5,2.000310947402876,2.5818052289804023
0.5,2.024854640009046,2.598935350129762
0.5,2.0493983326152168,2.6157512962498863
0.5,2.073942025221387,2.6322490551459015
0.5,2.098485717827557,2.6484247270600063
0.5,2.1230294104337273,2.664274522400774
0.5,2.1475731030398975,2.679794759620256
0.5,2.172116795646068,2.6949818632292226
0.5,2.1966604882522383,2.7098323619415567
0.5,2.2212041808584084,2.7243428869393993
0.5,2.2457478734645786,2.738510170251253
0.5,2.270291566070749,2.752331043235745
0.5,2.2948352586769194,2.765802435164285
0.5,2.3193789512830896,2.7789213718962635
0.5,2.3439226438892597,2.791684974640923
0.5,2.36846633649543,2.804090458800371
0.5,2.3930100291016,2.816135132888628
0.5,2.4175537217077703,2.827816397521918
0.5,2.442097414313941,2.8391317444757362
0.5,2.466641106920111,2.850078755804544
0.5,2.4911847995262812,2.860655103020204
0.5,2.5157284921324514,2.870858546325538
0.5,2.5402721847386216,2.8806869338996384
0.5,2.564815877344792,2.890138201231794
0.5,2.5893595699509624,2.8992103705010885
0.5,2.6139032625571326,2.907901549998959
0.5,2.6384469551633027,2.916209933592166
0.5,2.662990647769473,2.924133800223823
0.5,2.6875343403756435,2.931671513450273
