qubits,dimension,alpha,unitary_stage_exponent,reconstruction_frobenius_residual,minimum_product_factor_eigenvalue,control_register_negativity,reconstructed_trace_error
3,8,0.0,1.0,3.1217707329165235e-16,-1.0955821026688843e-16,0.0,4.196913848871886e-19
3,8,0.25,0.0,2.0157790300915146e-16,-2.0458439000442012e-16,0.0,2.220519214967838e-16
3,8,0.25,0.25,4.817013809541006e-16,-2.238015794399764e-16,0.0,1.1102279818394438e-15
3,8,0.25,0.5,3.3338894363645986e-16,-1.5373156106846388e-16,0.0,3.701384218465745e-18
3,8,0.25,0.75,2.7738357109494483e-16,-1.4655164401075635e-16,0.0,2.220501679618152e-16
3,8,0.25,1.0,3.339821481990654e-16,-1.0955821026688843e-16,0.0,4.196913848871886e-19
3,8,0.5,0.0,2.483346305330786e-16,-2.0458439000442012e-16,0.0,2.220519214967838e-16
3,8,0.5,0.25,5.52053831241113e-16,-2.238015794399764e-16,0.0,1.1102279818394438e-15
3,8,0.5,0.5,4.1558441733479333e-16,-1.5373156106846388e-16,0.0,3.701384218465745e-18
3,8,0.5,0.75,3.4566722310720114e-16,-1.4655164401075635e-16,0.0,2.220501679618152e-16
3,8,0.5,1.0,3.9218965564612346e-16,-1.0955821026688843e-16,0.0,4.196913848871886e-19
3,8,1.0,0.0,3.8185840266221174e-16,-2.0458439000442012e-16,2.72036946792207e-16,2.220519214967838e-16
3,8,1.0,0.25,7.717980832365455e-16,-2.238015794399764e-16,1.6018172805777434e-16,1.1102279818394438e-15
3,8,1.0,0.5,6.472706456354713e-16,-2.220446049250313e-16,2.35528330000693e-16,3.701384218465745e-18
3,8,1.0,0.75,5.382030876905861e-16,-2.220446049250313e-16,1.5526593588356666e-16,2.220501679618152e-16
3,8,1.0,1.0,5.682317561668606e-16,-1.0955821026688843e-16,1.405437426064518e-16,4.196913848871886e-19
4,16,0.0,0.0,1.6821357469352655e-16,-3.2652443115375514e-16,0.0,1.5973213964825775e-18
4,16,0.0,0.25,2.981727398270136e-16,-3.903435473249012e-16,0.0,4.440892315314089e-16
4,16,0.0,0.5,3.078751524972922e-16,-2.317588677414624e-16,0.0,4.440990531386278e-16
4,16,0.0,0.75,3.330990274453112e-16,-2.350043825726667e-16,0.0,6.661338673392001e-16
4,16,0.0,1.0,3.0430980837462433e-16,-3.2301724254488093e-16,0.0,1.2039316940587649e-18
4,16,0.25,0.0,1.892051032138876e-16,-3.2652443115375514e-16,0.0,1.5973213964825775e-18
4,16,0.25,0.25,3.2842398799569736e-16,-3.903435473249012e-16,0.0,4.440892315314089e-16
4,16,0.25,0.5,3.318004720066606e-16,-2.317588677414624e-16,0.0,4.440990531386278e-16
4,16,0.25,0.75,3.5548522720063513e-16,-2.350043825726667e-16,0.0,6.661338673392001e-16
4,16,0.25,1.0,3.2681845039584023e-16,-3.2301724254488093e-16,0.0,1.2039316940587649e-18
4,16,0.5,0.0,2.414681432305047e-16,-3.2652443115375514e-16,0.0,1.5973213964825775e-18
4,16,0.5,0.25,4.058673616295698e-16,-3.903435473249012e-16,0.0,4.440892315314089e-16
4,16,0.5,0.5,3.949745362927568e-16,-2.317588677414624e-16,0.0,4.440990531386278e-16
4,16,0.5,0.75,4.1546853163207447e-16,-2.350043825726667e-16,0.0,6.661338673392001e-16
4,16,0.5,1.0,3.8655894719635127e-16,-3.2301724254488093e-16,0.0,1.2039316940587649e-18
4,16,1.0,0.0,3.8514936926759503e-16,-3.2652443115375514e-16,3.6783984975450304e-16,1.5973213964825775e-18
4,16,1.0,0.25,6.262525948982152e-16,-3.903435473249012e-16,3.7238932655547415e-16,4.440892315314089e-16
4,16,1.0,0.5,5.8280203217132e-16,-2.317588677414624e-16,3.1189326306733094e-16,4.440990531386278e-16
4,16,1.0,0.75,5.979895624933697e-16,-2.350043825726667e-16,2.4303481967168437e-16,6.661338673392001e-16
4,16,1.0,1.0,5.65595173433441e-16,-3.2301724254488093e-16,2.8352024314433205e-16,1.2039316940587649e-18
