generator,instance,phase_index,eigenphase
qr_haar,15,27,5.444883326509442
qr_haar,15,28,5.59147607399353
qr_haar,15,29,5.713124331507165
qr_haar,15,30,5.945416929685532
qr_haar,15,31,6.123875755447448
qr_haar,16,0,0.22948217081257777
qr_haar,16,1,0.26761706662780893
qr_haar,16,2,0.45001098272850415
qr_haar,16,3,0.7627105576444534
qr_haar,16,4,0.9667255924384502
qr_haar,16,5,1.0560922317406136
qr_haar,16,6,1.2106292138935066
qr_haar,16,7,1.373968535684365
qr_haar,16,8,1.6274672366774698
qr_haar,16,9,1.9413824965927369
qr_haar,16,10,2.04054074497752
qr_haar,16,11,2.271707416131967
qr_haar,16,12,2.4204759804209397
qr_haar,16,13,2.64634473963827
qr_haar,16,14,2.872513189268441
qr_haar,16,15,2.938368033347332
qr_haar,16,16,3.2587556842650267
qr_haar,16,17,3.318761282704019
qr_haar,16,18,3.7299948341681914
qr_haar,16,19,3.846563081350398
qr_haar,16,20,4.020272086598874
qr_haar,16,21,4.199307173431613
qr_haar,16,22,4.357130549650236
qr_haar,16,23,4.497748312204372
qr_haar,16,24,4.787268669526585
qr_haar,16,25,4.96951378810462
qr_haar,16,26,5.183582511644872
qr_haar,16,27,5.293123857666487
qr_haar,16,28,5.582626682082604
qr_haar,16,29,5.9074174163426845
qr_haar,16,30,6.003522117830154
qr_haar,16,31,6.095665017101936
qr_haar,17,0,0.07013521428795524
qr_haar,17,1,0.16878554746644855
qr_haar,17,2,0.36423059019341264
qr_haar,17,3,0.4735779702902793
qr_haar,17,4,0.7600938661008473
qr_haar,17,5,0.8857088760504397
qr_haar,17,6,1.1670402633755448
qr_haar,17,7,1.3231099829765398
qr_haar,17,8,1.5689502808587827
qr_haar,17,9,1.6275796185275535
qr_haar,17,10,2.10100009629096
qr_haar,17,11,2.2252175958410345
qr_haar,17,12,2.405215286303597
qr_haar,17,13,2.72724048924737
qr_haar,17,14,2.8914090984228196
qr_haar,17,15,3.0408720788194477
qr_haar,17,16,3.2296444783190768
qr_haar,17,17,3.328014211161449
qr_haar,17,18,3.511535974022315
qr_haar,17,19,3.7203752585792587
qr_haar,17,20,3.8071369105741835
qr_haar,17,21,4.005028026296574
qr_haar,17,22,4.165519954421267
qr_haar,17,23,4.354622688022782
qr_haar,17,24,4.566177272790847
qr_haar,17,25,4.70079923098228
qr_haar,17,26,5.015830116616579
qr_haar,17,27,5.093557850176749
qr_haar,17,28,5.396685563754116
qr_haar,17,29,5.484307297178097
qr_haar,17,30,5.924111743251855
qr_haar,17,31,6.006219394784606
qr_haar,18,0,0.12258624880464637
qr_haar,18,1,0.25773191578445837
qr_haar,18,2,0.569946329506967
qr_haar,18,3,0.7513117850699724
qr_haar,18,4,0.8869010542333182
qr_haar,18,5,1.2437001453489016
qr_haar,18,6,1.4336295146385185
qr_haar,18,7,1.6314946988123273
qr_haar,18,8,1.8333106776186179
qr_haar,18,9,2.0232372341922114
qr_haar,18,10,2.2260097492873725
qr_haar,18,11,2.33006539196468
qr_haar,18,12,2.5652191729812346
qr_haar,18,13,2.8148542906897887
qr_haar,18,14,3.129997295043647
qr_haar,18,15,3.1764635167782846
qr_haar,18,16,3.3978688974136273
qr_haar,18,17,3.5765679963584627
qr_haar,18,18,3.62231702843588
qr_haar,18,19,3.8193873875015685
qr_haar,18,20,3.973059536239913
qr_haar,18,21,4.309608143090746
qr_haar,18,22,4.4999484458353525
qr_haar,18,23,4.63868021734485
qr_haar,18,24,4.888943281968638
qr_haar,18,25,5.204798345643862
qr_haar,18,26,5.309312873698841
qr_haar,18,27,5.4125347784570925
qr_haar,18,28,5.586259093373774
qr_haar,18,29,5.842110266262352
qr_haar,18,30,6.048774492624262
qr_haar,18,31,6.254248735740243
qr_haar,19,0,0.28724233035369007
qr_haar,19,1,0.4821667904564336
qr_haar,19,2,0.8338437617712966
qr_haar,19,3,1.0158163899420836
qr_haar,19,4,1.1530334343100523
qr_haar,19,5,1.3905634099384068
qr_haar,19,6,1.4933696795113873
qr_haar,19,7,1.670291219388487
qr_haar,19,8,1.83949575185213
qr_haar,19,9,2.014490154809213
qr_haar,19,10,2.1117098661916365
qr_haar,19,11,2.344084210717668
qr_haar,19,12,2.752264970489788
qr_haar,19,13,2.8560024520619494
qr_haar,19,14,3.0014478702372607
qr_haar,19,15,3.160852734083084
qr_haar,19,16,3.4239275377922196
qr_haar,19,17,3.4981149750330696
qr_haar,19,18,3.7244813041507903
qr_haar,19,19,3.8653123290810396
qr_haar,19,20,4.293229769163106
