alpha_index,alpha,analytic_discord,qr_haar_mean,qr_haar_std,qr_haar_sem,qr_haar_ci95_low,qr_haar_ci95_high,qr_haar_mean_minus_analytic,independent_brickwork_mean,independent_brickwork_std,independent_brickwork_sem,independent_brickwork_ci95_low,independent_brickwork_ci95_high,independent_brickwork_mean_minus_analytic,generator_mean_difference
10,0.25,0.022843996458733792,0.021955223943141214,0.0004746910180579394,2.1228827693722653e-05,0.021913616205427512,0.021996831680854916,-0.0008887725155925785,0.021935605605003218,0.00047920888263326705,2.143087273979407e-05,0.02189360186627596,0.021977609343730477,-0.0009083908537305743,-1.9618338137995794e-05
11,0.275,0.027720634793378142,0.026642830814567017,0.0005756428200590942,2.5743529528236283e-05,0.02659237442385673,0.026693287205277305,-0.0010778039788111246,0.026619073370573277,0.0005811387365754595,2.5989314386821414e-05,0.026568135250392217,0.026670011490754337,-0.001101561422804865,-2.375744399374033e-05
12,0.30000000000000004,0.033094681683901755,0.031808852226481714,0.0006867285493583557,3.071143436910206e-05,0.03174865892120471,0.03186904553175872,-0.0012858294574200416,0.0317805553324551,0.0006933092270590465,3.100573122263729e-05,0.0317197852159444,0.0318413254489658,-0.0013141263514466553,-2.8296894026613728e-05
13,0.325,0.03897594211872506,0.03746279737472608,0.0008080975369086619,3.613922049955826e-05,0.0373919658041176,0.03753362894533457,-0.0015131447439989745,0.03742956141913517,0.0008158782125140373,3.648718289084814e-05,0.03735804785477178,0.03750107498349856,-0.001546380699589886,-3.323595559091147e-05
14,0.35000000000000003,0.04537546695505333,0.0436153884138252,0.0009399202986624555,4.20345136248231e-05,0.04353300228101289,0.043697774546637515,-0.00176007854122813,0.043576810291907034,0.0009490192711833499,4.2441432046465555e-05,0.04349362661364366,0.04365999397017041,-0.0017986566631462975,-3.857812191816745e-05
15,0.375,0.05230567724095987,0.050278672421230894,0.0010823861323512427,4.840577939680925e-05,0.05018379883696956,0.05037354600549223,-0.002027004819728978,0.05023435075317731,0.0010929255532923846,4.887711663016682e-05,0.05013855336491402,0.0503301481414406,-0.0020713264877825627,-4.432166805358462e-05
16,0.4,0.05978051144121416,0.057466177417797464,0.0012357049104104725,5.526240359616208e-05,0.05735786509704987,0.05757448973854506,-0.0023143340234166934,0.05741570285483838,0.0012478139268806774,5.5803935275522937e-05,0.05730632915150275,0.05752507655817401,-0.0023648085863757773,-5.047456295908387e-05
17,0.42500000000000004,0.06781560028340305,0.06519307207468779,0.001400108268325171,6.261474527669196e-05,0.06507034942904433,0.06531579472033125,-0.0026225282087152663,0.06513603497606357,0.001413921868982758,6.323250827837996e-05,0.06501210153718581,0.06525996841494133,-0.002679565307339482,-5.70370986242158e-05
18,0.45,0.07642847522740767,0.07347636592009629,0.0015758522794001547,7.047425638473475e-05,0.07333823891574497,0.07361449292444762,-0.002952109307311379,0.0734123605046125,0.0015915210630067433,7.117498569011607e-05,0.07327286009605972,0.07355186091316528,-0.0030161147227951712,-6.400541548379213e-05
19,0.47500000000000003,0.08563881826335357,0.08233515842977795,0.0017632156196901567,7.885339969233214e-05,0.08218060860632244,0.08248970825323347,-0.0033036598335756118,0.08226378253794576,0.0017809058695218729,7.964453171558557e-05,0.08210768212421767,0.08241988295167386,-0.0033750357254078017,-7.137589183218995e-05
