state_index_1_based,graph_E_probability,graph_F_probability
93,3.637149968344823e-08,1.0515205312874717e-09
94,4.075683522195588e-09,3.2997876720543736e-11
95,2.5742704255943366e-13,1.1364179057951588e-12
96,5.4604856283584495e-09,1.6581899552531871e-09
97,6.596833691800852e-09,2.6557155415823944e-09
98,3.4321329260392914e-13,3.172398195908467e-08
99,4.359750475821886e-07,1.5240358028189173e-09
100,6.13009431519766e-07,5.729145254994038e-07
101,7.184242248979484e-09,1.2186289743827836e-05
102,1.3772966148988054e-07,6.04350688956408e-09
103,6.550794933552993e-06,2.470570223303943e-06
104,6.760452168477619e-08,1.9695142331936798e-07
105,3.9239493131579315e-08,6.079909882795177e-08
106,4.098096757933812e-08,9.85912242029119e-09
107,7.003135354899891e-10,6.533156284264025e-08
108,3.0309215210261345e-10,5.113577524356459e-12
109,4.1760758252247367e-10,2.0214276367650405e-09
110,4.075683522185969e-09,1.4172119056115601e-08
111,6.596833691807549e-09,1.7196134132514202e-08
112,4.075683522190935e-09,3.2997876719952586e-11
113,5.251549369416612e-13,2.5556015484303166e-11
114,4.000461101572846e-09,1.568921180169019e-09
115,6.596833691857646e-09,4.104166199461454e-08
116,4.000461101562865e-09,2.2585186145038042e-07
117,5.4646190409242584e-05,3.2999779998421754e-09
118,1.5347272799981226e-12,1.8274850501523373e-11
119,2.6773764927178615e-13,2.245630963652134e-12
120,2.3536326761269837e-10,8.852301800446288e-12
121,2.677376492693893e-13,2.1185001267240516e-15
122,1.4651469244241545e-16,3.3913565876325283e-16
123,1.7149917326645695e-12,1.4842598020683666e-12
124,2.3536326761424163e-10,1.0041061252592613e-09
125,1.714991732665279e-12,4.8723709743150684e-11
126,3.5250286313433226e-08,1.3989094801650735e-11
127,6.406169877899762e-08,5.56830626930434e-09
128,4.893279504689846e-09,2.4161047969175024e-06
129,1.6790053444994259e-09,1.9794273740202373e-09
130,4.893279504722968e-09,1.817133394447739e-08
131,8.713021142637386e-10,6.6916444936043525e-09
132,1.270163223559419e-09,2.5010934298469283e-10
133,1.6790053444993233e-09,3.6035145592616203e-09
134,1.270163223550552e-09,2.837707277076855e-08
135,1.6600295694074822e-10,1.2657906687588197e-12
136,6.130094315186159e-07,1.4237217270765167e-06
137,2.771586537624645e-10,3.4846922662595084e-06
138,1.163556496797214e-06,2.1038655964873905e-07
139,6.550794933550698e-06,2.4705702233036234e-06
140,2.1852725808059385e-07,1.4730589759970621e-07
141,0.06467487790567358,0.0015927010286023442
142,4.0980967579311046e-08,6.99884275862218e-10
143,9.555906954587899e-12,4.476141343883735e-08
144,1.8768722539571746e-07,3.340793913813356e-10
145,6.406169877939934e-08,1.4517399581533905e-07
146,2.6839840354672358e-08,3.1921754901051285e-09
147,2.1765969097761157e-06,4.781369325642148e-06
148,4.893279504730796e-09,1.817133394453875e-08
149,1.812270469863774e-11,3.838640815738622e-11
150,6.255005112101861e-07,3.5097716308892017e-06
151,1.679005344504119e-09,7.325452116857607e-09
152,3.1510830925071253e-10,1.2723536679180457e-10
153,2.0960457825138954e-07,5.633530140516234e-09
154,9.380567808569106e-08,4.931557095843627e-08
155,2.4989409034753065e-08,4.22247720767542e-08
156,1.3594600383348327e-10,3.648598077113483e-09
157,2.067675875544582e-08,6.43752661134787e-07
158,2.7511646990394838e-09,3.7565912220070494e-08
159,7.445512470803709e-08,5.770723664324769e-09
160,9.543246356194929e-11,7.11095190560111e-11
161,5.547220037380395e-12,5.121286103286132e-09
162,1.2361312257057789e-11,2.328244323540412e-12
163,5.273675673422406e-09,1.4930038155341466e-08
