state_index_1_based,graph_E_probability,graph_F_probability
380,3.318729540318256e-09,1.2064371230836025e-07
381,1.7060352228060306e-09,8.658347270875862e-07
382,6.760452168453899e-08,1.9695142331985994e-07
383,5.983232957422318e-09,4.2708983664169844e-10
384,2.3526983632864363e-08,5.773812840308894e-05
385,7.003135354931266e-10,2.319971099078282e-09
386,3.3985539923169223e-11,7.568570296282788e-09
387,5.619839031303288e-10,3.081179794733827e-11
388,4.8932795047365025e-09,7.055615411831622e-10
389,1.8122704698634088e-11,9.44282280983101e-10
390,6.255005112103664e-07,1.347485827885079e-06
391,8.713021142631969e-10,6.691644493607638e-09
392,2.9660828134041417e-13,1.4670722587803703e-11
393,8.550475429941986e-09,2.8511780533047505e-08
394,1.2701632235516228e-09,8.996697581105228e-12
395,6.805867324237292e-13,1.2353361864685963e-10
396,2.4371593650745993e-08,2.685613874365664e-10
397,2.4989409034771858e-08,7.420441377425193e-10
398,4.575405904357309e-10,1.0953455556562432e-09
399,1.9819285845463532e-10,2.096035234847061e-09
400,2.751164699053271e-09,3.756591222038907e-08
401,2.561601733942691e-10,4.668983228383265e-09
402,9.7426443081102e-10,2.4272996975929637e-07
403,5.547220037363609e-12,5.944122436597898e-11
404,3.480908213946942e-14,1.881595319350668e-10
405,1.9827817663403822e-13,1.1155652797102751e-12
406,2.30779022632445e-07,2.085302546647282e-06
407,5.875642249500572e-06,5.287650854330131e-07
408,2.858624690064164e-08,1.36786872863348e-05
409,1.0877410212130663e-06,5.357465632563692e-07
410,1.3017802162392894e-05,2.061852750358623e-07
411,1.7720567343227046e-07,0.00040929520842532973
412,2.1168558644122787e-05,1.6265142629731535e-06
413,0.0001264151033562129,1.242059500096471e-05
414,1.549902163346193e-08,4.451830952350044e-09
415,6.550794933541713e-06,3.9737845668444826e-05
416,6.760452168503065e-08,1.7657281731161938e-08
417,3.923949313162033e-08,0.23694887301378859
418,2.1852725808106332e-07,2.2585186145093792e-07
419,5.983232957418313e-09,3.930223368338231e-10
420,4.109443253094579e-09,0.0003899903532077113
421,0.06467487790567135,0.012840673461807488
422,2.3526983633297475e-08,2.096550338102785e-05
423,9.030722963121093e-05,1.8220534176824307e-05
424,1.1180458733488706e-07,5.344264845381911e-09
425,2.1525685745414394e-08,4.361734099504669e-09
426,4.772080925444542e-11,1.195495621563308e-09
427,3.213681260939261e-08,4.47614134387833e-08
428,2.7598946037445623e-08,7.56857029623189e-09
429,4.1684104162274266e-11,3.17020035201618e-07
430,7.403333110585571e-10,3.7523733700605304e-10
431,8.756974167820888e-09,2.2780372937265483e-08
432,4.737449764746806e-13,1.5886054473951313e-10
433,7.1842422489555764e-09,2.695824790293932e-08
434,6.760452168488359e-08,2.603368625171389e-07
435,7.003135354936997e-10,8.65876316662379e-07
436,3.318729540323689e-09,3.172398195907737e-08
437,5.983232957433493e-09,1.5996492243762605e-11
438,3.398553992329238e-11,2.8895311461059627e-07
