state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
225,0.008473380298844093,0.008618905299934225,0.0015964436801875334
226,5.669788014532027e-10,0.0011563166807366384,0.04073732409656083
227,3.4361357974312463e-10,5.02493203722673e-06,4.7151448391067056e-07
228,1.3891065485497418e-10,1.3922735277885604e-10,2.3015473557635195e-07
229,0.15716952233777787,2.352580203075947e-07,0.040737324096560064
230,6.20322463461909e-09,5.541275262366786e-08,0.00023905620044636913
231,3.5294337391781706e-08,4.066289422880873e-07,1.4985266784252199e-05
232,1.9710196013046503e-09,1.9702971672044955e-08,1.25250716182755e-06
233,1.215356465142826e-05,2.283778778648291e-08,4.715144839108851e-07
234,1.6000128236045147e-11,4.905427594033585e-06,1.4985266784250065e-05
235,1.6741144814227747e-13,4.5828001978417935e-11,7.375279998318667e-10
236,2.1920497871521183e-11,6.062001433634189e-13,1.3107203922612517e-09
237,1.202039545986186e-06,0.0012289550239113097,2.3015473557637358e-07
238,2.197844507398376e-09,3.9948644075556544e-05,1.252507161827862e-06
239,7.639969180597647e-13,6.344317672641475e-09,1.3107203922593097e-09
240,3.1527540790627784e-13,5.284922258772496e-10,4.386413711599396e-11
241,1.14607263543003e-07,6.184777731223236e-08,2.3313420774055498e-09
242,3.432007752879627e-05,2.5382474303658603e-07,4.610623548516781e-08
243,4.979732408160434e-11,1.3922735277861564e-10,2.3015473557630648e-07
244,2.1391848411248748e-13,4.686571627299463e-13,1.0495229197704693e-11
245,1.4841027838454644e-07,2.53824743036566e-07,4.6106235485159556e-08
246,3.4650689923724056e-11,1.393577544022714e-10,4.339457776200364e-11
247,1.3427012362603243e-15,1.9702971672059368e-08,1.252507161827267e-06
248,1.0478074228134799e-13,2.7599601759102694e-12,1.1184308388393033e-10
249,1.20203954598579e-06,1.392273527784101e-10,2.301547355763879e-07
250,2.1978445073995294e-09,1.9702971672052784e-08,1.2525071618277732e-06
251,7.639969180568329e-13,6.062001433631508e-13,1.3107203922578094e-09
252,3.1527540790615086e-13,5.284922258785302e-10,4.38641371160953e-11
253,3.454508584312678e-11,4.686571627286223e-13,1.049522919770418e-11
254,6.173135315110834e-11,2.7599601758993727e-12,1.1184308388394025e-10
255,2.2545071159718945e-14,5.284922258768012e-10,4.386413711616943e-11
256,1.463384672799022e-16,1.103113131622349e-17,2.6028878368901896e-15
