state_index_1_based,graph_G_probability,graph_H_probability,graph_I_probability
88,2.598695241643161e-14,2.575656969208411e-08,9.718545194512482e-06
89,2.4368801430229482e-11,2.4611063428869387e-05,1.3605170725565195e-08
90,3.735437740376398e-11,0.0913831827608637,8.277168143874237e-05
91,1.3473613206474274e-08,7.075582301143062e-10,1.6005241087492067e-07
92,0.0001348074456755735,4.4801535252147176e-11,6.731274152949946e-09
93,2.8229874094968045e-10,1.3509211761048391e-08,1.3605170725567635e-08
94,2.310732537285026e-15,3.4327646919653826e-11,4.129512588144648e-11
95,1.4455624594363978e-12,8.152278920594268e-10,7.255026942832642e-06
96,0.0025842281219231613,1.7525269233645106e-05,3.1415766328329016e-07
97,2.1214305983572258e-05,1.2483525278546436e-06,2.015974709678572e-06
98,3.948670603699173e-09,6.0953693444749744e-06,8.277168143874693e-05
99,3.89112288947161e-11,1.7513597387410873e-06,7.255026942832021e-06
100,9.590776344072676e-11,4.1799336878089557e-10,3.584799855994469e-08
101,2.2402668765879636e-05,2.5887496366432745e-06,4.4212335158197894e-07
102,0.0007056372716137888,3.088191976703276e-05,3.82626044542874e-07
103,9.856173720724832e-08,9.15359092066586e-06,3.0744815602179437e-06
104,7.843274768068222e-09,1.607575104509095e-06,3.141576632824422e-07
105,2.302247984636449e-11,3.55632666856769e-07,1.446267294154439e-10
106,1.7187043978426467e-06,6.852336765989004e-07,3.826260445427849e-07
107,3.450741958586916e-11,9.253286718157152e-10,1.2228361530880192e-07
108,6.40560709348127e-09,0.0004386514978498015,8.036338503873506e-08
109,1.21860221135832e-08,0.00010378283696473237,2.0159747096797887e-06
110,8.218888689599071e-13,8.640608069761394e-10,2.0674644311022644e-09
111,3.8314110185689274e-05,1.3830988743139974e-05,3.074481560218377e-06
112,7.580272915477015e-11,0.00014999365393866037,8.036338503870048e-08
113,2.8902383405667793e-12,1.1099503700253474e-10,1.7565863567421865e-06
114,7.177375088966796e-11,0.0913831827608654,8.277168143873558e-05
115,2.757169633851933e-12,4.875503677541845e-09,8.733944077195963e-11
116,0.0025842281219232905,1.7525269233647277e-05,3.141576632826128e-07
117,2.1214305983567216e-05,8.702570725240587e-06,2.0159747096781468e-06
118,3.948670603700147e-09,1.5534669333992175e-06,8.277168143875386e-05
119,3.891122889464947e-11,8.152278920590206e-10,7.255026942830853e-06
120,9.590776344010459e-11,2.052913849160965e-05,3.5847998559992305e-08
121,3.2553527167589776e-08,1.4360695358680088e-08,1.4462672941551595e-10
122,4.248855948403773e-07,1.480058667680162e-10,2.067464431089659e-09
123,8.830130271630258e-09,6.157408793292022e-10,8.733944077228029e-11
124,6.955068126232173e-11,4.1799336878120767e-10,3.584799855995296e-08
125,2.7585615313747435e-13,1.7211078770643256e-14,4.2533319594857174e-13
