state_index_1_based,graph_J_probability
143,1.914969344861775e-07
144,4.0131051667609944e-12
145,1.97826536655038e-08
146,1.6959328992862788e-09
147,1.1920794571578812e-08
148,3.280741004395555e-08
149,7.539872805882913e-11
150,1.6146321580691886e-13
151,1.1269136856112968e-09
152,7.667788237635323e-09
153,6.209711501801882e-08
154,2.3431813450471406e-07
155,1.799393301948385e-11
156,6.204247479582833e-07
157,2.3173131898489246e-09
158,3.014452105720742e-07
159,1.068917523687919e-07
160,2.844888545250838e-13
161,3.708037471832807e-13
162,2.969547367949659e-12
163,1.4085691281887783e-10
164,6.358738975343737e-12
165,7.538267219292642e-11
166,4.268223322549544e-14
167,1.7993933019343505e-11
168,1.7262897774470695e-11
169,2.009526446126005e-13
170,3.042258054324184e-13
171,1.4642571646490778e-14
172,4.1778654926797046e-13
173,2.9379902634553475e-11
174,1.5187038369755366e-10
175,2.4406624123951636e-10
176,1.490976050367488e-15
177,1.397593822520454e-08
178,2.809485680415836e-08
179,1.9149693448636032e-07
180,1.0029335958176356e-07
181,1.4408780943489712e-08
182,6.132862840125414e-09
183,1.0689175236850613e-07
184,6.759357554923265e-08
185,3.5950179070765716e-07
186,2.3601674532824635e-07
187,2.440662412397081e-10
188,7.479798148934775e-07
189,1.2755092196562633e-13
190,7.1858469221931306e-12
191,4.569859408787516e-11
192,4.936777057185234e-13
193,2.4476931764736982e-08
194,8.211321405657563e-09
195,1.2426841949273028e-08
196,1.5994841322838622e-07
197,8.211321405667137e-09
198,1.976082586584821e-10
199,3.2807410044033056e-08
200,4.653433841081522e-08
201,1.242684194923965e-08
202,3.280741004406198e-08
203,6.35873897536099e-12
204,1.0029335958160317e-07
205,1.5994841322837283e-07
206,4.653433841089892e-08
207,1.0029335958177296e-07
208,3.093267028218989e-12
209,2.9993337297633847e-09
210,9.766186210772171e-08
211,2.771492215969256e-08
212,4.653433841084725e-08
213,1.7688532089742017e-10
214,1.0966586203724093e-10
215,7.6677882376415e-09
216,8.207942127879344e-08
217,2.3173131898765475e-09
218,4.6290291676384625e-07
219,1.7262897774654135e-11
220,6.86563524460379e-07
221,7.138024151725828e-07
222,7.577405359809418e-05
223,6.759357554950917e-08
224,1.8597443856348205e-10
225,1.397593822523707e-08
226,2.809485680433589e-08
227,1.9149693448643666e-07
228,1.00293359581467e-07
229,9.372776806452243e-09
230,1.3465548088129511e-09
231,6.204247479592967e-07
232,6.865635244606713e-07
233,2.9379902634450284e-11
234,6.188503086019428e-13
235,4.177865492705201e-13
236,4.2445969800862115e-11
237,2.36221998623253e-06
238,1.5151798172468162e-06
239,7.479798148918597e-07
240,2.5473715114820643e-11
241,2.038407360293402e-12
242,4.877160276122359e-12
243,4.013105166768612e-12
244,3.0932670282304627e-12
245,1.3484885938383323e-10
246,1.3736093674646745e-12
247,2.8448885451839127e-13
248,1.859744385633955e-10
249,1.2755092197345221e-13
250,1.6763914430945273e-11
251,1.4909760504179783e-15
252,2.5473715114803123e-11
253,6.354770485495657e-14
254,2.2990860268533936e-14
255,4.936777057162152e-13
256,7.117994682229432e-18
257,8.923765650073494e-11
258,2.142436421023174e-11
259,1.9782653665524362e-08
260,2.999333729779643e-09
261,6.904752162352727e-09
262,9.391087177043685e-13
263,1.3418507364042203e-08
264,1.4508409386496683e-07
265,2.158743387611952e-09
266,7.53987280582652e-11
267,7.538267219324962e-11
268,1.4408780943439585e-08
269,8.211321405655786e-09
270,1.768853208966392e-10
271,9.372776806371042e-09
272,1.3484885938374958e-10
273,6.904752162352887e-09
274,3.0439905231316674e-11
