target_id,k,phi_legendre,phi_exact,phi_poisson,generated_data_provenance
T002,0.258,0.4912179530909976,0.491218126472877,0.163739375490959,independent_numerics
T002,0.26791666666666664,0.4635400985109165,0.463540099617834,0.154513366539278,independent_numerics
T002,0.2778333333333333,0.4369634606429832,0.43696349074774665,0.14565449691591556,independent_numerics
T002,0.28775,0.4114489531418407,0.41144897008546266,0.13714965669515422,independent_numerics
T002,0.29766666666666663,0.38695986541524097,0.38695992035163407,0.12898664011721137,independent_numerics
T002,0.3075833333333333,0.3634621449547545,0.36346216545509547,0.1211540551516985,independent_numerics
T002,0.3175,0.3409237240958828,0.34092373420448174,0.11364124473482726,independent_numerics
T002,0.32741666666666663,0.319314470816341,0.3193146535660742,0.10643821785535806,independent_numerics
T002,0.3373333333333333,0.298606665422107,0.2986067669889924,0.0995355889963308,independent_numerics
T002,0.34725,0.27877339974530424,0.2787735741097306,0.09292452470324353,independent_numerics
T002,0.35716666666666663,0.25978978386995644,0.25979008878061505,0.08659669626020502,independent_numerics
T002,0.3670833333333333,0.24163271221648375,0.24163271287627303,0.08054423762542434,independent_numerics
T002,0.377,0.22427912260092575,0.22427912374523698,0.074759707915079,independent_numerics
T002,0.38691666666666663,0.20770784914236362,0.207708173510739,0.069236057836913,independent_numerics
T002,0.3968333333333333,0.19189968320255846,0.19189979870114618,0.06396659956704873,independent_numerics
T002,0.40675,0.1768345881894523,0.17683493891851912,0.05894497963950637,independent_numerics
T002,0.41666666666666663,0.16249546343459842,0.16249546344283058,0.05416515448094353,independent_numerics
T002,0.4265833333333333,0.14886408310988453,0.1488641048269322,0.04962136827564406,independent_numerics
T002,0.4365,0.1359243800867006,0.1359243986692435,0.04530813288974783,independent_numerics
T002,0.44641666666666663,0.12366036378272593,0.12366062886202889,0.041220209620676296,independent_numerics
T002,0.4563333333333333,0.11205740954044008,0.11205777770677577,0.03735259256892526,independent_numerics
T002,0.46625,0.10110107103746335,0.10110148036756872,0.03370049345585624,independent_numerics
T002,0.4761666666666666,0.09077796830260598,0.09077798320091271,0.03025932773363757,independent_numerics
T002,0.4860833333333333,0.08107368831054751,0.08107410555816996,0.02702470185272332,independent_numerics
T002,0.496,0.07197682506818126,0.07197720470622065,0.023992401568740218,independent_numerics
T002,0.5059166666666666,0.06347471854327286,0.06347514355450679,0.021158381184835595,independent_numerics
T002,0.5158333333333333,0.055556241053908106,0.05555626091329502,0.018518753637765006,independent_numerics
T002,0.5257499999999999,0.048208842097328786,0.04820934403976229,0.01606978134658743,independent_numerics
T002,0.5356666666666666,0.04142344429064704,0.04142360325605643,0.01380786775201881,independent_numerics
T002,0.5455833333333333,0.03518849384403633,0.03518864844747191,0.011729549482490637,independent_numerics
T002,0.5555,0.029493992308922135,0.02949446726981908,0.009831489089939693,independent_numerics
T002,0.5654166666666667,0.02433134182416835,0.024331404913367743,0.008110468304455914,independent_numerics
T002,0.5753333333333333,0.019689753250205,0.019690145286827998,0.006563381762275999,independent_numerics
T002,0.5852499999999999,0.015561638158877317,0.01556169349894114,0.005187231166313713,independent_numerics
T002,0.5951666666666666,0.011937347646776286,0.011937359527717212,0.003979119842572404,independent_numerics
T002,0.6050833333333333,0.008808682878604313,0.008808742978346454,0.002936247659448818,independent_numerics
T002,0.615,0.006167307226728369,0.0061677188405457675,0.0020559062801819225,independent_numerics
T002,0.6249166666666667,0.004006323245193177,0.004006424164745913,0.001335474721581971,independent_numerics
T002,0.6348333333333332,0.0023169091443874523,0.002317245584189713,0.0007724151947299043,independent_numerics
T002,0.6447499999999999,0.001092799035988204,0.0010928076168609697,0.00036426920562032325,independent_numerics
T002,0.6546666666666666,0.00032593352142500087,0.0003259616872538368,0.00010865389575127893,independent_numerics
T002,0.6645833333333333,9.734557620037776e-06,9.775813450367456e-06,3.258604483455819e-06,independent_numerics
T002,0.6745,0.0001375246871056883,0.00013752490986121586,4.584163662040529e-05,independent_numerics
T002,0.6844166666666666,0.0007025255355680993,0.000702681660353803,0.00023422722011793434,independent_numerics
T002,0.6943333333333332,0.0016984516152236395,0.0016989079204469924,0.0005663026401489975,independent_numerics
T002,0.7042499999999999,0.0031200206490113874,0.003120046610771761,0.0010400155369239203,independent_numerics
T002,0.7141666666666666,0.004959853894104721,0.004960114067209052,0.0016533713557363508,independent_numerics
T002,0.7240833333333333,0.00721273429087535,0.007213292815994393,0.0024044309386647977,independent_numerics
T002,0.734,0.009873703925064675,0.009873924744675383,0.0032913082482251277,independent_numerics
T002,0.7439166666666666,0.01293635908225746,0.012936504642183155,0.004312168214061052,independent_numerics
T002,0.7538333333333332,0.01639544282326888,0.01639567408340667,0.00546522469446889,independent_numerics
T002,0.7637499999999999,0.020245627647024422,0.020246215635610867,0.0067487385452036225,independent_numerics
T002,0.7736666666666666,0.02448273649406124,0.024483047365795374,0.008161015788598458,independent_numerics
T002,0.7835833333333333,0.0291012102155922,0.02910121762970569,0.009700405876568563,independent_numerics
T002,0.7935,0.03409508031763375,0.034095900124675005,0.011365300041558335,independent_numerics
T002,0.8034166666666666,0.039462380813146236,0.03946238918980255,0.013154129729934183,independent_numerics
T002,0.8133333333333332,0.04519576863885061,0.045196095338203124,0.015065365112734375,independent_numerics
T002,0.8232499999999999,0.05129194109853996,0.05129254100718178,0.017097513669060593,independent_numerics
T002,0.8331666666666666,0.05774716659449086,0.05774735651320084,0.019249118837733614,independent_numerics
T002,0.8430833333333333,0.06455621253421662,0.06455627619945328,0.021518758733151094,independent_numerics
T002,0.853,0.07171508495899181,0.07171513476471092,0.023905044921570306,independent_numerics
T002,0.8629166666666666,0.07921974304103663,0.07921986376291312,0.026406621254304374,independent_numerics
T002,0.8728333333333332,0.08706609853350544,0.08706648826367921,0.029022162754559738,independent_numerics
T002,0.8827499999999999,0.09525037532512604,0.09525112366460087,0.031750374554866956,independent_numerics
T002,0.8926666666666666,0.1037698846271452,0.10376997264679699,0.034589990882265664,independent_numerics
T002,0.9025833333333333,0.11261914435413822,0.11261932226575966,0.03753977408858655,independent_numerics
T002,0.9125,0.12179510496038337,0.12179554117007013,0.04059851372335671,independent_numerics
T002,0.9224166666666666,0.1312949580384971,0.13129507694102305,0.04376502564700768,independent_numerics
T002,0.9323333333333332,0.1411142295550658,0.1411144535466768,0.047038151182225596,independent_numerics
T002,0.9422499999999999,0.15124960322499648,0.15125026890422222,0.050416756301407406,independent_numerics
T002,0.9521666666666666,0.16169912544135978,0.16169919254498516,0.05389973084832839,independent_numerics
T002,0.9620833333333333,0.1724579333559928,0.17245796337671487,0.05748598779223829,independent_numerics
T002,0.972,0.18352315549242504,0.1835233875381359,0.06117446251271197,independent_numerics
T002,0.9819166666666665,0.1948918915153679,0.1948923363410664,0.0649641121136888,independent_numerics
T002,0.9918333333333332,0.20656121194067834,0.20656174429567387,0.06885391476522462,independent_numerics
T002,1.00175,0.21852815784240764,0.2185286072147155,0.07284286907157184,independent_numerics
T002,1.0116666666666665,0.23078974055690638,0.23078998039285192,0.07692999346428397,independent_numerics
T002,1.0215833333333333,0.2433429413839583,0.24334297685735207,0.08111432561911736,independent_numerics
T002,1.0314999999999999,0.2561847112849034,0.2561847656867292,0.0853949218955764,independent_numerics
T002,1.0414166666666667,0.2693119705777349,0.26931257039404033,0.08977085679801344,independent_numerics
T002,1.0513333333333332,0.2827232339320176,0.28272366737176274,0.09424122245725425,independent_numerics
T002,1.0612499999999998,0.2964153722257974,0.2964153843953565,0.09880512813178549,independent_numerics
T002,1.0711666666666666,0.3103841050284344,0.310385099182762,0.10346169972758734,independent_numerics
T002,1.0810833333333332,0.3246302232491738,0.324630238007242,0.10821007933574733,independent_numerics
T002,1.091,0.33914729494046103,0.33914827436112815,0.11304942478704272,independent_numerics
T002,1.1009166666666665,0.3539367220373857,0.35393672766815243,0.11797890922271748,independent_numerics
T002,1.1108333333333333,0.3689926101082275,0.3689931620421787,0.12299772068072623,independent_numerics
T002,1.12075,0.38431470060222717,0.3843151850902595,0.12810506169675318,independent_numerics
T002,1.1306666666666665,0.3999004404892643,0.39990044675806047,0.1333001489193535,independent_numerics
T002,1.1405833333333333,0.4157464424695627,0.41574663821579416,0.13858221273859805,independent_numerics
T002,1.1504999999999999,0.4318507352471288,0.4318514907828972,0.1439504969276324,independent_numerics
T002,1.1604166666666667,0.44821178045184906,0.44821277488978795,0.14940425829659598,independent_numerics
