target_id,series_id,target_activity,measured_activity,duration,long_record_seed,jump_time,generated_data_provenance
T007,k_0.74,0.74,0.74,100.0,24680,44.5300000000002,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,45.940000000000055,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,47.88000000000011,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,49.13999999999987,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,49.720000000000255,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,53.07999999999993,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,54.7800000000002,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,56.51999999999998,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,59.57999999999993,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,60.970000000000255,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,62.11999999999989,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,63.11999999999989,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,64.57999999999993,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,65.74000000000024,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,67.88999999999987,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,68.69999999999982,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,70.55000000000018,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,71.75,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,73.22000000000025,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,74.53999999999996,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,75.22000000000025,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,76.65999999999985,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,77.76000000000022,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,79.32999999999993,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,80.69000000000005,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,82.71000000000004,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,82.96000000000004,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,83.86000000000013,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,85.34000000000015,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,85.67000000000007,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,86.46000000000004,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,90.34999999999991,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,91.61000000000013,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,93.63999999999987,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,95.40000000000009,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,95.74000000000024,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,97.01999999999998,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,98.25,independent_numerics
T007,k_0.74,0.74,0.74,100.0,24680,99.90000000000009,independent_numerics
