target_id,s,theta_eigen,theta_exact,activity_eigen,activity_exact,mandel_eigen,mandel_exact,generated_data_provenance
T001,0.1750000000000007,-0.11332910025301574,-0.11332910025301612,0.6288902999479484,0.6288902999156613,-0.6666660100087842,-0.6666666666666666,independent_numerics
T001,0.20000000000000018,-0.1289860299367644,-0.12898602993676467,0.6236713233881419,0.6236713233544118,-0.666666172928184,-0.6666666666666666,independent_numerics
T001,0.22500000000000053,-0.14451302734289379,-0.1445130273428945,0.6184956575883138,0.6184956575523685,-0.6666667041285053,-0.6666666666666666,independent_numerics
T001,0.25,-0.15991117074135314,-0.15991117074135341,0.6133629431159804,0.6133629430862155,-0.6666662952498306,-0.6666666666666666,independent_numerics
T001,0.27500000000000036,-0.17518152945384374,-0.17518152945384458,0.6082728235415336,0.6082728235153851,-0.6666666437227663,-0.6666666666666666,independent_numerics
T001,0.3000000000000007,-0.19032516392808124,-0.1903251639280812,0.6032249453849503,0.6032249453573062,-0.6666669843648352,-0.6666666666666666,independent_numerics
T001,0.3250000000000002,-0.20534312581143188,-0.205343125811432,0.5982189580835962,0.598218958062856,-0.666666620481374,-0.6666666666666666,independent_numerics
T001,0.35000000000000053,-0.2202364580239525,-0.22023645802395264,0.5932545140180379,0.5932545139920158,-0.6666665554134659,-0.6666666666666666,independent_numerics
T001,0.375,-0.23500619483080906,-0.2350061948308091,0.5883312684171194,0.5883312683897303,-0.6666667334958798,-0.6666666666666666,independent_numerics
T001,0.40000000000000036,-0.24965336191410548,-0.24965336191410525,0.5834488793896031,0.5834488793619649,-0.6666656525435215,-0.6666666666666666,independent_numerics
T001,0.4250000000000007,-0.26417897644410726,-0.2641789764441076,0.5786070078744876,0.5786070078519641,-0.6666673069089497,-0.6666666666666666,independent_numerics
T001,0.4500000000000002,-0.2785840471498843,-0.2785840471498844,0.5738053176451707,0.5738053176167052,-0.6666670039394151,-0.6666666666666666,independent_numerics
T001,0.47500000000000053,-0.2928695743893589,-0.29286957438935834,0.5690434752320117,0.5690434752035471,-0.6666658450229466,-0.6666666666666666,independent_numerics
