k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
2.5300000000000002,-1,6.6,2e-15,12,-1.5300000000000002,-0.11551756439527022,6.173790035672647e-05,1.0,6.4971181258104975,138.86580361269466,0.0,6.489566584707382,139.15307847584702,0.9999382640053882,1.0085115471517856,False,False,False,7.379212957301398e-17,1.1102230246251565e-16,7.519620288348066e-19,-4.186319663681188e-32,0.0
2.54,-1,6.6,2e-15,12,-1.54,-0.11551756439527022,6.0993102390407754e-05,1.0,6.378777943212011,146.0629781495957,0.0,6.370080758690114,146.35476988849106,0.9999390087576511,1.0088478429393772,False,False,False,8.233460145440796e-17,0.0,6.221508570527798e-20,-4.428754522013762e-42,0.0
2.5500000000000003,-1,6.6,2e-15,12,-1.5500000000000003,-0.11551756439527022,6.0261747463837595e-05,1.0,6.265112925582531,153.93657936853688,0.0,6.2552368446573485,154.23365781549307,0.9999397400682388,1.0092162273395926,False,False,False,9.044372194102629e-17,2.407412430484045e-35,1.3055948435004114e-18,-1.0147501677331165e-32,0.0
2.56,-1,6.6,2e-15,12,-1.56,-0.11551756439527022,5.9543511163084065e-05,1.0,6.155881146903494,162.56916954094226,0.0,6.144783061617204,162.87236506098853,0.9999404582615166,1.009620397422851,False,False,False,1.4457092364428865e-16,2.407412430484045e-35,1.92653423560471e-18,-9.725828539907649e-32,0.0
2.57,-1,6.6,2e-15,12,-1.5699999999999998,-0.11551756439527022,5.883807901678009e-05,1.0,6.050858922926303,172.0565583837378,0.0,6.038484919859124,172.3667735471936,0.999941163651909,1.0100646410294465,False,False,False,6.111575635294729e-18,0.0,7.706396630176348e-19,-1.5072578994472656e-37,0.0
2.58,-1,6.6,2e-15,12,-1.58,-0.11551756439527022,5.8145146115155124e-05,1.0,5.949839638647374,182.51040841053307,0.0,5.936123795606912,182.82863165646293,0.9999418565442811,1.0105539509088481,False,False,False,7.877561870254531e-18,0.0,1.664335090852198e-19,-1.64738239979503e-36,0.0
2.59,-1,6.6,2e-15,12,-1.5899999999999999,-0.11551756439527022,5.746441674786871e-05,1.0,5.852632762973616,194.06145879473152,0.0,5.8374956419941215,194.3887805769117,0.9999425372343002,1.01109416577718,False,False,False,5.7716821430049e-17,0.0,2.875267804414778e-19,-3.876595171485549e-41,0.0
2.6,-1,6.6,2e-15,12,-1.6,-0.11551756439527022,5.6795604059455885e-05,1.0,5.759063051120479,206.86354068020552,0.0,5.742409821586824,207.2011727194244,0.9999432060087803,1.0116921457595904,False,False,False,7.149118833976553e-18,0.0,1.4118281854273773e-19,-2.3336682721687505e-36,0.0
2.61,-1,6.6,2e-15,12,-1.6099999999999999,-0.11551756439527022,5.6138429721310615e-05,1.0,5.6689699418347494,221.09861308439525,0.0,5.65068804746232,221.44791152632646,0.9999438631460108,1.0123559920981284,False,False,False,4.742766149216327e-17,0.0,4.2689209648050425e-20,-6.997129430908236e-32,0.0
2.62,-1,6.6,2e-15,12,-1.62,-0.11551756439527022,5.5492623619238426e-05,1.0,5.582207164659134,236.98312572702116,0.0,5.562163421398968,237.34561923945716,0.9999445089160679,1.0130953243161482,False,False,False,6.071484804422844e-17,0.0,1.0476840652457576e-19,-1.820332412626128e-41,0.0
2.63,-1,6.6,2e-15,12,-1.63,-0.11551756439527022,5.4857923555712694e-05,1.0,5.498642582919423,254.77612219571523,0.0,5.47667955907694,255.15354635555627,0.9999451435811126,1.013921632616346,False,False,False,5.55167607639739e-17,0.0,7.013725360065691e-19,-1.1847452337283887e-31,0.0
2.64,-1,6.6,2e-15,12,-1.6400000000000001,-0.11551756439527022,5.423407496606444e-05,1.0,5.418158312099117,274.78964701424644,0.0,5.394089793360269,275.18398676613174,0.9999457673956748,1.014848729711744,False,False,False,6.703629757749423e-17,1.1102230246251565e-16,2.476568513510803e-19,-3.235331663502153e-64,0.0
2.65,-1,6.6,2e-15,12,-1.65,-0.11551756439527022,5.362083064794019e-05,1.0,5.340651172444519,297.4022331731696,0.0,5.314256447752323,297.8157757361244,0.9999463806069231,1.0158933353862207,False,False,False,1.064986842556479e-16,1.1102230246251565e-16,2.8949794508441745e-19,-1.778363744042196e-36,0.0
2.66,-1,6.6,2e-15,12,-1.6600000000000001,-0.11551756439527022,5.301795050346555e-05,1.0,5.266033561588367,323.07655254557375,0.0,5.2370501730096155,323.51195397277075,0.9999469834549233,1.017075840126615,False,False,False,5.90978149472222e-17,0.0,5.646473227952174e-19,-2.879309779992817e-47,0.0
2.67,-1,6.6,2e-15,12,-1.67,-0.11551756439527022,5.242520129367929e-05,1.0,5.194234871637791,352.3827566339664,0.0,5.16234934068118,352.8431264005166,0.9999475761728832,1.0184213131218405,False,False,False,1.3971089141023741e-16,0.0,3.641259249668769e-19,-7.260720326136724e-42,0.0
2.68,-1,6.6,2e-15,12,-1.6800000000000002,-0.11551756439527022,5.184235640494986e-05,1.0,5.125203631672116,386.02969175378223,0.0,5.0900394880266475,386.51870142153217,0.9999481589873868,1.0199608478501794,False,False,False,1.556329671911002e-18,1.1102230246251565e-16,2.4659866159104697e-19,-4.5731255321836426e-36,0.0
2.69,-1,6.6,2e-15,12,-1.69,-0.11551756439527022,5.1269195627283246e-05,1.0,5.058910640679505,424.9071564130816,0.0,5.0200128093693674,425.42918085273743,0.9999487321186155,1.0217333802441904,False,False,False,8.111011187574171e-17,0.0,3.3747577583651947e-19,-2.317234997462147e-36,0.0
2.7,-1,6.6,2e-15,12,-1.7000000000000002,-0.11551756439527022,5.070550494469658e-05,1.0,4.995353483419362,470.14386618236654,0.0,4.952167689471595,470.7041694213266,0.9999492957805577,1.0237881779119864,False,False,False,3.4261578962976353e-17,0.0,2.17329333625473e-19,-7.305975658844384e-32,0.0
2.71,-1,6.6,2e-15,12,-1.71,-0.11551756439527022,5.015107633822281e-05,1.0,4.934563018463956,523.1881112893892,0.0,4.886408274987032,523.7930944418512,0.999949850181206,1.0261882970897307,False,False,False,1.3364410062528593e-16,0.0,6.028002178995844e-19,-6.220787234205078e-54,0.0
2.72,-1,6.6,2e-15,12,-1.7200000000000002,-0.11551756439527022,4.9605707602694216e-05,1.0,4.876612737444447,585.921754239441,0.0,4.822644080459253,586.5792912212976,0.9999503955227401,1.0290154587415994,False,False,False,1.3566545509544572e-17,1.1102230246251565e-16,1.4105741755905344e-19,-9.728370456299096e-37,0.0
2.73,-1,6.6,2e-15,12,-1.73,-0.11551756439527022,4.9069202179367365e-05,1.0,4.821632392307967,660.8241134670826,0.0,4.760789625700419,661.5440130811601,0.9999509320016943,1.0323770440304116,False,False,False,5.39298413592721e-17,0.0,9.349849170398343e-20,-1.7896538836072406e-36,0.0
2.74,-1,6.6,2e-15,12,-1.7400000000000002,-0.11551756439527022,4.854136900792672e-05,1.0,4.769828105033557,751.2119896369601,0.0,4.700764101708494,752.0066432022719,0.9999514598091053,1.0364163182012518,False,False,False,5.584871533910227e-17,0.0,3.9559761976364453e-19,-3.4099956738097307e-31,0.0
2.75,-1,6.6,2e-15,12,-1.75,-0.11551756439527022,4.802202240385191e-05,1.0,4.721512549138616,861.5984558287246,0.0,4.6424910625688165,862.4837632542974,0.999951979130635,1.0413276794795663,False,False,False,1.3115603960895324e-16,0.0,4.874527666293256e-19,-7.766508017836239e-36,0.0
2.7600000000000002,-1,6.6,2e-15,12,-1.7600000000000002,-0.11551756439527022,4.7510981971315335e-05,1.0,4.677151162629381,998.2413107514528,0.0,4.585898141041078,999.2380347289957,0.9999524901466575,1.047379915064792,False,False,False,5.64746296534014e-17,0.0,5.82193123546698e-20,-1.362893114729369e-35,0.0
2.77,-1,6.6,2e-15,12,-1.77,-0.11551756439527022,4.700807256912471e-05,1.0,4.637434547673769,1170.0022732872399,0.0,4.530916785760285,1171.138069741263,0.999952993032293,1.0549525448010204,False,False,False,8.350415760200248e-17,0.0,4.580336281365689e-19,-4.086365391051013e-31,0.0
2.7800000000000002,-1,6.6,2e-15,12,-1.78,-0.11551756439527022,4.651312436049675e-05,1.0,4.603394844591144,1389.729533469958,0.0,4.477482018182437,1391.0420828389763,0.9999534879573581,1.0645941505751013,False,False,False,2.5333699218322016e-18,0.0,2.7633035909412474e-19,-4.079377172687196e-34,0.0
2.79,-1,6.6,2e-15,12,-1.79,-0.11551756439527022,4.60259730020734e-05,1.0,4.576598133520542,1676.5479323630184,0.0,4.425532207586734,1678.0899238233812,0.9999539750861768,1.0771187249577991,False,False,False,6.13342826559155e-17,0.0,1.63770906653318e-19,-3.6925592574918406e-31,0.0
2.8000000000000003,-1,6.6,2e-15,12,-1.8000000000000003,-0.11551756439527022,4.554646007895368e-05,1.0,4.559478899430022,2060.063604120153,6420.973947430093,4.375008862607146,2061.61850420006,0.9999544545771453,1.0937830592823092,False,False,True,8.851500961408385e-17,0.0,4.882388234815415e-19,-6.902712815271844e-31,0.0
2.81,-1,6.6,2e-15,12,-1.81,-0.11551756439527022,4.5074433951305055e-05,1.0,4.555890904400361,2586.1699788469236,8297.389209267047,4.325856437910891,2588.0619448986636,0.9999549265818858,1.1165250744802695,False,False,True,7.14474556285841e-17,0.0,3.534400107209291e-19,-3.960613390011239e-31,0.0
2.82,-1,6.6,2e-15,12,-1.8199999999999998,-0.11551756439527022,4.460975143902759e-05,1.0,4.572181286271731,3331.084901292098,11002.348431608856,4.278022154770471,3333.454508839029,0.9999553912435611,1.1485542607124994,False,False,True,5.681632527501674e-17,0.0,3.1859617993201935e-19,-6.598103194214636e-41,0.0
