k,direction,omega_khz,input_power_w,cutoff,delta_l_over_u,delta_f_over_u,mean_n,g1,g2,g3,g4,analytic_g2,analytic_g3,f,f2,one_photon_blockade,two_photon_blockade,pit_2_to_4,residual_norm,trace_error,hermiticity_error,minimum_eigenvalue,tail_probability
0.37,-1,29.0,2e-15,12,0.63,-0.5075771768883085,0.010464471746797398,1.0,0.01266570395594394,4.4887713122003356e-05,0.0,0.012406315708805427,4.3062210871349884e-05,0.9895900903506449,0.9895905600768506,True,False,False,4.6618715119740387e-17,2.2268564981977415e-34,2.3299115231437365e-17,-2.5523727384208735e-33,0.0
0.38,-1,29.0,2e-15,12,0.62,-0.5075771768883085,0.012268392691929546,1.0,0.010998319967351917,3.356258460678919e-05,0.0,0.010733481801873994,3.1961288768439554e-05,0.9878065572196061,0.9878069689785738,True,False,False,6.981191525289031e-17,1.2037062152420224e-35,4.967716848267608e-18,-1.1028678443521314e-32,0.0
0.39,-1,29.0,2e-15,12,0.61,-0.5075771768883085,0.014565409579723862,1.0,0.009432541471221731,2.4476169378242305e-05,0.0,0.009162143544423107,2.3089735634535457e-05,0.9855401528568631,0.9855405093622951,True,False,False,3.714423420740093e-17,2.1666711874356403e-34,1.5912763481390647e-17,-1.8046124034019576e-26,0.0
0.4,-1,29.0,2e-15,12,0.6,-0.5075771768883085,0.017544459891326632,1.0,0.007974806070260748,1.7344345091726047e-05,0.0,0.007698738518310776,1.6161956878123713e-05,0.9826085480246447,0.9826088523218115,True,False,False,8.391482173464682e-17,0.0,5.213927354995703e-19,-1.034177247501806e-47,0.0
0.41000000000000003,-1,29.0,2e-15,12,0.59,-0.5075771768883085,0.021488289944266246,1.0,0.00663192488074133,1.1889831422459818e-05,0.0,0.006350078133695774,1.0899087350277822e-05,0.9787409385129816,0.9787411940051266,True,False,False,6.634354394223783e-17,5.055566104016494e-34,4.63209742034604e-17,-5.885190207618514e-27,0.0
0.42,-1,29.0,2e-15,12,0.5800000000000001,-0.5075771768883085,0.02682938165753052,1.0,0.005411106301919934,7.845010863384223e-06,0.0,0.005123371441470601,7.03180596554342e-06,0.9735273289743696,0.9735275394511601,True,False,False,2.2381607646938206e-17,1.6851887013388314e-34,3.976351579978735e-17,-8.5373634881355e-55,0.0
0.43,-1,29.0,2e-15,12,0.5700000000000001,-0.5075771768883085,0.034240922513577694,1.0,0.004319981488119295,4.955129160116873e-06,0.0,0.004026250653397148,4.3035298697308634e-06,0.9663386638504768,0.9663388335186704,True,False,False,6.95052313586485e-17,4.81482486096809e-35,8.095723326298419e-17,-1.389924764252414e-26,0.0
0.44,-1,29.0,2e-15,12,0.56,-0.5075771768883085,0.044775362611492266,1.0,0.0033666316607522243,2.981919067220163e-06,0.0,0.003066798507816058,2.474031888604305e-06,0.9562122587333967,0.9562123922499042,True,False,False,7.379298336866616e-17,9.62964972193618e-35,4.399408895180166e-17,-4.0138566606430754e-42,0.0
0.45,-1,29.0,2e-15,12,0.55,-0.5075771768883085,0.060026808388766444,1.0,0.0025596174099471562,1.7076960705179534e-06,0.0,0.0022535776312556555,1.323529964629941e-06,0.9417392867329212,0.941739389240466,True,False,False,8.205574649102031e-17,1.4444474582904269e-34,8.845422961864342e-17,-1.3076621291038006e-30,0.0
0.46,-1,29.0,2e-15,12,0.54,-0.5075771768883085,0.08209277670620284,1.0,0.0019080101490586096,9.399802640134911e-07,0.0,0.0015956620599715946,6.573028478460526e-07,0.9211864900833133,0.9211865672489032,True,False,False,8.614255745214939e-17,0.0,1.4153215626107515e-16,-1.3754922028194893e-33,0.0
0.47000000000000003,-1,29.0,2e-15,12,0.53,-0.5075771768883085,0.11235903266415222,1.0,0.0014214259003452361,5.167047695155707e-07,0.0,0.0011026711005415668,3.108925244207374e-07,0.8937233240249647,0.8937233820814128,True,False,False,6.954808997126073e-17,9.62964972193618e-35,4.3734019877512644e-17,-5.592261772060743e-26,0.0
0.48,-1,29.0,2e-15,12,0.52,-0.5075771768883085,0.14672853785683046,1.0,0.0011100616066294859,3.1207802440415135e-07,0.0,0.0007848057252763306,1.559608251150859e-07,0.863528360861291,0.8635284066520432,True,False,False,7.121217710816364e-17,1.1102230246251565e-16,8.797830292814019e-17,-2.4858200968292565e-36,0.0
0.49,-1,29.0,2e-15,12,0.51,-0.5075771768883085,0.1687161359125087,1.0,0.000984734181987069,2.431750310228271e-07,0.0,0.00065288771656293,1.068754492430455e-07,0.8447486631632575,0.844748704190809,True,False,False,1.41500798987894e-16,0.0,2.3735012210454835e-16,-9.102360336010961e-26,0.0
0.5,-1,29.0,2e-15,12,0.5,-0.5075771768883085,0.16037350952211793,1.0,0.001056922534646576,2.773413654380705e-07,0.0,0.0007184017945240432,1.2810937399696953e-07,0.8518255645804376,0.8518256090586457,True,False,False,1.336020575758383e-16,0.0,1.6791732707055158e-16,-1.1519635642363846e-25,0.0
0.51,-1,29.0,2e-15,12,0.49,-0.5075771768883085,0.12919449910389147,1.0,0.001338812817526208,4.405035035097938e-07,0.0,0.0009935409847791734,2.4254741479853396e-07,0.878803022521612,0.8788030794322416,True,False,False,8.055744929263257e-17,1.925929944387236e-34,6.846832826536795e-18,-1.1265035974868565e-41,0.0
0.52,-1,29.0,2e-15,12,0.48,-0.5075771768883085,0.09577112013786866,1.0,0.0018433471864420026,8.264899745016938e-07,0.0,0.0014912555078768809,5.408046967718564e-07,0.9086719689846647,0.9086720481385354,True,False,False,6.373527433983755e-17,0.0,4.4147587539622946e-17,-2.3855414214806784e-25,0.0
0.53,-1,29.0,2e-15,12,0.47,-0.5075771768883085,0.06973842789861344,1.0,0.002584276373266082,1.6074801517135054e-06,0.0,0.0022253054994121183,1.1916741466033583e-06,0.9326377400166981,0.9326378521198367,True,False,False,1.0581508646251218e-16,2.220446049250313e-16,1.111583417739912e-16,-1.8286267674903576e-31,0.0
0.54,-1,29.0,2e-15,12,0.45999999999999996,-0.5075771768883085,0.051457680613363706,1.0,0.0035762164115066787,3.0457113122683344e-06,0.0,0.0032103179002646197,2.45383399579285e-06,0.949843845920619,0.9498440026458589,True,False,False,7.55518532910463e-17,9.62964972193618e-35,4.407326567080122e-17,-1.5281381671346872e-41,0.0
0.55,-1,29.0,2e-15,12,0.44999999999999996,-0.5075771768883085,0.03887424099051669,1.0,0.004834709885276275,5.506590145410934e-06,0.0,0.00446184789015003,4.688961903464614e-06,0.9618716655684394,0.9618718796329517,True,False,False,2.2252908287725597e-17,3.3703774026776627e-34,1.450970011481608e-17,-7.503424303294572e-32,0.0
0.56,-1,29.0,2e-15,12,0.43999999999999995,-0.5075771768883085,0.030110638310398907,1.0,0.006376292109809127,9.473372390111105e-06,0.0,0.005996445275168653,8.376419891132529e-06,0.9703381710336554,0.970338456282945,True,False,False,8.020815815388375e-17,1.925929944387236e-34,7.360600574721168e-18,-5.997813329109911e-37,0.0
0.5700000000000001,-1,29.0,2e-15,12,0.42999999999999994,-0.5075771768883085,0.02386974054067369,1.0,0.008218562693036443,1.556359400085932e-05,0.0,0.007831726281724828,1.4129694097906214e-05,0.976412888489547,0.9764132599884977,True,False,False,8.617473605147778e-17,1.925929944387236e-34,4.069245962018534e-17,-1.770249381237957e-26,0.0
0.58,-1,29.0,2e-15,12,0.42000000000000004,-0.5075771768883085,0.01931489538723523,1.0,0.01038026297373834,2.4547459475547654e-05,0.0,0.009986451255591656,2.27147957156638e-05,0.9808704420289133,0.980870916160525,True,False,False,6.383423211479556e-17,3.3703774026776627e-34,4.761410577710319e-17,-8.381908681716027e-27,0.0
0.59,-1,29.0,2e-15,12,0.41000000000000003,-0.5075771768883085,0.015911097036401443,1.0,0.01288135988304853,3.7368418075189524e-05,0.0,0.012480608816600788,3.507085469699803e-05,0.9842148157798534,0.9842154103523795,True,False,False,3.379336841263526e-17,9.62964972193618e-35,2.725025946446365e-18,-5.372149782212708e-37,0.0
0.6,-1,29.0,2e-15,12,0.4,-0.5075771768883085,0.013311836504575975,1.0,0.015743136833250515,5.5166187016383174e-05,0.0,0.015335507077114107,5.23331663427086e-05,0.9867763741419326,0.9867771085051947,True,False,False,7.721997281950505e-17,2.407412430484045e-35,4.070831990675976e-17,-3.7511695075411503e-32,0.0
0.61,-1,29.0,2e-15,12,0.39,-0.5075771768883085,0.011288062757969553,1.0,0.018988292301628018,7.930251277680952e-05,0.0,0.018573872596849603,7.585898312798286e-05,0.9887754083759129,0.988776303547654,True,False,False,6.14469598815103e-17,1.1102230246251565e-16,2.2788562773938953e-17,-1.2444662284543962e-31,0.0
