series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,14.300000000000001,-0.040097634532765387,8,"40,80,160",reduced_scale
finite_N_8,14.4,-0.039796947302633293,8,"40,80,160",reduced_scale
finite_N_8,14.5,-0.039528689819448057,8,"40,80,160",reduced_scale
finite_N_8,14.600000000000001,-0.039294305019026726,8,"40,80,160",reduced_scale
finite_N_8,14.700000000000001,-0.03909470257384863,8,"40,80,160",reduced_scale
finite_N_8,14.800000000000001,-0.0389302808831168,8,"40,80,160",reduced_scale
finite_N_8,14.9,-0.038800954337874505,8,"40,80,160",reduced_scale
finite_N_8,15,-0.038706185167366208,8,"40,80,160",reduced_scale
finite_N_8,15.100000000000001,-0.038645019157743668,8,"40,80,160",reduced_scale
finite_N_8,15.200000000000001,-0.03861612452942853,8,"40,80,160",reduced_scale
finite_N_8,15.300000000000001,-0.038617833264306844,8,"40,80,160",reduced_scale
finite_N_8,15.4,-0.038648184187705298,8,"40,80,160",reduced_scale
finite_N_8,15.5,-0.038704967132000029,8,"40,80,160",reduced_scale
finite_N_8,15.600000000000001,-0.038785767537896837,8,"40,80,160",reduced_scale
finite_N_8,15.700000000000001,-0.038888010885035129,8,"40,80,160",reduced_scale
finite_N_8,15.800000000000001,-0.039009006384722524,8,"40,80,160",reduced_scale
finite_N_8,15.9,-0.039145989413411145,8,"40,80,160",reduced_scale
finite_N_8,16,-0.039296162215105054,8,"40,80,160",reduced_scale
finite_N_8,16.100000000000001,-0.039456732453355556,8,"40,80,160",reduced_scale
finite_N_8,16.199999999999999,-0.039624949248024566,8,"40,80,160",reduced_scale
finite_N_8,16.300000000000001,-0.039798136387741385,8,"40,80,160",reduced_scale
finite_N_8,16.400000000000002,-0.039973722465174291,8,"40,80,160",reduced_scale
finite_N_8,16.5,-0.040149267738138726,8,"40,80,160",reduced_scale
finite_N_8,16.600000000000001,-0.040322487574480495,8,"40,80,160",reduced_scale
finite_N_8,16.699999999999999,-0.040491272391969473,8,"40,80,160",reduced_scale
finite_N_8,16.800000000000001,-0.04065370405553536,8,"40,80,160",reduced_scale
finite_N_8,16.900000000000002,-0.040808068742556998,8,"40,80,160",reduced_scale
finite_N_8,17,-0.040952866332129426,8,"40,80,160",reduced_scale
finite_N_8,17.100000000000001,-0.041086816415887448,8,"40,80,160",reduced_scale
finite_N_8,17.199999999999999,-0.041208861065751667,8,"40,80,160",reduced_scale
finite_N_8,17.300000000000001,-0.041318164527621812,8,"40,80,160",reduced_scale
finite_N_8,17.400000000000002,-0.041414110039401694,8,"40,80,160",reduced_scale
finite_N_8,17.5,-0.041496293996678618,8,"40,80,160",reduced_scale
finite_N_8,17.600000000000001,-0.041564517709843402,8,"40,80,160",reduced_scale
finite_N_8,17.699999999999999,-0.041618777012447025,8,"40,80,160",reduced_scale
finite_N_8,17.800000000000001,-0.041659249992198166,8,"40,80,160",reduced_scale
finite_N_8,17.900000000000002,-0.041686283123347934,8,"40,80,160",reduced_scale
finite_N_8,18,-0.041700376082446151,8,"40,80,160",reduced_scale
