N,omega0_over_kappa,lowest_imag_lambda_over_kappa,parameter_match,residual
20,0.69999999999999996,9.3022323250289864e-16,reduced_scale,2.2659751027339382e-12
20,0.80000000000000004,0.077489034815958702,reduced_scale,8.1133346044036861e-14
20,0.90000000000000013,0.2357559737939211,reduced_scale,1.8629850903471183e-13
20,1,0.38239775153777067,reduced_scale,2.7947371646659678e-12
20,1.1000000000000001,0.53213776365813148,reduced_scale,3.4636687957960098e-13
20,1.2,0.68045353463831582,reduced_scale,4.1250676160309498e-12
20,1.3,0.82447020930433879,reduced_scale,4.2716780992465232e-10
20,1.4000000000000001,0.96323467503743665,reduced_scale,5.1053201425858112e-11
20,1.5,1.096885564129668,reduced_scale,2.7957911259023393e-12
20,1.6000000000000001,1.2260098561903723,reduced_scale,1.341304930365817e-13
20,1.7,1.3512926933005136,reduced_scale,2.2849219148721661e-13
20,1.8,1.4733688126736104,reduced_scale,5.9748938870537458e-13
20,1.9000000000000001,1.5927774121595206,reduced_scale,2.2874986069188661e-13
20,2,1.7099604201585674,reduced_scale,3.0126606209857263e-13
