model,launch,time_ns,site_i,site_j,G_ij
strong,Q1_Q12,10.5,6,5,4.2911104175134655e-11
strong,Q1_Q12,10.5,6,6,2.2273336232885763e-12
strong,Q1_Q12,10.5,6,7,6.118738838991725e-11
strong,Q1_Q12,10.5,6,8,2.1279706321512083e-09
strong,Q1_Q12,10.5,6,9,4.704863624174865e-08
strong,Q1_Q12,10.5,6,10,5.715375006210335e-07
strong,Q1_Q12,10.5,6,11,2.990475274522394e-06
strong,Q1_Q12,10.5,6,12,3.4881156699209977e-06
strong,Q1_Q12,10.5,7,1,4.361888302721911e-06
strong,Q1_Q12,10.5,7,2,3.5133510298002215e-06
strong,Q1_Q12,10.5,7,3,6.358287250541119e-07
strong,Q1_Q12,10.5,7,4,4.965097684968174e-08
strong,Q1_Q12,10.5,7,5,2.167684787080898e-09
strong,Q1_Q12,10.5,7,6,6.118738838991725e-11
strong,Q1_Q12,10.5,7,7,1.6167378669237276e-12
strong,Q1_Q12,10.5,7,8,4.21197470796442e-11
strong,Q1_Q12,10.5,7,9,9.241178287208763e-10
strong,Q1_Q12,10.5,7,10,1.1226699100346112e-08
strong,Q1_Q12,10.5,7,11,5.8741858358437905e-08
strong,Q1_Q12,10.5,7,12,6.851699581777929e-08
strong,Q1_Q12,10.5,8,1,0.0001526955105973571
strong,Q1_Q12,10.5,8,2,0.00012299098310795928
strong,Q1_Q12,10.5,8,3,2.22582932337691e-05
strong,Q1_Q12,10.5,8,4,1.7381192418854655e-06
strong,Q1_Q12,10.5,8,5,7.588738411216749e-08
strong,Q1_Q12,10.5,8,6,2.1279706321512083e-09
strong,Q1_Q12,10.5,8,7,4.21197470796442e-11
strong,Q1_Q12,10.5,8,8,1.1185683363047262e-12
strong,Q1_Q12,10.5,8,9,1.334210612245871e-11
strong,Q1_Q12,10.5,8,10,1.6120297904145733e-10
strong,Q1_Q12,10.5,8,11,8.435341077774193e-10
strong,Q1_Q12,10.5,8,12,9.839050340743997e-10
strong,Q1_Q12,10.5,9,1,0.003375814472960166
strong,Q1_Q12,10.5,9,2,0.002719102475041493
strong,Q1_Q12,10.5,9,3,0.000492089572495882
strong,Q1_Q12,10.5,9,4,3.842659105765405e-05
strong,Q1_Q12,10.5,9,5,1.6777293508789955e-06
strong,Q1_Q12,10.5,9,6,4.704863624174865e-08
strong,Q1_Q12,10.5,9,7,9.241178287208763e-10
strong,Q1_Q12,10.5,9,8,1.334210612245871e-11
strong,Q1_Q12,10.5,9,9,1.9938105049327019e-13
strong,Q1_Q12,10.5,9,10,1.7897828168238608e-12
strong,Q1_Q12,10.5,9,11,9.239072441598665e-12
strong,Q1_Q12,10.5,9,12,1.0779389353483952e-11
strong,Q1_Q12,10.5,10,1,0.041008725271017586
strong,Q1_Q12,10.5,10,2,0.033031118053459395
strong,Q1_Q12,10.5,10,3,0.00597780661469386
strong,Q1_Q12,10.5,10,4,0.00046679861410647724
strong,Q1_Q12,10.5,10,5,2.0380723177467693e-05
strong,Q1_Q12,10.5,10,6,5.715375006210335e-07
strong,Q1_Q12,10.5,10,7,1.1226699100346112e-08
strong,Q1_Q12,10.5,10,8,1.6120297904145733e-10
strong,Q1_Q12,10.5,10,9,1.7897828168238608e-12
strong,Q1_Q12,10.5,10,10,2.563280615676034e-14
strong,Q1_Q12,10.5,10,11,8.072947245968916e-14
strong,Q1_Q12,10.5,10,12,9.305294793825868e-14
strong,Q1_Q12,10.5,11,1,0.21457136793874765
strong,Q1_Q12,10.5,11,2,0.1728298584858879
strong,Q1_Q12,10.5,11,3,0.03127788377017342
strong,Q1_Q12,10.5,11,4,0.002442446491928015
strong,Q1_Q12,10.5,11,5,0.000106638761108983
strong,Q1_Q12,10.5,11,6,2.990475274522394e-06
strong,Q1_Q12,10.5,11,7,5.8741858358437905e-08
strong,Q1_Q12,10.5,11,8,8.435341077774193e-10
strong,Q1_Q12,10.5,11,9,9.239072441598665e-12
strong,Q1_Q12,10.5,11,10,8.072947245968916e-14
strong,Q1_Q12,10.5,11,11,7.70140099024592e-16
strong,Q1_Q12,10.5,11,12,6.639764742482841e-16
strong,Q1_Q12,10.5,12,1,0.25027785894204585
strong,Q1_Q12,10.5,12,2,0.20159020916272807
strong,Q1_Q12,10.5,12,3,0.036482788255660044
strong,Q1_Q12,10.5,12,4,0.0028488902524774597
strong,Q1_Q12,10.5,12,5,0.0001243843531644669
strong,Q1_Q12,10.5,12,6,3.4881156699209977e-06
strong,Q1_Q12,10.5,12,7,6.851699581777929e-08
strong,Q1_Q12,10.5,12,8,9.839050340743997e-10
strong,Q1_Q12,10.5,12,9,1.0779389353483952e-11
strong,Q1_Q12,10.5,12,10,9.305294793825868e-14
strong,Q1_Q12,10.5,12,11,6.639764742482841e-16
strong,Q1_Q12,10.5,12,12,6.97590978807659e-18
strong,Q1_Q12,19.5,1,1,2.0538119053716013e-13
strong,Q1_Q12,19.5,1,2,2.2463074284114568e-11
strong,Q1_Q12,19.5,1,3,5.680743342575372e-10
strong,Q1_Q12,19.5,1,4,2.0862911370544665e-08
strong,Q1_Q12,19.5,1,5,5.434410439954346e-07
strong,Q1_Q12,19.5,1,6,1.0589297581784963e-05
strong,Q1_Q12,19.5,1,7,0.00014618481098718
strong,Q1_Q12,19.5,1,8,0.0013602815769503556
strong,Q1_Q12,19.5,1,9,0.007690030769898724
strong,Q1_Q12,19.5,1,10,0.0221945562671535
strong,Q1_Q12,19.5,1,11,0.02322928850827309
strong,Q1_Q12,19.5,1,12,0.0026641880437000814
strong,Q1_Q12,19.5,2,1,2.2463074284114568e-11
strong,Q1_Q12,19.5,2,2,8.245964089492686e-11
strong,Q1_Q12,19.5,2,3,5.506988853242423e-09
strong,Q1_Q12,19.5,2,4,1.5093785898983692e-07
strong,Q1_Q12,19.5,2,5,4.028048273456039e-06
strong,Q1_Q12,19.5,2,6,7.834506566820764e-05
strong,Q1_Q12,19.5,2,7,0.001081683683755104
strong,Q1_Q12,19.5,2,8,0.010065222271429766
strong,Q1_Q12,19.5,2,9,0.05690138835459256
strong,Q1_Q12,19.5,2,10,0.1642257428227154
strong,Q1_Q12,19.5,2,11,0.1718821105750659
strong,Q1_Q12,19.5,2,12,0.01971331422825357
strong,Q1_Q12,19.5,3,1,5.680743342575372e-10
strong,Q1_Q12,19.5,3,2,5.506988853242423e-09
strong,Q1_Q12,19.5,3,3,2.0415018187822953e-09
strong,Q1_Q12,19.5,3,4,1.535944357366318e-07
strong,Q1_Q12,19.5,3,5,3.519654486523393e-06
strong,Q1_Q12,19.5,3,6,6.927219211785481e-05
strong,Q1_Q12,19.5,3,7,0.0009556575248627745
strong,Q1_Q12,19.5,3,8,0.008892992621100946
strong,Q1_Q12,19.5,3,9,0.05027428454074424
strong,Q1_Q12,19.5,3,10,0.14509898885271924
strong,Q1_Q12,19.5,3,11,0.1518636444741082
strong,Q1_Q12,19.5,3,12,0.017417378371896188
strong,Q1_Q12,19.5,4,1,2.0862911370544665e-08
strong,Q1_Q12,19.5,4,2,1.5093785898983692e-07
strong,Q1_Q12,19.5,4,3,1.535944357366318e-07
strong,Q1_Q12,19.5,4,4,3.249787828452286e-08
strong,Q1_Q12,19.5,4,5,1.286907849105952e-06
strong,Q1_Q12,19.5,4,6,2.2263161940958917e-05
strong,Q1_Q12,19.5,4,7,0.0003097475699679985
strong,Q1_Q12,19.5,4,8,0.002880785011857194
strong,Q1_Q12,19.5,4,9,0.016286414420584764
strong,Q1_Q12,19.5,4,10,0.04700485228524186
strong,Q1_Q12,19.5,4,11,0.04919627795073291
strong,Q1_Q12,19.5,4,12,0.005642365238471631
strong,Q1_Q12,19.5,5,1,5.434410439954346e-07
strong,Q1_Q12,19.5,5,2,4.028048273456039e-06
strong,Q1_Q12,19.5,5,3,3.519654486523393e-06
strong,Q1_Q12,19.5,5,4,1.286907849105952e-06
strong,Q1_Q12,19.5,5,5,9.581265308575037e-08
strong,Q1_Q12,19.5,5,6,4.175448911738041e-06
strong,Q1_Q12,19.5,5,7,5.2017898355281834e-05
strong,Q1_Q12,19.5,5,8,0.0004873828081458158
strong,Q1_Q12,19.5,5,9,0.0027539751861469348
strong,Q1_Q12,19.5,5,10,0.007948672945510537
strong,Q1_Q12,19.5,5,11,0.008319217885584648
strong,Q1_Q12,19.5,5,12,0.0009541391670721547
strong,Q1_Q12,19.5,6,1,1.0589297581784963e-05
strong,Q1_Q12,19.5,6,2,7.834506566820764e-05
strong,Q1_Q12,19.5,6,3,6.927219211785481e-05
strong,Q1_Q12,19.5,6,4,2.2263161940958917e-05
strong,Q1_Q12,19.5,6,5,4.175448911738041e-06
strong,Q1_Q12,19.5,6,6,3.005795686792764e-07
strong,Q1_Q12,19.5,6,7,6.039944498889399e-06
strong,Q1_Q12,19.5,6,8,5.0701087959282545e-05
strong,Q1_Q12,19.5,6,9,0.0002887001985034319
strong,Q1_Q12,19.5,6,10,0.0008327652768901571
strong,Q1_Q12,19.5,6,11,0.0008716371153548201
strong,Q1_Q12,19.5,6,12,9.996793889512007e-05
strong,Q1_Q12,19.5,7,1,0.00014618481098718
strong,Q1_Q12,19.5,7,2,0.001081683683755104
strong,Q1_Q12,19.5,7,3,0.0009556575248627745
strong,Q1_Q12,19.5,7,4,0.0003097475699679985
strong,Q1_Q12,19.5,7,5,5.2017898355281834e-05
strong,Q1_Q12,19.5,7,6,6.039944498889399e-06
strong,Q1_Q12,19.5,7,7,1.9388996910103022e-07
strong,Q1_Q12,19.5,7,8,4.062011694761209e-06
strong,Q1_Q12,19.5,7,9,2.059482917408152e-05
strong,Q1_Q12,19.5,7,10,5.993639804447046e-05
strong,Q1_Q12,19.5,7,11,6.267916151323954e-05
strong,Q1_Q12,19.5,7,12,7.1897335913696184e-06
strong,Q1_Q12,19.5,8,1,0.0013602815769503556
strong,Q1_Q12,19.5,8,2,0.010065222271429766
strong,Q1_Q12,19.5,8,3,0.008892992621100946
strong,Q1_Q12,19.5,8,4,0.002880785011857194
strong,Q1_Q12,19.5,8,5,0.0004873828081458158
strong,Q1_Q12,19.5,8,6,5.0701087959282545e-05
strong,Q1_Q12,19.5,8,7,4.062011694761209e-06
strong,Q1_Q12,19.5,8,8,1.4478163872514603e-07
strong,Q1_Q12,19.5,8,9,1.198054842504352e-06
strong,Q1_Q12,19.5,8,10,3.074805131057289e-06
strong,Q1_Q12,19.5,8,11,3.2567518569673664e-06
strong,Q1_Q12,19.5,8,12,3.7274196974419503e-07
strong,Q1_Q12,19.5,9,1,0.007690030769898724
strong,Q1_Q12,19.5,9,2,0.05690138835459256
strong,Q1_Q12,19.5,9,3,0.05027428454074424
strong,Q1_Q12,19.5,9,4,0.016286414420584764
strong,Q1_Q12,19.5,9,5,0.0027539751861469348
strong,Q1_Q12,19.5,9,6,0.0002887001985034319
strong,Q1_Q12,19.5,9,7,2.059482917408152e-05
strong,Q1_Q12,19.5,9,8,1.198054842504352e-06
strong,Q1_Q12,19.5,9,9,2.131331265711694e-08
strong,Q1_Q12,19.5,9,10,1.409008659253142e-07
strong,Q1_Q12,19.5,9,11,1.249242791879079e-07
strong,Q1_Q12,19.5,9,12,1.4739756003386314e-08
strong,Q1_Q12,19.5,10,1,0.0221945562671535
strong,Q1_Q12,19.5,10,2,0.1642257428227154
strong,Q1_Q12,19.5,10,3,0.14509898885271924
strong,Q1_Q12,19.5,10,4,0.04700485228524186
strong,Q1_Q12,19.5,10,5,0.007948672945510537
strong,Q1_Q12,19.5,10,6,0.0008327652768901571
strong,Q1_Q12,19.5,10,7,5.993639804447046e-05
strong,Q1_Q12,19.5,10,8,3.074805131057289e-06
strong,Q1_Q12,19.5,10,9,1.409008659253142e-07
strong,Q1_Q12,19.5,10,10,2.5329649091753064e-09
strong,Q1_Q12,19.5,10,11,4.780021070496243e-09
strong,Q1_Q12,19.5,10,12,4.1648534074415153e-10
strong,Q1_Q12,19.5,11,1,0.02322928850827309
strong,Q1_Q12,19.5,11,2,0.1718821105750659
strong,Q1_Q12,19.5,11,3,0.1518636444741082
strong,Q1_Q12,19.5,11,4,0.04919627795073291
strong,Q1_Q12,19.5,11,5,0.008319217885584648
strong,Q1_Q12,19.5,11,6,0.0008716371153548201
strong,Q1_Q12,19.5,11,7,6.267916151323954e-05
strong,Q1_Q12,19.5,11,8,3.2567518569673664e-06
strong,Q1_Q12,19.5,11,9,1.249242791879079e-07
strong,Q1_Q12,19.5,11,10,4.780021070496243e-09
strong,Q1_Q12,19.5,11,11,5.3651737481742297e-11
strong,Q1_Q12,19.5,11,12,1.9147478875445158e-11
strong,Q1_Q12,19.5,12,1,0.0026641880437000814
strong,Q1_Q12,19.5,12,2,0.01971331422825357
strong,Q1_Q12,19.5,12,3,0.017417378371896188
strong,Q1_Q12,19.5,12,4,0.005642365238471631
strong,Q1_Q12,19.5,12,5,0.0009541391670721547
strong,Q1_Q12,19.5,12,6,9.996793889512007e-05
strong,Q1_Q12,19.5,12,7,7.1897335913696184e-06
strong,Q1_Q12,19.5,12,8,3.7274196974419503e-07
strong,Q1_Q12,19.5,12,9,1.4739756003386314e-08
strong,Q1_Q12,19.5,12,10,4.1648534074415153e-10
strong,Q1_Q12,19.5,12,11,1.9147478875445158e-11
strong,Q1_Q12,19.5,12,12,2.7710397785810044e-13
strong,Q1_Q12,28.5,1,1,6.310707193707503e-12
strong,Q1_Q12,28.5,1,2,1.1496415179887462e-09
strong,Q1_Q12,28.5,1,3,6.497010103914978e-08
strong,Q1_Q12,28.5,1,4,5.005950269331206e-07
strong,Q1_Q12,28.5,1,5,6.789932676669569e-06
strong,Q1_Q12,28.5,1,6,5.4909576078946847e-05
strong,Q1_Q12,28.5,1,7,0.00031763854478492575
strong,Q1_Q12,28.5,1,8,0.0011755944310520982
strong,Q1_Q12,28.5,1,9,0.0024196582187431103
strong,Q1_Q12,28.5,1,10,0.0020676449771302634
strong,Q1_Q12,28.5,1,11,0.00028759550459184956
strong,Q1_Q12,28.5,1,12,5.4620766182541134e-05
strong,Q1_Q12,28.5,2,1,1.1496415179887462e-09
strong,Q1_Q12,28.5,2,2,1.105519895120379e-08
strong,Q1_Q12,28.5,2,3,8.097994266714594e-07
strong,Q1_Q12,28.5,2,4,4.433111948633351e-06
strong,Q1_Q12,28.5,2,5,6.640925423853518e-05
strong,Q1_Q12,28.5,2,6,0.0005268833616259815
strong,Q1_Q12,28.5,2,7,0.003057878730425765
strong,Q1_Q12,28.5,2,8,0.011311190678619439
strong,Q1_Q12,28.5,2,9,0.023283410421498757
strong,Q1_Q12,28.5,2,10,0.019895721658311463
strong,Q1_Q12,28.5,2,11,0.00276738023229592
strong,Q1_Q12,28.5,2,12,0.0005255861732896234
strong,Q1_Q12,28.5,3,1,6.497010103914978e-08
strong,Q1_Q12,28.5,3,2,8.097994266714594e-07
strong,Q1_Q12,28.5,3,3,5.919524647248248e-07
strong,Q1_Q12,28.5,3,4,4.700109608560023e-05
strong,Q1_Q12,28.5,3,5,0.0003316711290687965
strong,Q1_Q12,28.5,3,6,0.003058576935895018
strong,Q1_Q12,28.5,3,7,0.0173063417120483
strong,Q1_Q12,28.5,3,8,0.06428735457748129
strong,Q1_Q12,28.5,3,9,0.1322333116418754
strong,Q1_Q12,28.5,3,10,0.11301135176476623
strong,Q1_Q12,28.5,3,11,0.015718391688234412
strong,Q1_Q12,28.5,3,12,0.002985298666298599
strong,Q1_Q12,28.5,4,1,5.005950269331206e-07
strong,Q1_Q12,28.5,4,2,4.433111948633351e-06
strong,Q1_Q12,28.5,4,3,4.700109608560023e-05
strong,Q1_Q12,28.5,4,4,1.3168978141259192e-05
strong,Q1_Q12,28.5,4,5,0.0005197022880383858
strong,Q1_Q12,28.5,4,6,0.002985780198933665
strong,Q1_Q12,28.5,4,7,0.01834357184493604
strong,Q1_Q12,28.5,4,8,0.06721551425972423
strong,Q1_Q12,28.5,4,9,0.13859176966872783
strong,Q1_Q12,28.5,4,10,0.11838470538329086
strong,Q1_Q12,28.5,4,11,0.016468636877728083
strong,Q1_Q12,28.5,4,12,0.0031276797313015956
strong,Q1_Q12,28.5,5,1,6.789932676669569e-06
strong,Q1_Q12,28.5,5,2,6.640925423853518e-05
strong,Q1_Q12,28.5,5,3,0.0003316711290687965
strong,Q1_Q12,28.5,5,4,0.0005197022880383858
strong,Q1_Q12,28.5,5,5,4.366013052241127e-05
strong,Q1_Q12,28.5,5,6,0.0018929983868676708
strong,Q1_Q12,28.5,5,7,0.007868493414763417
strong,Q1_Q12,28.5,5,8,0.030850301538752473
strong,Q1_Q12,28.5,5,9,0.06284932717826457
strong,Q1_Q12,28.5,5,10,0.053823343615449055
strong,Q1_Q12,28.5,5,11,0.007480878616777017
strong,Q1_Q12,28.5,5,12,0.0014209944870757405
strong,Q1_Q12,28.5,6,1,5.4909576078946847e-05
strong,Q1_Q12,28.5,6,2,0.0005268833616259815
strong,Q1_Q12,28.5,6,3,0.003058576935895018
strong,Q1_Q12,28.5,6,4,0.002985780198933665
strong,Q1_Q12,28.5,6,5,0.0018929983868676708
strong,Q1_Q12,28.5,6,6,0.0001488627929935533
strong,Q1_Q12,28.5,6,7,0.0028155818469027577
strong,Q1_Q12,28.5,6,8,0.007553693041971544
strong,Q1_Q12,28.5,6,9,0.01650424525171885
strong,Q1_Q12,28.5,6,10,0.013926060652309107
strong,Q1_Q12,28.5,6,11,0.0019454348273724971
strong,Q1_Q12,28.5,6,12,0.00036916559316907285
strong,Q1_Q12,28.5,7,1,0.00031763854478492575
strong,Q1_Q12,28.5,7,2,0.003057878730425765
strong,Q1_Q12,28.5,7,3,0.0173063417120483
strong,Q1_Q12,28.5,7,4,0.01834357184493604
strong,Q1_Q12,28.5,7,5,0.007868493414763417
strong,Q1_Q12,28.5,7,6,0.0028155818469027577
strong,Q1_Q12,28.5,7,7,9.261667772119937e-05
strong,Q1_Q12,28.5,7,8,0.001806786541826558
strong,Q1_Q12,28.5,7,9,0.0026304059969029306
strong,Q1_Q12,28.5,7,10,0.002425573499458154
strong,Q1_Q12,28.5,7,11,0.00032868687910376593
strong,Q1_Q12,28.5,7,12,6.274679888045148e-05
strong,Q1_Q12,28.5,8,1,0.0011755944310520982
strong,Q1_Q12,28.5,8,2,0.011311190678619439
strong,Q1_Q12,28.5,8,3,0.06428735457748129
strong,Q1_Q12,28.5,8,4,0.06721551425972423
strong,Q1_Q12,28.5,8,5,0.030850301538752473
strong,Q1_Q12,28.5,8,6,0.007553693041971544
strong,Q1_Q12,28.5,8,7,0.001806786541826558
strong,Q1_Q12,28.5,8,8,6.59928215029324e-05
strong,Q1_Q12,28.5,8,9,0.0004623833632719571
strong,Q1_Q12,28.5,8,10,0.00026093593690847106
strong,Q1_Q12,28.5,8,11,4.219283755345772e-05
strong,Q1_Q12,28.5,8,12,7.781507000656204e-06
strong,Q1_Q12,28.5,9,1,0.0024196582187431103
strong,Q1_Q12,28.5,9,2,0.023283410421498757
strong,Q1_Q12,28.5,9,3,0.1322333116418754
strong,Q1_Q12,28.5,9,4,0.13859176966872783
strong,Q1_Q12,28.5,9,5,0.06284932717826457
strong,Q1_Q12,28.5,9,6,0.01650424525171885
strong,Q1_Q12,28.5,9,7,0.0026304059969029306
strong,Q1_Q12,28.5,9,8,0.0004623833632719571
strong,Q1_Q12,28.5,9,9,7.995649948872658e-06
strong,Q1_Q12,28.5,9,10,3.991955299671537e-05
strong,Q1_Q12,28.5,9,11,2.642317100731689e-06
strong,Q1_Q12,28.5,9,12,5.88058670260939e-07
strong,Q1_Q12,28.5,10,1,0.0020676449771302634
strong,Q1_Q12,28.5,10,2,0.019895721658311463
strong,Q1_Q12,28.5,10,3,0.11301135176476623
strong,Q1_Q12,28.5,10,4,0.11838470538329086
strong,Q1_Q12,28.5,10,5,0.053823343615449055
strong,Q1_Q12,28.5,10,6,0.013926060652309107
strong,Q1_Q12,28.5,10,7,0.002425573499458154
strong,Q1_Q12,28.5,10,8,0.00026093593690847106
strong,Q1_Q12,28.5,10,9,3.991955299671537e-05
strong,Q1_Q12,28.5,10,10,6.847637398558217e-07
strong,Q1_Q12,28.5,10,11,5.869920613383112e-07
strong,Q1_Q12,28.5,10,12,7.327410347159898e-08
strong,Q1_Q12,28.5,11,1,0.00028759550459184956
strong,Q1_Q12,28.5,11,2,0.00276738023229592
strong,Q1_Q12,28.5,11,3,0.015718391688234412
strong,Q1_Q12,28.5,11,4,0.016468636877728083
strong,Q1_Q12,28.5,11,5,0.007480878616777017
strong,Q1_Q12,28.5,11,6,0.0019454348273724971
strong,Q1_Q12,28.5,11,7,0.00032868687910376593
strong,Q1_Q12,28.5,11,8,4.219283755345772e-05
strong,Q1_Q12,28.5,11,9,2.642317100731689e-06
strong,Q1_Q12,28.5,11,10,5.869920613383112e-07
strong,Q1_Q12,28.5,11,11,5.656883336502655e-09
strong,Q1_Q12,28.5,11,12,1.1923689960739295e-09
strong,Q1_Q12,28.5,12,1,5.4620766182541134e-05
strong,Q1_Q12,28.5,12,2,0.0005255861732896234
strong,Q1_Q12,28.5,12,3,0.002985298666298599
strong,Q1_Q12,28.5,12,4,0.0031276797313015956
strong,Q1_Q12,28.5,12,5,0.0014209944870757405
strong,Q1_Q12,28.5,12,6,0.00036916559316907285
strong,Q1_Q12,28.5,12,7,6.274679888045148e-05
strong,Q1_Q12,28.5,12,8,7.781507000656204e-06
strong,Q1_Q12,28.5,12,9,5.88058670260939e-07
strong,Q1_Q12,28.5,12,10,7.327410347159898e-08
strong,Q1_Q12,28.5,12,11,1.1923689960739295e-09
strong,Q1_Q12,28.5,12,12,1.1118186636895205e-11
strong,Q1_Q12,37.5,1,1,7.719059486393733e-09
strong,Q1_Q12,37.5,1,2,8.277825990643806e-07
strong,Q1_Q12,37.5,1,3,6.638361176672449e-06
strong,Q1_Q12,37.5,1,4,3.103801968905529e-05
strong,Q1_Q12,37.5,1,5,0.0002694760631903361
strong,Q1_Q12,37.5,1,6,0.0009644898796149662
strong,Q1_Q12,37.5,1,7,0.0027992908677815405
strong,Q1_Q12,37.5,1,8,0.0043713276938845014
strong,Q1_Q12,37.5,1,9,0.0030462914301577575
strong,Q1_Q12,37.5,1,10,0.00029265150118707296
strong,Q1_Q12,37.5,1,11,0.00022525517215748897
strong,Q1_Q12,37.5,1,12,0.00012601059183145474
strong,Q1_Q12,37.5,2,1,8.277825990643806e-07
strong,Q1_Q12,37.5,2,2,5.688648801736463e-08
strong,Q1_Q12,37.5,2,3,1.9286856087592525e-06
strong,Q1_Q12,37.5,2,4,9.48302794426406e-05
strong,Q1_Q12,37.5,2,5,0.0001809097503990792
strong,Q1_Q12,37.5,2,6,0.0013120376268057577
strong,Q1_Q12,37.5,2,7,0.002970950652803503
strong,Q1_Q12,37.5,2,8,0.005075023952869611
strong,Q1_Q12,37.5,2,9,0.0034109971660428373
strong,Q1_Q12,37.5,2,10,0.00033600387824277443
strong,Q1_Q12,37.5,2,11,0.00025640183146590694
strong,Q1_Q12,37.5,2,12,0.00014251602839717535
strong,Q1_Q12,37.5,3,1,6.638361176672449e-06
strong,Q1_Q12,37.5,3,2,1.9286856087592525e-06
strong,Q1_Q12,37.5,3,3,4.208081326105168e-06
strong,Q1_Q12,37.5,3,4,0.0004725916817266441
strong,Q1_Q12,37.5,3,5,0.00036204676879562675
strong,Q1_Q12,37.5,3,6,0.004464815921139161
strong,Q1_Q12,37.5,3,7,0.008566385982265844
strong,Q1_Q12,37.5,3,8,0.015581400769305233
strong,Q1_Q12,37.5,3,9,0.010212793994522922
strong,Q1_Q12,37.5,3,10,0.0010238345802085196
strong,Q1_Q12,37.5,3,11,0.000776587605276381
strong,Q1_Q12,37.5,3,12,0.0004296992151950007
strong,Q1_Q12,37.5,4,1,3.103801968905529e-05
strong,Q1_Q12,37.5,4,2,9.48302794426406e-05
strong,Q1_Q12,37.5,4,3,0.0004725916817266441
strong,Q1_Q12,37.5,4,4,0.00025042988492740017
strong,Q1_Q12,37.5,4,5,0.011252365674730931
strong,Q1_Q12,37.5,4,6,0.016865520352247938
