launch,time_ns,site,density
Q6,14.0,1,0.00010850838369813835
Q6,14.0,2,0.0020759355681540972
Q6,14.0,3,0.02531621721597425
Q6,14.0,4,0.15452742175533082
Q6,14.0,5,0.30905010161679675
Q6,14.0,6,0.01108789864887159
Q6,14.0,7,0.30874453102264643
Q6,14.0,8,0.1592028658106564
Q6,14.0,9,0.027357156954318406
Q6,14.0,10,0.00239503458380707
Q6,14.0,11,0.00013432843974636372
Q6,14.5,1,0.00015030641405287796
Q6,14.5,2,0.002651263585834899
Q6,14.5,3,0.029837576692348322
Q6,14.5,4,0.16655625643728075
Q6,14.5,5,0.2954947726004949
Q6,14.5,6,0.00383821015777232
Q6,14.5,7,0.294698935542485
Q6,14.5,8,0.17133629096747038
Q6,14.5,9,0.03219588714905494
Q6,14.5,10,0.003054598972029983
Q6,14.5,11,0.00018590148117602227
Q6,15.0,1,0.00020555330364513955
Q6,15.0,2,0.003349232445426898
Q6,15.0,3,0.03485112738925273
Q6,15.0,4,0.1781423294841579
Q6,15.0,5,0.2798618606693087
Q6,15.0,6,0.0003875867977732201
Q6,15.0,7,0.27858509999088915
Q6,15.0,8,0.1829618731273639
Q6,15.0,9,0.03754813603414772
Q6,15.0,10,0.0038532119831081457
Q6,15.0,11,0.0002539887749270349
Q6,15.5,1,0.0002777416784562283
Q6,15.5,2,0.004187499140102612
Q6,15.5,3,0.04035980427624897
Q6,15.5,4,0.1891125847028529
Q6,15.5,5,0.2624389082601524
Q6,15.5,6,0.00045474615180385195
Q6,15.5,7,0.26070167116633275
Q6,15.5,8,0.1939003514368376
Q6,15.5,9,0.043413450694873984
Q6,15.5,10,0.004810396015198093
Q6,15.5,11,0.00034284647714103816
Q6,16.0,1,0.0003710494892785122
Q6,16.0,2,0.005184640857629783
Q6,16.0,3,0.04635860926190545
Q6,16.0,4,0.19929699641325793
Q6,16.0,5,0.24354049126640556
Q6,16.0,6,0.0037107527038732105
Q6,16.0,7,0.24137406171624531
Q6,16.0,8,0.20397673410169484
Q6,16.0,9,0.04978256626606122
Q6,16.0,10,0.005946543597597269
Q6,16.0,11,0.00045755432605124524
Q6,16.5,1,0.0004904253878533601
Q6,16.5,2,0.0063599173210803
Q6,16.5,3,0.05283396411689241
Q6,16.5,4,0.20853200911051023
Q6,16.5,5,0.2235017791740396
Q6,16.5,6,0.009786725357346796
Q6,16.5,7,0.22094773824182062
Q6,16.5,8,0.2130239380058283
Q6,16.5,9,0.05663676812036439
Q6,16.5,10,0.007282620549218094
Q6,16.5,11,0.0006041146150462107
Q6,17.0,1,0.0006416755392584653
Q6,17.0,2,0.007732982279707249
Q6,17.0,3,0.05976320362667453
Q6,17.0,4,0.21666392723357145
Q6,17.0,5,0.20267178115427578
Q6,17.0,6,0.018282091355897718
Q6,17.0,7,0.19978120599459365
Q6,17.0,8,0.22088634997903736
Q6,17.0,9,0.0639474194421782
Q6,17.0,10,0.008839811682499456
Q6,17.0,11,0.0007895517123064969
Q6,17.5,1,0.0008315501230762416
Q6,17.5,2,0.009323545097454396
Q6,17.5,3,0.06711422991841844
Q6,17.5,4,0.2235521796435494
Q6,17.5,5,0.18140641775163463
Q6,17.5,6,0.028773215274718926
Q6,17.5,7,0.17823883641716953
Q6,17.5,8,0.22742322862331912
Q6,17.5,9,0.07167567623219162
Q6,17.5,10,0.010639111055287677
Q6,17.5,11,0.0010220098631801718
Q6,18.0,1,0.0010678275139411385
Q6,18.0,2,0.011150984809067838
Q6,18.0,3,0.07484534600589328
Q6,18.0,4,0.22907238537239794
Q6,18.0,5,0.1600615598953545
Q6,18.0,6,0.04082222721332871
Q6,18.0,7,0.15668368547516565
Q6,18.0,8,0.23251186832180834
Q6,18.0,9,0.079772408189395
Q6,18.0,10,0.012700860499746926
Q6,18.0,11,0.0013108467039009116
Q6,18.5,1,0.0013593938873520319
Q6,18.5,2,0.013233920499924338
Q6,18.5,3,0.08290528312712286
Q6,18.5,4,0.23311915082819085
Q6,18.5,5,0.1389861760889927
Q6,18.5,6,0.0539858734059603
Q6,18.5,7,0.1354704493029572
Q6,18.5,8,0.23605045158845048
Q6,18.5,9,0.08817833969871912
Q6,18.5,10,0.01504424193743765
Q6,18.5,11,0.001666719634892814
Q6,19.0,1,0.001716315777522712
Q6,19.0,2,0.015589743379937907
Q6,19.0,3,0.09123343248151577
Q6,19.0,4,0.23560853386281605
Q6,19.0,5,0.11851572484020381
Q6,19.0,6,0.06782421514687954
Q6,19.0,7,0.11493869919803544
Q6,19.0,8,0.23796052217379882
Q6,19.0,9,0.09682442040208541
Q6,19.0,10,0.017686730777794826
Q6,19.0,11,0.002101661959409933
Q6,19.5,1,0.002149902928996059
Q6,19.5,2,0.018234117425807356
Q6,19.5,3,0.09976028758948745
Q6,19.5,4,0.2364801168111137
Q6,19.5,5,0.09896592278454364
Q6,19.5,6,0.08190900810700728
Q6,19.5,7,0.09540653056886354
Q6,19.5,8,0.23818901918713387
Q6,19.5,9,0.10563242965303281
Q6,19.5,10,0.02064351944476857
Q6,19.5,11,0.002629145499246005
Q6,20.0,1,0.0026727586411051823
Q6,20.0,2,0.021180456918961674
Q6,20.0,3,0.10840809879389408
Q6,20.0,4,0.23569863865270854
Q6,20.0,5,0.08062700969712133
Q6,20.0,6,0.09583160362390022
Q6,20.0,7,0.07716475025253995
Q6,20.0,8,0.23670982175447858
Q6,20.0,9,0.11451581366835498
Q6,20.0,10,0.02392692173292941
Q6,20.0,11,0.0032641262640062175
Q6,20.5,1,0.0032988147121051693
Q6,20.5,2,0.024439390567329754
Q6,20.5,3,0.11709173650488058
Q6,20.5,4,0.23325514565391198
Q6,20.5,5,0.06375861989268218
Q6,20.5,6,0.10921022614064867
Q6,20.5,7,0.060471713912766824
Q6,20.5,8,0.23352476419994958
Q6,20.5,9,0.12338074852324818
Q6,20.5,10,0.02754577020887829
Q6,20.5,11,0.004023069683598924
Q6,21.0,1,0.004043348055306079
Q6,21.0,2,0.028018223125979
Q6,21.0,3,0.12571975477181419
Q6,21.0,4,0.22916763001514828
Q6,21.0,5,0.048585355657015265
Q6,21.0,6,0.12169649634970929
Q6,21.0,7,0.04554891029925893
Q6,21.0,8,0.22866409317972344
Q6,21.0,9,0.13212741642607845
Q6,21.0,10,0.03150482019609475
Q6,21.0,11,0.004923951923872663
Q6,21.5,1,0.004922976089363455
Q6,21.5,2,0.031920406484266084
Q6,21.5,3,0.1341956417668839
Q6,21.5,4,0.2234811369552144
Q6,21.5,5,0.03529314264324667
Q6,21.5,6,0.1329810874091104
Q6,21.5,7,0.032577372336067806
Q6,21.5,8,0.2221863503561233
Q6,21.5,9,0.14065147709628997
Q6,21.5,10,0.03580417496330272
Q6,21.5,11,0.005986233900131452
Q6,22.0,1,0.005955628104522123
Q6,22.0,2,0.03614503302711427
Q6,22.0,3,0.14241923890617378
Q6,22.0,4,0.2162673320659095
Q6,22.0,5,0.02402642995533791
Q6,22.0,6,0.14279842143784008
Q6,22.0,7,0.021694976685421287
Q6,22.0,8,0.21417767679915753
Q6,22.0,9,0.14884571069656072
Q6,22.0,10,0.04043874753345636
Q6,22.0,11,0.007230804788506686
Q6,22.5,1,0.007160489980286334
Q6,22.5,2,0.040686364670296196
Q6,22.5,3,0.15028830573656712
Q6,22.5,4,0.2076235324159731
Q6,22.5,5,0.014886279306880782
Q6,22.5,6,0.1509303349235561
Q6,22.5,7,0.01299467401206529
Q6,22.5,8,0.20475054805859796
Q6,22.5,9,0.1566018037780017
Q6,22.5,10,0.04539777500283172
Q6,22.5,11,0.008679892114944136
Q6,23.0,1,0.0085579198804635
Q6,23.0,2,0.04553341128335936
Q6,23.0,3,0.15770020349833505
Q6,23.0,4,0.19767121651258762
Q6,23.0,5,0.00792936858574103
Q6,23.0,6,0.1572086642198178
Q6,23.0,7,0.0065236720775070645
Q6,23.0,8,0.19404196147141062
Q6,23.0,9,0.1638122452189717
Q6,23.0,10,0.05066440137387021
Q6,23.0,11,0.010356935877936442
Q6,23.5,1,0.01016933287992321
Q6,23.5,2,0.05066957222352713
Q6,23.5,3,0.16455366654500486
Q6,23.5,4,0.18655403958240466
Q6,23.5,5,0.003167915785947092
Q6,23.5,6,0.16151672548466653
Q6,23.5,7,0.0022835734616246228
Q6,23.5,8,0.1822111094693779
Q6,23.5,9,0.17037229529853629
Q6,23.5,10,0.05621534463506473
Q6,23.5,11,0.012286424633923236
Q6,24.0,1,0.012017052883083702
Q6,24.0,2,0.056072354390108735
Q6,24.0,3,0.17075062766629015
Q6,24.0,4,0.17443539145826
Q6,24.0,5,0.000570510002150837
Q6,24.0,6,0.16378968672304955
Q6,24.0,7,0.00023144957967849715
Q6,24.0,8,0.16943658415145113
Q6,24.0,9,0.17618198795665868
Q6,24.0,10,0.062020663148327444
Q6,24.0,11,0.014493692040941784
Q6,24.5,1,0.014124130674562597
Q6,24.5,2,0.061713179559111334
Q6,24.5,3,0.17619806090698636
Q6,24.5,4,0.16149554440990338
Q6,24.5,5,6.381742774724548e-05
Q6,24.5,6,0.1640138525510357
Q6,24.5,7,0.0002818131663256766
Q6,24.5,8,0.1559131689214613
Q6,24.5,9,0.18114812405114997
Q6,24.5,10,0.06804363532010406
Q6,24.5,11,0.017004673011612657
Q6,25.0,1,0.016514127493156585
Q6,25.0,2,0.0675572927668228
Q6,25.0,3,0.18080980378114955
Q6,25.0,4,0.14792844731147942
Q6,25.0,5,0.0015351124493143662
Q6,25.0,6,0.16222490442249324
Q6,25.0,7,0.0023094329475784633
Q6,25.0,8,0.14184828232252383
Q6,25.0,9,0.18518621210414998
Q6,25.0,10,0.0742407650379869
Q6,25.0,11,0.01984561936334516
Q6,25.5,1,0.01921086413493818
Q6,25.5,2,0.07356378218203553
Q6,25.5,3,0.18450831990674074
Q6,25.5,4,0.13393823039139383
Q6,25.5,5,0.004835567358253467
Q6,25.5,6,0.15850515989519456
Q6,25.5,7,0.0061529172029815464
Q6,25.5,8,0.12745814711006986
Q6,25.5,9,0.18822231269574954
Q6,25.5,10,0.0805619234609344
Q6,25.5,11,0.023042775661708734
Q6,26.0,1,0.022238136261449472
Q6,26.0,2,0.07968571925047502
Q6,26.0,3,0.1872263630734613
Q6,26.0,4,0.11973549128438266
Q6,26.0,5,0.009784219245192832
Q6,26.0,6,0.15297993364274906
Q6,26.0,7,0.011618977684986403
Q6,26.0,8,0.1129637639132544
Q6,26.0,9,0.19019474334419675
Q6,26.0,10,0.0869506354800614
Q6,26.0,11,0.026622016819791067
Q6,26.5,1,0.02561939730455317
Q6,26.5,2,0.08587042593136339
Q6,26.5,3,0.1889085046286496
Q6,26.5,4,0.10553343805443476
Q6,26.5,5,0.016172519605586994
Q6,26.5,6,0.14581309996282166
Q6,26.5,7,0.018487272219757718
Q6,26.5,8,0.09858677339310633
Q6,26.5,9,0.1910556024220932
Q6,26.5,10,0.09334451655029588
Q6,26.5,11,0.030608449927337748
Q6,27.0,1,0.029377411108570912
Q6,27.0,2,0.09205987360260581
Q6,27.0,3,0.1895124878256005
Q6,27.0,4,0.09154396816798932
Q6,27.0,5,0.023769361323386046
Q6,27.0,6,0.1372019711618421
Q6,27.0,7,0.02651571352398732
Q6,27.0,8,0.08454529350848371
Q6,27.0,9,0.19077207338275523
Q6,27.0,10,0.09967586267300015
Q6,27.0,11,0.0350259837217793
Q6,27.5,1,0.033533877219438374
Q6,27.5,2,0.09819121572347624
Q6,27.5,3,0.189010375407597
Q6,27.5,4,0.07797376399327967
Q6,27.5,5,0.03232646922152572
Q6,27.5,6,0.12737161813896472
Q6,27.5,7,0.03544612354232266
Q6,27.5,8,0.07104981928312304
Q6,27.5,9,0.18932747427254856
Q6,27.5,10,0.10587239313737412
Q6,27.5,11,0.039896870060350226
Q6,28.0,1,0.038109032504943595
Q6,28.0,2,0.10419745365493345
Q6,28.0,3,0.18738946016080524
Q6,28.0,4,0.06502048524579052
Q6,28.0,5,0.041584034427551236
Q6,28.0,6,0.11656876853580814
Q6,28.0,7,0.04501010708835706
Q6,28.0,8,0.05829927130796933
Q6,28.0,9,0.18672202212132846
Q6,28.0,10,0.11185814226411797
Q6,28.0,11,0.045241222688395456
Q6,28.5,1,0.04312123355381058
Q6,28.5,2,0.11000823219758875
Q6,28.5,3,0.1846529124013435
Q6,28.5,4,0.05286913689261043
Q6,28.5,5,0.05127646949769651
Q6,28.5,6,0.10505542381703964
Q6,28.5,7,0.054935015846645556
Q6,28.5,8,0.04647727613593295
Q6,28.5,9,0.18297328724877454
Q6,28.5,10,0.11755449290599178
Q6,28.5,11,0.051076519502566434
Q6,29.0,1,0.04858652503778368
Q6,29.0,2,0.1155507584714449
Q6,29.0,3,0.18082014328860582
Q6,29.0,4,0.04168868741014401
Q6,29.0,5,0.061138160612868184
Q6,29.0,6,0.09310233952116269
Q6,29.0,7,0.0649498738896715
Q6,29.0,8,0.03574875679832094
Q6,29.0,9,0.17811631869244443
Q6,29.0,10,0.12288134092033784
Q6,29.0,11,0.057417095357216515
Q6,29.5,1,0.05451819991283536
Q6,29.5,2,0.12075083479020127
Q6,29.5,3,0.17592686838289592
Q6,29.5,4,0.03162900703858708
Q6,29.5,5,0.07090909518647627
Q6,29.5,6,0.08098251266032643
Q6,29.5,7,0.07479113874572975
Q6,29.5,8,0.026256905002767148
Q6,29.5,9,0.17220342872735828
Q6,29.5,10,0.12775837631681713
Q6,29.5,11,0.06427363323600577
Q6,30.0,1,0.06092635796593872
Q6,30.0,2,0.12553399324009215
Q6,30.0,3,0.17002486187948732
Q6,30.0,4,0.02281818890761994
Q6,30.0,5,0.08034024783068336
Q6,30.0,6,0.0689648169097378
Q6,30.0,7,0.08420817762423789
Q6,30.0,8,0.01812059831060984
Q6,30.0,9,0.16530363166359693
Q6,30.0,10,0.1321064633810788
Q6,30.0,11,0.07165266228691776
Q6,30.5,1,0.0678174697655538
Q6,30.5,2,0.12982671682508837
Q6,30.5,3,0.16318139832874765
Q6,30.5,4,0.015360307769680628
Q6,30.5,5,0.08919861468295795
Q6,30.5,6,0.057307919934103814
Q6,30.5,7,0.09296834650895881
Q6,30.5,8,0.011432315922739912
Q6,30.5,9,0.1575017396207512
Q6,30.5,10,0.13584909886463764
Q6,30.5,11,0.07955607177678073
Q6,31.0,1,0.0751939535307755
Q6,31.0,2,0.13355772935385044
Q6,31.0,3,0.15547838525746066
Q6,31.0,4,0.009333661749288149
Q6,31.0,5,0.0972717954154898
Q6,31.0,6,0.046254608135405
Q6,31.0,7,0.10086157025790969
Q6,31.0,8,0.006256595844529188
Q6,31.0,9,0.14889712561878465
Q6,31.0,10,0.13891392439500364
Q6,31.0,11,0.0879806504415039
Q6,31.5,1,0.08305377278070726
Q6,31.5,2,0.13665933378541756
Q6,31.5,3,0.14701119679654845
Q6,31.5,4,0.0047895322050696765
Q6,31.5,5,0.10437203360543908
Q6,31.5,6,0.03602663251547505
Q6,31.5,7,0.1077043343433998
Q6,31.5,8,0.002629064397227885
Q6,31.5,9,0.13960217192012986
Q6,31.5,10,0.14123426667765576
Q6,31.5,11,0.09691766097293025
Q6,32.0,1,0.09139006284823314
Q6,32.0,2,0.1390687765844299
Q6,32.0,3,0.1378872250468497
Q6,32.0,4,0.0017514857332161609
Q6,32.0,5,0.11033963926172288
Q6,32.0,6,0.02682017552186444
Q6,32.0,7,0.11334301312606694
Q6,32.0,8,0.0005560565614343987
Q6,32.0,9,0.12974042893123383
Q6,32.0,10,0.14275067690780108
Q6,32.0,11,0.10635245947714818
