theta,phi,probability
0,1.5707963267948966,9.5367431640624979e-07
0,1.5969762655748116,9.5367431640624979e-07
0,1.6231562043547259,9.5367431640624979e-07
0,1.6493361431346409,9.5367431640624979e-07
0,1.675516081914556,9.5367431640624979e-07
0,1.7016960206944711,9.5367431640624979e-07
0,1.7278759594743862,9.5367431640624979e-07
0,1.7540558982543013,9.5367431640624979e-07
0,1.7802358370342155,9.5367431640624979e-07
0,1.8064157758141306,9.5367431640624979e-07
0,1.8325957145940457,9.5367431640624979e-07
0,1.8587756533739608,9.5367431640624979e-07
0,1.8849555921538759,9.5367431640624979e-07
0,1.911135530933791,9.5367431640624979e-07
0,1.9373154697137052,9.5367431640624979e-07
0,1.9634954084936203,9.5367431640624979e-07
0,1.9896753472735353,9.5367431640624979e-07
0,2.0158552860534504,9.5367431640624979e-07
0,2.0420352248333655,9.5367431640624979e-07
0,2.0682151636132806,9.5367431640624979e-07
0,2.0943951023931948,9.5367431640624979e-07
0,2.1205750411731099,9.5367431640624979e-07
0,2.146754979953025,9.5367431640624979e-07
0,2.1729349187329401,9.5367431640624979e-07
0,2.1991148575128552,9.5367431640624979e-07
0,2.2252947962927703,9.5367431640624979e-07
0,2.2514747350726845,9.5367431640624979e-07
0,2.2776546738525996,9.5367431640624979e-07
0,2.3038346126325147,9.5367431640624979e-07
0,2.3300145514124297,9.5367431640624979e-07
0,2.3561944901923448,9.5367431640624979e-07
0,2.3823744289722599,9.5367431640624979e-07
0,2.4085543677521741,9.5367431640624979e-07
0,2.4347343065320892,9.5367431640624979e-07
0,2.4609142453120043,9.5367431640624979e-07
0,2.4870941840919194,9.5367431640624979e-07
0,2.5132741228718345,9.5367431640624979e-07
0,2.5394540616517496,9.5367431640624979e-07
0,2.5656340004316638,9.5367431640624979e-07
0,2.5918139392115789,9.5367431640624979e-07
0,2.617993877991494,9.5367431640624979e-07
0,2.6441738167714091,9.5367431640624979e-07
0,2.6703537555513241,9.5367431640624979e-07
0,2.6965336943312392,9.5367431640624979e-07
0,2.7227136331111534,9.5367431640624979e-07
0,2.7488935718910685,9.5367431640624979e-07
0,2.7750735106709836,9.5367431640624979e-07
0,2.8012534494508987,9.5367431640624979e-07
0,2.8274333882308138,9.5367431640624979e-07
0,2.8536133270107289,9.5367431640624979e-07
0,2.8797932657906431,9.5367431640624979e-07
0,2.9059732045705582,9.5367431640624979e-07
0,2.9321531433504733,9.5367431640624979e-07
0,2.9583330821303884,9.5367431640624979e-07
0,2.9845130209103035,9.5367431640624979e-07
0,3.0106929596902186,9.5367431640624979e-07
0,3.0368728984701328,9.5367431640624979e-07
0,3.0630528372500478,9.5367431640624979e-07
0,3.0892327760299629,9.5367431640624979e-07
0,3.115412714809878,9.5367431640624979e-07
