tau,normalized_time,lambda_1,lambda_2,lambda_3,analytic_qfi
0.1325359400733194,0.084375000000000006,126.97296167990908,23.981979272478384,2.8329667746070935,126.9729616799091
0.13744467859455345,0.087499999999999994,131.82293594114932,26.359837808565715,2.7649945253161814,131.82293594114944
0.1423534171157875,0.090624999999999997,136.59879596630307,28.870574414417035,2.712915328825964,136.5987959663031
0.14726215563702155,0.09375,141.28779198070725,31.512720560737932,2.6760328150625003,141.2877919807074
0.1521708941582556,0.096875000000000003,145.87803279025212,34.28405656483892,2.6537559467987415,145.87803279025229
0.15707963267948966,0.10000000000000001,150.35853912075837,37.181618528361724,2.6455855265048882,150.35853912075851
0.16198837120072371,0.10312499999999999,154.71928583461442,40.201712778502554,2.65110201647704,154.71928583461448
0.16689710972195776,0.10625,158.95123330985609,43.33993751450987,2.6699545104064062,158.95123330985612
0.17180584824319181,0.109375,163.04634835064491,46.591211280123446,2.7018507112082517,163.04634835064485
0.17671458676442586,0.1125,166.99761507510544,49.949807808773642,2.7465477866751034,166.99761507510544
0.18162332528565991,0.11562500000000001,170.79903629622396,53.409396722625388,2.8038439908323554,170.79903629622393
0.18653206380689397,0.11874999999999999,174.44562597345922,56.963089509623728,2.8735709544315138,174.44562597345944
0.19144080232812802,0.121875,177.93339336636521,60.603490155106812,2.9555865626287074,177.93339336636521
0.19634954084936207,0.125,181.25931956642194,64.322749766676083,3.0497683514682818,181.25931956642191
0.20125827937059612,0.12812499999999999,184.42132711910389,68.11262450306279,3.1560073672885127,184.42132711910392
0.20616701789183017,0.13125000000000001,187.4182434747546,71.964536099770896,3.2742024445815874,187.41824347475463
0.21107575641306422,0.13437499999999999,190.24975902404975,75.869634276193864,3.4042548681948626,190.24975902404978
0.21598449493429828,0.13750000000000001,192.91638048179203,79.818860310466988,3.5460633950730402,192.91638048179206
0.22089323345553233,0.140625,195.41938038173541,83.803011079129504,3.6995196190377513,195.41938038173555
0.22580197197676638,0.14374999999999999,197.76074343545432,87.812802878227785,3.8645036693994688,197.76074343545434
0.23071071049800043,0.14687500000000001,199.94311049047266,91.838934370173661,4.0408802405106146,199.94311049047275
0.23561944901923448,0.14999999999999999,201.96972079756722,95.872148035741333,4.2284949547075703,201.96972079756728
0.24052818754046854,0.15312500000000001,203.84435326507665,99.903289552254591,4.4271710654537282,203.84435326507682
0.24543692606170259,0.15625,205.57126734000039,103.92336456640204,4.6367065108912593,205.5712673400003
0.25034566458293661,0.15937499999999999,207.15514411250774,107.92359238230047,4.8568713304343474,207.15514411250777
0.25525440310417069,0.16250000000000001,208.60102819312471,111.89545614145433,5.0874054584966331,208.60102819312465
0.26016314162540477,0.16562500000000002,209.91427086121928,115.83074913017226,5.3280169099561885,209.91427086121945
0.26507188014663879,0.16875000000000001,211.10047493044397,119.72161691081733,5.5783803715354736,211.10047493044402
0.26998061866787282,0.17187499999999997,212.16544172236672,123.56059503505247,5.8381362119517863,212.16544172236681
0.2748893571891069,0.17499999999999999,213.11512048457197,127.3406421590749,6.1068899215158341,213.11512048457223
0.27979809571034098,0.17812500000000001,213.95556053480948,131.05516844184135,6.3842119888880982,213.95556053480956
0.284706834231575,0.18124999999999999,214.69286635911968,134.69805916665567,6.6696382190197792,214.69286635911965
0.28961557275280903,0.18437499999999998,215.33315583994258,138.26369358347921,6.9626704920046212,215.33315583994278
0.2945243112740431,0.1875,215.88252174061824,141.74695902326476,7.2627779577582343,215.88252174061833
0.29943304979527718,0.19062500000000002,216.34699652594909,145.14326038591093,7.5693986562475581,216.34699652594901
0.30434178831651121,0.19375000000000001,216.73252055503821,148.44852514961127,7.8819415475531818,216.73252055503821
0.30925052683774523,0.19687499999999999,217.04491364275361,151.65920409099314,8.1997889305048979,217.04491364275361
0.31415926535897931,0.20000000000000001,217.28984995015642,154.77226794223137,8.5222992231351977,217.28984995015639
0.31906800388021339,0.20312500000000003,217.47283613221765,157.78520024302679,8.8488100729041665,217.47283613221774
0.32397674240144742,0.20624999999999999,217.59919264317969,160.69598667186096,9.1786417597018577,217.59919264317961
0.32888548092268144,0.20937499999999998,217.67403807600152,163.50310116221002,9.5111008501776908,217.67403807600166
0.33379421944391552,0.21249999999999999,217.70227639238152,166.2054891254889,9.8454840581064627,217.70227639238183
0.3387029579651496,0.21562500000000001,217.68858688371031,168.80254811349553,10.181082262385214,217.68858688371029
0.34361169648638362,0.21875,217.63741669082623,171.2941062592468,10.517184631960973,217.6374166908262
0.34852043500761765,0.22187499999999999,217.55297570135713,173.68039883657588,10.853082805579353,217.55297570135713
0.35342917352885173,0.22500000000000001,217.43923363748468,175.96204327600211,11.188075073762217,217.43923363748476
0.35833791205008581,0.22812500000000002,217.29991914390865,178.14001296755308,11.521470510885834,217.29991914390882
0.36324665057131983,0.23125000000000001,217.13852068528479,180.21561017077576,11.852593006626812,217.13852068528473
0.36815538909255385,0.23437499999999997,216.95828906419558,182.19043833855011,12.180785148335248,216.95828906419567
0.37306412761378793,0.23749999999999999,216.76224137448628,184.06637414494102,12.505411909021607,216.76224137448636
0.37797286613502201,0.24062500000000001,216.55316621025497,185.84553948862268,12.825864099522107,216.55316621025503
0.38288160465625604,0.24374999999999999,216.333629957688,187.53027372284095,13.141561547936247,216.33362995768817
0.38779034317749006,0.24687499999999998,216.10598400497889,189.12310634086305,13.451955974490678,216.10598400497898
0.39269908169872414,0.25,215.8723727145485,190.62673032283772,13.756533535451485,215.8723727145485
0.39760782021995822,0.25312500000000004,215.63474201146664,192.04397632634252,14.054817015447091,215.63474201146647
0.40251655874119224,0.25624999999999998,215.3948484521469,193.37778787901533,14.346367653441826,215.39484845214702
0.40742529726242627,0.25937499999999997,215.15426864788884,194.63119770790885,14.630786593485885,215.15426864788881
0.41233403578366035,0.26250000000000001,214.91440892847635,195.80730531687061,14.907715957130943,214.91440892847629
0.41724277430489443,0.265625,214.6765151417149,196.90925590064782,15.176839539933207,214.67651514171484
0.42215151282612845,0.26874999999999999,214.44168249531702,197.94022066276605,15.437883139658039,214.44168249531697
