ensemble,frequency,normalized_power
integrable_Poisson,0.1611979591836754,4.325550867590978e-06
integrable_Poisson,0.16262448979592034,9.69455188424286e-06
integrable_Poisson,0.16405102040816524,5.281647507375327e-06
integrable_Poisson,0.16547755102041017,6.323756645924009e-06
integrable_Poisson,0.16690408163265508,7.383418222955517e-06
integrable_Poisson,0.1683306122449,7.074151654955077e-06
integrable_Poisson,0.1697571428571449,1.2442057627135496e-05
integrable_Poisson,0.1711836734693898,7.12589892063314e-06
integrable_Poisson,0.17261020408163474,7.585522608292502e-06
integrable_Poisson,0.17403673469387965,5.391674958727858e-06
integrable_Poisson,0.17546326530612458,4.004173409204854e-06
integrable_Poisson,0.17688979591836948,2.5875269760716067e-06
integrable_Poisson,0.1783163265306144,2.895323736482045e-06
integrable_Poisson,0.1797428571428593,9.19464309284134e-06
integrable_Poisson,0.18116938775510424,5.857611290129439e-06
integrable_Poisson,0.18259591836734915,2.3215211256201098e-05
integrable_Poisson,0.18402244897959405,3.3569612040808875e-06
integrable_Poisson,0.18544897959183898,5.437392869740789e-06
integrable_Poisson,0.18687551020408388,4.893421791620956e-06
integrable_Poisson,0.18830204081632881,1.387021450873281e-06
integrable_Poisson,0.18972857142857372,3.259756754148609e-05
integrable_Poisson,0.19115510204081865,0.00030134413545536133
integrable_Poisson,0.19258163265306355,1.6412637461699127e-06
integrable_Poisson,0.19400816326530848,1.7058838252010978e-06
integrable_Poisson,0.19543469387755338,1.7208709803131446e-06
integrable_Poisson,0.1968612244897983,9.076199886285716e-06
integrable_Poisson,0.19828775510204322,2.8567764959039916e-06
integrable_Poisson,0.19971428571428812,3.1653422937775496e-06
integrable_Poisson,0.20114081632653305,3.154428271740358e-06
integrable_Poisson,0.20256734693877795,1.603400199556903e-05
integrable_Poisson,0.20399387755102288,8.077174714923386e-05
integrable_Poisson,0.2054204081632678,1.8860517877430266e-05
integrable_Poisson,0.20684693877551272,1.0074940029754946e-05
integrable_Poisson,0.20827346938775762,1.6336827846853515e-05
integrable_Poisson,0.20970000000000252,2.8183182497375546e-06
integrable_Poisson,0.21112653061224745,5.412785816387081e-06
integrable_Poisson,0.21255306122449236,4.034527312023102e-06
integrable_Poisson,0.2139795918367373,1.3298918950606616e-05
integrable_Poisson,0.2154061224489822,8.09877168016774e-06
integrable_Poisson,0.21683265306122712,7.175999715724184e-06
integrable_Poisson,0.21825918367347202,2.6661266704329694e-05
integrable_Poisson,0.21968571428571695,3.191204318538622e-06
integrable_Poisson,0.22111224489796186,6.066914576207028e-06
integrable_Poisson,0.22253877551020676,3.307014045254672e-07
integrable_Poisson,0.2239653061224517,2.050073056436038e-06
integrable_Poisson,0.2253918367346966,4.70665405849041e-06
integrable_Poisson,0.22681836734694152,5.325410279310422e-06
integrable_Poisson,0.22824489795918643,6.983756575903671e-06
integrable_Poisson,0.22967142857143136,2.7596209543508214e-06
integrable_Poisson,0.23109795918367626,5.371047653542413e-06
integrable_Poisson,0.2325244897959212,6.486124833745329e-06
integrable_Poisson,0.2339510204081661,3.164108947580967e-06
integrable_Poisson,0.235377551020411,1.9865462340102586e-06
integrable_Poisson,0.23680408163265593,2.2251323634265534e-06
integrable_Poisson,0.23823061224490083,2.509422385036846e-06
integrable_Poisson,0.23965714285714576,1.4882792574281144e-06
integrable_Poisson,0.24108367346939066,9.066141089517906e-07
integrable_Poisson,0.2425102040816356,2.4545979222450725e-06
integrable_Poisson,0.2439367346938805,3.3868612885754364e-06
integrable_Poisson,0.24536326530612543,4.52696955087899e-06
integrable_Poisson,0.24678979591837033,3.212334249496817e-06
integrable_Poisson,0.24821632653061523,3.506607174081697e-06
integrable_Poisson,0.24964285714286016,5.54974362654755e-06
integrable_Poisson,0.25106938775510507,4.1359114117768085e-06
integrable_Poisson,0.25249591836734997,2.3581178833934134e-06
integrable_Poisson,0.25392244897959493,3.0494797231612747e-06
integrable_Poisson,0.25534897959183983,6.457666166869278e-06
integrable_Poisson,0.25677551020408473,1.388687873180977e-06
integrable_Poisson,0.25820204081632964,2.021863514600934e-06
integrable_Poisson,0.2596285714285746,2.128734327337536e-06
integrable_Poisson,0.2610551020408195,1.8005028581528568e-07
integrable_Poisson,0.2624816326530644,4.548448832739334e-06
integrable_Poisson,0.2639081632653093,8.581185765949079e-07
integrable_Poisson,0.2653346938775542,3.1545928328651824e-06
integrable_Poisson,0.26676122448979916,5.12830006785504e-06
integrable_Poisson,0.26818775510204407,2.535747578134385e-06
integrable_Poisson,0.26961428571428897,1.8030087939678094e-06
integrable_Poisson,0.2710408163265339,3.126996694179177e-06
integrable_Poisson,0.27246734693877883,2.9450316979044722e-06
integrable_Poisson,0.27389387755102373,3.0369250526160004e-06
integrable_Poisson,0.27532040816326864,2.0731822401302e-06
integrable_Poisson,0.27674693877551354,2.539520169014974e-06
integrable_Poisson,0.27817346938775844,2.062667641665423e-06
integrable_Poisson,0.2796000000000034,2.9048511180353313e-06
integrable_Poisson,0.2810265306122483,2.2886532957596927e-06
integrable_Poisson,0.2824530612244932,3.1871936823392646e-06
integrable_Poisson,0.2838795918367381,1.7591210228209545e-06
integrable_Poisson,0.28530612244898307,1.6049622386598494e-06
integrable_Poisson,0.28673265306122797,3.7191994271957676e-06
integrable_Poisson,0.2881591836734729,2.468377605693519e-06
integrable_Poisson,0.2895857142857178,2.7487270260021773e-06
integrable_Poisson,0.2910122448979627,2.3592763675336294e-06
integrable_Poisson,0.29243877551020764,2.4567522089654577e-06
integrable_Poisson,0.29386530612245254,1.5835025508693553e-06
integrable_Poisson,0.29529183673469744,2.300425179764174e-06
integrable_Poisson,0.29671836734694235,3.158721524788129e-06
integrable_Poisson,0.2981448979591873,3.7272112635064363e-06
integrable_Poisson,0.2995714285714322,2.1499778449329346e-06
integrable_Poisson,0.3009979591836771,2.0451611730006234e-06
integrable_Poisson,0.302424489795922,2.29455974835766e-06
integrable_Poisson,0.3038510204081669,4.4278010548806805e-06
integrable_Poisson,0.3052775510204119,2.6394458839571275e-06
integrable_Poisson,0.3067040816326568,1.9885332775996316e-06
integrable_Poisson,0.3081306122449017,1.4802655397835545e-06
integrable_Poisson,0.3095571428571466,1.6765678711177427e-06
integrable_Poisson,0.31098367346939154,2.3038824937953373e-06
integrable_Poisson,0.31241020408163644,2.468346192889324e-06
integrable_Poisson,0.31383673469388135,8.35159977118452e-07
integrable_Poisson,0.31526326530612625,1.2355080844246656e-06
integrable_Poisson,0.31668979591837115,1.6225078286924693e-06
integrable_Poisson,0.3181163265306161,2.1646898579533328e-06
integrable_Poisson,0.319542857142861,1.0700237637374845e-06
integrable_Poisson,0.3209693877551059,1.8048927485401584e-06
integrable_Poisson,0.3223959183673508,1.2537480097316253e-06
integrable_Poisson,0.3238224489795958,1.8738149997458683e-08
integrable_Poisson,0.3252489795918407,3.5151187113752663e-06
integrable_Poisson,0.3266755102040856,1.7876537628256678e-06
integrable_Poisson,0.3281020408163305,2.375843485233328e-06
integrable_Poisson,0.3295285714285754,2.566929820029982e-06
integrable_Poisson,0.33095510204082035,3.1885745682457542e-06
integrable_Poisson,0.33238163265306525,3.03959122111648e-06
