ensemble,output_pair,overlap,time,otoc
integrable_Poisson,1-2,0,0.11361566963730396,2.6405421161104976e-10
integrable_Poisson,1-2,0,0.12133496961876629,3.4329866399152103e-10
integrable_Poisson,1-2,0,0.12957873592071076,4.4629440013265276e-10
integrable_Poisson,1-2,0,0.13838260194538646,5.801455012819965e-10
integrable_Poisson,1-2,0,0.14778462210723392,7.540738335442781e-10
integrable_Poisson,1-2,0,0.15782543632180954,9.800469834346848e-10
integrable_Poisson,1-2,0,0.1685484456704533,1.2735907539250789e-09
integrable_Poisson,1-2,0,0.18,1.6548396889812135e-09
integrable_Poisson,1-3,1,0.001,8.149653861279227e-10
integrable_Poisson,1-3,1,0.001067942212602404,9.294684709926015e-10
integrable_Poisson,1-3,1,0.0011405005694581196,1.06005929968115e-09
integrable_Poisson,1-3,1,0.001217988701621406,1.2089982079172543e-09
integrable_Poisson,1-3,1,0.0013007415489342952,1.3788631094464221e-09
integrable_Poisson,1-3,1,0.0013891168077927694,1.5725941157981998e-09
integrable_Poisson,1-3,1,0.0014834964772773985,1.7935444251111207e-09
integrable_Poisson,1-3,1,0.0015842885103314987,2.0455383608153913e-09
integrable_Poisson,1-3,1,0.0016919285771239874,2.332937564717051e-09
