time,sample_index,output_pair,probability,overlap
1.79,0,3-7,0.03367111894317681,1
1.79,0,3-8,0.026530611683270432,1
1.79,0,4-5,0.05334230413218501,1
1.79,0,4-6,0.003380602122319609,1
1.79,0,4-7,0.08850171396217903,1
1.79,0,4-8,0.11286590443127224,1
1.79,0,5-6,0.016805000106879034,0
1.79,0,5-7,2.377350956689154e-05,0
1.79,0,5-8,0.042850860245431416,0
1.79,0,6-7,0.0015658684829061372,0
1.79,0,6-8,0.0021682665412951275,0
1.79,0,7-8,0.0040900099769359535,0
1.79,1,1-2,0.011693487164963273,0
1.79,1,1-3,0.03199966286818556,1
1.79,1,1-4,0.0014580314317047924,1
1.79,1,1-5,0.007725277619936642,0
1.79,1,1-6,0.03446721463134113,0
1.79,1,1-7,0.011174272086661878,0
1.79,1,1-8,0.03578194698436285,0
1.79,1,2-3,0.023784495270272404,1
1.79,1,2-4,0.01740379659241396,1
1.79,1,2-5,0.014891549013520538,0
1.79,1,2-6,0.04362501882688756,0
1.79,1,2-7,0.01016810101358193,0
1.79,1,2-8,0.0349615056997404,0
1.79,1,3-4,0.22061227364626296,2
1.79,1,3-5,4.3906037975923556e-05,1
1.79,1,3-6,0.020218257533120905,1
1.79,1,3-7,0.02356528679122899,1
1.79,1,3-8,0.08026591515972893,1
1.79,1,4-5,0.0277017370521338,1
1.79,1,4-6,0.02499408745380665,1
1.79,1,4-7,0.012252261630473904,1
1.79,1,4-8,0.055216939733343545,1
1.79,1,5-6,0.02410424577852524,0
1.79,1,5-7,0.0029297111797965476,0
1.79,1,5-8,0.045484041264456626,0
1.79,1,6-7,0.01765188161514123,0
1.79,1,6-8,0.1337222645998519,0
1.79,1,7-8,0.03210283132058007,0
1.79,2,1-2,0.0070581609698111445,0
1.79,2,1-3,0.015966456062158685,1
1.79,2,1-4,0.20200935113591226,1
1.79,2,1-5,0.06117940879542582,0
1.79,2,1-6,0.016933635728568378,0
1.79,2,1-7,0.015594818760033831,0
1.79,2,1-8,0.012015070666196167,0
1.79,2,2-3,0.010904541434859215,1
1.79,2,2-4,0.028570293659852693,1
1.79,2,2-5,0.0039293354115517865,0
1.79,2,2-6,0.002027074955422832,0
1.79,2,2-7,0.005824241738498719,0
1.79,2,2-8,0.03322860222836576,0
1.79,2,3-4,0.12012233340113877,2
1.79,2,3-5,0.030886536757390178,1
1.79,2,3-6,0.0027488829080807436,1
1.79,2,3-7,0.010325190103815492,1
1.79,2,3-8,0.017749477035075307,1
1.79,2,4-5,0.03669930731038296,1
1.79,2,4-6,0.05239085336666039,1
1.79,2,4-7,0.05042734446193172,1
1.79,2,4-8,0.20498339616134967,1
1.79,2,5-6,0.013621611783743362,0
1.79,2,5-7,0.020396639586060628,0
1.79,2,5-8,0.00881849613211017,0
1.79,2,6-7,0.0029463806019584047,0
1.79,2,6-8,0.004898796618002796,0
1.79,2,7-8,0.007743762225642075,0
1.79,3,1-2,0.0033558822534775303,0
1.79,3,1-3,6.324987586309095e-05,1
1.79,3,1-4,0.00041165900380529287,1
1.79,3,1-5,2.312428509942965e-06,0
1.79,3,1-6,0.0019369845599749311,0
1.79,3,1-7,0.0002719729645613648,0
1.79,3,1-8,0.000919073540693872,0
1.79,3,2-3,0.059135582248190086,1
1.79,3,2-4,0.04398927261602721,1
1.79,3,2-5,0.002423847587395482,0
1.79,3,2-6,0.2809376531743296,0
1.79,3,2-7,0.024455745495119387,0
1.79,3,2-8,0.060271297967850905,0
1.79,3,3-4,0.077997402347183,2
1.79,3,3-5,0.0015048295844365567,1
1.79,3,3-6,0.03363500142325544,1
1.79,3,3-7,0.008797394881395335,1
1.79,3,3-8,0.06830750663546858,1
1.79,3,4-5,0.004809543382419783,1
1.79,3,4-6,0.03442809143519106,1
1.79,3,4-7,0.022595658761787926,1
1.79,3,4-8,0.18972487088543177,1
1.79,3,5-6,0.0010983908222610354,0
1.79,3,5-7,0.0006802875382993973,0
1.79,3,5-8,0.004987557039572753,0
1.79,3,6-7,0.009339234296561822,0
1.79,3,6-8,0.006782558834957366,0
1.79,3,7-8,0.057137138415979755,0
1.79,4,1-2,0.03429988927992797,0
1.79,4,1-3,0.012808712226983078,1
1.79,4,1-4,0.04033780830010366,1
1.79,4,1-5,0.009950294469557095,0
