target_id,vp_recoil,vd_recoil,time_tau,edge_density_mean,edge_density_phase_std,sites,grid_points_per_site,phase_samples,parameter_match
T002,4.0,1.04,700.0,0.0020026783917670063,0.0009737232426633491,369,4,3,reduced_scale
T002,4.0,1.04,800.0,0.005480081124994096,0.0010754937864506464,369,4,3,reduced_scale
T002,4.0,1.04,900.0,0.0062523513808830184,0.0008384508991143854,369,4,3,reduced_scale
T002,4.0,1.04,1000.0,0.0026926317537183295,0.0017189143465572365,369,4,3,reduced_scale
T002,4.0,1.04,1100.0,0.006659438381402372,0.0028681968519980797,369,4,3,reduced_scale
T002,4.0,1.04,1200.0,0.004175039152969832,0.002201096712105828,369,4,3,reduced_scale
T002,4.0,1.04,1300.0,0.005481723664503502,0.0027076479618461545,369,4,3,reduced_scale
T002,4.0,1.04,1400.0,0.004198331051443627,0.0029064967976219266,369,4,3,reduced_scale
T002,4.0,1.04,1500.0,0.0051546799859938,0.0015767414348731058,369,4,3,reduced_scale
T002,4.0,1.04,1600.0,0.007297946734560745,0.00235668421379349,369,4,3,reduced_scale
T002,4.0,1.04,1700.0,0.002966489368008881,0.0019655038418582775,369,4,3,reduced_scale
T002,4.0,1.04,1800.0,0.006268929715268601,0.0021156133016818385,369,4,3,reduced_scale
T002,4.0,1.04,1900.0,0.005527078342427716,0.0014939864673713362,369,4,3,reduced_scale
T002,4.0,1.04,2000.0,0.003291225759296079,0.001614087373522006,369,4,3,reduced_scale
T002,4.0,1.04,2100.0,0.005532850531805263,0.002899933065829499,369,4,3,reduced_scale
T002,4.0,1.04,2200.0,0.003963694928561893,0.0018876028142414576,369,4,3,reduced_scale
T002,4.0,1.04,2300.0,0.005933569352883879,0.0016452739915974344,369,4,3,reduced_scale
T002,4.0,1.04,2400.0,0.0027406654355887072,0.001558639188810898,369,4,3,reduced_scale
T002,4.0,1.04,2500.0,0.003914350403752986,0.000641958743857274,369,4,3,reduced_scale
T002,4.0,1.04,2600.0,0.005863762720127601,0.00044430911591332954,369,4,3,reduced_scale
T002,4.0,1.04,2700.0,0.0010874822127469042,0.0001566040403802506,369,4,3,reduced_scale
T002,4.0,1.04,2800.0,0.005449940167579492,0.001987004092300676,369,4,3,reduced_scale
T002,4.0,1.04,2900.0,0.003966841425274296,0.001755395795162027,369,4,3,reduced_scale
T002,4.0,1.04,3000.0,0.0039723672006372794,0.0007550229130982947,369,4,3,reduced_scale
