molecule,qubits,lambda_one,lambda_max,terms,time,qdrift,first_order_deterministic,first_order_random,higher_order_deterministic,higher_order_deterministic_k,higher_order_random,higher_order_random_k
propane,46,426.61000000000001,6.5846600000000004,241582,223872.11385683378,18242823586305635406,15319000539273468447912378393814,937348019184407720459416,20080136941758431123080,2,1915393582367002099560,2
propane,46,426.61000000000001,6.5846600000000004,241582,251188.6431509582,22966354195652089166,19285479062179981055087857686864,1114040204394513818158176,23188180390148256550320,2,2211862002188248388880,2
propane,46,426.61000000000001,6.5846600000000004,241582,281838.2931264455,28912926913142645169,24278979670002706144776026935672,1324039259563996826564538,26777292971945280510900,2,2554218392391576692760,2
propane,46,426.61000000000001,6.5846600000000004,241582,316227.76601683791,36399218420269804212,30565424479000338729137213214106,1573623603805287880704694,30921935522386808648100,2,2949565384101760325220,2
propane,46,426.61000000000001,6.5846600000000004,241582,354813.38923357602,45823901038687210141,38479589598889145743366716893804,1870255152210505001768860,35708094072569340999720,2,3406104967785053017000,2
propane,46,426.61000000000001,6.5846600000000004,241582,398107.17055349692,57688873485102738446,48442933181451838031659415434324,2222802407478807416123752,41235063742137072131060,2,3933308654269851414580,2
propane,46,426.61000000000001,6.5846600000000004,241582,446683.59215096349,72625988808128327525,60986039603976793506678585946344,2641805604812411909202122,47617508746422752982020,2,4542113973627977209980,2
propane,46,426.61000000000001,6.5846600000000004,241582,501187.23362727248,91430702867179278201,76776875022131809691442312068780,3139791837215803695972728,54987841255579661609840,2,5245151388542547865900,2
propane,46,426.61000000000001,6.5846600000000004,241582,562341.32519034913,115104435257635182175,96656359003506523085808685206630,3731649582615805169677952,63498968458254096433380,2,6057006329777525067220,2
propane,46,426.61000000000001,6.5846600000000004,241582,630957.34448019427,144907898555988215236,121683146561014707745103144805600,4435073830177737679831316,73327464821223414341100,2,6994521790017133300060,2
propane,46,426.61000000000001,6.5846600000000004,241582,707945.78438413737,182428235861750297955,153190005392734711390101476247004,5271095113923454011157214,84677235357676440635860,2,8077147753780235413800,2
propane,46,426.61000000000001,6.5846600000000004,241582,794328.23472428217,229663541955055494823,192854790621799859400717175091918,6264708270364775726272162,97783745903431736789520,2,9327344712790660002920,2
propane,46,426.61000000000001,6.5846600000000004,241582,891250.93813374592,289129269129782181931,242789796700027059599974060077160,7445619718350733433939876,112918908163699538949620,2,10771049638256863748320,2
propane,46,426.61000000000001,6.5846600000000004,241582,1000000,363992184200853220000,305654244790003451467541005732120,8849135602830686749551152,130396720877082291033820,2,12438214077266389804480,2
propane,46,426.61000000000001,6.5846600000000004,241582,1122018.4543019629,458239010384800254851,384795895988889915407516497336742,10517217355694497913330096,150579784130131351230620,2,14363425536807797602460,2
propane,46,426.61000000000001,6.5846600000000004,241582,1258925.4117941686,576888734848707084899,484429331814520303375143596680778,12499736232182104412957868,173886821970441666613120,2,16586625046844972247920,2
propane,46,426.61000000000001,6.5846600000000004,241582,1412537.5446227554,726259888078677175327,609860396039767841470462945573204,14855964330200113350735010,200801369384728705056640,2,19153935789227907174320,2
propane,46,426.61000000000001,6.5846600000000004,241582,1584893.1924611141,914307028668868739769,767768750221318033848980696666928,17656346670100689239782786,231881803864617437369960,2,22118619983431287787680,2
propane,46,426.61000000000001,6.5846600000000004,241582,1778279.4100389229,1151044352573071253713,966563590035065379540197107331282,20984607315445137818374756,267772929678089466036340,2,25542183880966364718700,2
propane,46,426.61000000000001,6.5846600000000004,241582,1995262.3149688789,1449078985556195251550,1216831465610142169857665890913872,24940252502222310035673924,309219355177457676659840,2,29495653793021115799880,2
propane,46,426.61000000000001,6.5846600000000004,241582,2238721.1385683422,1824282358613379290635,1531900053927352592665985714594298,29641545613499756218672346,357080940673619962970500,2,34061049624191119055680,2
propane,46,426.61000000000001,6.5846600000000004,241582,2511886.4315095823,2296635419545920739419,1928547906217998566134074173294078,35229042943422082704361742,412350637362944484231060,2,39333086482685307997520,2
propane,46,426.61000000000001,6.5846600000000004,241582,2818382.931264455,2891292691292622210706,2427897967000270614437252964681998,41869795960598752142052914,476175087398670942030980,2,45421139669137266123540,2
propane,46,426.61000000000001,6.5846600000000004,241582,3162277.6601683795,3639921842002698505299,3056542447900034839432038222009238,49762345707499242789255086,549878412482240965638240,2,52451513810283888269420,2
propane,46,426.61000000000001,6.5846600000000004,241582,3548133.892335753,4582390103841456883915,3847958959888899391255280543000810,59142658655258227668437060,634989684500010061825460,2,60570063213658538688720,2
propane,46,426.61000000000001,6.5846600000000004,241582,3981071.7055349774,5768887348479727619080,4844293318145204245877568292104430,70291181480332533280260932,733274648119632984618000,2,69945217805984367148280,2
propane,46,426.61000000000001,6.5846600000000004,241582,4466835.9215096347,7262598880778532008714,6098603960397679350603908602277182,83541225682269613273373072,846772353472866307943720,2,80771477432316590898220,2
propane,46,426.61000000000001,6.5846600000000004,241582,5011872.3362727249,9143070286679441752660,7677687502213180969072478127516718,99288932720602558793384624,977837458917739374372880,2,93273447009742932317660,2
propane,46,426.61000000000001,6.5846600000000004,241582,5623413.2519034911,11510443525720336139522,9665635900350652308500360261033840,118005117602242888396585338,1129189081506192813479340,2,107710496250180387277120,2
propane,46,426.61000000000001,6.5846600000000004,241582,6309573.4448019424,14490789855550365841965,12168314656101466917324170286970914,140249345011477507812211568,1303967208624063050832380,2,124382140624315658631360,2
propane,46,426.61000000000001,6.5846600000000004,241582,7079457.8438413879,18242823586120738932500,15319000539273531727166335605483894,166686658821819863782381766,1492652601880451428949400,3,143634255201822120567260,2
propane,46,426.61000000000001,6.5846600000000004,241582,7943282.3472428219,22966354195444553175970,19285479062179985939957996551371000,198107465158110636291359702,1707230164794915133224500,3,165866250282100723851100,2
propane,46,426.61000000000001,6.5846600000000004,241582,8912509.3813374583,28912926912909772723613,24278979670002700511577160741315796,235451163460106714232357960,1952654510444767876766800,3,191539357683385539410660,2
propane,46,426.61000000000001,6.5846600000000004,241582,10000000,36399218420008532200000,30565424479000345146610934393321200,279834232054192813309613818,2233360044702919603489700,3,221186199600124033565180,2
propane,46,426.61000000000001,6.5846600000000004,241582,11220184.543019652,45823901038394053779103,38479589598889149297454528071522056,332583607917916547492447972,2554418645285470882862900,3,255421838547093570744700,2
propane,46,426.61000000000001,6.5846600000000004,241582,12589254.117941687,57688873484774045024048,48442933181452038033252043883982332,395276358604482524304746534,2921631302066657756477000,3,294956537635796276212720,2
propane,46,426.61000000000001,6.5846600000000004,241582,14125375.446227554,72625988807759249057065,60986039603976784146844066940825254,469786832413385701599765578,3341632931226412637937100,3,340610495911765036091200,2
propane,46,426.61000000000001,6.5846600000000004,241582,15848931.924611142,91430702866765181883340,76776875022131813073257802847609412,558342696473219622082135072,3822012257046108355277300,3,393330864456616474747480,2
propane,46,426.61000000000001,6.5846600000000004,241582,17782794.100389227,115104435257170532814190,96656359003506505341446115184806000,663591538127915038348463372,4371448927415336154241700,3,454211396276153862059780,2
propane,46,426.61000000000001,6.5846600000000004,241582,19952623.149688829,144907898555466904893961,121683146561014717071005687604102232,788680020832632529769187030,4999870340496707309779200,3,524515137637150668497280,2
propane,46,426.61000000000001,6.5846600000000004,241582,22387211.385683425,182428235861166099602635,153190005392735327693739952747841984,937347961112325318266798208,5718631016143126113062800,3,605700631614268257374340,2
propane,46,426.61000000000001,6.5846600000000004,241582,25118864.315095823,229663541954399186685188,192854790621799856613047800127997982,1114040139236562156703647376,6540717753008087851827900,3,699452177473985955970720,2
propane,46,426.61000000000001,6.5846600000000004,241582,28183829.312644549,289129269129045798008908,242789796700027061443321799335892916,1324039186455571955534020174,7480984278193293235523100,3,807714773666016209834720,2
propane,46,426.61000000000001,6.5846600000000004,241582,31622776.601683792,363992184200026904756362,305654244790003387286392087472923000,1573623521776285545806611228,8556419629158927869715900,3,932734469360288625283440,2
propane,46,426.61000000000001,6.5846600000000004,241582,35481338.923357606,458239010383875190968813,384795895988891587568341700573685520,1870255060172450576412068248,9786455117107088849442200,3,1077104961674914882081240,2
propane,46,426.61000000000001,6.5846600000000004,241582,39810717.055349775,576888734847667085189466,484429331814520448923816186569096300,2222802304210417918355702852,11193315418151178331972700,3,1243821405315562527571700,2
propane,46,426.61000000000001,6.5846600000000004,241582,44668359.215096347,726259888077510193434277,609860396039767935059751360369614742,2641805488943364607149729872,12802420135899617522076800,3,1436342550977636807968320,2
propane,46,426.61000000000001,6.5846600000000004,241582,50118723.362727247,914307028667559314591611,767768750221318096906530282131998020,3139791707208593755885679970,14642843091015078534536700,3,1658662501653645777061520,2
propane,46,426.61000000000001,6.5846600000000004,241582,56234132.519034907,1151044352571601793173268,966563590035065230849230943499603358,3731649436745315805070878538,16747837636340816637770600,3,1915393575524248235750180,2
propane,46,426.61000000000001,6.5846600000000004,241582,63095734.44801943,1449078985554552532640657,1216831465610147077441094954747782392,4435073666508356018687916948,19155437489156361764831900,3,2211861994532035802506220,2
propane,46,426.61000000000001,6.5846600000000004,241582,70794578.438413873,1824282358611529747724590,1531900053927352739942351865201123418,5271094930283401207033972960,21909143936592436501072700,3,2554218383822648010400240,2
propane,46,426.61000000000001,6.5846600000000004,241582,79432823.472428218,2296635419543845354534144,1928547906217998593994662445747084378,6264708064317230504333163466,25058711830853846677947800,3,2949565374508747600149280,2
propane,46,426.61000000000001,6.5846600000000004,241582,89125093.813374594,2891292691290294180181818,2427897967000271140814969758812951884,7445619487161585704714457278,28661048575863460680336600,3,3406104957042990572140760,2
propane,46,426.61000000000001,6.5846600000000004,241582,100000000,3639921842000085322000000,3056542447900034514659661777533212000,8849135343432194330932360344,32781242348507344459705300,3,3933308642238550701061540,2
carbon dioxide,54,608.41399999999999,10.3658,113959,100,7403352029603,795099615793405399178099,2671264090098503759,424026149007011000,2,48804870983563210,2
carbon dioxide,54,608.41399999999999,10.3658,113959,112.2018454301963,9320267985866,1000971111230096233834429,3174802649919258215,489657757814156870,2,56358982816611910,2
carbon dioxide,54,608.41399999999999,10.3658,113959,125.89254117941675,11733522193446,1260147968399415591828883,3773259267963220267,565447957277943160,2,65082335060679710,2
carbon dioxide,54,608.41399999999999,10.3658,113959,141.2537544622754,14771629238208,1586432300038816053907742,4484526199635473441,652969114223205710,2,75155905063504860,2
carbon dioxide,54,608.41399999999999,10.3658,113959,158.48931924611142,18596379398050,1997199936609936964044637,5329868429119819569,754036969526544980,2,86788682210116380,2
carbon dioxide,54,608.41399999999999,10.3658,113959,177.82794100389228,23411454565167,2514325752631947244355883,6334559436116462852,870748308045534790,2,100222003675323460,2
carbon dioxide,54,608.41399999999999,10.3658,113959,199.52623149688787,29473275049528,3165348583516850701055136,7528636806009466507,1005524459157602960,2,115734561278476680,2
carbon dioxide,54,608.41399999999999,10.3658,113959,223.87211385683401,37104654895410,3984937768976040098411222,8947800274211816248,1161161530406884350,2,133648183312989960,2
carbon dioxide,54,608.41399999999999,10.3658,113959,251.18864315095797,46711992906390,5016739421782287824351037,10634479053848315557,1340888416410682530,2,154334511297029100,2
carbon dioxide,54,608.41399999999999,10.3658,113959,281.83829312644548,58806914863557,6315700742431306322899384,12639100357057435131,1548433786507793020,2,178222710154554280,2
carbon dioxide,54,608.41399999999999,10.3658,113959,316.22776601683796,74033519463995,7950996157934054531490814,15021597035356320439,1788103440870715970,2,205808371812617030,2
carbon dioxide,54,608.41399999999999,10.3658,113959,354.81338923357532,93202678925100,10009711112300960263834654,17853199413539689162,2064869639972053230,2,237663796898006660,2
carbon dioxide,54,608.41399999999999,10.3658,113959,398.10717055349733,117335220886993,12601479683994152220091362,21218564888224283416,2384474260629139610,2,274449867864494150,2
carbon dioxide,54,608.41399999999999,10.3658,113959,446.68359215096302,147716291206795,15864323000388157763947852,25218308960421174827,2753547918745019810,2,316929759861656100,2
carbon dioxide,54,608.41399999999999,10.3658,113959,501.18723362727246,185963792661807,19971999366099364291552787,29972013373340274789,3179747530113066160,2,365984773804036590,2
carbon dioxide,54,608.41399999999999,10.3658,113959,562.34132519034904,234114544172077,25143257526319463852075861,35621801290821085228,3671915163150217860,2,422632620111510190,2
carbon dioxide,54,608.41399999999999,10.3658,113959,630.957344480193,294732748835154,31653485835168508970646160,42336586404802395282,4240261479169931650,2,488048532439075570,2
carbon dioxide,54,608.41399999999999,10.3658,113959,707.94578438413805,371046547091410,39849377689760395402742277,50317123008951175190,4896577565908070050,2,563589649440800630,2
carbon dioxide,54,608.41399999999999,10.3658,113959,794.32823472428129,467119926973919,50167394217822867110969619,59802008022346409314,5654479559059907590,2,650823170384057370,2
carbon dioxide,54,608.41399999999999,10.3658,113959,891.25093813374588,588069146290574,63157007424313060472553548,71074814407916200874,6529691126828219070,2,751558868745088700,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1000,740335192008828,79509961579340529283839774,84472569256046543581,7540369677984707040,2,867886638335438760,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1122.0184543019629,932026786298835,100097111123009611444756183,100395830005735895343,8707483061068642820,2,1002219850871290930,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1258.9254117941675,1173352205557537,126014796839941545790198702,119320660055763887794,10055244569824675270,2,1157345424534755110,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1412.5375446227554,1477162908351391,158643230003881904842661844,141812861805112537498,11611615279662244470,2,1336481642233759930,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1584.893192461114,1859637922448025,199719993660993629139708114,168544892653067480746,13408884136731594320,2,1543344919089565120,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1778.2794100389228,2341145437041897,251432575263194705523408496,200315969702854055959,15484337834352304620,2,1782226904330376580,2
carbon dioxide,54,608.41399999999999,10.3658,113959,1995.2623149688789,2947327483101756,316534858351685112349545105,238075964246509507830,17881034374234562200,2,2058083517165171750,2
carbon dioxide,54,608.41399999999999,10.3658,113959,2238.7211385683399,3710465465023753,398493776897603986036454608,282953800413173971075,20648696361048545650,2,2376637763815120540,2
carbon dioxide,54,608.41399999999999,10.3658,113959,2511.8864315095821,4671199263130117,501673942178229674438691972,336291207025610825112,23844742562894669310,2,2744498468756394890,2
carbon dioxide,54,608.41399999999999,10.3658,113959,2818.3829312644548,5880691455490228,631570074243130602325217063,399682831756605728729,27535479138758936170,2,3169297383433479250,2
carbon dioxide,54,608.41399999999999,10.3658,113959,3162.2776601683795,7403351911767949,795099615793405369242893044,475023916892911529009,31797475246504414950,2,3659847516922299430,2
carbon dioxide,54,608.41399999999999,10.3658,113959,3548.133892335753,9320267853652780,1000971111230095988661440974,564566962086567074057,36719151570211609630,2,4226325973329294340,2
carbon dioxide,54,608.41399999999999,10.3658,113959,3981.0717055349733,11733522045100689,1260147968399415369597665018,670989068160692142076,42402614722929618360,2,4880485089129237740,2
carbon dioxide,54,608.41399999999999,10.3658,113959,4466.8359215096352,14771629071761128,1586432300038819280476201985,797471975372268054108,48965775581914503240,2,5635896250756826760,2
carbon dioxide,54,608.41399999999999,10.3658,113959,5011.8723362727251,18596379211293413,1997199936609936694662426932,947797189065280453364,56544795504019865240,2,6508231450767264040,2
carbon dioxide,54,608.41399999999999,10.3658,113959,5623.4132519034911,23411454355623093,2514325752631947219650597431,1126459036720857432788,65296911171142399510,2,7515588423822694760,2
carbon dioxide,54,608.41399999999999,10.3658,113959,6000,26652066875812968,2862358616856259018779148085,1241487273565265966148,70807897766268287540,2,8149895714106898680,2
carbon dioxide,54,608.41399999999999,10.3658,113959,6309.5734448019302,29473274814416310,3165348583516850829981169183,1338799036512603269824,75403696670861241160,2,8678866107866482230,2
carbon dioxide,54,608.41399999999999,10.3658,113959,7079.457843841381,37104654631610633,3984937768976040590776893409,1591165594633275132156,87074830488394746120,2,10022198219927128220,2
carbon dioxide,54,608.41399999999999,10.3658,113959,7943.2823472428217,46711992610401445,5016739421782297994900963632,1891103805922518506703,100552445561036697930,2,11573453941645676510,2
carbon dioxide,54,608.41399999999999,10.3658,113959,8912.5093813374588,58806914531452391,6315700742431305952499699849,2247581032334901248417,116116152642666114880,2,13364816101896287200,2
carbon dioxide,54,608.41399999999999,10.3658,113959,10000,74033519091368280,7950996157934052822066840022,2671255003450726837183,134088841194579170180,2,15433448851670477130,2
carbon dioxide,54,608.41399999999999,10.3658,113959,11220.184543019654,93202678507006556,10009711112301003846767714984,3174792454529285963771,154843378149709556130,2,17822268682996176730,2
carbon dioxide,54,608.41399999999999,10.3658,113959,12589.254117941662,117335220417882812,12601479683994128419921275894,3773247828543694563411,178810343524884499840,2,20580834787698775520,2
carbon dioxide,54,608.41399999999999,10.3658,113959,14125.375446227554,147716290680445690,15864323000388190334083492906,4484513364391723904424,206486963366490120780,2,23766377227660631090,2
carbon dioxide,54,608.41399999999999,10.3658,113959,15848.931924611141,185963792071233649,19971999366099362745463854583,5329854027735180348869,238447425355187545760,2,27444984247306144200,2
carbon dioxide,54,608.41399999999999,10.3658,113959,17782.794100389227,234114543509442221,25143257526319467535460596303,6334543277492724002858,275354791080419714740,2,31692973360675604900,2
