panel,kind,depth,L,p,scaled_x,I3,standard_error
b,scan,7,8,0.6150000000000001,,-2.25,0.35355339059327373
e,collapse,7,8,0.6150000000000001,-0.5929698715536409,-2.25,0.35355339059327373
b,scan,7,8,0.6500000000000001,,-1.7916666666666667,0.35355339059327373
e,collapse,7,8,0.6500000000000001,-0.35578192293218436,-1.7916666666666667,0.35355339059327373
b,scan,7,8,0.6850000000000002,,-0.9999999999999999,0.35355339059327373
e,collapse,7,8,0.6850000000000002,-0.11859397431072788,-0.9999999999999999,0.35355339059327373
b,scan,7,8,0.7200000000000002,,-0.3333333333333333,0.35355339059327373
e,collapse,7,8,0.7200000000000002,0.11859397431072863,-0.3333333333333333,0.35355339059327373
b,scan,7,8,0.7550000000000001,,-0.08333333333333333,0.35355339059327373
e,collapse,7,8,0.7550000000000001,0.35578192293218436,-0.08333333333333333,0.35355339059327373
b,scan,7,8,0.7900000000000001,,0.0,0.35355339059327373
e,collapse,7,8,0.7900000000000001,0.5929698715536409,0.0,0.35355339059327373
b,scan,7,12,0.5100000000000001,,-11.541666666666666,0.3980981573144277
e,collapse,7,12,0.5100000000000001,-1.8945004508067125,-11.541666666666666,0.3980981573144277
b,scan,7,12,0.5450000000000002,,-7.874999999999999,0.5805631502503164
e,collapse,7,12,0.5450000000000002,-1.55004582338731,-7.874999999999999,0.5805631502503164
b,scan,7,12,0.5800000000000001,,-6.625,0.9437293044088436
e,collapse,7,12,0.5800000000000001,-1.2055911959679084,-6.625,0.9437293044088436
b,scan,7,12,0.6150000000000001,,-4.541666666666666,0.5268109356351308
e,collapse,7,12,0.6150000000000001,-0.8611365685485058,-4.541666666666666,0.5268109356351308
b,scan,7,12,0.6500000000000001,,-3.333333333333333,0.43186564636231084
e,collapse,7,12,0.6500000000000001,-0.5166819411291033,-3.333333333333333,0.43186564636231084
b,scan,7,12,0.6850000000000002,,-0.625,0.35355339059327373
e,collapse,7,12,0.6850000000000002,-0.17222731370970074,-0.625,0.35355339059327373
b,scan,7,12,0.7200000000000002,,-0.125,0.35355339059327373
e,collapse,7,12,0.7200000000000002,0.17222731370970185,-0.125,0.35355339059327373
b,scan,7,12,0.7550000000000001,,-0.041666666666666664,0.35355339059327373
e,collapse,7,12,0.7550000000000001,0.5166819411291033,-0.041666666666666664,0.35355339059327373
b,scan,7,12,0.7900000000000001,,-0.041666666666666664,0.35355339059327373
e,collapse,7,12,0.7900000000000001,0.8611365685485058,-0.041666666666666664,0.35355339059327373
