panel,kind,depth,L,p,scaled_x,entropy,entropy_density,subtracted_entropy,standard_error
d,probability_scan_and_collapse,1,12,0.010000000000000009,-0.820259383767795,53.0,0.803030303030303,48.52604166666667,0.7671791481631982
a,size_scaling,1,12,0.04500000000000001,,37.66666666666667,0.5707070707070708,,0.9765465736234885
d,probability_scan_and_collapse,1,12,0.04500000000000001,-0.6429060034936771,37.66666666666667,0.5707070707070708,33.19270833333334,0.9765465736234885
a,size_scaling,1,12,0.08000000000000002,,25.25,0.38257575757575757,,0.8476580459340479
d,probability_scan_and_collapse,1,12,0.08000000000000002,-0.46555262321955937,25.25,0.38257575757575757,20.77604166666667,0.8476580459340479
a,size_scaling,1,12,0.11500000000000002,,15.083333333333332,0.2285353535353535,,0.861587886780131
d,probability_scan_and_collapse,1,12,0.11500000000000002,-0.2881992429454416,15.083333333333332,0.2285353535353535,10.609375000000002,0.861587886780131
a,size_scaling,1,12,0.15000000000000002,,6.583333333333333,0.09974747474747474,,0.9302416673435592
d,probability_scan_and_collapse,1,12,0.15000000000000002,-0.11084586267132378,6.583333333333333,0.09974747474747474,2.1093750000000027,0.9302416673435592
a,size_scaling,1,12,0.18500000000000003,,3.208333333333333,0.048611111111111105,,0.7134078427788101
d,probability_scan_and_collapse,1,12,0.18500000000000003,0.06650751760279401,3.208333333333333,0.048611111111111105,-1.2656249999999973,0.7134078427788101
a,size_scaling,1,12,0.22000000000000003,,0.9999999999999999,0.01515151515151515,,0.6601409452523248
d,probability_scan_and_collapse,1,12,0.22000000000000003,0.2438608978769118,0.9999999999999999,0.01515151515151515,-3.4739583333333304,0.6601409452523248
a,size_scaling,1,12,0.255,,0.7916666666666667,0.011994949494949496,,0.6601409452523248
d,probability_scan_and_collapse,1,12,0.255,0.42121427815102946,0.7916666666666667,0.011994949494949496,-3.6822916666666634,0.6601409452523248
a,size_scaling,1,12,0.29000000000000004,,0.7083333333333333,0.010732323232323232,,0.6601409452523248
d,probability_scan_and_collapse,1,12,0.29000000000000004,0.5985676584251474,0.7083333333333333,0.010732323232323232,-3.7656249999999973,0.6601409452523248
a,size_scaling,1,16,0.010000000000000009,,61.666666666666664,0.7007575757575757,,0.9842737200957822
d,probability_scan_and_collapse,1,16,0.010000000000000009,-0.989791800420427,61.666666666666664,0.7007575757575757,57.411458333333336,0.9842737200957822
a,size_scaling,1,16,0.04500000000000001,,45.625,0.5184659090909091,,0.8511751412902963
d,probability_scan_and_collapse,1,16,0.04500000000000001,-0.7757827624916861,45.625,0.5184659090909091,41.36979166666667,0.8511751412902963
a,size_scaling,1,16,0.08000000000000002,,30.625,0.34801136363636365,,0.6830538874891555
d,probability_scan_and_collapse,1,16,0.08000000000000002,-0.5617737245629452,30.625,0.34801136363636365,26.36979166666667,0.6830538874891555
a,size_scaling,1,16,0.11500000000000002,,17.708333333333332,0.20123106060606058,,0.7521761511909277
d,probability_scan_and_collapse,1,16,0.11500000000000002,-0.3477646866342042,17.708333333333332,0.20123106060606058,13.453125000000004,0.7521761511909277
a,size_scaling,1,16,0.15000000000000002,,7.041666666666666,0.08001893939393939,,0.8323179016484771
d,probability_scan_and_collapse,1,16,0.15000000000000002,-0.13375564870546328,7.041666666666666,0.08001893939393939,2.7864583333333375,0.8323179016484771
a,size_scaling,1,16,0.18500000000000003,,2.583333333333333,0.029356060606060604,,0.6663281239521588
d,probability_scan_and_collapse,1,16,0.18500000000000003,0.08025338922327765,2.583333333333333,0.029356060606060604,-1.6718749999999956,0.6663281239521588
a,size_scaling,1,16,0.22000000000000003,,1.5,0.017045454545454544,,0.6224512428471682
d,probability_scan_and_collapse,1,16,0.22000000000000003,0.2942624271520186,1.5,0.017045454545454544,-2.7552083333333286,0.6224512428471682
a,size_scaling,1,16,0.255,,0.8333333333333334,0.00946969696969697,,0.6224512428471682
d,probability_scan_and_collapse,1,16,0.255,0.5082714650807594,0.8333333333333334,0.00946969696969697,-3.421874999999995,0.6224512428471682
a,size_scaling,1,16,0.29000000000000004,,0.375,0.004261363636363636,,0.6224512428471682
d,probability_scan_and_collapse,1,16,0.29000000000000004,0.7222805030095004,0.375,0.004261363636363636,-3.8802083333333286,0.6224512428471682
a,size_scaling,1,24,0.010000000000000009,,86.91666666666666,0.6584595959595959,,1.1863947498705145
d,probability_scan_and_collapse,1,24,0.010000000000000009,-1.2898589604517832,86.91666666666666,0.6584595959595959,82.09895833333333,1.1863947498705145
a,size_scaling,1,24,0.04500000000000001,,65.54166666666667,0.4965277777777778,,0.8565473574392695
d,probability_scan_and_collapse,1,24,0.04500000000000001,-1.0109705365703168,65.54166666666667,0.4965277777777778,60.72395833333334,0.8565473574392695
a,size_scaling,1,24,0.08000000000000002,,46.08333333333333,0.3491161616161616,,1.0440652206926562
d,probability_scan_and_collapse,1,24,0.08000000000000002,-0.73208211268885,46.08333333333333,0.3491161616161616,41.265625,1.0440652206926562
a,size_scaling,1,24,0.11500000000000002,,25.083333333333336,0.19002525252525254,,0.9273151863855541
d,probability_scan_and_collapse,1,24,0.11500000000000002,-0.4531936888073835,25.083333333333336,0.19002525252525254,20.265625000000007,0.9273151863855541
a,size_scaling,1,24,0.15000000000000002,,8.541666666666666,0.06470959595959595,,0.7865074764150882
d,probability_scan_and_collapse,1,24,0.15000000000000002,-0.1743052649259169,8.541666666666666,0.06470959595959595,3.7239583333333384,0.7865074764150882
a,size_scaling,1,24,0.18500000000000003,,2.583333333333333,0.01957070707070707,,0.6627809097027118
d,probability_scan_and_collapse,1,24,0.18500000000000003,0.10458315895554973,2.583333333333333,0.01957070707070707,-2.2343749999999947,0.6627809097027118
a,size_scaling,1,24,0.22000000000000003,,1.5833333333333335,0.011994949494949496,,0.6122045469303762
d,probability_scan_and_collapse,1,24,0.22000000000000003,0.3834715828370163,1.5833333333333335,0.011994949494949496,-3.2343749999999942,0.6122045469303762
a,size_scaling,1,24,0.255,,0.875,0.006628787878787879,,0.6122045469303762
d,probability_scan_and_collapse,1,24,0.255,0.6623600067184827,0.875,0.006628787878787879,-3.9427083333333277,0.6122045469303762
a,size_scaling,1,24,0.29000000000000004,,0.6666666666666666,0.00505050505050505,,0.6122045469303762
d,probability_scan_and_collapse,1,24,0.29000000000000004,0.9412484305999496,0.6666666666666666,0.00505050505050505,-4.151041666666661,0.6122045469303762
b,size_scaling,7,8,0.5100000000000001,,10.375,0.23579545454545456,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.5100000000000001,-1.447207205801173,10.375,0.23579545454545456,7.385416666666664,0.49999999999999994
b,size_scaling,7,8,0.5450000000000002,,9.875,0.22443181818181818,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.5450000000000002,-1.1810541564584283,9.875,0.22443181818181818,6.885416666666664,0.49999999999999994
b,size_scaling,7,8,0.5800000000000001,,8.333333333333334,0.18939393939393942,,0.6025738445163697
e,probability_scan_and_collapse,7,8,0.5800000000000001,-0.9149011071156844,8.333333333333334,0.18939393939393942,5.343749999999998,0.6025738445163697
b,size_scaling,7,8,0.6150000000000001,,6.041666666666666,0.13731060606060605,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.6150000000000001,-0.6487480577729396,6.041666666666666,0.13731060606060605,3.052083333333331,0.49999999999999994
b,size_scaling,7,8,0.6500000000000001,,4.666666666666666,0.10606060606060605,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.6500000000000001,-0.382595008430195,4.666666666666666,0.10606060606060605,1.6770833333333308,0.49999999999999994
b,size_scaling,7,8,0.6850000000000002,,3.5,0.07954545454545454,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.6850000000000002,-0.11644195908745032,3.5,0.07954545454545454,0.5104166666666647,0.49999999999999994
b,size_scaling,7,8,0.7200000000000002,,2.3333333333333335,0.05303030303030303,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.7200000000000002,0.14971109025529436,2.3333333333333335,0.05303030303030303,-0.6562500000000018,0.49999999999999994
b,size_scaling,7,8,0.7550000000000001,,1.2083333333333335,0.027462121212121215,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.7550000000000001,0.4158641395980382,1.2083333333333335,0.027462121212121215,-1.7812500000000018,0.49999999999999994
b,size_scaling,7,8,0.7900000000000001,,0.6666666666666666,0.01515151515151515,,0.49999999999999994
e,probability_scan_and_collapse,7,8,0.7900000000000001,0.6820171889407829,0.6666666666666666,0.01515151515151515,-2.3229166666666687,0.49999999999999994
b,size_scaling,7,12,0.5100000000000001,,16.166666666666664,0.24494949494949492,,0.5363752536223241
e,probability_scan_and_collapse,7,12,0.5100000000000001,-2.149448611427473,16.166666666666664,0.24494949494949492,12.658854166666663,0.5363752536223241
b,size_scaling,7,12,0.5450000000000002,,13.291666666666666,0.20138888888888887,,0.7012955697781614
e,probability_scan_and_collapse,7,12,0.5450000000000002,-1.7541477173718456,13.291666666666666,0.20138888888888887,9.783854166666664,0.7012955697781614
b,size_scaling,7,12,0.5800000000000001,,11.125,0.16856060606060605,,0.7803069705276049
e,probability_scan_and_collapse,7,12,0.5800000000000001,-1.3588468233162192,11.125,0.16856060606060605,7.617187499999998,0.7803069705276049
b,size_scaling,7,12,0.6150000000000001,,9.041666666666666,0.13699494949494948,,0.5153882032022075
e,probability_scan_and_collapse,7,12,0.6150000000000001,-0.9635459292605916,9.041666666666666,0.13699494949494948,5.533854166666664,0.5153882032022075
b,size_scaling,7,12,0.6500000000000001,,7.458333333333334,0.11300505050505051,,0.634452332255751
e,probability_scan_and_collapse,7,12,0.6500000000000001,-0.5682450352049639,7.458333333333334,0.11300505050505051,3.950520833333332,0.634452332255751
b,size_scaling,7,12,0.6850000000000002,,4.0,0.06060606060606061,,0.49999999999999994
e,probability_scan_and_collapse,7,12,0.6850000000000002,-0.17294414114933637,4.0,0.06060606060606061,0.4921874999999982,0.49999999999999994
b,size_scaling,7,12,0.7200000000000002,,2.875,0.043560606060606064,,0.49999999999999994
e,probability_scan_and_collapse,7,12,0.7200000000000002,0.22235675290629123,2.875,0.043560606060606064,-0.6328125000000018,0.49999999999999994
b,size_scaling,7,12,0.7550000000000001,,1.1666666666666667,0.01767676767676768,,0.49999999999999994
e,probability_scan_and_collapse,7,12,0.7550000000000001,0.6176576469619176,1.1666666666666667,0.01767676767676768,-2.341145833333335,0.49999999999999994
b,size_scaling,7,12,0.7900000000000001,,1.0,0.015151515151515152,,0.49999999999999994
e,probability_scan_and_collapse,7,12,0.7900000000000001,1.0129585410175452,1.0,0.015151515151515152,-2.5078125000000018,0.49999999999999994
b,size_scaling,7,16,0.5100000000000001,,20.625,0.234375,,0.6489118221926354
e,probability_scan_and_collapse,7,16,0.5100000000000001,-2.845892668883885,20.625,0.234375,16.343749999999993,0.6489118221926354
b,size_scaling,7,16,0.5450000000000002,,17.791666666666664,0.20217803030303028,,0.7782097162752312
e,probability_scan_and_collapse,7,16,0.5450000000000002,-2.322510109089147,17.791666666666664,0.20217803030303028,13.510416666666659,0.7782097162752312
b,size_scaling,7,16,0.5800000000000001,,13.916666666666666,0.1581439393939394,,0.7110977187980417
e,probability_scan_and_collapse,7,16,0.5800000000000001,-1.7991275492944105,13.916666666666666,0.1581439393939394,9.63541666666666,0.7110977187980417
b,size_scaling,7,16,0.6150000000000001,,11.375,0.12926136363636365,,0.7213133176281411
e,probability_scan_and_collapse,7,16,0.6150000000000001,-1.2757449894996726,11.375,0.12926136363636365,7.093749999999995,0.7213133176281411
b,size_scaling,7,16,0.6500000000000001,,9.5,0.10795454545454546,,0.6627154077818963
e,probability_scan_and_collapse,7,16,0.6500000000000001,-0.7523624297049348,9.5,0.10795454545454546,5.218749999999995,0.6627154077818963
b,size_scaling,7,16,0.6850000000000002,,5.666666666666667,0.06439393939393939,,0.6320673793425708
e,probability_scan_and_collapse,7,16,0.6850000000000002,-0.2289798699101969,5.666666666666667,0.06439393939393939,1.3854166666666616,0.6320673793425708
b,size_scaling,7,16,0.7200000000000002,,2.5,0.028409090909090908,,0.6225788384808975
e,probability_scan_and_collapse,7,16,0.7200000000000002,0.294402689884541,2.5,0.028409090909090908,-1.7812500000000053,0.6225788384808975
b,size_scaling,7,16,0.7550000000000001,,1.375,0.015625,,0.5675634058394119
e,probability_scan_and_collapse,7,16,0.7550000000000001,0.8177852496792772,1.375,0.015625,-2.9062500000000053,0.5675634058394119
b,size_scaling,7,16,0.7900000000000001,,0.6666666666666666,0.007575757575757575,,0.5675634058394119
e,probability_scan_and_collapse,7,16,0.7900000000000001,1.3411678094740151,0.6666666666666666,0.007575757575757575,-3.614583333333339,0.5675634058394119
b,size_scaling,7,24,0.5100000000000001,,29.666666666666668,0.22474747474747475,,0.8870620279243291
e,probability_scan_and_collapse,7,24,0.5100000000000001,-4.226830837273001,29.666666666666668,0.22474747474747475,24.77083333333333,0.8870620279243291
b,size_scaling,7,24,0.5450000000000002,,25.583333333333336,0.19381313131313133,,0.6959164291104633
e,probability_scan_and_collapse,7,24,0.5450000000000002,-3.4494826373147474,25.583333333333336,0.19381313131313133,20.687499999999996,0.6959164291104633
