stage,m,d,L,p,time,observable,mean,standard_deviation,standard_error,realizations
base,11,33,8,0.7849999999999999,9,tripartite_mutual_information,-2.5,0.7071067811865476,0.5,2
base,11,33,8,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,11,33,8,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,11,33,12,0.2,9,half_chain_entropy,47.83333333333333,1.1785113019775775,0.833333333333332,2
base,11,33,12,0.2,9,tripartite_mutual_information,-45.5,1.1785113019775826,0.8333333333333357,2
base,11,33,12,0.395,9,half_chain_entropy,35.16666666666667,0.2357022603955175,0.16666666666666782,2
base,11,33,12,0.395,9,tripartite_mutual_information,-33.166666666666664,0.7071067811865476,0.5,2
base,11,33,12,0.5900000000000001,9,half_chain_entropy,22.333333333333332,1.4142135623730951,1.0,2
base,11,33,12,0.5900000000000001,9,tripartite_mutual_information,-20.166666666666664,1.1785113019775801,0.8333333333333339,2
base,11,33,12,0.7849999999999999,9,half_chain_entropy,9.5,0.235702260395515,0.16666666666666607,2
base,11,33,12,0.7849999999999999,9,tripartite_mutual_information,-6.333333333333334,0.9428090415820631,0.6666666666666664,2
base,11,33,12,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,11,33,12,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,11,33,16,0.2,9,half_chain_entropy,59.66666666666667,1.885618083164125,1.333333333333332,2
base,11,33,16,0.2,9,tripartite_mutual_information,-52.83333333333333,0.2357022603955175,0.16666666666666782,2
base,11,33,16,0.395,9,half_chain_entropy,44.66666666666667,0.47140452079103,0.33333333333333215,2
base,11,33,16,0.395,9,tripartite_mutual_information,-39.83333333333333,1.6499158227686126,1.1666666666666679,2
base,11,33,16,0.5900000000000001,9,half_chain_entropy,28.333333333333332,0.0,0.0,2
base,11,33,16,0.5900000000000001,9,tripartite_mutual_information,-24.0,2.3570226039551603,1.6666666666666679,2
base,11,33,16,0.7849999999999999,9,half_chain_entropy,12.166666666666668,0.23570226039551626,0.16666666666666693,2
base,11,33,16,0.7849999999999999,9,tripartite_mutual_information,-7.833333333333334,0.23570226039551562,0.1666666666666665,2
base,11,33,16,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,11,33,16,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,13,39,8,0.2,9,half_chain_entropy,38.333333333333336,0.0,0.0,2
base,13,39,8,0.2,9,tripartite_mutual_information,-35.5,0.23570226039551248,0.16666666666666427,2
base,13,39,8,0.395,9,half_chain_entropy,27.333333333333336,0.4714045207910325,0.33333333333333387,2
base,13,39,8,0.395,9,tripartite_mutual_information,-24.333333333333336,0.4714045207910325,0.33333333333333387,2
base,13,39,8,0.5900000000000001,9,half_chain_entropy,18.5,0.2357022603955175,0.16666666666666782,2
base,13,39,8,0.5900000000000001,9,tripartite_mutual_information,-16.0,0.47140452079103123,0.333333333333333,2
base,13,39,8,0.7849999999999999,9,half_chain_entropy,7.666666666666667,0.0,0.0,2
base,13,39,8,0.7849999999999999,9,tripartite_mutual_information,-5.5,0.7071067811865476,0.5,2
base,13,39,8,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,13,39,8,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,13,39,12,0.2,9,half_chain_entropy,56.83333333333333,0.2357022603955175,0.16666666666666782,2
base,13,39,12,0.2,9,tripartite_mutual_information,-55.0,0.471404520791035,0.33333333333333565,2
base,13,39,12,0.395,9,half_chain_entropy,41.83333333333333,0.2357022603955175,0.16666666666666782,2
base,13,39,12,0.395,9,tripartite_mutual_information,-39.666666666666664,0.0,0.0,2
base,13,39,12,0.5900000000000001,9,half_chain_entropy,26.666666666666668,0.0,0.0,2
base,13,39,12,0.5900000000000001,9,tripartite_mutual_information,-24.166666666666668,0.7071067811865476,0.5,2
base,13,39,12,0.7849999999999999,9,half_chain_entropy,11.666666666666668,0.47140452079103123,0.333333333333333,2
base,13,39,12,0.7849999999999999,9,tripartite_mutual_information,-9.166666666666668,0.23570226039551626,0.16666666666666693,2
base,13,39,12,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,13,39,12,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
base,13,39,16,0.2,9,half_chain_entropy,69.33333333333334,0.471404520791035,0.33333333333333565,2
base,13,39,16,0.2,9,tripartite_mutual_information,-60.0,2.357022603955155,1.666666666666664,2
base,13,39,16,0.395,9,half_chain_entropy,54.33333333333333,0.47140452079103,0.33333333333333215,2
base,13,39,16,0.395,9,tripartite_mutual_information,-49.5,1.1785113019775826,0.8333333333333357,2
base,13,39,16,0.5900000000000001,9,half_chain_entropy,36.0,1.88561808316413,1.3333333333333355,2
base,13,39,16,0.5900000000000001,9,tripartite_mutual_information,-33.0,0.94280904158206,0.6666666666666643,2
base,13,39,16,0.7849999999999999,9,half_chain_entropy,14.166666666666668,1.6499158227686113,1.1666666666666667,2
base,13,39,16,0.7849999999999999,9,tripartite_mutual_information,-9.833333333333334,0.7071067811865476,0.5,2
base,13,39,16,0.98,9,half_chain_entropy,0.0,0.0,0.0,2
base,13,39,16,0.98,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,3,9,8,0.49250000000000005,9,half_chain_entropy,2.6666666666666665,0.0,0.0,2
adaptive_refinement,3,9,8,0.49250000000000005,9,tripartite_mutual_information,-1.0,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,3,9,8,0.6875,9,half_chain_entropy,0.6666666666666666,0.0,0.0,2
adaptive_refinement,3,9,8,0.6875,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,3,9,12,0.49250000000000005,9,half_chain_entropy,4.0,2.3570226039551585,1.6666666666666665,2
adaptive_refinement,3,9,12,0.49250000000000005,9,tripartite_mutual_information,-1.5,1.6499158227686108,1.1666666666666665,2
adaptive_refinement,3,9,12,0.6875,9,half_chain_entropy,0.0,0.0,0.0,2
adaptive_refinement,3,9,12,0.6875,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,3,9,16,0.49250000000000005,9,half_chain_entropy,4.166666666666666,0.23570226039551562,0.1666666666666665,2
adaptive_refinement,3,9,16,0.49250000000000005,9,tripartite_mutual_information,-0.6666666666666666,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,3,9,16,0.6875,9,half_chain_entropy,0.3333333333333333,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,3,9,16,0.6875,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,5,15,8,0.6875,9,half_chain_entropy,2.5,0.23570226039551562,0.1666666666666665,2
adaptive_refinement,5,15,8,0.6875,9,tripartite_mutual_information,-0.3333333333333333,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,5,15,8,0.8825,9,half_chain_entropy,0.0,0.0,0.0,2
adaptive_refinement,5,15,8,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,5,15,12,0.6875,9,half_chain_entropy,3.6666666666666665,0.9428090415820631,0.6666666666666664,2
adaptive_refinement,5,15,12,0.6875,9,tripartite_mutual_information,-1.6666666666666667,0.9428090415820635,0.6666666666666667,2
adaptive_refinement,5,15,12,0.8825,9,half_chain_entropy,0.16666666666666666,0.23570226039551584,0.16666666666666666,2
adaptive_refinement,5,15,12,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,5,15,16,0.6875,9,half_chain_entropy,3.833333333333333,0.7071067811865472,0.4999999999999998,2
adaptive_refinement,5,15,16,0.6875,9,tripartite_mutual_information,-1.1666666666666665,0.23570226039551578,0.1666666666666666,2
adaptive_refinement,5,15,16,0.8825,9,half_chain_entropy,0.0,0.0,0.0,2
adaptive_refinement,5,15,16,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,7,21,8,0.6875,9,half_chain_entropy,5.166666666666666,0.23570226039551562,0.1666666666666665,2
adaptive_refinement,7,21,8,0.6875,9,tripartite_mutual_information,-2.3333333333333335,0.9428090415820634,0.6666666666666666,2
adaptive_refinement,7,21,8,0.8825,9,half_chain_entropy,0.16666666666666666,0.23570226039551584,0.16666666666666666,2
adaptive_refinement,7,21,8,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,7,21,12,0.6875,9,half_chain_entropy,7.666666666666666,0.4714045207910319,0.3333333333333335,2
adaptive_refinement,7,21,12,0.6875,9,tripartite_mutual_information,-4.5,0.23570226039551626,0.16666666666666693,2
adaptive_refinement,7,21,12,0.8825,9,half_chain_entropy,0.0,0.0,0.0,2
adaptive_refinement,7,21,12,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,7,21,16,0.6875,9,half_chain_entropy,8.833333333333334,1.6499158227686106,1.1666666666666663,2
adaptive_refinement,7,21,16,0.6875,9,tripartite_mutual_information,-5.0,0.47140452079103123,0.333333333333333,2
adaptive_refinement,7,21,16,0.8825,9,half_chain_entropy,0.3333333333333333,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,7,21,16,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,9,27,8,0.6875,9,half_chain_entropy,7.833333333333334,0.23570226039551562,0.1666666666666665,2
adaptive_refinement,9,27,8,0.6875,9,tripartite_mutual_information,-5.5,0.23570226039551626,0.16666666666666693,2
adaptive_refinement,9,27,8,0.8825,9,half_chain_entropy,0.8333333333333333,0.23570226039551587,0.16666666666666669,2
adaptive_refinement,9,27,8,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,9,27,12,0.6875,9,half_chain_entropy,12.166666666666666,0.7071067811865476,0.5,2
adaptive_refinement,9,27,12,0.6875,9,tripartite_mutual_information,-9.5,1.1785113019775801,0.8333333333333339,2
adaptive_refinement,9,27,12,0.8825,9,half_chain_entropy,0.3333333333333333,0.0,0.0,2
adaptive_refinement,9,27,12,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,9,27,16,0.6875,9,half_chain_entropy,15.333333333333332,0.47140452079103123,0.333333333333333,2
adaptive_refinement,9,27,16,0.6875,9,tripartite_mutual_information,-11.833333333333334,0.7071067811865476,0.5,2
adaptive_refinement,9,27,16,0.8825,9,half_chain_entropy,0.5,0.7071067811865476,0.5,2
adaptive_refinement,9,27,16,0.8825,9,tripartite_mutual_information,0.0,0.0,0.0,2
adaptive_refinement,11,33,8,0.6875,9,half_chain_entropy,10.666666666666668,0.47140452079103123,0.333333333333333,2
adaptive_refinement,11,33,8,0.6875,9,tripartite_mutual_information,-7.166666666666667,0.7071067811865476,0.5,2
adaptive_refinement,11,33,8,0.8825,9,half_chain_entropy,1.0,0.4714045207910317,0.3333333333333333,2
adaptive_refinement,11,33,8,0.8825,9,tripartite_mutual_information,-0.16666666666666666,0.23570226039551584,0.16666666666666666,2
adaptive_refinement,11,33,12,0.6875,9,half_chain_entropy,15.333333333333332,0.47140452079103123,0.333333333333333,2
adaptive_refinement,11,33,12,0.6875,9,tripartite_mutual_information,-12.333333333333334,0.0,0.0,2
adaptive_refinement,11,33,12,0.8825,9,half_chain_entropy,2.3333333333333335,0.9428090415820634,0.6666666666666666,2
adaptive_refinement,11,33,12,0.8825,9,tripartite_mutual_information,-0.5,0.7071067811865476,0.5,2
adaptive_refinement,11,33,16,0.6875,9,half_chain_entropy,21.0,0.942809041582065,0.6666666666666677,2
adaptive_refinement,11,33,16,0.6875,9,tripartite_mutual_information,-17.333333333333336,0.9428090415820625,0.666666666666666,2
adaptive_refinement,11,33,16,0.8825,9,half_chain_entropy,2.5,0.7071067811865476,0.5,2
adaptive_refinement,11,33,16,0.8825,9,tripartite_mutual_information,-0.5,0.23570226039551584,0.16666666666666666,2
adaptive_refinement,13,39,8,0.6875,9,half_chain_entropy,12.666666666666668,0.47140452079103123,0.333333333333333,2
adaptive_refinement,13,39,8,0.6875,9,tripartite_mutual_information,-11.0,0.4714045207910325,0.33333333333333387,2
adaptive_refinement,13,39,8,0.8825,9,half_chain_entropy,3.166666666666667,0.23570226039551595,0.16666666666666674,2
adaptive_refinement,13,39,8,0.8825,9,tripartite_mutual_information,-1.3333333333333333,0.0,0.0,2
adaptive_refinement,13,39,12,0.6875,9,half_chain_entropy,20.166666666666664,0.235702260395515,0.16666666666666607,2
adaptive_refinement,13,39,12,0.6875,9,tripartite_mutual_information,-17.666666666666664,0.9428090415820625,0.666666666666666,2
adaptive_refinement,13,39,12,0.8825,9,half_chain_entropy,3.333333333333333,0.9428090415820635,0.6666666666666667,2
adaptive_refinement,13,39,12,0.8825,9,tripartite_mutual_information,-1.5,0.23570226039551595,0.16666666666666674,2
adaptive_refinement,13,39,16,0.6875,9,half_chain_entropy,26.5,0.2357022603955175,0.16666666666666782,2
adaptive_refinement,13,39,16,0.6875,9,tripartite_mutual_information,-22.0,0.47140452079103,0.33333333333333215,2
adaptive_refinement,13,39,16,0.8825,9,half_chain_entropy,2.666666666666667,0.9428090415820635,0.6666666666666667,2
adaptive_refinement,13,39,16,0.8825,9,tripartite_mutual_information,-0.6666666666666666,0.9428090415820634,0.6666666666666666,2
critical_entropy,3,9,8,0.55953125,9,half_chain_entropy,0.9166666666666665,0.3191423692521127,0.15957118462605635,4
critical_entropy,3,9,8,0.55953125,9,tripartite_mutual_information,-0.08333333333333333,0.16666666666666666,0.08333333333333333,4
critical_entropy,3,9,12,0.55953125,9,half_chain_entropy,1.4166666666666667,1.0671873729054748,0.5335936864527374,4
critical_entropy,3,9,12,0.55953125,9,tripartite_mutual_information,-0.08333333333333333,0.16666666666666669,0.08333333333333334,4
critical_entropy,3,9,16,0.55953125,9,half_chain_entropy,2.3333333333333335,0.816496580927726,0.408248290463863,4
critical_entropy,3,9,16,0.55953125,9,tripartite_mutual_information,-0.08333333333333333,0.16666666666666669,0.08333333333333334,4
critical_entropy,5,15,8,0.7545312500000001,9,half_chain_entropy,0.8333333333333333,0.1924500897298753,0.09622504486493764,4
critical_entropy,5,15,8,0.7545312500000001,9,tripartite_mutual_information,0.0,0.0,0.0,4
critical_entropy,5,15,12,0.7545312500000001,9,half_chain_entropy,1.2499999999999998,0.16666666666666666,0.08333333333333333,4
critical_entropy,5,15,12,0.7545312500000001,9,tripartite_mutual_information,-0.25,0.16666666666666669,0.08333333333333334,4
critical_entropy,5,15,16,0.7545312500000001,9,half_chain_entropy,1.8333333333333335,0.6938886664887108,0.3469443332443554,4
critical_entropy,5,15,16,0.7545312500000001,9,tripartite_mutual_information,-0.08333333333333333,0.16666666666666669,0.08333333333333334,4
critical_entropy,7,21,8,0.7910937499999999,9,half_chain_entropy,2.3333333333333335,0.2721655269759086,0.1360827634879543,4
critical_entropy,7,21,8,0.7910937499999999,9,tripartite_mutual_information,-0.8333333333333333,0.33333333333333337,0.16666666666666669,4
critical_entropy,7,21,12,0.7910937499999999,9,half_chain_entropy,2.9166666666666665,1.1013459778666115,0.5506729889333057,4
critical_entropy,7,21,12,0.7910937499999999,9,tripartite_mutual_information,-0.9999999999999999,0.7200822998230956,0.3600411499115478,4
critical_entropy,7,21,16,0.7910937499999999,9,half_chain_entropy,3.5,0.6382847385042253,0.31914236925211265,4
critical_entropy,7,21,16,0.7910937499999999,9,tripartite_mutual_information,-1.0,0.5443310539518174,0.2721655269759087,4
critical_entropy,9,27,8,0.85203125,9,half_chain_entropy,1.6666666666666667,0.7200822998230957,0.36004114991154784,4
