target_id,condition,time,observable,value,seed,gamma_lead,gamma_rec,parameter_match,artifact_stage
T009,without_rescue,45.0,cavity,0.053122500321414315,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,46.0,cavity,0.014702953955912491,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,47.0,cavity,0.03806117979358914,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,48.0,cavity,0.09116630525625412,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,49.0,cavity,0.1331174740554801,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,50.0,cavity,0.05366313743233673,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,51.0,cavity,0.0032292138392930833,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,52.0,cavity,0.08229086191713343,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,53.0,cavity,0.16570222649950445,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,54.0,cavity,0.10202211312379734,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,55.0,cavity,0.012459462767432315,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,56.0,cavity,0.03043791880287159,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,57.0,cavity,0.09575607613574302,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,58.0,cavity,0.12193450075678883,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,59.0,cavity,0.04463884219098463,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,60.0,cavity,0.013400438311020961,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,0.0,sink,0.0,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,1.0,sink,0.0019205406085722307,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,2.0,sink,0.004201382344615151,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,3.0,sink,0.007769825520065043,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,4.0,sink,0.028986464246705746,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,5.0,sink,0.04057634382515254,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,6.0,sink,0.04122307630791648,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,7.0,sink,0.05168618491996751,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,8.0,sink,0.061888891980453574,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,9.0,sink,0.07270939390994126,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,10.0,sink,0.07551395727592529,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,11.0,sink,0.07707209978563116,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,12.0,sink,0.08219077271086789,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,13.0,sink,0.08669104898704738,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,14.0,sink,0.09554323967832698,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,15.0,sink,0.10325893671824327,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,16.0,sink,0.11145328434032445,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,17.0,sink,0.11434095321421221,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,18.0,sink,0.11710912610790121,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,19.0,sink,0.1227797995783029,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,20.0,sink,0.13017149003514364,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,21.0,sink,0.14507425189893278,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,22.0,sink,0.1481273753717892,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,23.0,sink,0.15029855987270288,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,24.0,sink,0.16178145949208722,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,25.0,sink,0.16853595549096986,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,26.0,sink,0.1706989312473682,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,27.0,sink,0.17410717553418426,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,28.0,sink,0.17589282229362543,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,29.0,sink,0.1779844158738863,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,30.0,sink,0.17967281696082585,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,31.0,sink,0.18701560437354617,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,32.0,sink,0.20318093395264444,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,33.0,sink,0.20802740128811015,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,34.0,sink,0.21087849882167187,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,35.0,sink,0.22102841085406258,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,36.0,sink,0.22505518378278616,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,37.0,sink,0.2288587108892127,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,38.0,sink,0.22979104484981316,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,39.0,sink,0.2325170978208684,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,40.0,sink,0.23396581162644475,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,41.0,sink,0.23732028724215448,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,42.0,sink,0.24586874504381104,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,43.0,sink,0.25403872346795936,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,44.0,sink,0.26029434518988065,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,45.0,sink,0.2611371893113651,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,46.0,sink,0.2638477699738362,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,47.0,sink,0.26967201525717716,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,48.0,sink,0.27556785212363494,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,49.0,sink,0.2833978561565915,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,50.0,sink,0.2841193608752575,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,51.0,sink,0.28883844600968567,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,52.0,sink,0.2948351881171926,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,53.0,sink,0.2956390760188361,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,54.0,sink,0.29953207639311835,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,55.0,sink,0.30259000552724924,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,56.0,sink,0.30485734100129896,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,57.0,sink,0.3061455663489023,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,58.0,sink,0.30728605538758624,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,59.0,sink,0.321149079719794,0,0.05,0.0,paper_subset,exploratory
T009,without_rescue,60.0,sink,0.32861628630346224,0,0.05,0.0,paper_subset,exploratory
T009,with_rescue,0.0,bright,0.17541331810062233,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,1.0,bright,0.21350793901464293,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,2.0,bright,0.24899535020327807,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,3.0,bright,0.28393429341018445,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,4.0,bright,0.31438016960108517,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,5.0,bright,0.3436350639829329,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,6.0,bright,0.3715299063376636,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,7.0,bright,0.39641642355490125,0,0.05,0.05,paper_subset,exploratory
T009,with_rescue,8.0,bright,0.42153417653300684,0,0.05,0.05,paper_subset,exploratory
