target_id,record_kind,mechanism,gamma_rec,gamma_deph,rate,eta_mean,eta_sem,samples,parameter_match,artifact_stage,paper_eta,absolute_error
T005,map,combined,0.004641588833612777,0.1,,0.5397128280759159,0.09637567781171151,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,0.1,,0.5621120734911301,0.08433564615646136,3,paper_subset,exploratory,,
T005,map,combined,0.1,0.1,,0.6125033010881243,0.05531079167904853,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,0.1,,0.6299499055846574,0.034253191282043766,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,0.1,,0.5933638427790423,0.025391288007961265,3,paper_subset,exploratory,,
T005,map,combined,10.0,0.1,,0.3813944006217595,0.003290626339849734,3,paper_subset,exploratory,,
T005,map,combined,0.001,0.46415888336127775,,0.6681475841097146,0.03818143170023221,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,0.46415888336127775,,0.668904191378135,0.03754828501936982,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,0.46415888336127775,,0.6718668567359423,0.034947957092035103,3,paper_subset,exploratory,,
T005,map,combined,0.1,0.46415888336127775,,0.677837137831284,0.02776801625766429,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,0.46415888336127775,,0.6654542899922281,0.02294072575965873,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,0.46415888336127775,,0.6063412112365584,0.02203053655056021,3,paper_subset,exploratory,,
T005,map,combined,10.0,0.46415888336127775,,0.3788362675662708,0.003043301048096661,3,paper_subset,exploratory,,
T005,map,combined,0.001,2.154434690031882,,0.7336887019936936,0.003935750591998807,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,2.154434690031882,,0.7335843950847835,0.003825195470430335,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,2.154434690031882,,0.7330785712502177,0.003322350078217129,3,paper_subset,exploratory,,
T005,map,combined,0.1,2.154434690031882,,0.730339221964985,0.001242482058101685,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,2.154434690031882,,0.7135778841616972,0.005923258830919035,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,2.154434690031882,,0.6359165457856878,0.011868191994116265,3,paper_subset,exploratory,,
T005,map,combined,10.0,2.154434690031882,,0.36582283011617167,0.002166634846523339,3,paper_subset,exploratory,,
T005,map,combined,0.001,10.0,,0.6864594798675142,0.009159985947157894,3,paper_subset,exploratory,,
T005,map,combined,0.004641588833612777,10.0,,0.6866526561753304,0.009099575162870174,3,paper_subset,exploratory,,
T005,map,combined,0.021544346900318832,10.0,,0.6874998171240639,0.00882440772582939,3,paper_subset,exploratory,,
T005,map,combined,0.1,10.0,,0.6904790592750126,0.007652978219355853,3,paper_subset,exploratory,,
T005,map,combined,0.46415888336127775,10.0,,0.6910918446030876,0.003908717480847794,3,paper_subset,exploratory,,
T005,map,combined,2.154434690031882,10.0,,0.6172044133429551,0.000885893301519745,3,paper_subset,exploratory,,
T005,map,combined,10.0,10.0,,0.30267281470907487,0.0006410451536478574,3,paper_subset,exploratory,,
T005,cut,rescue,0.001,0.0,0.001,0.43465768148307865,0.13989147039786892,3,paper_subset,exploratory,,
T005,cut,rescue,0.004641588833612777,0.0,0.004641588833612777,0.4453123849922085,0.13455267621007921,3,paper_subset,exploratory,,
T005,cut,rescue,0.021544346900318832,0.0,0.021544346900318832,0.4865114380912438,0.11383832484978491,3,paper_subset,exploratory,,
T005,cut,rescue,0.1,0.0,0.1,0.5763223342750979,0.06750391115426395,3,paper_subset,exploratory,,
T005,cut,rescue,0.46415888336127775,0.0,0.46415888336127775,0.6152061425559073,0.03869288892032562,3,paper_subset,exploratory,,
T005,cut,rescue,2.154434690031882,0.0,2.154434690031882,0.5891099439855226,0.02642621720304977,3,paper_subset,exploratory,,
T005,cut,rescue,10.0,0.0,10.0,0.3820755925094676,0.0033631003941590356,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,0.001,0.001,0.43286386523878617,0.1408644543378405,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,0.004641588833612777,0.004641588833612777,0.43740318717592414,0.1388769423923521,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,0.021544346900318832,0.021544346900318832,0.45755999066104264,0.13030871164593796,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,0.1,0.1,0.5323380199687037,0.10029300606373796,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,0.46415888336127775,0.46415888336127775,0.6679317014671527,0.038360280200550885,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,2.154434690031882,2.154434690031882,0.733717043828773,0.003966247005283781,3,paper_subset,exploratory,,
T005,cut,dephasing,0.0,10.0,10.0,0.6864057540938626,0.009176646004974354,3,paper_subset,exploratory,,
T012,baseline,baseline,0.0,0.0,,0.5536244519658898,0.05478332171726328,15,paper_subset,exploratory,0.65,0.09637554803411019
