series_id,model,convention,block_length,entropy_bits,guide_entropy_bits,plot_role
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,5,2.03445823937399,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,5,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,6,1.85038348457019,1.90885171810365,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,6,2.11788196970034,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,6,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,7,1.89730362242781,1.9829825252158,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,7,2.17630081724713,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,7,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,8,1.92897202898674,2.0471975511966,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,8,2.21516821076146,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,8,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,9,1.94731099282023,2.10383921834404,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,9,2.23748199298446,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,9,0,,review_only
xxx_antiferromagnetic,XXX,caption_implied_antiferromagnetic,10,1.9533206401647,2.15450691615905,paper_series_under_review
xxx_printed_sign_dicke,XXX,literal_printed_ferromagnetic_symmetric_sector,10,2.24476396763408,,review_only
xxx_printed_sign_polarized,XXX,literal_printed_ferromagnetic_polarized_ground_state,10,0,,review_only
