model,block_length,entropy_bits,fit_window_start
critical_xx,9,2.1038281245804735,20
critical_xx,10,2.1545557241301183,20
critical_xx,11,2.2004340297278473,20
critical_xx,12,2.242310684467249,20
critical_xx,13,2.280828627882605,20
critical_xx,14,2.316487191057303,20
critical_xx,15,2.349681949555799,20
critical_xx,16,2.3807316336234265,20
critical_xx,17,2.4098968375082586,20
critical_xx,18,2.4373933572979194,20
critical_xx,19,2.46340190872948,20
critical_xx,20,2.488075344020264,20
critical_xx,21,2.511544102712056,20
critical_xx,22,2.5339203911565655,20
critical_xx,23,2.5553014307732687,20
critical_xx,24,2.5757720135373776,20
critical_xx,25,2.5954065348047943,20
critical_xx,26,2.6142706267544082,20
critical_xx,27,2.6324224830691905,20
critical_xx,28,2.6499139423642046,20
critical_xx,29,2.6667913812435544,20
critical_xx,30,2.6830964557729944,20
critical_xx,31,2.6988667212393387,20
critical_xx,32,2.714136153410261,20
critical_xx,33,2.7289355895081293,20
critical_xx,34,2.7432931032944037,20
critical_xx,35,2.757234325738425,20
critical_xx,36,2.770782720478526,20
critical_xx,37,2.783959821513025,20
critical_xx,38,2.796785439173032,20
critical_xx,39,2.8092778393240687,20
critical_xx,40,2.8214538998650376,20
critical_xx,41,2.833329247894331,20
critical_xx,42,2.844918380335475,20
critical_xx,43,2.856234770366328,20
critical_xx,44,2.8672909616026745,20
critical_xx,45,2.878098651697356,20
critical_xx,46,2.888668766743728,20
critical_xx,47,2.899011527677547,20
critical_xx,48,2.909136509683317,20
critical_xx,49,2.9190526954738756,20
critical_xx,50,2.9287685231871423,20
critical_xx,51,2.938291929534372,20
critical_xx,52,2.947630388762639,20
critical_xx,53,2.9567909479016494,20
critical_xx,54,2.9657802587151516,20
critical_xx,55,2.9746046067219987,20
critical_xx,56,2.9832699375986116,20
critical_xx,57,2.991781881248484,20
critical_xx,58,3.0001457737716812,20
critical_xx,59,3.0083666775637625,20
critical_xx,60,3.016449399718001,20
critical_xx,61,3.0243985089096594,20
critical_xx,62,3.0322183509087735,20
critical_xx,63,3.039913062845893,20
critical_xx,64,3.0474865863628344,20
critical_xx,65,3.054942679733598,20
critical_xx,66,3.0622849290683383,20
critical_xx,67,3.0695167586704573,20
critical_xx,68,3.0766414406266085,20
critical_xx,69,3.083662103697207,20
critical_xx,70,3.090581741567853,20
critical_xx,71,3.0974032205130015,20
critical_xx,72,3.10412928652734,20
critical_xx,73,3.11076257196116,20
critical_xx,74,3.117305601707073,20
critical_xx,75,3.1237607989708067,20
critical_xx,76,3.1301304906584315,20
critical_xx,77,3.136416912413884,20
critical_xx,78,3.1426222133282447,20
critical_xx,79,3.1487484603529245,20
critical_xx,80,3.1547976424316237,20
critical_xx,81,3.160771674375847,20
critical_xx,82,3.1666724005074496,20
critical_xx,83,3.172501598073157,20
critical_xx,84,3.1782609804609363,20
critical_xx,85,3.183952200220161,20
critical_xx,86,3.189576851912554,20
critical_xx,87,3.195136474789542,20
critical_xx,88,3.2006325553240056,20
critical_xx,89,3.206066529594221,20
critical_xx,90,3.2114397855389845,20
critical_xx,91,3.2167536650818565,20
critical_xx,92,3.2220094661467957,20
critical_xx,93,3.2272084445581948,20
critical_xx,94,3.232351815842661,20
critical_xx,95,3.2374407569375077,20
critical_xx,96,3.24247640780255,20
critical_xx,97,3.2474598729576307,20
critical_xx,98,3.2523922229334317,20
critical_xx,99,3.2572744956537627,20
critical_xx,100,3.2621076977464116,20
