length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
64,0.4,4,0.19509032201612825,2.9204674757187505,0.5178952647793332,12,20.0
64,0.4,5,0.24298017990326387,3.497061587115708,0.49135419609631836,12,20.0
64,0.4,6,0.29028467725446233,3.920669905712339,0.4427511125768282,12,20.0
64,0.4,7,0.33688985339222005,4.280505064965621,0.521528769007092,12,20.0
64,0.4,9,0.4275550934302821,5.052267651597234,0.6140750998865343,12,20.0
64,0.4,10,0.47139673682599764,5.26546258317462,0.6708355318419039,12,20.0
64,0.4,12,0.5555702330196022,5.959648975534292,0.6797002748725037,12,20.0
64,0.4,14,0.6343932841636455,6.38929678041572,0.6930708520337904,12,20.0
64,0.4,17,0.7409511253549591,6.908447569292057,0.6031129689138923,12,20.0
64,0.4,20,0.8314696123025452,7.424996713803167,0.6844012655536043,12,20.0
64,0.4,23,0.9039892931234433,7.762230873941079,0.7814767921017477,12,20.0
64,0.4,27,0.970031253194544,8.048644975012106,0.4344753235206376,12,20.0
64,0.4,32,1.0,8.110365856619735,0.7755861025868975,12,20.0
64,0.5,2,0.0980171403295606,1.5401871738298338,0.5467790737767746,12,20.0
64,0.5,3,0.14673047445536175,2.066797390764199,0.5605574318381435,12,20.0
64,0.5,4,0.19509032201612825,2.6148280048050085,0.5871272019911907,12,20.0
64,0.5,5,0.24298017990326387,2.9596583399637812,0.7617325850963207,12,20.0
64,0.5,6,0.29028467725446233,3.3589630285370458,0.8711322381769107,12,20.0
64,0.5,7,0.33688985339222005,3.7306376094453433,0.94795940838295,12,20.0
64,0.5,9,0.4275550934302821,4.390863991690872,0.7477094397202854,12,20.0
64,0.5,10,0.47139673682599764,4.603129705541805,0.7915941071961851,12,20.0
64,0.5,12,0.5555702330196022,5.039300239670829,0.7059287122300234,12,20.0
64,0.5,14,0.6343932841636455,5.364853074702108,0.8121761631545328,12,20.0
64,0.5,17,0.7409511253549591,5.779571526154972,0.8357844038527612,12,20.0
64,0.5,20,0.8314696123025452,5.81648164615147,0.9969720893056743,12,20.0
64,0.5,23,0.9039892931234433,5.900446978319331,0.9744270000125772,12,20.0
64,0.5,27,0.970031253194544,5.9199058783513365,1.1417433600663727,12,20.0
64,0.5,32,1.0,6.017833897536604,1.0992330859728259,12,20.0
64,0.6,2,0.0980171403295606,1.3133168105812068,0.40443721220211065,12,20.0
64,0.6,3,0.14673047445536175,1.8846232858496634,0.4494969883249274,12,20.0
64,0.6,4,0.19509032201612825,2.2487204495902997,0.4126100394457718,12,20.0
64,0.6,5,0.24298017990326387,2.702551589336554,0.39311368853121864,12,20.0
64,0.6,6,0.29028467725446233,3.0718952354014633,0.4273036411933637,12,20.0
64,0.6,7,0.33688985339222005,3.3390803320442664,0.6273192632809259,12,20.0
64,0.6,9,0.4275550934302821,3.841878981104332,0.7566514723209351,12,20.0
64,0.6,10,0.47139673682599764,4.014992214193206,0.768164594301385,12,20.0
64,0.6,12,0.5555702330196022,4.3881462241549505,0.6626051102157545,12,20.0
64,0.6,14,0.6343932841636455,4.461084523821712,0.8309501802205215,12,20.0
64,0.6,17,0.7409511253549591,4.894716530387213,0.7605620952005625,12,20.0
64,0.6,20,0.8314696123025452,4.871959435189134,0.8275276478292037,12,20.0
64,0.6,23,0.9039892931234433,4.837826551754212,0.7749744665485951,12,20.0
64,0.6,27,0.970031253194544,5.082477415007342,0.8028326273718412,12,20.0
64,0.6,32,1.0,5.302942422151316,0.866074986961564,12,20.0
64,0.8,2,0.0980171403295606,1.0219337976320813,0.39633610714896056,12,20.0
64,0.8,3,0.14673047445536175,1.467197055971484,0.4000142901007233,12,20.0
64,0.8,4,0.19509032201612825,1.9249878679627066,0.3737081364987112,12,20.0
64,0.8,5,0.24298017990326387,2.1683002236429183,0.3584111253469956,12,20.0
64,0.8,6,0.29028467725446233,2.5146099395118457,0.4701113514498725,12,20.0
64,0.8,7,0.33688985339222005,2.716600342298744,0.5916247294549346,12,20.0
64,0.8,9,0.4275550934302821,2.983495326626546,0.6876914007792125,12,20.0
64,0.8,10,0.47139673682599764,3.047903660688871,0.576827096708848,12,20.0
64,0.8,12,0.5555702330196022,3.335584980036405,0.7016508167082696,12,20.0
64,0.8,14,0.6343932841636455,3.3662219208678064,0.6410686710070068,12,20.0
64,0.8,17,0.7409511253549591,3.620391834053731,0.7612434159762665,12,20.0
64,0.8,20,0.8314696123025452,3.8528238809339848,0.6212157796265213,12,20.0
