protocol,length,gamma,trajectory,half_entropy,t_final
qsd,64,0.25,91,8.349491336456152,24.0
qsd,64,0.25,92,8.80242547643589,24.0
qsd,64,0.25,93,8.52937852292693,24.0
qsd,64,0.25,94,8.041297449210049,24.0
qsd,64,0.25,95,8.365343700757885,24.0
qsd,64,0.25,96,8.090591771781583,24.0
qsd,64,0.25,97,8.44434334389994,24.0
qsd,64,0.25,98,8.545604354788587,24.0
qsd,64,0.25,99,7.897761625160875,24.0
qsd,64,0.25,100,8.112907888317883,24.0
qsd,64,0.25,101,7.979906507444176,24.0
qsd,64,0.25,102,8.57149832745241,24.0
qsd,64,0.25,103,8.001031420324704,24.0
qsd,64,0.25,104,7.499794344175193,24.0
qsd,64,0.25,105,9.775523777628877,24.0
qsd,64,0.25,106,9.097575938147552,24.0
qsd,64,0.25,107,7.115715197041776,24.0
qsd,64,0.25,108,7.548594065478564,24.0
qsd,64,0.25,109,7.970787172447952,24.0
qsd,64,0.25,110,8.569923979824368,24.0
qsd,64,0.25,111,8.607249588890756,24.0
qsd,64,0.25,112,7.051987803509471,24.0
qsd,64,0.25,113,9.32213348192495,24.0
qsd,64,0.25,114,6.601088779354379,24.0
qsd,64,0.25,115,9.540528706683062,24.0
qsd,64,0.25,116,8.579964060795154,24.0
qsd,64,0.25,117,7.358840633403762,24.0
qsd,64,0.25,118,7.937459048950562,24.0
qsd,64,0.25,119,8.229655867827919,24.0
qsd,64,0.25,120,7.565192966620909,24.0
qsd,64,0.25,121,8.771460825087628,24.0
qsd,64,0.25,122,7.820149117390437,24.0
qsd,64,0.25,123,7.549386830452753,24.0
qsd,64,0.25,124,9.357634248167496,24.0
qsd,64,0.25,125,7.586184550830498,24.0
qsd,64,0.25,126,7.427871521719069,24.0
qsd,64,0.25,127,8.351116460070168,24.0
qsd,64,0.25,128,7.435245424900074,24.0
qsd,64,0.25,129,7.850367774744156,24.0
qsd,64,0.25,130,9.313476120238384,24.0
qsd,64,0.25,131,7.574894896945059,24.0
qsd,64,0.25,132,8.135489841021446,24.0
qsd,64,0.25,133,7.915805393218593,24.0
qsd,64,0.25,134,9.048719410690943,24.0
qsd,64,0.25,135,8.736369404317813,24.0
qsd,64,0.25,136,7.901061203384234,24.0
qsd,64,0.25,137,9.967797047279737,24.0
qsd,64,0.25,138,8.379534621143108,24.0
qsd,64,0.25,139,9.39522286754465,24.0
qsd,64,0.25,140,9.263059777371321,24.0
qsd,64,0.25,141,8.273745673127987,24.0
qsd,64,0.25,142,8.758326779883,24.0
qsd,64,0.25,143,7.896655139788541,24.0
qsd,64,0.25,144,7.962925800310816,24.0
qsd,64,0.25,145,7.972763293467514,24.0
qsd,64,0.25,146,8.8941816371993,24.0
qsd,64,0.25,147,9.19202211617286,24.0
qsd,64,0.25,148,8.319205299774524,24.0
qsd,64,0.25,149,9.048251584419996,24.0
qsd,64,0.25,150,8.301152616928416,24.0
qsd,64,0.25,151,7.31975828954617,24.0
qsd,64,0.25,152,8.834075981822897,24.0
qsd,64,0.25,153,7.488488528882176,24.0
qsd,64,0.25,154,8.568161149620664,24.0
qsd,64,0.25,155,8.28401773131056,24.0
qsd,64,0.25,156,8.751015445440814,24.0
qsd,64,0.25,157,8.48231646015518,24.0
qsd,64,0.25,158,7.079158523751966,24.0
qsd,64,0.25,159,8.540417605428566,24.0
qsd,64,0.25,160,7.019602045020182,24.0
qsd,64,0.25,161,7.987382150927018,24.0
qsd,64,0.25,162,8.780515539692413,24.0
qsd,64,0.25,163,8.174534873291343,24.0
qsd,64,0.25,164,8.711505088746097,24.0
qsd,64,0.25,165,7.288694714043992,24.0
qsd,64,0.25,166,8.643238570963437,24.0
qsd,64,0.25,167,7.67003665119638,24.0
qsd,64,0.25,168,8.158848832295954,24.0
qsd,64,0.25,169,7.361037134964904,24.0
qsd,64,0.25,170,8.09160583083797,24.0
qsd,64,0.25,171,8.194913306217424,24.0
qsd,64,0.25,172,9.840158848988533,24.0
qsd,64,0.25,173,8.851248310722895,24.0
qsd,64,0.25,174,7.439764802821345,24.0
qsd,64,0.25,175,7.941232404001038,24.0
qsd,64,0.25,176,8.007373169809041,24.0
qsd,64,0.25,177,8.149901773341378,24.0
qsd,64,0.25,178,8.670046823896948,24.0
qsd,64,0.25,179,8.00647286378936,24.0
qsd,64,0.25,180,9.025123143884937,24.0
qsd,64,0.25,181,8.508718202037278,24.0
qsd,64,0.25,182,8.901875453555178,24.0
qsd,64,0.25,183,9.07630834806011,24.0
qsd,64,0.25,184,7.601985861928649,24.0
qsd,64,0.25,185,9.350431054759797,24.0
qsd,64,0.25,186,10.351495270372531,24.0
qsd,64,0.25,187,8.553687074617162,24.0
qsd,64,0.25,188,9.12282019473823,24.0
qsd,64,0.25,189,8.818270238306141,24.0
qsd,64,0.25,190,8.219610008533632,24.0
qsd,64,0.25,191,8.772826353819706,24.0
qsd,64,2.0,0,1.339023478690087,20.0
qsd,64,2.0,1,1.2275525767311493,20.0
qsd,64,2.0,2,0.704796434363985,20.0
qsd,64,2.0,3,0.47117045429795074,20.0
qsd,64,2.0,4,0.4943394243838222,20.0
qsd,64,2.0,5,0.41350917416755373,20.0
qsd,64,2.0,6,0.24519047129802432,20.0
qsd,64,2.0,7,1.0938107561872599,20.0
qsd,64,2.0,8,0.11576402033698076,20.0
qsd,64,2.0,9,0.8391410078711617,20.0
qsd,64,2.0,10,1.0310606962137674,20.0
qsd,64,2.0,11,0.6390421478755582,20.0
qsd,64,2.0,12,1.2209586412378048,20.0
qsd,64,2.0,13,0.7556807531195247,20.0
qsd,64,2.0,14,1.041964693388816,20.0
qsd,64,2.0,15,0.8601362246689137,20.0
qsd,64,2.0,16,1.5443410820758026,20.0
qsd,64,2.0,17,0.16818896403032266,20.0
qsd,64,2.0,18,0.5314217652351937,20.0
qsd,64,2.0,19,1.4330841464283024,20.0
qsd,64,2.0,20,2.0767463380375117,20.0
qsd,64,2.0,21,1.5778069008140163,20.0
qsd,64,2.0,22,0.917304012552562,20.0
qsd,64,2.0,23,0.7754408118046772,20.0
qsd,64,2.0,24,0.22929347108313014,20.0
qsd,64,2.0,25,0.751563885395716,20.0
qsd,64,2.0,26,2.4542679619448244,20.0
qsd,64,2.0,27,1.0041735436130121,20.0
qsd,64,2.0,28,0.9638319636423944,20.0
qsd,64,2.0,29,1.334146571022628,20.0
qsd,64,2.0,30,0.3771642778329238,20.0
qsd,64,2.0,31,0.13570944862746998,20.0
qsd,64,2.0,32,1.0949767576118807,20.0
qsd,64,2.0,33,2.108091001882777,20.0
qsd,64,2.0,34,1.0193738833106614,20.0
qsd,64,2.0,35,0.696294308344898,20.0
qsd,64,2.0,36,1.1215295801475034,20.0
qsd,64,2.0,37,1.013655904774179,20.0
qsd,64,2.0,38,1.3438650601090723,20.0
qsd,64,2.0,39,0.6961285774777835,20.0
qsd,64,2.0,40,0.8116455083383536,20.0
qsd,64,2.0,41,1.129836881787393,20.0
qsd,64,2.0,42,0.4127805373955745,20.0
qsd,64,2.0,43,1.1783792191649196,20.0
qsd,64,2.0,44,0.33867983167098376,20.0
qsd,64,2.0,45,1.8137364131166445,20.0
qsd,64,2.0,46,0.8038838873142505,20.0
qsd,64,2.0,47,1.1303394475759252,20.0
qsd,64,2.0,48,0.18041735251120128,20.0
qsd,64,2.0,49,1.2394503768623022,20.0
qsd,64,2.0,50,1.9119553606100104,20.0
qsd,64,2.0,51,1.3069701984949686,20.0
qsd,64,2.0,52,0.37332671446176224,20.0
qsd,64,2.0,53,1.1868764995735461,20.0
qsd,64,2.0,54,1.0568445719086974,20.0
qsd,64,2.0,55,0.6120418078090034,20.0
qsd,64,2.0,56,0.6294156672868995,20.0
qsd,64,2.0,57,1.1969210808818107,20.0
qsd,64,2.0,58,1.376401075492578,20.0
qsd,64,2.0,59,0.9307548677504512,20.0
qsd,64,2.0,60,1.101839219367469,20.0
qsd,64,2.0,61,0.9254175690614896,20.0
qsd,64,2.0,62,1.2962334338540256,20.0
qsd,64,2.0,63,0.592162974831864,20.0
qsd,64,2.0,64,1.7109608692068998,20.0
qsd,64,2.0,65,2.147141363394965,20.0
qsd,64,2.0,66,1.6673066139508332,20.0
qsd,64,2.0,67,0.16621483894324912,20.0
qsd,64,2.0,68,1.3755843739494311,20.0
qsd,64,2.0,69,0.8660154452487779,20.0
qsd,64,2.0,70,0.6380559992982482,20.0
qsd,64,2.0,71,0.8235202938278772,20.0
qsd,64,2.0,72,1.4958708155346019,20.0
qsd,64,2.0,73,0.30996266268511585,20.0
qsd,64,2.0,74,1.7006878222778457,20.0
qsd,64,2.0,75,1.3844619924989217,20.0
qsd,64,2.0,76,1.1393961798316496,20.0
qsd,64,2.0,77,1.6658632830794784,20.0
qsd,64,2.0,78,0.46363718874766274,20.0
qsd,64,2.0,79,0.4222745593355678,20.0
qsd,64,2.0,80,1.133665461403984,20.0
qsd,64,2.0,81,1.1621850102545845,20.0
qsd,64,2.0,82,1.8699087601901447,20.0
qsd,64,2.0,83,0.4660549609565896,20.0
qsd,64,2.0,84,0.07609842604271405,20.0
qsd,64,2.0,85,0.5547021131986978,20.0
qsd,64,2.0,86,0.4034234411727632,20.0
qsd,64,2.0,87,1.2504332742457431,20.0
qsd,64,2.0,88,1.5019922792197005,20.0
qsd,64,2.0,89,0.9924351111686377,20.0
qsd,64,2.0,90,1.0327468884573425,20.0
qsd,64,2.0,91,0.34406208012009115,20.0
qsd,64,2.0,92,1.3245493155134478,20.0
qsd,64,2.0,93,1.4938773133150742,20.0
qsd,64,2.0,94,1.6660187005563367,20.0
qsd,64,2.0,95,0.22398368553298434,20.0
qsd,64,2.0,96,0.6858215685123595,20.0
qsd,64,2.0,97,1.06635830236598,20.0
qsd,64,2.0,98,0.5613848640432195,20.0
qsd,64,2.0,99,1.2560411299860217,20.0
qsd,64,2.0,100,0.11919147580993115,20.0
qsd,64,2.0,101,0.8297165454113088,20.0
qsd,64,2.0,102,1.3914770632350035,20.0
qsd,64,2.0,103,0.34515687652551214,20.0
qsd,64,2.0,104,1.5834453025692263,20.0
qsd,64,2.0,105,0.7981782659729644,20.0
qsd,64,2.0,106,1.8376563734951605,20.0
qsd,64,2.0,107,0.10579795860081902,20.0
qsd,64,2.0,108,0.3237169724664612,20.0
qsd,64,2.0,109,1.6916484389948574,20.0
qsd,64,2.0,110,0.8148823391792558,20.0
qsd,64,2.0,111,0.7951609512208214,20.0
qsd,64,2.0,112,1.192454373744512,20.0
qsd,64,2.0,113,1.1587772861817967,20.0
qsd,64,2.0,114,0.7899649659861046,20.0
qsd,64,2.0,115,0.3458090113854517,20.0
qsd,64,2.0,116,0.47780137331632794,20.0
qsd,64,2.0,117,0.5689748229393968,20.0
qsd,64,2.0,118,1.3777150339278719,20.0
qsd,64,2.0,119,0.9334316290894726,20.0
qsd,64,2.0,120,1.237130301791821,20.0
qsd,64,2.0,121,0.26013568450730384,20.0
qsd,64,2.0,122,1.4295657100177,20.0
qsd,64,2.0,123,0.7156536014013347,20.0
qsd,64,2.0,124,1.0588709616548129,20.0
qsd,64,2.0,125,1.3907099932202507,20.0
qsd,64,2.0,126,1.9232711265773645,20.0
qsd,64,2.0,127,0.802841857899063,20.0
qsd,64,2.0,128,0.6861774491820138,20.0
qsd,64,2.0,129,0.7851937719267257,20.0
qsd,64,2.0,130,0.5297677605221143,20.0
qsd,64,2.0,131,0.501229200319757,20.0
qsd,64,2.0,132,1.1936267315894027,20.0
qsd,64,2.0,133,0.7728197561106012,20.0
qsd,64,2.0,134,1.305911547274384,20.0
qsd,64,2.0,135,0.9047911040824976,20.0
qsd,64,2.0,136,1.4387816831439526,20.0
qsd,64,2.0,137,0.9361424747200384,20.0
qsd,64,2.0,138,0.5510279352223764,20.0
qsd,64,2.0,139,0.32445431638928396,20.0
qsd,64,2.0,140,1.0065503812735712,20.0
qsd,64,2.0,141,0.22178502998104913,20.0
qsd,64,2.0,142,0.21006013782992328,20.0
qsd,64,2.0,143,1.0245939537755802,20.0
qsd,64,2.0,144,1.6435233191510465,20.0
qsd,64,2.0,145,1.9939881395439325,20.0
qsd,64,2.0,146,1.005573523689946,20.0
qsd,64,2.0,147,1.426761410612885,20.0
qsd,64,2.0,148,1.4714775148459485,20.0
qsd,64,2.0,149,0.2127790223416554,20.0
qsd,64,2.0,150,1.4247036428163136,20.0
qsd,64,2.0,151,0.5835581013814313,20.0
qsd,64,2.0,152,0.5262663167673555,20.0
qsd,64,2.0,153,1.0257751432112419,20.0
qsd,64,2.0,154,0.9250336226597948,20.0
qsd,64,2.0,155,0.9080458564338819,20.0
qsd,64,2.0,156,1.0876047081774076,20.0
qsd,64,2.0,157,0.7897853262789141,20.0
qsd,64,2.0,158,1.0088713417248083,20.0
qsd,64,2.0,159,1.1755588670408748,20.0
qsd,64,2.0,160,0.07208042075616045,20.0
qsd,64,2.0,161,0.9253117270297264,20.0
qsd,64,2.0,162,0.18100957976347723,20.0
qsd,64,2.0,163,2.5581853086408883,20.0
qsd,64,2.0,164,0.2958889751813235,20.0
qsd,64,2.0,165,0.5368734595377068,20.0
qsd,64,2.0,166,0.7672004572932095,20.0
qsd,64,2.0,167,0.6986772183414169,20.0
qsd,64,2.0,168,1.0301413654227682,20.0
qsd,64,2.0,169,0.11591387529017194,20.0
qsd,64,2.0,170,1.6311942926335778,20.0
qsd,64,2.0,171,0.8879344550103099,20.0
qsd,64,2.0,172,1.2738805957083388,20.0
qsd,64,2.0,173,1.1778752945848563,20.0
qsd,64,2.0,174,0.5745595636662187,20.0
qsd,64,2.0,175,0.7950210732143033,20.0
qsd,64,2.0,176,1.8986400484462622,20.0
qsd,64,2.0,177,1.8703624818446456,20.0
qsd,64,2.0,178,1.6891311804984193,20.0
qsd,64,2.0,179,0.5581470726128143,20.0
qsd,64,2.0,180,1.1365025768524668,20.0
qsd,64,2.0,181,1.7076318241761643,20.0
qsd,64,2.0,182,0.5503513460445296,20.0
qsd,64,2.0,183,0.3947795710791324,20.0
qsd,64,2.0,184,0.36682999686223317,20.0
qsd,64,2.0,185,1.2727598795903665,20.0
qsd,64,2.0,186,1.141730586146173,20.0
qsd,64,2.0,187,0.798498127966715,20.0
qsd,64,2.0,188,1.0606954946117044,20.0
qsd,64,2.0,189,1.6093764690374799,20.0
qsd,64,2.0,190,1.0910074965694927,20.0
qsd,64,2.0,191,1.2210281387591964,20.0
qsd,64,6.0,0,0.29914563073741196,20.0
qsd,64,6.0,1,0.22831727655440848,20.0
qsd,64,6.0,2,0.11948931122275835,20.0
qsd,64,6.0,3,0.0706964978871116,20.0
qsd,64,6.0,4,0.0043137730520547545,20.0
qsd,64,6.0,5,0.015921984683306318,20.0
qsd,64,6.0,6,0.12383131146864797,20.0
qsd,64,6.0,7,0.011504087999548617,20.0
qsd,64,6.0,8,0.02437498868097923,20.0
qsd,64,6.0,9,0.24919870262485763,20.0
qsd,64,6.0,10,0.02017471812870839,20.0
qsd,64,6.0,11,0.3964058269642862,20.0
qsd,64,6.0,12,0.16728280928930422,20.0
qsd,64,6.0,13,0.016004141271948866,20.0
qsd,64,6.0,14,0.05090299206145017,20.0
qsd,64,6.0,15,0.03648107040108262,20.0
qsd,64,6.0,16,0.6742170198897781,20.0
qsd,64,6.0,17,0.012721038199876392,20.0
qsd,64,6.0,18,0.03868587537537879,20.0
qsd,64,6.0,19,0.13339123996203173,20.0
qsd,64,6.0,20,0.20336181844613946,20.0
qsd,64,6.0,21,0.020087841441456113,20.0
qsd,64,6.0,22,0.000639200703080399,20.0
qsd,64,6.0,23,0.3080376013055327,20.0
qsd,64,6.0,24,0.07362428571802893,20.0
qsd,64,6.0,25,0.00527144585151545,20.0
qsd,64,6.0,26,0.3871805854527791,20.0
qsd,64,6.0,27,0.1518236112870905,20.0
qsd,64,6.0,28,0.1559130433999872,20.0
qsd,64,6.0,29,0.9538337625012691,20.0
qsd,64,6.0,30,0.00025445219100122423,20.0
qsd,64,6.0,31,0.10350459465540997,20.0
qsd,64,6.0,32,0.26888831889860315,20.0
qsd,64,6.0,33,0.025109454429743376,20.0
qsd,64,6.0,34,0.2292438299853224,20.0
qsd,64,6.0,35,0.0006037139292499416,20.0
qsd,64,6.0,36,0.02788578366960111,20.0
qsd,64,6.0,37,0.36944400742042605,20.0
qsd,64,6.0,38,0.2812276957549373,20.0
qsd,64,6.0,39,0.021831011870848484,20.0
qsd,64,6.0,40,1.026749737512568,20.0
qsd,64,6.0,41,0.03196044746328992,20.0
qsd,64,6.0,42,0.026073222450261932,20.0
qsd,64,6.0,43,0.0006008228338576463,20.0
qsd,64,6.0,44,1.198524594745108,20.0
qsd,64,6.0,45,0.007575087857117651,20.0
qsd,64,6.0,46,0.07548333329748129,20.0
qsd,64,6.0,47,0.12734717042618252,20.0
qsd,64,6.0,48,0.006453023801549803,20.0
qsd,64,6.0,49,0.041888251660531214,20.0
qsd,64,6.0,50,0.9124825306331502,20.0
qsd,64,6.0,51,0.10270428709480808,20.0
qsd,64,6.0,52,0.010143318468578147,20.0
qsd,64,6.0,53,0.8156865119155927,20.0
qsd,64,6.0,54,0.46120799735307444,20.0
qsd,64,6.0,55,0.905842229562673,20.0
qsd,64,6.0,56,0.06272017465161792,20.0
qsd,64,6.0,57,0.10110578925533849,20.0
qsd,64,6.0,58,0.12288828821690183,20.0
qsd,64,6.0,59,0.25205013051204134,20.0
qsd,64,6.0,60,0.298137536796745,20.0
qsd,64,6.0,61,0.05021924642923936,20.0
qsd,64,6.0,62,0.04938062913618868,20.0
qsd,64,6.0,63,0.0008152997428759149,20.0
qsd,64,6.0,64,0.13839123361036132,20.0
qsd,64,6.0,65,0.00013607033595008873,20.0
qsd,64,6.0,66,0.03773988286552022,20.0
qsd,64,6.0,67,0.01607835115075124,20.0
qsd,64,6.0,68,0.08178077205861137,20.0
qsd,64,6.0,69,0.03263667964030136,20.0
qsd,64,6.0,70,0.5911983647772163,20.0
qsd,64,6.0,71,0.0016862670516116078,20.0
qsd,64,6.0,72,0.18562097775152853,20.0
qsd,64,6.0,73,0.7226660208054235,20.0
qsd,64,6.0,74,0.7675966403076696,20.0
qsd,64,6.0,75,0.02548850650886348,20.0
qsd,64,6.0,76,0.045289067254043115,20.0
qsd,64,6.0,77,0.16470979576331118,20.0
qsd,64,6.0,78,0.01682434024407287,20.0
qsd,64,6.0,79,0.08238649494905571,20.0
qsd,64,6.0,80,0.061888665247639675,20.0
qsd,64,6.0,81,0.6680142768061572,20.0
qsd,64,6.0,82,0.0021628431118293915,20.0
qsd,64,6.0,83,0.2584697257319098,20.0
qsd,64,6.0,84,0.02839183023251105,20.0
qsd,64,6.0,85,0.591041600113205,20.0
qsd,64,6.0,86,0.5643054951349146,20.0
qsd,64,6.0,87,0.9325729904994059,20.0
qsd,64,6.0,88,0.009849298193792998,20.0
qsd,64,6.0,89,0.015228101467622941,20.0
qsd,64,6.0,90,0.25371485755386963,20.0
qsd,64,6.0,91,0.016006823792582905,20.0
qsd,64,6.0,92,0.40296996037209504,20.0
qsd,64,6.0,93,0.06721787652115002,20.0
qsd,64,6.0,94,0.02039432919073748,20.0
qsd,64,6.0,95,0.017257346553706344,20.0
qsd,64,6.0,96,0.042707512820083,20.0
qsd,64,6.0,97,0.0007074540268073646,20.0
qsd,64,6.0,98,0.517607700799872,20.0
qsd,64,6.0,99,0.1134549100503839,20.0
qsd,64,6.0,100,0.049956028191795045,20.0
qsd,64,6.0,101,0.0010523211094319081,20.0
qsd,64,6.0,102,0.006190569322464308,20.0
qsd,64,6.0,103,0.18368137467725523,20.0
qsd,64,6.0,104,0.034854871835494204,20.0
qsd,64,6.0,105,0.0882651679777124,20.0
qsd,64,6.0,106,0.012216761949225002,20.0
qsd,64,6.0,107,0.019618550822801364,20.0
qsd,64,6.0,108,0.5808085713742716,20.0
qsd,64,6.0,109,0.46052280889936936,20.0
qsd,64,6.0,110,0.007217779450156767,20.0
qsd,64,6.0,111,0.1390252450662896,20.0
qsd,64,6.0,112,0.08888042609855575,20.0
qsd,64,6.0,113,0.08151193474281528,20.0
qsd,64,6.0,114,0.21804329526631488,20.0
qsd,64,6.0,115,0.9599714683724434,20.0
qsd,64,6.0,116,0.1621980597779911,20.0
qsd,64,6.0,117,0.03714260105326016,20.0
qsd,64,6.0,118,0.029993517758565246,20.0
qsd,64,6.0,119,0.029174449079628743,20.0
qsd,64,6.0,120,0.056087046360219196,20.0
qsd,64,6.0,121,0.3718978070303105,20.0
qsd,64,6.0,122,0.04893140252079335,20.0
qsd,64,6.0,123,0.12168701238188254,20.0
qsd,64,6.0,124,0.09032826509133828,20.0
qsd,64,6.0,125,0.013997909898883627,20.0
qsd,64,6.0,126,0.11326441887785924,20.0
qsd,64,6.0,127,0.039077327864517494,20.0
qsd,64,6.0,128,0.9653723084685761,20.0
qsd,64,6.0,129,0.09885957250202027,20.0
qsd,64,6.0,130,0.02000047182568767,20.0
qsd,64,6.0,131,0.029869930577565422,20.0
qsd,64,6.0,132,0.0206553184553794,20.0
qsd,64,6.0,133,0.16050141333967163,20.0
qsd,64,6.0,134,0.028401513839467138,20.0
qsd,64,6.0,135,0.16857182269690713,20.0
qsd,64,6.0,136,0.8856730003780058,20.0
qsd,64,6.0,137,0.07187108193590412,20.0
qsd,64,6.0,138,0.0977008609919794,20.0
qsd,64,6.0,139,0.2810755934128929,20.0
qsd,64,6.0,140,0.10891765377782134,20.0
qsd,64,6.0,141,0.2253630487908854,20.0
qsd,64,6.0,142,0.23960780072341673,20.0
qsd,64,6.0,143,0.4117276639100609,20.0
qsd,64,6.0,144,0.1630987964267234,20.0
qsd,64,6.0,145,0.03470129391784896,20.0
qsd,64,6.0,146,0.8261295996266155,20.0
qsd,64,6.0,147,0.2220472134139058,20.0
qsd,64,6.0,148,0.014214753880210077,20.0
qsd,64,6.0,149,0.003634232196186698,20.0
qsd,64,6.0,150,0.971998083740587,20.0
qsd,64,6.0,151,0.10635184669766784,20.0
qsd,64,6.0,152,0.2006487620361683,20.0
qsd,64,6.0,153,0.15263287749267634,20.0
qsd,64,6.0,154,0.00137233595008769,20.0
qsd,64,6.0,155,0.053599422657788484,20.0
qsd,64,6.0,156,0.009925417929601936,20.0
qsd,64,6.0,157,0.09195737810462655,20.0
qsd,64,6.0,158,0.27723098530088436,20.0
qsd,64,6.0,159,0.17085430627484188,20.0
qsd,64,6.0,160,1.0462944860957135,20.0
qsd,64,6.0,161,0.04984096644721331,20.0
qsd,64,6.0,162,0.24497977085870923,20.0
qsd,64,6.0,163,0.04769716158531347,20.0
qsd,64,6.0,164,0.08552198762367648,20.0
qsd,64,6.0,165,0.6385253367459837,20.0
qsd,64,6.0,166,1.5303990777500032,20.0
qsd,64,6.0,167,0.02618840437114924,20.0
qsd,64,6.0,168,0.10487279863416671,20.0
qsd,64,6.0,169,0.01688669588644135,20.0
qsd,64,6.0,170,0.4591928081486476,20.0
qsd,64,6.0,171,0.03195427103289399,20.0
qsd,64,6.0,172,0.05158317109605107,20.0
qsd,64,6.0,173,0.03333461654446973,20.0
qsd,64,6.0,174,0.5283402263389245,20.0
qsd,64,6.0,175,0.06731341461521566,20.0
qsd,64,6.0,176,0.0492615452839712,20.0
qsd,64,6.0,177,0.7912648142892963,20.0
qsd,64,6.0,178,0.19543405653970797,20.0
qsd,64,6.0,179,0.21252923047994682,20.0
qsd,64,6.0,180,0.10432265528715157,20.0
qsd,64,6.0,181,0.01058756379618403,20.0
