protocol,length,gamma,subsystem,chord_coordinate,mean_entropy,std_entropy,trajectories,t_final
qsd,32,0.2,9,0.773010453362737,4.917399887218317,0.47724758870804657,8,30.0
qsd,32,0.2,10,0.8314696123025452,5.086638807736401,0.5451109233881998,8,30.0
qsd,32,0.2,11,0.8819212643483549,5.37422644664618,0.5662347925002627,8,30.0
qsd,32,0.2,13,0.9569403357322088,5.79336246688853,0.5768774705592431,8,30.0
qsd,32,0.2,14,0.9807852804032304,5.787629398904182,0.5130531755601025,8,30.0
qsd,32,0.2,16,1.0,5.946372113028447,0.663405884656101,8,30.0
qsd,32,0.25,2,0.19509032201612825,1.619528967539921,0.28170352479217464,8,24.0
qsd,32,0.25,3,0.29028467725446233,2.2957303732554566,0.19429366745676702,8,24.0
qsd,32,0.25,4,0.3826834323650898,2.87436341523391,0.30122812889574224,8,24.0
qsd,32,0.25,5,0.47139673682599764,3.438053011845841,0.3871468771674829,8,24.0
qsd,32,0.25,6,0.5555702330196022,3.8290118857962945,0.5386817733492114,8,24.0
qsd,32,0.25,7,0.6343932841636455,4.16299714706412,0.40279136882727423,8,24.0
qsd,32,0.25,8,0.7071067811865475,4.502932717256564,0.48562661820498143,8,24.0
qsd,32,0.25,9,0.773010453362737,4.770362686765152,0.4081071072754848,8,24.0
qsd,32,0.25,10,0.8314696123025452,4.993816038746102,0.41650057671006807,8,24.0
qsd,32,0.25,11,0.8819212643483549,5.309070647711793,0.4097294731967717,8,24.0
qsd,32,0.25,13,0.9569403357322088,5.528704302449022,0.5189505812680199,8,24.0
qsd,32,0.25,14,0.9807852804032304,5.542072941463005,0.4209735507515971,8,24.0
qsd,32,0.25,16,1.0,5.54540643793523,0.3933044945957883,8,24.0
qsd,32,0.3,2,0.19509032201612825,1.3742834267627655,0.2921381787430651,8,20.0
qsd,32,0.3,3,0.29028467725446233,2.038220301615832,0.40089236412854534,8,20.0
qsd,32,0.3,4,0.3826834323650898,2.447309627321317,0.46697139098346047,8,20.0
qsd,32,0.3,5,0.47139673682599764,2.8904177056338534,0.61786532318023,8,20.0
qsd,32,0.3,6,0.5555702330196022,3.283753033747738,0.7512848775443128,8,20.0
qsd,32,0.3,7,0.6343932841636455,3.72979765340675,0.6860169765258313,8,20.0
qsd,32,0.3,8,0.7071067811865475,4.046428939833062,0.7730879346464244,8,20.0
qsd,32,0.3,9,0.773010453362737,4.363071101500777,0.872041389462269,8,20.0
qsd,32,0.3,10,0.8314696123025452,4.510242927800681,0.7977103043964923,8,20.0
qsd,32,0.3,11,0.8819212643483549,4.607731624541364,0.7703229109349774,8,20.0
qsd,32,0.3,13,0.9569403357322088,4.8120154051644946,0.6099394990538571,8,20.0
qsd,32,0.3,14,0.9807852804032304,4.830381491815241,0.6305466766131229,8,20.0
qsd,32,0.3,16,1.0,4.858489739882516,0.7501328259055904,8,20.0
qsd,32,0.35,2,0.19509032201612825,1.2685191709580148,0.25665685481034667,8,20.0
qsd,32,0.35,3,0.29028467725446233,1.9080504494472368,0.22691457033393697,8,20.0
qsd,32,0.35,4,0.3826834323650898,2.5869442850227955,0.30083319101709355,8,20.0
qsd,32,0.35,5,0.47139673682599764,2.894765501063494,0.41999798168511704,8,20.0
qsd,32,0.35,6,0.5555702330196022,3.4120640732437737,0.4601199934540623,8,20.0
qsd,32,0.35,7,0.6343932841636455,3.6475713987907232,0.5675089321575745,8,20.0
qsd,32,0.35,8,0.7071067811865475,3.963697991290832,0.596403687609989,8,20.0
qsd,32,0.35,9,0.773010453362737,4.329402691287649,0.6677648206276204,8,20.0
qsd,32,0.35,10,0.8314696123025452,4.396401006176993,0.6610752773028598,8,20.0
qsd,32,0.35,11,0.8819212643483549,4.49646470979595,0.598762270665952,8,20.0
qsd,32,0.35,13,0.9569403357322088,4.680676475521507,0.7159581258783416,8,20.0
qsd,32,0.35,14,0.9807852804032304,4.91865119299918,0.5963047922190703,8,20.0
qsd,32,0.35,16,1.0,4.891828071104227,0.692817225028141,8,20.0
qsd,32,0.4,2,0.19509032201612825,1.3243100720895125,0.3883185731980025,8,20.0
qsd,32,0.4,3,0.29028467725446233,1.7432716712131926,0.4868206861588883,8,20.0
qsd,32,0.4,4,0.3826834323650898,2.2654289701484434,0.5450998473393364,8,20.0
qsd,32,0.4,5,0.47139673682599764,2.775769007468291,0.6366905982836998,8,20.0
qsd,32,0.4,6,0.5555702330196022,3.073328235572069,0.4450906466084476,8,20.0
qsd,32,0.4,7,0.6343932841636455,3.328551653406924,0.41440492773035087,8,20.0
qsd,32,0.4,8,0.7071067811865475,3.4759300562156086,0.3730446630925857,8,20.0
qsd,32,0.4,9,0.773010453362737,3.5845787043455664,0.5986228754623015,8,20.0
qsd,32,0.4,10,0.8314696123025452,3.8365837517206214,0.4768165269721425,8,20.0
qsd,32,0.4,11,0.8819212643483549,3.8487815589067464,0.5637055878487647,8,20.0
qsd,32,0.4,13,0.9569403357322088,3.958195093105873,0.7074047727942535,8,20.0
qsd,32,0.4,14,0.9807852804032304,3.8930600647234077,0.6373903508848386,8,20.0
qsd,32,0.4,16,1.0,3.920517634890251,0.5562617887375506,8,20.0
qsd,32,0.5,2,0.19509032201612825,1.3374058708536207,0.41936792841314147,8,20.0
qsd,32,0.5,3,0.29028467725446233,1.8635313522476533,0.26415722200279246,8,20.0
qsd,32,0.5,4,0.3826834323650898,2.2233291632923264,0.30294655778339913,8,20.0
qsd,32,0.5,5,0.47139673682599764,2.480152022767678,0.4038127090617638,8,20.0
qsd,32,0.5,6,0.5555702330196022,2.751801654150371,0.43937705110920794,8,20.0
qsd,32,0.5,7,0.6343932841636455,3.079580018983733,0.6240695287313204,8,20.0
qsd,32,0.5,8,0.7071067811865475,3.364676185207348,0.5956147037524246,8,20.0
qsd,32,0.5,9,0.773010453362737,3.5698637398083886,0.6557870043079628,8,20.0
qsd,32,0.5,10,0.8314696123025452,3.7926363346809198,0.6125905528847404,8,20.0
qsd,32,0.5,11,0.8819212643483549,3.8845518778862016,0.6062645570127677,8,20.0
qsd,32,0.5,13,0.9569403357322088,4.057210033272349,0.6493739053633968,8,20.0
qsd,32,0.5,14,0.9807852804032304,4.014647468904829,0.5826463687002458,8,20.0
qsd,32,0.5,16,1.0,4.18342124651482,0.4303495558730508,8,20.0
qsd,32,0.6,2,0.19509032201612825,1.3535087293491637,0.3540202641973363,8,20.0
qsd,32,0.6,3,0.29028467725446233,1.7266743065010433,0.4869007721836397,8,20.0
qsd,32,0.6,4,0.3826834323650898,2.082209277575404,0.5889641328056722,8,20.0
qsd,32,0.6,5,0.47139673682599764,2.4105782617062896,0.6576792762951182,8,20.0
qsd,32,0.6,6,0.5555702330196022,2.6437500599269654,0.85429124045105,8,20.0
qsd,32,0.6,7,0.6343932841636455,2.9742987082302457,0.8551696491299993,8,20.0
qsd,32,0.6,8,0.7071067811865475,3.060187760951845,0.8391478906294408,8,20.0
qsd,32,0.6,9,0.773010453362737,3.035024700526177,0.7460760807977204,8,20.0
qsd,32,0.6,10,0.8314696123025452,3.039030460247096,0.7516167878454466,8,20.0
qsd,32,0.6,11,0.8819212643483549,3.136040308839123,0.7612715941275127,8,20.0
qsd,32,0.6,13,0.9569403357322088,3.1978348066606133,0.8087680198555515,8,20.0
qsd,32,0.6,14,0.9807852804032304,3.2474859074690463,0.8266172386739085,8,20.0
qsd,32,0.6,16,1.0,3.2152263153066425,0.9472433247021188,8,20.0
qsd,32,0.8,2,0.19509032201612825,1.1177259382884541,0.505514146275484,8,20.0
qsd,32,0.8,3,0.29028467725446233,1.3476705235144424,0.47267411249122326,8,20.0
qsd,32,0.8,4,0.3826834323650898,1.8180036594394202,0.4834154088839122,8,20.0
qsd,32,0.8,5,0.47139673682599764,1.995950316475788,0.6738429730326434,8,20.0
qsd,32,0.8,6,0.5555702330196022,2.2185771663557126,0.6142240879952509,8,20.0
qsd,32,0.8,7,0.6343932841636455,2.374610715391637,0.6001626525552771,8,20.0
qsd,32,0.8,8,0.7071067811865475,2.6365937838146376,0.6898109904840684,8,20.0
qsd,32,0.8,9,0.773010453362737,2.635842255988656,0.714141835263098,8,20.0
qsd,32,0.8,10,0.8314696123025452,2.850175964720136,0.7278556484572555,8,20.0
qsd,32,0.8,11,0.8819212643483549,2.9173927979383567,0.5117565193338061,8,20.0
