protocol,length,gamma,central_charge,residual_entropy,r_squared,trajectories
qsd,64,0.15,8.877475240763474,-2.5426900297751867,0.9643420513870489,8
qsd,64,0.2,7.285207205380562,-1.7407718169099167,0.9547209264026058,8
qsd,64,0.25,6.147858166196947,-1.0624243461443355,0.9809845797469224,8
qsd,64,0.3,5.3762167529448925,-0.729290494547901,0.9829079789429253,8
qsd,64,0.35,5.539340609073687,-1.016929801273597,0.9790191097498044,8
qsd,64,0.4,4.788749394166235,-0.3015253878458278,0.9884976799443085,8
qsd,64,0.5,3.390429892660652,-0.01352147675366748,0.9820525789578235,8
qsd,64,0.6,3.416629263135447,-0.21484946215839687,0.9793142681770786,8
qsd,64,0.8,2.0262029798105443,0.35108972765343227,0.963853663583014,8
qsd,64,1.0,1.6378644649775818,0.6216952671357628,0.9562318007681185,8
qsd,64,2.0,0.09128772345382352,0.7665300597783758,0.06677049107036037,8
qsd,64,4.0,0.0036123427242580096,0.44164358541243626,8.873980302848139e-05,8
qsd,64,6.0,-0.03779854934029716,0.2610986948950686,0.06116457513514495,8
qsd,96,0.0,20.603205824435,-10.26603677490015,0.8972732697908351,1
qsd,96,0.05,14.338981786421307,-6.162058924848741,0.9296631986960634,8
qsd,96,0.1,11.760329381060572,-4.559020884311241,0.9492987413288514,8
qsd,96,0.15,9.521671585515136,-3.109475320460296,0.9648025233527925,8
qsd,96,0.2,8.073454329791483,-2.3068006735784845,0.9677117252363299,8
qsd,96,0.25,7.010779361809471,-1.5894524639587169,0.9811207547546087,8
qsd,96,0.3,5.936003226094336,-1.1319246647994705,0.9843832332930693,8
qsd,96,0.35,5.675555055242934,-0.9547646931208518,0.9827233264119579,8
qsd,96,0.4,4.868722398181928,-0.6413597015431933,0.9869218868783174,8
qsd,96,0.5,3.355952508811748,0.07688851432433787,0.990056052779117,8
qsd,96,0.6,3.2585110108978164,0.278615342801583,0.9965096880694477,8
qsd,96,0.8,1.9203968870068033,0.20180909067887817,0.950503791145983,8
qsd,96,1.0,1.2422452945478457,0.665106053921047,0.9683678532623385,8
qsd,96,2.0,0.1693530562265409,0.7157636330319629,0.2285845927883482,8
qsd,96,4.0,0.1693266331747867,0.0024399333498884967,0.3907134621548508,8
qsd,96,6.0,0.05896979102818051,0.20029043908338304,0.1358090460853344,8
qsdc,96,0.05,14.85703199410083,-6.379584341996621,0.9309415932824845,8
qsdc,96,0.1,12.856205657276368,-5.143242240243961,0.9417797665946049,8
qsdc,96,0.15,10.922209028649068,-4.127823652102401,0.9510687148128449,8
qsdc,96,0.2,10.069034485045496,-3.367416763504463,0.9659808699533107,8
qsdc,96,0.25,9.228360820326177,-2.9932294676377933,0.9701715555600229,8
qsdc,96,0.35,7.706556922470774,-2.144741974085573,0.9722181040471806,8
qsdc,96,0.5,6.293943440169043,-1.7410532042323872,0.9748039309911424,8
qsdc,96,0.8,4.959229776821933,-1.0311703049637506,0.9885549618493598,8
qsdc,96,1.0,4.14689387554008,-0.23563528774500228,0.9856021086493602,8
qsdc,96,2.0,2.646594823216078,0.03840828098010534,0.9827544509024031,8
qsdc,96,4.0,1.875271639703437,0.22571592993530903,0.9927200979995771,8
qsdc,96,6.0,1.177621189191691,0.5213533872379266,0.9546405831317508,8
