circuit,core_length,pass1_count_0,pass1_count_1,pass5_count_0,pass5_count_1,lambda,p_value,jsd_standard,jsd_entropy,notebook_compatibility_jsd,tvd,ict_significant,sstvd
GxGxGxGy,1,52,48,49,51,0.18004502774351971,0.6713345472696788,0.0004501125693587993,0.00045011256935878485,0.0009002251387175985,0.030000000000000027,False,
GxGxGxGxGxGx,1,0,100,1,99,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGxGyGyGy,1,44,56,58,42,3.9345068008859982,0.04730500976202182,0.009836267002214995,0.009836267002215071,0.01967253400442999,0.14,False,
GyGyGyGx,1,49,51,49,51,0.0,1.0,0.0,0.0,0.0,0.0,False,
GyGyGyGxGx,1,59,41,40,60,7.26482914179002,0.007031795808593906,0.01816207285447505,0.01816207285447491,0.0363241457089501,0.18999999999999997,False,
GyGyGyGxGxGx,1,52,48,56,44,0.3221499148929112,0.5703184804594912,0.000805374787232278,0.0008053747872324157,0.001610749574464556,0.04000000000000001,False,
GyGyGyGyGyGy,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(Gx)Gy,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(Gx)GxGxGx,1,50,50,52,48,0.08003735980990179,0.7772467883348801,0.00020009339952475446,0.00020009339952486993,0.0004001867990495089,0.020000000000000018,False,
Gy(Gx)GyGyGy,1,99,1,100,0,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGx(Gx)Gy,1,45,55,46,54,0.02016367279704223,0.8870809157299906,5.040918199260558e-05,5.040918199250566e-05,0.00010081836398521116,0.010000000000000009,False,
GxGxGx(Gx)GxGxGx,1,66,34,64,36,0.08792107888149259,0.7668368988294796,0.00021980269720373147,0.00021980269720378587,0.00043960539440746294,0.01999999999999999,False,
GxGxGx(Gx)GyGyGy,1,53,47,48,52,0.5002586722913147,0.4793864858801373,0.0012506466807282867,0.0012506466807282735,0.0025012933614565734,0.050000000000000044,False,
GyGyGy(Gx)Gy,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(Gx)GxGxGx,1,46,54,52,48,0.7207217801190859,0.3959072542193456,0.0018018044502977149,0.0018018044502977615,0.0036036089005954297,0.060000000000000026,False,
GyGyGy(Gx)GyGyGy,1,0,100,1,99,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
Gx(Gy)Gx,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)Gy,1,57,43,59,41,0.08210801503803689,0.7744607620103512,0.0002052700375950922,0.00020527003759518436,0.0004105400751901844,0.020000000000000018,False,
Gx(Gy)GxGx,1,56,44,59,41,0.18417409484866498,0.6678103602633554,0.00046043523712166245,0.00046043523712169243,0.0009208704742433249,0.02999999999999997,False,
Gx(Gy)GxGxGx,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)GyGyGy,1,46,54,47,53,0.02009882583338163,0.8872614223131571,5.024706458345407e-05,5.024706458356398e-05,0.00010049412916690814,0.009999999999999981,False,
Gy(Gy)Gx,1,52,48,44,56,1.283433367517711,0.25726163342194835,0.0032085834187942776,0.003208583418794375,0.006417166837588555,0.08000000000000004,False,
Gy(Gy)GxGx,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(Gy)GxGxGx,1,54,46,45,55,1.6223574562338623,0.20276338704419045,0.004055893640584656,0.0040558936405845625,0.008111787281169312,0.09000000000000002,False,
Gy(Gy)GyGyGy,1,49,51,42,58,0.9888446238683191,0.3200249225452783,0.0024721115596707975,0.0024721115596707532,0.004944223119341595,0.06999999999999998,False,
GxGx(Gy)Gx,1,56,44,63,37,1.0176960146484655,0.3130661450148943,0.0025442400366211637,0.002544240036621126,0.005088480073242327,0.06999999999999998,False,
GxGx(Gy)Gy,1,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGx(Gy)GxGx,1,46,54,47,53,0.02009882583338163,0.8872614223131571,5.024706458345407e-05,5.024706458356398e-05,0.00010049412916690814,0.009999999999999981,False,
GxGx(Gy)GxGxGx,1,57,43,50,50,0.9856514910388743,0.3208075156129239,0.0024641287275971855,0.00246412872759727,0.004928257455194371,0.06999999999999998,False,
GxGx(Gy)GyGyGy,1,1,99,0,100,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGx(Gy)Gx,1,99,1,99,1,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGxGx(Gy)Gy,1,44,56,44,56,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGxGx(Gy)GxGx,1,45,55,44,56,0.020245322363317553,0.8868540584116863,5.061330590829388e-05,5.061330590827584e-05,0.00010122661181658776,0.010000000000000009,False,
GxGxGx(Gy)GxGxGx,1,1,99,2,98,0.34487423752265456,0.5570291412260819,0.0008621855938066364,0.0008621855938066997,0.0017243711876132727,0.010000000000000005,False,
GxGxGx(Gy)GyGyGy,1,64,36,55,45,1.6833905002775467,0.1944745433005121,0.004208476250693867,0.00420847625069376,0.008416952501387734,0.09,False,
GyGyGy(Gy)Gx,1,59,41,52,48,0.9928653505731644,0.3190430647601242,0.002482163376432911,0.002482163376432922,0.004964326752865822,0.06999999999999998,False,
GyGyGy(Gy)GxGx,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(Gy)GxGxGx,1,56,44,59,41,0.18417409484866498,0.6678103602633554,0.00046043523712166245,0.00046043523712169243,0.0009208704742433249,0.02999999999999997,False,
GyGyGy(Gy)GyGyGy,1,52,48,52,48,0.0,1.0,0.0,0.0,0.0,0.0,False,
Gy(Gx)^2Gy,2,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(Gx)^2GxGxGx,2,46,54,51,49,0.5006600776778978,0.4792102332983992,0.0012516501941947445,0.00125165019419482,0.002503300388389489,0.05000000000000002,False,
Gy(Gx)^2GyGyGy,2,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx(Gx)^2Gy,2,49,51,47,53,0.08013359074108739,0.777116454385287,0.00020033397685271847,0.00020033397685270682,0.00040066795370543695,0.020000000000000018,False,
GxGxGx(Gx)^2GxGxGx,2,99,1,99,1,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGxGx(Gx)^2GyGyGy,2,50,50,45,55,0.5014648273252389,0.47885719595084575,0.0012536620683130972,0.0012536620683130106,0.0025073241366261943,0.05000000000000002,False,
GyGyGy(Gx)^2Gy,2,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(Gx)^2GxGxGx,2,50,50,53,47,0.1801893019165095,0.6712106079315188,0.00045047325479127375,0.000450473254791417,0.0009009465095825475,0.030000000000000027,False,
GyGyGy(Gx)^2GyGyGy,2,1,99,0,100,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
Gx(Gy)^2Gx,2,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)^2GxGx,2,65,35,56,44,1.6975860376128562,0.1926039735579546,0.00424396509403214,0.004243965094032243,0.00848793018806428,0.09,False,
Gx(Gy)^2GxGxGx,2,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)^2GyGyGy,2,55,45,52,48,0.18091415715113923,0.6705888025785762,0.00045228539287784806,0.0004522853928778936,0.0009045707857556961,0.03,False,
GxGx(Gy)^2Gx,2,45,55,53,47,1.281884346725728,0.25754896671251365,0.00320471086681432,0.0032047108668143975,0.00640942173362864,0.08000000000000004,False,
GxGx(Gy)^2GxGx,2,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGx(Gy)^2GxGxGx,2,60,40,59,41,0.020749452894171405,0.8854635898284435,5.187363223542851e-05,5.1873632235244216e-05,0.00010374726447085702,0.009999999999999981,False,
GxGx(Gy)^2GyGyGy,2,53,47,51,49,0.08013359074108739,0.777116454385287,0.00020033397685271847,0.00020033397685270682,0.00040066795370543695,0.020000000000000018,False,
GxGxGx(Gy)^2Gx,2,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGx(Gy)^2GxGx,2,57,43,49,51,1.2860234409668694,0.25678207514940027,0.0032150586024171732,0.003215058602417109,0.0064301172048343465,0.07999999999999999,False,
GxGxGx(Gy)^2GxGxGx,2,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx(Gy)^2GyGyGy,2,58,42,49,51,1.6302368345347915,0.20167029414059043,0.004075592086336979,0.00407559208633701,0.008151184172673957,0.09,False,
GyGyGy(Gy)^2Gx,2,48,52,43,57,0.5043019743691497,0.4776159463246459,0.0012607549359228741,0.0012607549359229253,0.0025215098718457483,0.04999999999999996,False,
GyGyGy(Gy)^2GxGx,2,59,41,53,47,0.7309909536111547,0.3925621703402048,0.0018274773840278868,0.0018274773840278868,0.0036549547680557737,0.05999999999999997,False,
GyGyGy(Gy)^2GxGxGx,2,52,48,52,48,0.0,1.0,0.0,0.0,0.0,0.0,False,
GyGyGy(Gy)^2GyGyGy,2,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
Gy(GxGy)Gx,1,55,45,48,52,0.981689053543441,0.3217821615284369,0.0024542226338586026,0.002454222633858638,0.004908445267717205,0.07000000000000003,False,
Gy(GxGy)Gy,1,44,56,55,45,2.4251490974391974,0.11940188069616374,0.0060628727435979935,0.006062872743597958,0.012125745487195987,0.11000000000000004,False,
Gy(GxGy)GxGx,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(GxGy)GxGxGx,1,48,52,43,57,0.5043019743691497,0.4776159463246459,0.0012607549359228741,0.0012607549359229253,0.0025215098718457483,0.04999999999999996,False,
Gy(GxGy)GyGyGy,1,47,53,44,56,0.18149825637223005,0.6700888119204158,0.00045374564093057513,0.00045374564093048075,0.0009074912818611503,0.03,False,
GxGxGx(GxGy)Gx,1,50,50,36,64,4.012890358936954,0.04515368012371136,0.010032225897342383,0.010032225897342317,0.020064451794684766,0.14,False,
GxGxGx(GxGy)Gy,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx(GxGy)GxGx,1,51,49,46,54,0.5006600776778978,0.4792102332983992,0.0012516501941947445,0.00125165019419482,0.002503300388389489,0.05000000000000002,False,
GxGxGx(GxGy)GxGxGx,1,60,40,55,45,0.511747347744377,0.4743834194072244,0.0012793683693609426,0.0012793683693609337,0.002558736738721885,0.04999999999999996,False,
GxGxGx(GxGy)GyGyGy,1,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(GxGy)Gx,1,49,51,47,53,0.08013359074108739,0.777116454385287,0.00020033397685271847,0.00020033397685270682,0.00040066795370543695,0.020000000000000018,False,
GyGyGy(GxGy)Gy,1,50,50,47,53,0.1801893019165095,0.6712106079315188,0.00045047325479127375,0.000450473254791417,0.0009009465095825475,0.030000000000000027,False,
GyGyGy(GxGy)GxGx,1,0,100,1,99,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GyGyGy(GxGy)GxGxGx,1,61,39,50,50,2.454914633204682,0.11715753812892538,0.006137286583011705,0.006137286583011603,0.01227457316602341,0.10999999999999999,False,
GyGyGy(GxGy)GyGyGy,1,51,49,55,45,0.32124341308238247,0.5708613557247934,0.0008031085327059561,0.0008031085327059317,0.0016062170654119123,0.04000000000000001,False,
Gy(Gx)^4Gy,4,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(Gx)^4GxGx,4,36,64,46,54,2.071028043560032,0.15012029899298843,0.00517757010890008,0.005177570108899965,0.01035514021780016,0.1,False,
Gy(Gx)^4GxGxGx,4,45,55,49,51,0.3212434130823829,0.570861355724793,0.0008031085327059573,0.0008031085327059317,0.0016062170654119147,0.04000000000000001,False,
Gy(Gx)^4GyGyGy,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGx(Gx)^4Gy,4,51,49,53,47,0.08013359074108761,0.7771164543852866,0.00020033397685271904,0.00020033397685270682,0.0004006679537054381,0.020000000000000018,False,
GxGx(Gx)^4GxGxGx,4,46,54,32,68,4.136591534558583,0.04196558812156792,0.010341478836396458,0.010341478836396467,0.020682957672792917,0.14,False,
GxGx(Gx)^4GyGyGy,4,49,51,38,62,2.467028186610884,0.11625755012557552,0.00616757046652721,0.006167570466527161,0.01233514093305442,0.10999999999999999,False,
GxGxGx(Gx)^4Gy,4,57,43,60,40,0.18538886561999623,0.6667824598147898,0.0004634721640499906,0.00046347216405018266,0.0009269443280999812,0.03,False,
GxGxGx(Gx)^4GxGxGx,4,1,99,4,96,1.9736032372083563,0.1600659175247778,0.004934008093020891,0.0049340080930209,0.009868016186041781,0.030000000000000013,False,
GxGxGx(Gx)^4GyGyGy,4,52,48,52,48,0.0,1.0,0.0,0.0,0.0,0.0,False,
GyGyGy(Gx)^4Gy,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(Gx)^4GxGx,4,51,49,56,44,0.502676822490919,0.4783263050541612,0.0012566920562272976,0.0012566920562273598,0.002513384112454595,0.05000000000000002,False,
GyGyGy(Gx)^4GxGxGx,4,35,65,51,49,5.247204177844257,0.02198206317415809,0.013118010444610641,0.013118010444610473,0.026236020889221282,0.16000000000000003,False,
GyGyGy(Gx)^4GyGyGy,4,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)^4Gx,4,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)^4GxGx,4,57,43,55,45,0.08117464339825964,0.7757118369309648,0.0002029366084956491,0.00020293660849568518,0.0004058732169912982,0.019999999999999962,False,
Gx(Gy)^4GxGxGx,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(Gy)^4GyGyGy,4,58,42,58,42,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGx(Gy)^4Gx,4,45,55,57,43,2.8881214322403803,0.08923491922545548,0.007220303580600951,0.007220303580601106,0.014440607161201902,0.12,False,
GxGx(Gy)^4GxGx,4,99,1,100,0,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGx(Gy)^4GxGxGx,4,47,53,41,59,0.7309909536111547,0.3925621703402048,0.0018274773840278868,0.0018274773840278868,0.0036549547680557737,0.05999999999999997,False,
GxGx(Gy)^4GyGyGy,4,37,63,54,46,5.85679027890219,0.015517065828604997,0.014641975697255475,0.01464197569725545,0.02928395139451095,0.17,False,
GxGxGx(Gy)^4Gx,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx(Gy)^4GxGx,4,49,51,47,53,0.08013359074108739,0.777116454385287,0.00020033397685271847,0.00020033397685270682,0.00040066795370543695,0.020000000000000018,False,
GxGxGx(Gy)^4GxGxGx,4,1,99,1,99,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGxGx(Gy)^4GyGyGy,4,44,56,50,50,0.7230434382320645,0.39514741718436286,0.0018076085955801612,0.0018076085955802679,0.0036152171911603224,0.060000000000000026,False,
GyGyGy(Gy)^4Gx,4,54,46,59,41,0.5088259056581093,0.4756475546977017,0.0012720647641452732,0.0012720647641452087,0.0025441295282905463,0.04999999999999999,False,
GyGyGy(Gy)^4GxGx,4,46,54,48,52,0.08029449102349373,0.7768987217772517,0.00020073622755873433,0.00020073622755878429,0.00040147245511746866,0.01999999999999999,False,
GyGyGy(Gy)^4GxGxGx,4,59,41,44,56,4.521175816788697,0.033477815966779706,0.011302939541971741,0.011302939541971924,0.022605879083943483,0.15000000000000002,False,
GyGyGy(Gy)^4GyGyGy,4,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
(GxGy)^2,4,67,33,58,42,1.7311680823210267,0.18826179137559954,0.004327920205802567,0.004327920205802527,0.008655840411605133,0.09000000000000002,False,
(GxGy)^2Gx,4,58,42,55,45,0.18312416317975755,0.6687020181721577,0.0004578104079493939,0.0004578104079493439,0.0009156208158987878,0.02999999999999997,False,
(GxGy)^2Gy,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
(GxGy)^2GxGx,4,53,47,47,53,0.7204326232824183,0.39600203754102803,0.0018010815582060458,0.0018010815582060191,0.0036021631164120916,0.06000000000000005,False,
(GxGy)^2GxGxGx,4,55,45,47,53,1.281884346725728,0.25754896671251365,0.00320471086681432,0.0032047108668143975,0.00640942173362864,0.08000000000000004,False,
(GxGy)^2GyGyGy,4,0,100,1,99,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
Gx(GxGy)^2,4,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
Gx(GxGy)^2Gx,4,40,60,53,47,3.4065171156620018,0.06493937348025192,0.008516292789155005,0.008516292789155,0.01703258557831001,0.13,False,
Gx(GxGy)^2Gy,4,49,51,37,63,2.9453958481582063,0.08612259634133552,0.007363489620395516,0.007363489620395347,0.014726979240791032,0.12,False,
Gx(GxGy)^2GxGx,4,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gx(GxGy)^2GxGxGx,4,54,46,66,34,3.008819535791549,0.08281257995168666,0.007522048839478872,0.007522048839478712,0.015044097678957744,0.12,False,
Gx(GxGy)^2GyGyGy,4,63,37,53,47,2.0564441399009983,0.15156349310011671,0.005141110349752496,0.005141110349752509,0.010282220699504992,0.09999999999999998,False,
Gy(GxGy)^2,4,60,40,47,53,3.4065171156620018,0.06493937348025192,0.008516292789155005,0.008516292789155,0.01703258557831001,0.13,False,
Gy(GxGy)^2Gx,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
Gy(GxGy)^2Gy,4,48,52,51,49,0.18004502774351971,0.6713345472696788,0.0004501125693587993,0.00045011256935878485,0.0009002251387175985,0.030000000000000027,False,
Gy(GxGy)^2GxGx,4,44,56,43,57,0.020344179020380104,0.8865800161752764,5.0860447550950263e-05,5.086044755087116e-05,0.00010172089510190053,0.009999999999999953,False,
Gy(GxGy)^2GxGxGx,4,0,100,2,98,2.7927910859925626,0.09468917239990873,0.006981977714981407,0.006981977714981345,0.013963955429962814,0.02000000000000001,False,
Gy(GxGy)^2GyGyGy,4,49,51,57,43,1.2860234409668694,0.25678207514940027,0.0032150586024171732,0.003215058602417109,0.0064301172048343465,0.07999999999999999,False,
GxGx(GxGy)^2,4,44,56,41,59,0.18417409484866498,0.6678103602633554,0.00046043523712166245,0.00046043523712169243,0.0009208704742433249,0.02999999999999997,False,
GxGx(GxGy)^2Gx,4,47,53,51,49,0.3202136445477959,0.5714792806969891,0.0008005341113694897,0.0008005341113694886,0.0016010682227389794,0.040000000000000036,False,
GxGx(GxGy)^2Gy,4,1,99,1,99,0.0,1.0,0.0,0.0,0.0,0.0,False,
GxGx(GxGy)^2GxGx,4,54,46,58,42,0.32476837083857335,0.5687560220229069,0.0008119209270964334,0.0008119209270962546,0.0016238418541928668,0.03999999999999998,False,
GxGx(GxGy)^2GxGxGx,4,57,43,56,44,0.020344179020380104,0.8865800161752764,5.0860447550950263e-05,5.086044755087116e-05,0.00010172089510190053,0.009999999999999953,False,
GxGx(GxGy)^2GyGyGy,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GxGxGx(GxGy)^2,4,1,99,2,98,0.34487423752265456,0.5570291412260819,0.0008621855938066364,0.0008621855938066997,0.0017243711876132727,0.010000000000000005,False,
GxGxGx(GxGy)^2Gx,4,51,49,52,48,0.020018351365498233,0.8874858428248248,5.0045878413745584e-05,5.004587841384023e-05,0.00010009175682749117,0.010000000000000009,False,
GxGxGx(GxGy)^2Gy,4,62,38,67,33,0.546251298773754,0.45985346982502795,0.001365628246934385,0.001365628246934314,0.00273125649386877,0.05000000000000002,False,
GxGxGx(GxGy)^2GxGx,4,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGx(GxGy)^2GxGxGx,4,45,55,50,50,0.5014648273252389,0.47885719595084575,0.0012536620683130972,0.0012536620683130106,0.0025073241366261943,0.05000000000000002,False,
GxGxGx(GxGy)^2GyGyGy,4,35,65,42,58,1.0358323867754606,0.30879273333379365,0.0025895809669386517,0.0025895809669386205,0.0051791619338773034,0.07000000000000003,False,
GyGyGy(GxGy)^2,4,44,56,41,59,0.18417409484866498,0.6678103602633554,0.00046043523712166245,0.00046043523712169243,0.0009208704742433249,0.02999999999999997,False,
GyGyGy(GxGy)^2Gx,4,0,100,2,98,2.7927910859925626,0.09468917239990873,0.006981977714981407,0.006981977714981345,0.013963955429962814,0.02000000000000001,False,
GyGyGy(GxGy)^2Gy,4,50,50,55,45,0.5014648273252389,0.47885719595084575,0.0012536620683130972,0.0012536620683130106,0.0025073241366261943,0.05000000000000002,False,
GyGyGy(GxGy)^2GxGx,4,52,48,59,41,0.9928653505731644,0.3190430647601242,0.002482163376432911,0.002482163376432922,0.004964326752865822,0.06999999999999998,False,
GyGyGy(GxGy)^2GxGxGx,4,100,0,100,0,0.0,1.0,0.0,-0.0,0.0,0.0,False,
GyGyGy(GxGy)^2GyGyGy,4,47,53,42,58,0.5063482767770475,0.47672394644766247,0.0012658706919426188,0.0012658706919426166,0.0025317413838852375,0.04999999999999996,False,
Gy(GxGxGy)Gx,1,55,45,58,42,0.18312416317975755,0.6687020181721577,0.0004578104079493939,0.0004578104079493439,0.0009156208158987878,0.02999999999999997,False,
Gy(GxGxGy)Gy,1,57,43,51,49,0.7250872236309851,0.39448026045400386,0.0018127180590774628,0.001812718059077345,0.0036254361181549256,0.05999999999999997,False,
Gy(GxGxGy)GxGx,1,98,2,100,0,2.7927910859925618,0.09468917239990876,0.006981977714981404,0.006981977714981345,0.013963955429962809,0.02000000000000001,False,
Gy(GxGxGy)GxGxGx,1,31,69,39,61,1.4089053583736932,0.23523819497956053,0.003522263395934233,0.0035222633959342,0.007044526791868466,0.07999999999999999,False,
Gy(GxGxGy)GyGyGy,1,57,43,52,48,0.5043019743691497,0.4776159463246459,0.0012607549359228741,0.0012607549359229253,0.0025215098718457483,0.04999999999999996,False,
GxGxGx(GxGxGy)Gx,1,2,98,0,100,2.7927910859925618,0.09468917239990876,0.006981977714981404,0.006981977714981345,0.013963955429962809,0.02000000000000001,False,
GxGxGx(GxGxGy)Gy,1,60,40,64,36,0.3396782650515533,0.560014992308709,0.0008491956626288833,0.0008491956626288655,0.0016983913252577665,0.040000000000000036,False,
GxGxGx(GxGxGy)GxGx,1,46,54,53,47,0.9809003986037155,0.32197661331438393,0.0024522509965092887,0.002452250996509253,0.0049045019930185774,0.07000000000000003,False,
GxGxGx(GxGxGy)GxGxGx,1,100,0,99,1,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GxGxGx(GxGxGy)GyGyGy,1,41,59,44,56,0.18417409484866498,0.6678103602633554,0.00046043523712166245,0.00046043523712169243,0.0009208704742433249,0.02999999999999997,False,
GyGyGy(GxGxGy)Gx,1,38,62,43,57,0.5189841740808205,0.47127532633676195,0.0012974604352020513,0.001297460435201847,0.0025949208704041027,0.05000000000000002,False,
GyGyGy(GxGxGy)Gy,1,52,48,49,51,0.18004502774351971,0.6713345472696788,0.0004501125693587993,0.00045011256935878485,0.0009002251387175985,0.030000000000000027,False,
GyGyGy(GxGxGy)GxGx,1,0,100,1,99,1.3913195078972074,0.23818239270482483,0.0034782987697430184,0.003478298769743076,0.006956597539486037,0.010000000000000005,False,
GyGyGy(GxGxGy)GxGxGx,1,57,43,61,39,0.3308186087851963,0.565177458697466,0.0008270465219629907,0.0008270465219629708,0.0016540930439259815,0.04000000000000001,False,
GyGyGy(GxGxGy)GyGyGy,1,37,63,45,55,1.3245198146500448,0.24978249341693207,0.0033112995366251117,0.003311299536625012,0.0066225990732502234,0.07999999999999999,False,
Gy(GxGyGy)Gx,1,45,55,55,45,2.003346738542753,0.15695232842824627,0.005008366846356882,0.00500836684635686,0.010016733692713765,0.10000000000000003,False,
Gy(GxGyGy)GxGx,1,40,60,41,59,0.020749452894171516,0.8854635898284433,5.187363223542879e-05,5.1873632235244216e-05,0.00010374726447085758,0.009999999999999981,False,
Gy(GxGyGy)GxGxGx,1,48,52,47,53,0.020050463691852927,0.8873962355639731,5.0126159229632315e-05,5.0126159229613165e-05,0.00010025231845926463,0.010000000000000009,False,
Gy(GxGyGy)GyGyGy,1,0,100,0,100,0.0,1.0,0.0,-0.0,0.0,0.0,False,
