kind,two_chi_over_kappa,time_kappa,alpha_g_real,alpha_g_imag,alpha_e_real,alpha_e_imag,integration_kappa_time,snr
trajectory,1.0,2.88,0.5191542623264933,-0.8513586910120147,-0.5191542623264933,-0.8513586910120147,,
trajectory,1.0,2.9,0.5224618671676448,-0.8517770123447207,-0.5224618671676448,-0.8517770123447207,,
trajectory,1.0,2.92,0.5257405385780509,-0.8521584042123929,-0.5257405385780509,-0.8521584042123929,,
trajectory,1.0,2.94,0.5289902002684091,-0.852503522348042,-0.5289902002684091,-0.852503522348042,,
trajectory,1.0,2.96,0.5322107832042603,-0.8528130166828557,-0.5322107832042603,-0.8528130166828557,,
trajectory,1.0,2.98,0.535402225476002,-0.8530875313323893,-0.535402225476002,-0.8530875313323893,,
trajectory,1.0,3.0,0.5385644721700664,-0.8533277045841822,-0.5385644721700664,-0.8533277045841822,,
trajectory,1.0,3.02,0.5416974752412621,-0.8535341688867724,-0.5416974752412621,-0.8535341688867724,,
trajectory,1.0,3.04,0.5448011933862855,-0.8537075508400859,-0.5448011933862855,-0.8537075508400859,,
trajectory,1.0,3.06,0.5478755919184001,-0.8538484711871738,-0.5478755919184001,-0.8538484711871738,,
trajectory,1.0,3.08,0.5509206426432883,-0.8539575448072726,-0.5509206426432883,-0.8539575448072726,,
trajectory,1.0,3.1,0.5539363237360762,-0.8540353807101636,-0.5539363237360762,-0.8540353807101636,,
trajectory,1.0,3.12,0.5569226196195308,-0.854082582031806,-0.5569226196195308,-0.854082582031806,,
trajectory,1.0,3.14,0.5598795208434335,-0.854099746031219,-0.5598795208434335,-0.854099746031219,,
trajectory,1.0,3.16,0.5628070239651282,-0.8540874640885902,-0.5628070239651282,-0.8540874640885902,,
trajectory,1.0,3.18,0.5657051314312447,-0.8540463217045844,-0.5657051314312447,-0.8540463217045844,,
trajectory,1.0,3.2,0.5685738514605998,-0.8539768985008325,-0.5685738514605998,-0.8539768985008325,,
trajectory,1.0,3.22,0.5714131979282716,-0.8538797682215713,-0.5714131979282716,-0.8538797682215713,,
trajectory,1.0,3.24,0.5742231902508519,-0.8537554987364182,-0.5742231902508519,-0.8537554987364182,,
trajectory,1.0,3.2600000000000002,0.5770038532728705,-0.853604652044252,-0.5770038532728705,-0.853604652044252,,
trajectory,1.0,3.2800000000000002,0.5797552171543974,-0.8534277842781794,-0.5797552171543974,-0.8534277842781794,,
trajectory,1.0,3.3000000000000003,0.5824773172598144,-0.8532254457115668,-0.5824773172598144,-0.8532254457115668,,
trajectory,1.0,3.3200000000000003,0.5851701940477612,-0.8529981807651092,-0.5851701940477612,-0.8529981807651092,,
trajectory,1.0,3.34,0.5878338929622507,-0.8527465280149221,-0.5878338929622507,-0.8527465280149221,,
trajectory,1.0,3.36,0.5904684643249543,-0.852471020201627,-0.5904684643249543,-0.852471020201627,,
trajectory,1.0,3.38,0.5930739632286522,-0.8521721842404145,-0.5930739632286522,-0.8521721842404145,,
trajectory,1.0,3.4,0.5956504494318523,-0.8518505412320617,-0.5956504494318523,-0.8518505412320617,,
trajectory,1.0,3.42,0.5981979872545674,-0.8515066064748813,-0.5981979872545674,-0.8515066064748813,,
trajectory,1.0,3.44,0.6007166454752574,-0.8511408894775842,-0.6007166454752574,-0.8511408894775842,,
trajectory,1.0,3.46,0.6032064972289262,-0.8507538939730332,-0.6032064972289262,-0.8507538939730332,,
trajectory,1.0,3.48,0.6056676199063751,-0.8503461179328695,-0.6056676199063751,-0.8503461179328695,,
trajectory,1.0,3.5,0.6081000950546085,-0.8499180535829878,-0.6081000950546085,-0.8499180535829878,,
trajectory,1.0,3.52,0.6105040082783881,-0.849470187419844,-0.6105040082783881,-0.849470187419844,,
trajectory,1.0,3.54,0.6128794491429335,-0.8490030002275761,-0.6128794491429335,-0.8490030002275761,,
trajectory,1.0,3.56,0.6152265110777647,-0.8485169670959142,-0.6152265110777647,-0.8485169670959142,,
trajectory,1.0,3.58,0.6175452912816849,-0.8480125574388652,-0.6175452912816849,-0.8480125574388652,,
trajectory,1.0,3.6,0.6198358906288962,-0.8474902350141514,-0.6198358906288962,-0.8474902350141514,,
trajectory,1.0,3.62,0.6220984135762478,-0.8469504579433832,-0.6220984135762478,-0.8469504579433832,,
trajectory,1.0,3.64,0.6243329680716125,-0.8463936787329491,-0.6243329680716125,-0.8463936787329491,,
trajectory,1.0,3.66,0.6265396654633838,-0.8458203442956044,-0.6265396654633838,-0.8458203442956044,,
trajectory,1.0,3.68,0.6287186204110935,-0.8452308959727383,-0.6287186204110935,-0.8452308959727383,,
trajectory,1.0,3.7,0.6308699507971427,-0.844625769557305,-0.6308699507971427,-0.844625769557305,,
trajectory,1.0,3.72,0.6329937776396436,-0.8440053953173989,-0.6329937776396436,-0.8440053953173989,,
trajectory,1.0,3.74,0.6350902250063648,-0.8433701980204564,-0.6350902250063648,-0.8433701980204564,,
trajectory,1.0,3.7600000000000002,0.6371594199297774,-0.842720596958068,-0.6371594199297774,-0.842720596958068,,
trajectory,1.0,3.7800000000000002,0.6392014923231965,-0.8420570059713838,-0.6392014923231965,-0.8420570059713838,,
trajectory,1.0,3.8000000000000003,0.6412165748980126,-0.8413798334770943,-0.6412165748980126,-0.8413798334770943,,
trajectory,1.0,3.8200000000000003,0.6432048030820077,-0.8406894824939718,-0.6432048030820077,-0.8406894824939718,,
trajectory,1.0,3.84,0.6451663149387509,-0.8399863506699542,-0.6451663149387509,-0.8399863506699542,,
trajectory,1.0,3.86,0.6471012510880685,-0.8392708303097565,-0.6471012510880685,-0.8392708303097565,,
trajectory,1.0,3.88,0.6490097546275827,-0.8385433084029933,-0.6490097546275827,-0.8385433084029933,,
trajectory,1.0,3.9,0.6508919710553135,-0.8378041666527981,-0.6508919710553135,-0.8378041666527981,,
trajectory,1.0,3.92,0.6527480481933366,-0.83705378150492,-0.6527480481933366,-0.83705378150492,,
trajectory,1.0,3.94,0.6545781361124947,-0.8362925241772878,-0.6545781361124947,-0.8362925241772878,,
trajectory,1.0,3.96,0.656382387058153,-0.8355207606900227,-0.656382387058153,-0.8355207606900227,,
trajectory,1.0,3.98,0.6581609553769948,-0.8347388518958866,-0.6581609553769948,-0.8347388518958866,,
trajectory,1.0,4.0,0.6599139974448502,-0.8339471535111492,-0.6599139974448502,-0.8339471535111492,,
trajectory,1.0,4.0200000000000005,0.6616416715955529,-0.8331460161468633,-0.6616416715955529,-0.8331460161468633,,
trajectory,1.0,4.04,0.6633441380508167,-0.8323357853405298,-0.6633441380508167,-0.8323357853405298,,
trajectory,1.0,4.0600000000000005,0.6650215588511279,-0.8315168015881397,-0.6650215588511279,-0.8315168015881397,,
trajectory,1.0,4.08,0.6666740977876456,-0.8306894003765835,-0.6666740977876456,-0.8306894003765835,,
trajectory,1.0,4.1,0.6683019203351037,-0.8298539122164064,-0.6683019203351037,-0.8298539122164064,,
trajectory,1.0,4.12,0.6699051935857082,-0.8290106626749028,-0.6699051935857082,-0.8290106626749028,,
trajectory,1.0,4.14,0.6714840861840229,-0.8281599724095335,-0.6714840861840229,-0.8281599724095335,,
trajectory,1.0,4.16,0.6730387682628379,-0.8273021572016538,-0.6730387682628379,-0.8273021572016538,,
trajectory,1.0,4.18,0.6745694113800128,-0.826437527990539,-0.6745694113800128,-0.826437527990539,,
trajectory,1.0,4.2,0.6760761884562875,-0.8255663909076946,-0.6760761884562875,-0.8255663909076946,,
trajectory,1.0,4.22,0.6775592737140557,-0.8246890473114391,-0.6775592737140557,-0.8246890473114391,,
trajectory,1.0,4.24,0.6790188426170933,-0.823805793821749,-0.6790188426170933,-0.823805793821749,,
trajectory,1.0,4.26,0.6804550718112329,-0.8229169223553491,-0.6804550718112329,-0.8229169223553491,,
trajectory,1.0,4.28,0.6818681390659804,-0.8220227201610408,-0.6818681390659804,-0.8220227201610408,,
trajectory,1.0,4.3,0.6832582232170642,-0.8211234698552557,-0.6832582232170642,-0.8211234698552557,,
trajectory,1.0,4.32,0.6846255041099122,-0.8202194494578218,-0.6846255041099122,-0.8202194494578218,,
trajectory,1.0,4.34,0.685970162544046,-0.8193109324279307,-0.685970162544046,-0.8193109324279307,,
trajectory,1.0,4.36,0.6872923802183893,-0.8183981877002978,-0.6872923802183893,-0.8183981877002978,,
trajectory,1.0,4.38,0.6885923396774806,-0.8174814797215005,-0.6885923396774806,-0.8174814797215005,,
trajectory,1.0,4.4,0.689870224258582,-0.816561068486486,-0.689870224258582,-0.816561068486486,,
trajectory,1.0,4.42,0.6911262180396809,-0.8156372095752387,-0.6911262180396809,-0.8156372095752387,,
trajectory,1.0,4.44,0.6923605057883732,-0.8147101541895941,-0.6923605057883732,-0.8147101541895941,,
trajectory,1.0,4.46,0.6935732729116214,-0.8137801491901925,-0.6935732729116214,-0.8137801491901925,,
trajectory,1.0,4.48,0.694764705406383,-0.8128474371335582,-0.694764705406383,-0.8128474371335582,,
trajectory,1.0,4.5,0.6959349898110977,-0.8119122563092992,-0.6959349898110977,-0.8119122563092992,,
trajectory,1.0,4.5200000000000005,0.6970843131580297,-0.8109748407774139,-0.6970843131580297,-0.8109748407774139,,
trajectory,1.0,4.54,0.6982128629264539,-0.8100354204056963,-0.6982128629264539,-0.8100354204056963,,
trajectory,1.0,4.5600000000000005,0.6993208269966831,-0.8090942209072316,-0.6993208269966831,-0.8090942209072316,,
trajectory,1.0,4.58,0.7004083936049234,-0.8081514638779707,-0.7004083936049234,-0.8081514638779707,,
trajectory,1.0,4.6000000000000005,0.7014757512989558,-0.807207366834378,-0.7014757512989558,-0.807207366834378,,
trajectory,1.0,4.62,0.7025230888946308,-0.8062621432511392,-0.7025230888946308,-0.8062621432511392,,
trajectory,1.0,4.64,0.7035505954331741,-0.8053160025989246,-0.7035505954331741,-0.8053160025989246,,
trajectory,1.0,4.66,0.7045584601392911,-0.804369150382195,-0.7045584601392911,-0.804369150382195,,
trajectory,1.0,4.68,0.7055468723800655,-0.8034217881770482,-0.7055468723800655,-0.8034217881770482,,
trajectory,1.0,4.7,0.7065160216246438,-0.8024741136690903,-0.7065160216246438,-0.8024741136690903,,
trajectory,1.0,4.72,0.7074660974046967,-0.8015263206913288,-0.7074660974046967,-0.8015263206913288,,
trajectory,1.0,4.74,0.7083972892756532,-0.8005785992620791,-0.7083972892756532,-0.8005785992620791,,
trajectory,1.0,4.76,0.7093097867786948,-0.7996311356228745,-0.7093097867786948,-0.7996311356228745,,
trajectory,1.0,4.78,0.710203779403508,-0.7986841122763736,-0.710203779403508,-0.7986841122763736,,
trajectory,1.0,4.8,0.7110794565517818,-0.7977377080242584,-0.7110794565517818,-0.7977377080242584,,
trajectory,1.0,4.82,0.711937007501448,-0.7967920980051131,-0.711937007501448,-0.7967920980051131,,
trajectory,1.0,4.84,0.7127766213716515,-0.7958474537322795,-0.7127766213716515,-0.7958474537322795,,
trajectory,1.0,4.86,0.7135984870884484,-0.7949039431316806,-0.7135984870884484,-0.7949039431316806,,
trajectory,1.0,4.88,0.7144027933512194,-0.793961730579605,-0.7144027933512194,-0.793961730579605,,
trajectory,1.0,4.9,0.7151897285997935,-0.7930209769404453,-0.7151897285997935,-0.7930209769404453,,
trajectory,1.0,4.92,0.7159594809822756,-0.7920818396043874,-0.7159594809822756,-0.7920818396043874,,
trajectory,1.0,4.94,0.716712238323567,-0.7911444725250384,-0.716712238323567,-0.7911444725250384,,
trajectory,1.0,4.96,0.7174481880945744,-0.790209026256991,-0.7174481880945744,-0.790209026256991,,
trajectory,1.0,4.98,0.7181675173820983,-0.7892756479933174,-0.7181675173820983,-0.7892756479933174,,
trajectory,1.0,5.0,0.7188704128593935,-0.7883444816029865,-0.7188704128593935,-0.7883444816029865,,
trajectory,1.0,5.0200000000000005,0.719557060757395,-0.7874156676681975,-0.719557060757395,-0.7874156676681975,,
trajectory,1.0,5.04,0.7202276468366011,-0.7864893435216262,-0.7202276468366011,-0.7864893435216262,,
trajectory,1.0,5.0600000000000005,0.7208823563596058,-0.785565643283576,-0.7208823563596058,-0.785565643283576,,
trajectory,1.0,5.08,0.7215213740642742,-0.7846446978990308,-0.7215213740642742,-0.7846446978990308,,
trajectory,1.0,5.1000000000000005,0.7221448841375532,-0.7837266351746007,-0.7221448841375532,-0.7837266351746007,,
trajectory,1.0,5.12,0.7227530701899092,-0.7828115798153612,-0.7227530701899092,-0.7828115798153612,,
trajectory,1.0,5.14,0.7233461152303868,-0.7818996534615726,-0.7233461152303868,-0.7818996534615726,,
trajectory,1.0,5.16,0.7239242016422802,-0.780990974725283,-0.7239242016422802,-0.780990974725283,,
trajectory,1.0,5.18,0.7244875111594091,-0.7800856592268034,-0.7244875111594091,-0.7800856592268034,,
trajectory,1.0,5.2,0.725036224842996,-0.779183819631055,-0.725036224842996,-0.779183819631055,,
trajectory,1.0,5.22,0.7255705230591308,-0.7782855656837809,-0.7255705230591308,-0.7782855656837809,,
trajectory,1.0,5.24,0.7260905854568218,-0.7773910042476182,-0.7260905854568218,-0.7773910042476182,,
trajectory,1.0,5.26,0.7265965909466229,-0.7765002393380284,-0.7265965909466229,-0.7765002393380284,,
trajectory,1.0,5.28,0.7270887176798292,-0.7756133721590784,-0.7270887176798292,-0.7756133721590784,,
trajectory,1.0,5.3,0.727567143028236,-0.7747305011390716,-0.727567143028236,-0.7747305011390716,,
trajectory,1.0,5.32,0.7280320435644526,-0.7738517219660201,-0.7280320435644526,-0.7738517219660201,,
