EJ_over_EC,offset_charge,level,energy_GHz,EC_GHz,EJ_GHz
2.0,-0.38749999999999996,0,0.0,1.25,2.5
2.0,-0.38749999999999996,1,2.718799351646673,1.25,2.5
2.0,-0.38749999999999996,2,9.925641268675855,1.25,2.5
2.0,-0.375,0,0.0,1.25,2.5
2.0,-0.375,1,2.775679375584841,1.25,2.5
2.0,-0.375,2,9.76921138184663,1.25,2.5
2.0,-0.36249999999999993,0,0.0,1.25,2.5
2.0,-0.36249999999999993,1,2.8372275082313596,1.25,2.5
2.0,-0.36249999999999993,2,9.61525480821703,1.25,2.5
2.0,-0.35,0,0.0,1.25,2.5
2.0,-0.35,1,2.9031484868693385,1.25,2.5
2.0,-0.35,2,9.46363140132744,1.25,2.5
2.0,-0.3374999999999999,0,0.0,1.25,2.5
2.0,-0.3374999999999999,1,2.973152928559109,1.25,2.5
2.0,-0.3374999999999999,2,9.314204615544144,1.25,2.5
2.0,-0.32499999999999996,0,0.0,1.25,2.5
2.0,-0.32499999999999996,1,3.0469606063097547,1.25,2.5
2.0,-0.32499999999999996,2,9.166843320848868,1.25,2.5
2.0,-0.3125,0,0.0,1.25,2.5
2.0,-0.3125,1,3.1243028315201657,1.25,2.5
2.0,-0.3125,2,9.021423176293242,1.25,2.5
2.0,-0.29999999999999993,0,0.0,1.25,2.5
2.0,-0.29999999999999993,1,3.2049240394752543,1.25,2.5
2.0,-0.29999999999999993,2,8.87782762764416,1.25,2.5
2.0,-0.2875,0,0.0,1.25,2.5
2.0,-0.2875,1,3.2885826887455125,1.25,2.5
2.0,-0.2875,2,8.73594859984124,1.25,2.5
2.0,-0.2749999999999999,0,0.0,1.25,2.5
2.0,-0.2749999999999999,1,3.375051585496222,1.25,2.5
2.0,-0.2749999999999999,2,8.595686956299183,1.25,2.5
2.0,-0.26249999999999996,0,0.0,1.25,2.5
2.0,-0.26249999999999996,1,3.4641177338968507,1.25,2.5
2.0,-0.26249999999999996,2,8.456952796068412,1.25,2.5
2.0,-0.25,0,0.0,1.25,2.5
2.0,-0.25,1,3.5555817971898365,1.25,2.5
2.0,-0.25,2,8.319665658183437,1.25,2.5
2.0,-0.23749999999999993,0,0.0,1.25,2.5
2.0,-0.23749999999999993,1,3.6492572325974373,1.25,2.5
2.0,-0.23749999999999993,2,8.18375470208394,1.25,2.5
2.0,-0.22499999999999998,0,0.0,1.25,2.5
2.0,-0.22499999999999998,1,3.7449691379177295,1.25,2.5
2.0,-0.22499999999999998,2,8.049158935841934,1.25,2.5
2.0,-0.2124999999999999,0,0.0,1.25,2.5
2.0,-0.2124999999999999,1,3.8425528177403114,1.25,2.5
2.0,-0.2124999999999999,2,7.915827572562064,1.25,2.5
2.0,-0.19999999999999996,0,0.0,1.25,2.5
2.0,-0.19999999999999996,1,3.941852040244551,1.25,2.5
2.0,-0.19999999999999996,2,7.783720613237606,1.25,2.5
2.0,-0.1875,0,0.0,1.25,2.5
2.0,-0.1875,1,4.042716906480078,1.25,2.5
2.0,-0.1875,2,7.652809787048674,1.25,2.5
2.0,-0.17499999999999993,0,0.0,1.25,2.5
2.0,-0.17499999999999993,1,4.14500118361316,1.25,2.5
2.0,-0.17499999999999993,2,7.523080036911188,1.25,2.5
2.0,-0.16249999999999998,0,0.0,1.25,2.5
2.0,-0.16249999999999998,1,4.2485588451354115,1.25,2.5
2.0,-0.16249999999999998,2,7.394531835579746,1.25,2.5
2.0,-0.1499999999999999,0,0.0,1.25,2.5
2.0,-0.1499999999999999,1,4.353239383726569,1.25,2.5
2.0,-0.1499999999999999,2,7.267184786235225,1.25,2.5
2.0,-0.13749999999999996,0,0.0,1.25,2.5
2.0,-0.13749999999999996,1,4.4588811579997545,1.25,2.5
2.0,-0.13749999999999996,2,7.1410832592557805,1.25,2.5
2.0,-0.125,0,0.0,1.25,2.5
2.0,-0.125,1,4.5653014878362725,1.25,2.5
2.0,-0.125,2,7.016305358341233,1.25,2.5
2.0,-0.11249999999999993,0,0.0,1.25,2.5
2.0,-0.11249999999999993,1,4.67228118869227,1.25,2.5
2.0,-0.11249999999999993,2,6.8929775297707065,1.25,2.5
2.0,-0.09999999999999998,0,0.0,1.25,2.5
2.0,-0.09999999999999998,1,4.779539227706314,1.25,2.5
2.0,-0.09999999999999998,2,6.77129913347411,1.25,2.5
2.0,-0.08749999999999991,0,0.0,1.25,2.5
2.0,-0.08749999999999991,1,4.886689058965051,1.25,2.5
2.0,-0.08749999999999991,2,6.651585418248503,1.25,2.5
2.0,-0.07499999999999996,0,0.0,1.25,2.5
2.0,-0.07499999999999996,1,4.9931592860906155,1.25,2.5
2.0,-0.07499999999999996,2,6.53434625146362,1.25,2.5
2.0,-0.0625,0,0.0,1.25,2.5
2.0,-0.0625,1,5.098041109223983,1.25,2.5
2.0,-0.0625,2,6.420438143997647,1.25,2.5
2.0,-0.04999999999999993,0,0.0,1.25,2.5
2.0,-0.04999999999999993,1,5.19977763215141,1.25,2.5
2.0,-0.04999999999999993,2,6.311374492144928,1.25,2.5
2.0,-0.03749999999999998,0,0.0,1.25,2.5
2.0,-0.03749999999999998,1,5.295500967404789,1.25,2.5
2.0,-0.03749999999999998,2,6.209988096098768,1.25,2.5
2.0,-0.02499999999999991,0,0.0,1.25,2.5
2.0,-0.02499999999999991,1,5.3796275520168475,1.25,2.5
2.0,-0.02499999999999991,2,6.1218355399060025,1.25,2.5
2.0,-0.012499999999999956,0,0.0,1.25,2.5
2.0,-0.012499999999999956,1,5.441484493112071,1.25,2.5
2.0,-0.012499999999999956,2,6.05757061157691,1.25,2.5
2.0,0.0,0,0.0,1.25,2.5
2.0,0.0,1,5.465204221382355,1.25,2.5
2.0,0.0,2,6.033049483553123,1.25,2.5
2.0,0.012499999999999956,0,0.0,1.25,2.5
2.0,0.012499999999999956,1,5.44148449311207,1.25,2.5
2.0,0.012499999999999956,2,6.057570611576909,1.25,2.5
2.0,0.025000000000000133,0,0.0,1.25,2.5
2.0,0.025000000000000133,1,5.3796275520168475,1.25,2.5
2.0,0.025000000000000133,2,6.121835539906004,1.25,2.5
2.0,0.03750000000000009,0,0.0,1.25,2.5
2.0,0.03750000000000009,1,5.295500967404789,1.25,2.5
2.0,0.03750000000000009,2,6.2099880960987655,1.25,2.5
2.0,0.050000000000000044,0,0.0,1.25,2.5
2.0,0.050000000000000044,1,5.199777632151411,1.25,2.5
2.0,0.050000000000000044,2,6.311374492144932,1.25,2.5
2.0,0.0625,0,0.0,1.25,2.5
2.0,0.0625,1,5.098041109223982,1.25,2.5
2.0,0.0625,2,6.420438143997646,1.25,2.5
2.0,0.07499999999999996,0,0.0,1.25,2.5
2.0,0.07499999999999996,1,4.993159286090616,1.25,2.5
2.0,0.07499999999999996,2,6.53434625146362,1.25,2.5
2.0,0.08750000000000013,0,0.0,1.25,2.5
2.0,0.08750000000000013,1,4.88668905896505,1.25,2.5
2.0,0.08750000000000013,2,6.651585418248505,1.25,2.5
2.0,0.10000000000000009,0,0.0,1.25,2.5
2.0,0.10000000000000009,1,4.779539227706312,1.25,2.5
2.0,0.10000000000000009,2,6.771299133474112,1.25,2.5
2.0,0.11250000000000004,0,0.0,1.25,2.5
2.0,0.11250000000000004,1,4.672281188692268,1.25,2.5
2.0,0.11250000000000004,2,6.8929775297707065,1.25,2.5
2.0,0.125,0,0.0,1.25,2.5
2.0,0.125,1,4.5653014878362725,1.25,2.5
2.0,0.125,2,7.0163053583412305,1.25,2.5
2.0,0.13749999999999996,0,0.0,1.25,2.5
2.0,0.13749999999999996,1,4.458881157999756,1.25,2.5
2.0,0.13749999999999996,2,7.14108325925578,1.25,2.5
2.0,0.15000000000000013,0,0.0,1.25,2.5
2.0,0.15000000000000013,1,4.353239383726567,1.25,2.5
2.0,0.15000000000000013,2,7.267184786235225,1.25,2.5
2.0,0.1625000000000001,0,0.0,1.25,2.5
2.0,0.1625000000000001,1,4.248558845135412,1.25,2.5
2.0,0.1625000000000001,2,7.3945318355797465,1.25,2.5
2.0,0.17500000000000004,0,0.0,1.25,2.5
2.0,0.17500000000000004,1,4.145001183613159,1.25,2.5
2.0,0.17500000000000004,2,7.523080036911191,1.25,2.5
2.0,0.1875,0,0.0,1.25,2.5
2.0,0.1875,1,4.042716906480081,1.25,2.5
2.0,0.1875,2,7.652809787048676,1.25,2.5
2.0,0.20000000000000018,0,0.0,1.25,2.5
2.0,0.20000000000000018,1,3.941852040244549,1.25,2.5
2.0,0.20000000000000018,2,7.783720613237609,1.25,2.5
2.0,0.21250000000000013,0,0.0,1.25,2.5
2.0,0.21250000000000013,1,3.84255281774031,1.25,2.5
2.0,0.21250000000000013,2,7.915827572562065,1.25,2.5
2.0,0.2250000000000001,0,0.0,1.25,2.5
2.0,0.2250000000000001,1,3.7449691379177286,1.25,2.5
2.0,0.2250000000000001,2,8.049158935841934,1.25,2.5
2.0,0.23750000000000004,0,0.0,1.25,2.5
2.0,0.23750000000000004,1,3.6492572325974373,1.25,2.5
2.0,0.23750000000000004,2,8.183754702083943,1.25,2.5
2.0,0.25,0,0.0,1.25,2.5
2.0,0.25,1,3.5555817971898387,1.25,2.5
2.0,0.25,2,8.319665658183439,1.25,2.5
2.0,0.2625000000000002,0,0.0,1.25,2.5
2.0,0.2625000000000002,1,3.464117733896851,1.25,2.5
2.0,0.2625000000000002,2,8.456952796068416,1.25,2.5
2.0,0.27500000000000013,0,0.0,1.25,2.5
2.0,0.27500000000000013,1,3.375051585496219,1.25,2.5
2.0,0.27500000000000013,2,8.595686956299184,1.25,2.5
2.0,0.2875000000000001,0,0.0,1.25,2.5
2.0,0.2875000000000001,1,3.2885826887455116,1.25,2.5
2.0,0.2875000000000001,2,8.735948599841239,1.25,2.5
2.0,0.30000000000000004,0,0.0,1.25,2.5
2.0,0.30000000000000004,1,3.2049240394752543,1.25,2.5
2.0,0.30000000000000004,2,8.877827627644164,1.25,2.5
2.0,0.3125,0,0.0,1.25,2.5
2.0,0.3125,1,3.1243028315201666,1.25,2.5
2.0,0.3125,2,9.021423176293242,1.25,2.5
2.0,0.3250000000000002,0,0.0,1.25,2.5
2.0,0.3250000000000002,1,3.0469606063097543,1.25,2.5
2.0,0.3250000000000002,2,9.166843320848873,1.25,2.5
2.0,0.33750000000000013,0,0.0,1.25,2.5
2.0,0.33750000000000013,1,2.9731529285591076,1.25,2.5
2.0,0.33750000000000013,2,9.31420461554415,1.25,2.5
2.0,0.3500000000000001,0,0.0,1.25,2.5
2.0,0.3500000000000001,1,2.9031484868693394,1.25,2.5
2.0,0.3500000000000001,2,9.46363140132744,1.25,2.5
2.0,0.36250000000000004,0,0.0,1.25,2.5
2.0,0.36250000000000004,1,2.8372275082313587,1.25,2.5
2.0,0.36250000000000004,2,9.615254808217031,1.25,2.5
2.0,0.375,0,0.0,1.25,2.5
2.0,0.375,1,2.7756793755848412,1.25,2.5
2.0,0.375,2,9.769211381846633,1.25,2.5
2.0,0.3875000000000002,0,0.0,1.25,2.5
