artifact_state,parameter_match,group,length,dimension,beta,observable,family,boundary,shell_mode,shell_width,delta,count,log_d_count
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.14,6,0.43082708345352605
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.14250000000000002,6,0.43082708345352605
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.145,5,0.3869880158145604
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1475,4,0.33333333333333337
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.15,3,0.2641604167868594
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1525,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.155,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1575,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.16,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1625,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.165,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.1675,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_nonintegrable,periodic,centred,8,0.17,2,0.16666666666666669
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0,64,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0025,64,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.005,64,1.0
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0075,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.01,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0125,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.015,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0175,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.02,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.0225,63,0.9962133205833195
final_reproduction_candidate,paper_exact_reconstructed_metadata,main,6,64,0.25,sigma_z,eth_integrable,periodic,centred,8,0.025,63,0.9962133205833195
