field_g,m0_0,m2_0,m2_1,m4_0,m4_1,m4_2
479.3888888888889,-0.08835003968909678,1.7966457536396234,1.8427045185376854,3.596181432682181,3.653917019942899,3.696125340666715
480.6666666666667,-0.0879267087211306,1.7970356318424705,1.8427379713028045,3.596308914545608,3.654183509332465,3.6961547003816886
481.94444444444446,-0.08750051637709508,1.7974275641938613,1.842772231295449,3.596436000271975,3.6544526017435555,3.6961847145882665
483.22222222222223,-0.08707143617141186,1.7978215492023693,1.8428073264926244,3.5965626829138633,3.654724309596742,3.6962154042988753
484.5,-0.08663944134218646,1.7982175844183899,1.8428432861058293,3.596688955591534,3.6549986446585865,3.6962467913885853
485.77777777777777,-0.08620450484894646,1.7986156663720052,1.8428801406454538,3.596814811495742,3.655275617998931,3.6962788986372725
487.05555555555554,-0.08576659937040648,1.7990157905070796,1.8429179219889193,3.5969402438904945,3.6555552399458833,3.696311749774108
488.3333333333333,-0.08532569730226316,1.7994179511113615,1.8429566634527808,3.5970652461157733,3.6558375200383573,3.6963453695244985
489.6111111111111,-0.08488177075502283,1.7998221412423465,1.8429963998690362,3.5971898115901904,3.656122466976033,3.696379783659646
490.8888888888889,-0.08443479155186549,1.8002283526486509,1.8430371676658892,3.5973139338136075,3.656410088566575,3.696415019048844
492.1666666666667,-0.08398473122654843,1.800636575686627,1.8430790049532302,3.597437606369684,3.6567003916699594,3.6964511037147
493.44444444444446,-0.08353156102135274,1.801046799231937,1.8431219516131159,3.5975608229283695,3.656993382139721,3.696488066891449
494.72222222222223,-0.08307525188507668,1.8014590105857935,1.8431660493955353,3.5976835772483318,3.6572890647609655,3.696525939086518
496.0,-0.0826157744710801,1.8018731953755607,1.8432113420197647,3.597805863179325,3.6575874431849327,3.6965647521455542
497.27777777777777,-0.08215309913538366,1.802289337449388,1.8432578752816338,3.597927674664473,3.657888519859933,3.6966045393211022
498.55555555555554,-0.08168719593482726,1.8027074187645509,1.8433056971670274,3.5980490057424976,3.65819229595843,3.696645335345137
499.8333333333333,-0.08121803462529252,1.803127419269146,1.843354857971967,3.598169850549859,3.658498771300061,3.6966871765056797
501.1111111111111,-0.08074558465999361,1.8035493167767886,1.8434054104296234,3.598290203322827,3.658807944270363,3.6967301007277085
502.3888888888889,-0.08026981518784188,1.8039730868339425,1.843457409844621,3.5984100583994687,3.659119811734962,3.6967741476586196
503.6666666666667,-0.07979069505188965,1.8043987025795096,1.8435109142350061,3.5985294102215564,3.6594343689489714,3.6968193587584746
504.94444444444446,-0.07930819278785785,1.8048261345963006,1.843565984482247,3.598648253336387,3.659751609461348,3.6968657773952995
506.22222222222223,-0.07882227662275428,1.8052553507540023,1.8436226844896488,3.5987665823985218,3.6600715250139295,3.6969134489456867
507.5,-0.07833291447358812,1.805686316043268,1.8436810813495494,3.598884392171432,3.660394105434877,3.696962420900995
508.77777777777777,-0.07784007394618697,1.806118992400548,1.8437412455196704,3.5990016775290625,3.660719338526233,3.6970127429794095
510.05555555555554,-0.07734372233412302,1.8065533385233117,1.8438032510089708,3.599118433457291,3.6610472099453073,3.6970644672441706
511.3333333333333,-0.07684382661775573,1.8069893096753087,1.8438671755733411,3.5992346550553114,3.6613777030795926,3.6971176482282324
512.6111111111111,-0.07634035346339785,1.8074268574815622,1.8439331009214455,3.5993503375369076,3.661710798914906,3.697172343065681
513.8888888888889,-0.07583326922261269,1.8078659297128197,1.8440011129309732,3.5994654762316443,3.662046475896457,3.697228611630178
515.1666666666666,-0.07532253993165061,1.808306470059229,1.844071301875526,3.5995800665859528,3.6623847097825535,3.697286516680735
516.4444444444445,-0.07480813131103267,1.8087484178930917,1.8441437626622812,3.5996941041641244,3.6627254734906396,3.6973461240150955
517.7222222222222,-0.07429000876529118,1.8091917080205981,1.844218595080516,3.599807584649209,3.663068736935405,3.697407502630987
519.0,-0.07376813738287495,1.8096362704225775,1.844295904060953,3.5999205038438054,3.663414466858688,3.6974707248955236
520.2777777777778,-0.07324248193623027,1.8100820299843994,1.844375799945776,3.600032857670766,3.6637626266509487,3.697535866722947
521.5555555555555,-0.07271300688204814,1.8105289062153318,1.8444583987690255,3.6001446421737984,3.664113176164106,3.69760300776094
522.8333333333334,-0.0721796763617701,1.8109768129577621,1.8445438225468733,3.6002558535179556,3.6644660715155326,3.6976722315856336
524.1111111111111,-0.0716424542022362,1.8114256580870596,1.8446321995771098,3.6003664879900468,3.664821264883165,3.697743625905444
525.3888888888889,-0.07110130391668755,1.8118753432028452,1.8447236647468728,3.6004765419989124,3.6651787042915576,3.697817282773735
526.6666666666666,-0.070556188705335,1.8123257633135474,1.844818359847523,3.60058601207575,3.6655383333894256,3.6978932988103814
527.9444444444445,-0.0700070714575608,1.8127768065140948,1.84491643389475,3.6006948948740427,3.6659000912174586,3.69797177543183
529.2222222222222,-0.0694539147529683,1.8132283536610148,1.8450180434524224,3.600803187169695,3.666263911968473,3.698052819089756
530.5,-0.06889668086340356,1.8136802780455654,1.8451233529574365,3.600910885860912,3.6666297247388884,3.6981365415176883
531.7777777777778,-0.06833533175512005,1.8141324450684946,1.845232535042791,3.601017987968032,3.666997453272615,3.6982230599851253
533.0555555555555,-0.06776982909124049,1.8145847119197598,1.8453457708554053,3.6011244906332487,3.6673670156979687,3.698312497558434
534.3333333333334,-0.06720013423453208,1.8150369272672884,1.8454632503645851,3.601230391120247,3.6677383242585497,3.6984049833675634
535.6111111111111,-0.06662620825051145,1.8154889309595506,1.8455851726563435,3.60133568681375,3.6681112850392523,3.6985006528773785
536.8888888888889,-0.06604801191089499,1.815940553747466,1.8457117462080446,3.6014403752189765,3.6684857976888776,3.698599648162143
538.1666666666666,-0.06546550569741363,1.816391617031977,1.8458431891370148,3.601544453961002,3.6688617551411227,3.6987021181813535
539.4444444444445,-0.06487864980600867,1.8168419326444754,1.8459797294159215,3.601647920784046,3.669239043336092,3.698808219054745
540.7222222222222,-0.0642874041514292,1.8172913026681479,1.8461216050468285,3.6017507735506658,3.6696175409448824,3.6989181143339147
542.0,-0.06369172837224957,1.8177395193092183,1.8462690641849377,3.601853010240867,3.669997119100237,3.6990319752675385
543.2777777777778,-0.06309158183632864,1.8181863648279317,1.8464223652021452,3.6019546289511437,3.6703776411367643,3.6991499810566553
544.5555555555555,-0.06248692364673143,1.8186316115399699,1.8465817766797041,3.6020556278934275,3.6707589623447383,3.699272319095995
545.8333333333334,-0.06187771264813588,1.8190750218997247,1.8467475773185449,3.6021560053939634,3.6711409297420867,3.699399185196706
547.1111111111111,-0.06126390743374821,1.8195163486774524,1.846920055755205,3.602255759892119,3.6715233818697692,3.6995307837852556
548.3888888888889,-0.06064546635275028,1.819955335242722,1.847099510270933,3.6023548899391113,3.6719061486163778,3.699667328072653
549.6666666666666,-0.06002234751830517,1.8203917159666958,1.8472862483814045,3.602453394196672,3.672289051078446,3.699809040187469
550.9444444444445,-0.05939450881614582,1.8208252167555319,1.8474805862947279,3.6025512714356367,3.6726719014635743,3.6999561512655355
552.2222222222222,-0.0587619079137753,1.8212555557265528,1.8476828482260774,3.602648520534478,3.6730545030441073,3.7001089014885316
553.5,-0.05812450227030534,1.8216824440376398,1.8478933655584604,3.6027451404777726,3.6734366501696534,3.7002675400631606
554.7777777777778,-0.05748224914696406,1.8221055868785603,1.8481124758408811,3.6028411303546064,3.673818128347217,3.7004323251321045
556.0555555555555,-0.05683510561830178,1.8225246846305265,1.8483405216175772,3.602936489356923,3.674198714398075,3.700603523607592
557.3333333333334,-0.05618302858412721,1.8229394341971976,1.8485778490850806,3.6030312167778242,3.6745781767007215,3.700781410918219
558.6111111111111,-0.055525974782206944,1.8233495305065204,1.8488248065776782,3.603125312009806,3.6749562755292104,3.7009662706596687
559.8888888888889,-0.05486390080176108,1.8237546681783416,1.849081742886303,3.6032187745429565,3.6753327634959256,3.7011583941402484
561.1666666666666,-0.054196763097838746,1.8241545433475856,1.8493490054209811,3.6033116039630935,3.6757073861072462,3.7013580798127137
562.4444444444445,-0.05352451800629028,1.8245488556274407,1.8496269382326744,3.6034037999498953,3.6760798824397827,3.701565632584924
563.7222222222222,-0.05284712176028099,1.8249373101903819,1.8499158799157427,3.60349536227491,3.6764499859428854,3.7017813630028154
565.0,-0.05216453050697949,1.8253196199402757,1.8502161614191504,3.6035862907996226,3.676817425372591,3.702005586301699
566.2777777777778,-0.051476700325722956,1.8256955077415038,1.8505281037991788,3.6036765854734174,3.6771819258584473,3.7022386213233043
567.5555555555555,-0.050783587247068794,1.8260647086669808,1.8508520159523558,3.6037662463315367,3.6775432101029653,3.7024807892993215
568.8333333333334,-0.05008514727291573,1.8264269722222055,1.8511881923712843,3.6038552734929996,3.6779009997098795,3.7027324125050973
570.1111111111111,-0.049381336397760094,1.8267820644995005,1.8515369109691449,3.603943667158488,3.678255016633858,3.702993812790786
571.3888888888889,-0.048672110631063595,1.8271297702151434,1.8518984310201985,3.604031427608221,3.678604984740465,3.7032653100011426
572.6666666666666,-0.0479574260208924,1.8274698945822687,1.8522729912632443,3.6041185551997863,3.678950631461003,3.7035472202992104
573.9444444444445,-0.047237238678762006,1.8278022649747419,1.8526608082129017,3.604205050365969,3.6792916895228167,3.7038398544133444
575.2222222222222,-0.046511504805806694,1.8281267323412695,1.8530620747193294,3.6042909136125516,3.6796278987315523,3.7041435158309817
576.5,-0.04578018072030062,1.8284431723350718,1.8534769588110331,3.6043761455160968,3.679959007778225,3.70445849896627
577.7777777777778,-0.04504322288658791,1.82875148613206,1.8539056028477576,3.604460746721723,3.6802847760408146,3.7047850873317665
579.0555555555555,-0.04430058794547437,1.829051600919365,1.8543481230015662,3.6045447179408696,3.6806049753477543,3.705123551746794
580.3333333333333,-0.04355223274613629,1.8293434700457836,1.8548046090744856,3.6046280599490395,3.6809193916693164,3.7054741486164002
581.6111111111111,-0.042798114379603604,1.8296270728357231,1.8552751246510788,3.6047107735835553,3.681227826702586,3.705837118315147
582.8888888888889,-0.04203819021387453,1.829902414078039,1.8557597075744918,3.6047928597412944,3.681530099316765,3.706212683708958
584.1666666666666,-0.0412724179307202,1.830169523210223,1.8562583707254623,3.6048743193764334,3.6818260468277475,3.706601048845991
585.4444444444445,-0.0405007555642399,1.8304284532263178,1.8567711030758478,3.6049551534981856,3.6821155260744782,3.7070023978439886
586.7222222222222,-0.03972316154122843,1.830679279343325,1.857297870981852,3.6050353631685446,3.682398414274218,3.707416893996901
588.0,-0.03893959472341548,1.8309220974655451,1.8578386196774448,3.605114949500031,3.682674609639477,3.7078446791179687
589.2777777777778,-0.03815001445178301,1.8311570224890632,1.8583932749255594,3.6051939136534346,3.682944031745643,3.7082858731300314
590.5555555555555,-0.037354380592244565,1.8313841864899043,1.8589617447842566,3.6052722568356255,3.683206621645355,3.7087405739076673
591.8333333333333,-0.03655265358466804,1.8316037368379074,1.85954392144383,3.605349980297251,3.6834623417315764,3.709208857367397
593.1111111111111,-0.03574479449263132,1.8318158342776176,1.8601396830961565,3.6054270853305836,3.683711175359451,3.709690777798226
594.3888888888889,-0.03493076505624802,1.8320206510127157,1.8607488957974418,3.6055035732673013,3.683953126241352,3.710186368415991
595.6666666666666,-0.0341105277469607,1.8322183688273308,1.861371415292114,3.6055794454763035,3.6841882176359486,3.7106956421216792
596.9444444444445,-0.03328404582470301,1.832409177272369,1.8620070887693336,3.605654703361557,3.6844164913558206,3.7112185924388115
598.2222222222222,-0.03245128339745543,1.8325932719400446,1.8626557565289055,3.6057293483599473,3.684638006621368,3.711755194602121
599.5,-0.03161220548325806,1.832770852844721,1.8633172535384264,3.605803381939166,3.6848528387906927,3.7123054067677757
600.7777777777778,-0.030766778074746343,1.8329421229232696,1.8639914108683895,3.6058768055956136,3.685061077995879,3.7128691713146535
602.0555555555555,-0.029914968206271524,1.833107286663628,1.864678056996506,3.6059496208523325,3.6852628277157717,3.713446416206516
603.3333333333333,-0.029056744023668007,1.833266548866159,1.8653770189765784,3.6060218292569712,3.6854582033141092,3.7140370563861436
604.6111111111111,-0.028192074856728498,1.8334201135389054,1.8660881234707716,3.606093432379774,3.685647330569767,3.7146409951746224
605.8888888888889,-0.027320931294444215,1.8335681829248538,1.8668111976471076,3.606164431811609,3.6858303442232656,3.7152581256515735
607.1666666666666,-0.026443285263065535,1.8337109566569527,1.8675460699463873,3.6062348291620205,3.686007386560568,3.715888331995238
608.4444444444445,-0.025559110107036074,1.8338486310347692,1.8682925707246,3.6063046260573333,3.6861786060519153,3.7165314907646074
609.7222222222222,-0.024668380672709253,1.8339813984153366,1.8690505327783598,3.606373824138791,3.6863441560600876,3.717187472109304
611.0,-0.023771073395734973,1.834109446709694,1.8698197917609767,3.606442425060686,3.6865041936289713,3.7178561408954995
612.2777777777778,-0.022867166389924837,1.8342329589765292,1.8706001864999515,3.606510430488656,3.6866588783607708,3.7185373577415404
613.5555555555555,-0.021956639540967052,1.8343521131033085,1.87139155922213,3.606577842097874,3.686808371386269,3.7192309799557823
614.8333333333333,-0.021039474601993353,1.8344670815662358,1.8721937556981763,3.606644661571385,3.686952834431197,3.719936862376317
616.1111111111111,-0.020115655292683485,1.8345780312599491,1.873006625313773,3.606710890598461,3.687092428978674,3.7206548581110734
617.3888888888889,-0.01918516740141109,1.8346851233885584,1.873830021076436,3.6067765308730007,3.687227315526248,3.7213848191802326
618.6666666666666,-0.018247998890505497,1.8347885134100386,1.8746637995658615,3.6068415840919914,3.6873576529344634,3.722126597063932
619.9444444444445,-0.017304140004627676,1.8348883510265757,1.875507820835202,3.606906051954025,3.6874835978627263,3.7228800431595133
621.2222222222222,-0.01635358338224928,1.8349847802140524,1.8763619482701037,3.606969936157865,3.6876053042873953,3.723645009153383
622.5,-0.015396324170209787,1.835077939284496,1.8772260484116996,3.60703323840108,3.687722923096414,3.7244213473131884
623.7777777777778,-0.014432360141319767,1.8351679609759088,1.8780999907491769,3.6070959603787367,3.68783660175448,3.725208910706356
625.0555555555555,-0.013461691814960174,1.8352549725645164,1.8789836474869288,3.607158103782156,3.6879464840325467,3.7260075533512294
626.3333333333333,-0.012484322580617178,1.8353390959950258,1.8798768932907626,3.607219670297739,3.6880527097955014,3.7268171303070345
627.6111111111111,-0.011500258824275578,1.8354204480250258,1.8807796050171042,3.607280661605857,3.6881554148419546,3.727637497708805
628.8888888888889,-0.010509510057577373,1.8354991403801582,1.88169166142867,3.6073410793798253,3.688254730790327,3.7284685127531625
630.1666666666666,-0.009512089049634347,1.835575279917135,1.882612942899636,3.6074009252849364,3.688350785005714,3.7293100336406075
631.4444444444445,-0.008508011961365046,1.8356489687921034,1.883543331112937,3.6074602009775814,3.6884437005623565,3.730161919479589
632.7222222222222,-0.007497298482207863,1.8357203046322115,1.8844827087519862,3.6075189081044536,3.688533596236919,3.7310240301573114
634.0,-0.006479971969038337,1.835789380708578,1.8854309591887892,3.607577048301823,3.6886205865281805,3.7318962261818505
635.2777777777778,-0.005456059586961118,1.8358562861091563,1.886387966170288,3.607634623194917,3.6887047816991503,3.7327783684998637
636.5555555555555,-0.004425592452409581,1.8359211059102039,1.887353613503792,3.6076916343973564,3.688786287837929,3.733670318293197
637.8333333333333,-0.003388605776927886,1.8359839213454139,1.8883277847440638,3.6077480835107316,3.6888652069342043,3.7345719367590284
639.1111111111111,-0.0023451390129806404,1.8360448099717797,1.8893103628816452,3.607803972124234,3.688941636968364,3.7354830848753133
640.3888888888889,-0.0012952360004002267,1.8361038458316017,1.8903012300344035,3.6078593018144014,3.689015672010765,3.7364036231553253
641.6666666666666,-0.00023894511354796005,1.8361610996101014,1.8913002671427561,3.6079140741449636,3.6890874023289024,3.737333411393478
642.9444444444445,0.0008236805912357828,1.836216638788256,1.8923073536693853,3.6079682906667956,3.689156914500518,3.7382723084048144
644.2222222222222,0.0018925832282805366,1.8362705277905822,1.8933223673041037,3.608021952917969,3.6892242915309787,3.739220171760225
645.5,0.002967699935758253,1.8363228281276722,1.8943451836744916,3.608075062423923,3.689289612973456,3.7401768575192715
646.7777777777778,0.004048962729833135,1.8363735985333753,1.8953756760628633,3.6081276206977475,3.689352955050664,3.7411422199623137
648.0555555555555,0.00513629836028142,1.836422895096573,1.896413715130114,3.6081796292405772,3.689414390777114,3.742116111323482
649.3333333333333,0.00622962816810483,1.836470771387549,1.8974591686469613,3.6082310895421092,3.689473990080987,3.743098381525901
650.6111111111111,0.0073288679456981615,1.836517278579004,1.8985119012330995,3.6082820030812432,3.689531819924891,3.744088877920456
651.8888888888889,0.008433927800166802,1.83656246556179,1.8995717741047822,3.608332371326843,3.6895879444248907,3.7450874450293252
653.1666666666666,0.009544712020425006,1.8366063790554743,1.9006386448313561,3.608382195738625,3.6896424249673188,3.7460939242953732
654.4444444444445,0.010661118948740923,1.8366490637138635,1.901712367101283,3.608431477768181,3.68969532032297,3.7471081538384823
655.7222222222222,0.011783040857426326,1.8366905622256295,1.9027927904982023,3.608480218860121,3.689746686758364,3.7481299682198337
657.0,0.012910363831406514,1.836730915410199,1.903879760287613,3.6085284204533576,3.6897965781438473,3.749159198215094
658.2777777777778,0.01404296765738633,1.8367701623090675,1.9049731172147244,3.608576083982523,3.6898450460583456,3.7501956705974098
659.5555555555555,0.015180725720718699,1.8368083402727273,1.9060726973143969,3.608623210879517,3.6898921398906714,3.7512392079314223
660.8333333333333,0.01632350490990657,1.836845485043341,1.907178331732971,3.6086698025751844,3.689937906937267,3.7522896283783473
662.1111111111111,0.017471165530979396,1.8368816308334008,1.9082898465639841,3.608715860501146,3.6899823924963995,3.753346745514326
663.3888888888889,0.018623561231341998,1.8369168104004914,1.9094070626972561,3.6087613860917434,3.6900256399587663,3.7544103681617242
664.6666666666666,0.019780538934632566,1.8369510551183592,1.9105297956826788,3.6088063807861315,3.6900676908945345,3.7554803002348587
665.9444444444445,0.020941938787336356,1.836984395044452,1.9116578556092898,3.608850846030495,3.6901085851368722,3.7565563406008615
667.2222222222222,0.022107594118064303,1.83701685898409,1.9127910470003797,3.6088947832804017,3.690148360862018,3.757638282956537
668.5,0.023277331410411856,1.837048474551438,1.9139291687253794,3.608938194003273,3.6901870546659707,3.75872591572206
669.7777777777778,0.024450970290279497,1.837079268227425,1.9150720139292599,3.6089810796809934,3.690224701637875,3.7598190219523033
671.0555555555555,0.025628323528722713,1.8371092654147732,1.9162193699803551,3.6090234418126244,3.6902613354302103,3.7609173792667803
672.3333333333333,0.026809197060844683,1.8371384904902641,1.917371018436986,3.609065281917238,3.6902969883258616,3.762020759798637
673.6111111111111,0.02799339002189212,1.8371669668543977,1.9185267350339,3.6091066015368614,3.6903316913021893,3.7631289301637336
674.8888888888889,0.029180694801571455,1.8371947169785694,1.9196862896894076,3.6091474022395205,3.6903654740922116,3.7642416514507313
676.1666666666666,0.03037089711676967,1.8372217624498874,1.9208494465332877,3.6091876856223797,3.690398365242981,3.7653586792323015
677.4444444444445,0.03156377610395217,1.8372481240137546,1.922015963956603,3.609227453314963,3.690430392171281,3.7664797635986003
678.7222222222222,0.03275910443169995,1.8372738216143327,1.9231855946837728,3.609266706982455,3.690461581216748,3.767604649213389
680.0,0.03395664843404231,1.8372988744329892,1.9243580858674585,3.609305448329064,3.6904919576925193,3.7687330753933512
