time_ms,ground_occupation
5.175000000000001,1.5967758132807444
5.2,1.552179826785248
5.2250000000000005,1.5062690809186126
5.25,1.4592433295294238
5.275,1.4113071777628359
5.300000000000001,1.3626691918405678
5.325,1.3135409916065568
5.3500000000000005,1.264136329786557
5.375,1.2146701619677693
5.4,1.1653577113448892
5.425000000000001,1.1164135323018418
5.45,1.0680505769034456
5.4750000000000005,1.0204792683586248
5.5,0.9739065854864934
5.525,0.9285351621686547
5.550000000000001,0.8845624057060009
5.575,0.8421796379159061
5.6000000000000005,0.8015712627068616
5.625,0.7629139637523633
5.65,0.7263759357548959
5.675000000000001,0.6921161526447309
5.7,0.6602836758975367
5.7250000000000005,0.6310170059802506
5.75,0.6044434797470434
5.775,0.5806787164072121
5.800000000000001,0.5598261144755974
5.825,0.5419764018942129
5.8500000000000005,0.5272072412824931
5.875,0.515582892033676
5.9,0.5071539307275117
5.925000000000001,0.5019570310757573
5.95,0.5000148043578971
5.9750000000000005,0.5013357010413412
6.0,0.5059139740141415
6.025,0.5137297035902005
6.050000000000001,0.5247488841781736
6.075,0.5389235722369757
6.1000000000000005,0.5561920948741564
6.125,0.5764793181795376
6.15,0.599696974126632
6.175000000000001,0.6257440446195025
6.2,0.6545072010141224
6.2250000000000005,0.685861297201916
6.25,0.7196699141100876
6.275,0.7557859532497111
6.300000000000001,0.7940522767290454
6.325,0.8343023909474775
6.3500000000000005,0.8763611709953806
6.375,0.9200456226080631
6.4,0.9651656783586471
6.425000000000001,1.0115250246256906
6.45,1.058921955737463
6.4750000000000005,1.107150251576608
6.5,1.1560000748267705
6.525,1.2052588839573717
6.550000000000001,1.2547123579741697
6.575,1.3041453289121443
6.6000000000000005,1.3533427180134783
6.625,1.4020904715173823
6.65,1.4501764919902806
6.675000000000001,1.4973915611441395
6.7,1.5435302501279
6.7250000000000005,1.5883918133313828
6.75,1.631781061812776
6.775,1.6735092125495563
6.800000000000001,1.71339470981775
6.825,1.7512640151258427
6.8500000000000005,1.786952362266372
6.875,1.8203044742000225
6.9,1.8511752386531575
6.925000000000001,1.8794303394892853
6.95,1.9049468411074397
6.9750000000000005,1.927613723324776
7.0,1.947332364416188
7.025,1.9640169702092574
7.050000000000001,1.9775949473675793
7.075,1.9880072192383547
7.1000000000000005,1.995208482890006
7.125,1.9991674062214773
7.15,1.9998667642856067
7.175000000000001,1.9973035142334443
7.2,1.991488808553436
7.2250000000000005,1.9824479465478688
7.25,1.970220264257708
7.275,1.9548589633147406
7.300000000000001,1.9364308794656886
7.325,1.9150161917754187
7.3500000000000005,1.8907080737744724
7.375,1.8636122880687682
7.4,1.8338467261752678
7.425000000000001,1.8015408955857615
7.45,1.7668353562905121
7.4750000000000005,1.729881109213384
7.5,1.6908389392193564
7.525,1.6498787155528922
7.550000000000001,1.6071786527509544
7.575,1.5629245352463257
7.6000000000000005,1.5173089090349388
7.625,1.4705302439242305
7.65,1.4227920700074446
7.675000000000001,1.3743020921210907
7.7,1.3252712861384137
7.7250000000000005,1.2759129810308558
7.75,1.2264419306914072
7.775,1.177073379558203
7.800000000000001,1.1280221261038388
7.825,1.0795015882650159
7.8500000000000005,1.0317228748787985
7.875,0.9848938671655585
7.9,0.9392183142550374
7.925000000000001,0.8948949466907656
7.95,0.8521166117699506
7.9750000000000005,0.8110694344808678
8.0,0.7719320076884845
8.025,0.7348746150916947
8.05,0.7000584903330803
8.075000000000001,0.6676351154846907
8.1,0.6377455619621143
8.125,0.6105198767344324
8.15,0.5860765165006596
8.175,0.5645218322944545
8.200000000000001,0.5459496067595946
8.225,0.5304406461094684
8.25,0.5180624285459396
8.275,0.5088688106672901
8.3,0.5028997931426208
8.325000000000001,0.500181346672262
8.35,0.5007252989914063
8.375,0.504529283408615
8.4,0.5115767491030958
8.425,0.5218370331359518
8.450000000000001,0.5352654938620862
8.475,0.5518037051622969
8.5,0.5713797106504843
8.525,0.5939083367499096
8.55,0.6192915632763728
8.575000000000001,0.6474189499159044
8.6,0.6781681167414114
8.625,0.7114052766776061
8.65,0.7469858175974582
8.675,0.7847549315175818
8.700000000000001,0.8245482881549322
8.725,0.8661927499142394
8.75,0.9095071251953387
8.775,0.9543029567427863
8.8,1.000385341607758
8.825000000000001,1.0475537791546266
8.85,1.095603043422586
8.875,1.144324076046811
8.9,1.1935048958540493
8.925,1.2429315211751417
8.950000000000001,1.292388900861519
8.975,1.3416618499549133
9.0,1.3905359859392907
9.025,1.438798661501371
9.05,1.4862398897414777
9.075000000000001,1.5326532578091219
9.1,1.5778368249881956
9.125,1.6215940013243024
9.15,1.6637344029713206
9.175,1.7040746805357496
9.200000000000001,1.7424393168147168
9.225,1.7786613904567692
9.25,1.8125833022228437
9.275,1.844057460687475
9.3,1.872946924396858
9.325000000000001,1.8991259976897634
9.35,1.9224807775889254
9.375,1.942909649383464
9.4,1.9603237287460578
9.425,1.9746472484612858
9.450000000000001,1.9858178880825006
9.475,1.9937870450829216
9.5,1.9985200463212034
9.525,1.9999962989013937
9.55,1.998209379770919
9.575000000000001,1.9931670636667542
9.600000000000001,1.9848912892881851
9.625,1.9734180638433496
9.65,1.9587973063848545
9.675,1.9410926306161245
9.700000000000001,1.9203810681134483
9.725000000000001,1.896752733167978
9.75,1.8703104307059224
9.775,1.8411692089928307
9.8,1.8094558590681367
9.825000000000001,1.7753083630878561
9.850000000000001,1.73887529397566
9.875,1.7003151689944151
9.9,1.6597957600507034
9.925,1.6174933637331783
9.950000000000001,1.5735920342607193
9.975000000000001,1.5282827826777874
10.0,1.481762745781214
