frequency_mhz,intensity
-45.55,0.005112020773504291
-45.5,0.005617717402575581
-45.45,0.006168126474024964
-45.4,0.006766634317195252
-45.35,0.0074168270289411056
-45.3,0.008122496883864603
-45.25,0.008887648429878587
-45.2,0.009716504205570273
-45.15,0.010613510012133594
-45.1,0.011583339669076117
-45.05,0.012630899179518013
-45.0,0.013761330227725594
-44.95,0.014980012928627282
-44.9,0.016292567746463333
-44.85,0.01770485649750222
-44.8,0.01922298234994931
-44.75,0.020853288732826783
-44.7,0.022602357064793726
-44.65,0.024477003213617385
-44.6,0.026484272597388604
-44.55,0.028631433839626966
-44.5,0.03092597089218522
-44.45,0.03337557354241998
-44.4,0.035988126224437846
-44.35,0.03877169505844221
-44.3,0.04173451304730363
-44.25,0.04488496336547534
-44.2,0.04823156068234955
-44.15,0.05178293047003997
-44.1,0.055547786254469156
-44.05,0.059534904778492916
-44.0,0.06375309905658798
-43.95,0.06821118931242302
-43.9,0.07291797180328918
-43.85,0.07788218554895972
-43.8,0.083112476996967
-43.75,0.0886173626714631
-43.7,0.09440518986878757
-43.65,0.10048409547938558
-43.6,0.10686196303285042
-43.55,0.11354637808042241
-43.5,0.12054458204713356
-43.45,0.1278634247039404
-43.4,0.13550931542832312
-43.35,0.14348817343998424
-43.3,0.1518053772161996
-43.25,0.16046571330888515
-43.2,0.1694733248025235
-43.15,0.17883165966835224
-43.1,0.18854341928571067
-43.05,0.19861050741584604
-43.0,0.20903397992662406
-42.95,0.21981399557845402
-42.9,0.23094976819188906
-42.85,0.2424395205259062
-42.8,0.2542804402024764
-42.75,0.2664686380175345
-42.7,0.27899910898091684
-42.65,0.29186569642780463
-42.6,0.305061059541884
-42.55,0.31857664462553814
-42.5,0.3324026604447966
-42.45,0.3465280579666797
-42.4,0.3609405147935641
-42.35,0.375626424583614
-42.3,0.39057089172796233
-42.25,0.40575773153416467
-42.2,0.42116947614185657
-42.15,0.4367873863701352
-42.1,0.4525914696675093
-42.05,0.4685605043041945
-42.0,0.48467206991319933
-41.95,0.5009025844515397
-41.9,0.5172273476157865
-41.85,0.533620590707666
-41.8,0.5500555329055887
-41.75,0.5665044438570223
-41.7,0.5829387124651548
-41.65,0.599328921701155
-41.6,0.6156449292312854
-41.55,0.631855953606267
-41.5,0.6479306657188872
-41.45,0.6638372851956036
-41.4,0.6795436813486521
-41.35,0.6950174782777548
-41.3,0.7102261636749841
-41.25,0.72513720085301
-41.2,0.7397181434864469
-41.15,0.7539367525281614
-41.1,0.767761114737966
-41.05,0.7811597622400591
-41.0,0.7941017925081474
-40.95,0.8065569881638682
-40.9,0.8184959359646734
-40.85,0.8298901443523218
-40.8,0.8407121589323829
-40.75,0.8509356752587968
-40.7,0.8605356483058041
-40.65,0.8694883980221096
-40.6,0.8777717103792793
-40.55,0.8853649333477868
-40.5,0.8922490672597416
-40.45,0.8984068490471159
-40.4,0.9038228298778254
-40.35,0.9084834457492822
-40.3,0.9123770806396457
-40.25,0.9154941218606237
-40.2,0.9178270073021259
-40.15,0.9193702643078058
-40.1,0.9201205399713249
-40.05,0.9200766226955137
-40.0,0.9192394549101497
-39.95,0.9176121368983343
-39.9,0.9151999217360327
-39.85,0.912010201403769
-39.8,0.9080524841833105
-39.75,0.903338363505011
-39.7,0.8978814784628275
-39.65,0.8916974662635475
-39.6,0.8848039069239695
-39.55,0.8772202605743527
-39.5,0.8689677977680489
-39.45,0.860069523235425
-39.4,0.8505500935548372
-39.35,0.8404357292441286
-39.3,0.829754121802705
-39.25,0.8185343362566271
-39.2,0.8068067097769286
-39.15,0.7946027469547764
-39.1,0.7819550123257344
-39.05,0.7688970207394502
-39.0,0.7554631261706094
-38.95,0.7416884095617913
-38.9,0.7276085662794314
-38.85,0.7132597937501839
-38.8,0.6986786798270107
-38.75,0.6839020924125433
-38.7,0.6689670708416381
-38.65,0.6539107194962915
-38.6,0.6387701040940844
-38.55,0.623582151056682
-38.5,0.6083835503279852
-38.45,0.5932106619724252
-38.4,0.5780994268434163
-38.35,0.5630852815701199
-38.3,0.5482030780680822
-38.25,0.5334870077364025
-38.2,0.5189705304610078
-38.15,0.5046863085011725
-38.1,0.49066614529458785
-38.05,0.47694092917572756
-38.0,0.4635405819632772
-37.95,0.45049401233514186
-37.9,0.4378290738746975
-37.85,0.42557252763942144
-37.8,0.41375000907334053
-37.75,0.40238599905809197
-37.7,0.39150379887378667
-37.65,0.38112550882083474
-37.6,0.37127201023720113
-37.55,0.3619629506325531
-37.5,0.35321673165147693
-37.45,0.3450504995722268
-37.4,0.337480138045618
-37.35,0.3305202627803474
