n,l,j,f,dirac_shift_khz,model_stage
24,16,15.5,15.0,-395.80887816281034,leading_dirac_only
24,16,15.5,16.0,-395.80887816281034,leading_dirac_only
24,16,16.5,16.0,-349.243127790715,leading_dirac_only
24,16,16.5,17.0,-349.243127790715,leading_dirac_only
24,17,16.5,16.0,-349.243127790715,leading_dirac_only
24,17,16.5,17.0,-349.243127790715,leading_dirac_only
24,17,17.5,17.0,-307.8513496821858,leading_dirac_only
24,17,17.5,18.0,-307.8513496821858,leading_dirac_only
24,18,17.5,17.0,-307.8513496821858,leading_dirac_only
24,18,17.5,18.0,-307.8513496821858,leading_dirac_only
24,18,18.5,18.0,-270.81660084823864,leading_dirac_only
24,18,18.5,19.0,-270.81660084823864,leading_dirac_only
24,19,18.5,18.0,-270.81660084823864,leading_dirac_only
24,19,18.5,19.0,-270.81660084823864,leading_dirac_only
24,19,19.5,19.0,-237.48532689768624,leading_dirac_only
24,19,19.5,20.0,-237.48532689768624,leading_dirac_only
24,20,19.5,19.0,-237.48532689768624,leading_dirac_only
24,20,19.5,20.0,-237.48532689768624,leading_dirac_only
24,20,20.5,20.0,-207.32845999004348,leading_dirac_only
24,20,20.5,21.0,-207.32845999004348,leading_dirac_only
24,21,20.5,20.0,-207.32845999004348,leading_dirac_only
24,21,20.5,21.0,-207.32845999004348,leading_dirac_only
24,21,21.5,21.0,-179.91312643764107,leading_dirac_only
24,21,21.5,22.0,-179.91312643764107,leading_dirac_only
24,22,21.5,21.0,-179.91312643764107,leading_dirac_only
24,22,21.5,22.0,-179.91312643764107,leading_dirac_only
24,22,22.5,22.0,-154.8817349332736,leading_dirac_only
24,22,22.5,23.0,-154.8817349332736,leading_dirac_only
24,23,22.5,22.0,-154.8817349332736,leading_dirac_only
24,23,22.5,23.0,-154.8817349332736,leading_dirac_only
24,23,23.5,23.0,-131.93629272093676,leading_dirac_only
24,23,23.5,24.0,-131.93629272093676,leading_dirac_only
